-1:48:15 | ThePlatinumCan: 待機
1:12:04 | GrassHopperMouse: as expected of a korean basket weaving forum
1:12:07 | Ninjaguy Dan: I'm a big fan of the manga 'Berserk' it is very very good
1:12:22 | Ukitsu2: But in English "otaku" means "big anime fan". In Japans means something different.
1:12:29 | Mew: Otaku in english is more "anime fan"
1:12:47 | Outwith: Berserk is really good
1:12:52 | Nero: Bearserk
1:12:55 | ユーネ: I look forward to more of your singing 🐻
1:12:55 | Mew: ベルセルクだよ
1:13:00 | Stray Wolf: Bearserk 
1:13:15 | .sandrio: yeah true, we dont call trainspotters train otaku or anything, its more broadly applied over there
1:13:26 | GrassHopperMouse: @Stray Wolf took the words out of my mouth
1:13:28 | Sunspots: berserk is one of the most popular mangas in the west
1:13:37 | Mew: Incredibly popular
1:13:39 | hustler one: Did they ever get off of the boat?
1:13:46 | Ninjaguy Dan: hyper popular yeah
1:13:53 | Ninjaguy Dan: @hustler one yup
1:13:56 | Stray Wolf: they did get out of the boat 
1:13:56 | Nero: Berserk is popular for being on hiatus a lot while its author plays Love Live
1:14:03 | OverMagnet: Are you reading anything lately?
1:14:09 | Nero: Eventually
1:14:17 | Mew: Just like Hunter X Hunter
1:14:23 | Chloro [クロロ]: Looking forward for it! 楽しみ!
1:14:32 | Stray Wolf: @Nero I think you meant IM@s
1:14:51 | Nero: Same difference to me
1:14:51 | Ninjaguy Dan: the most popular manga in the west in the average sphere are one piece, naruto and demon slayer at the moment
1:14:54 | pakkanen: Beartani, that website where you visited earlier today is well known from their anime/manga fans
1:15:29 | Ninjaguy Dan: amazing taste
1:15:36 | Nero: yeee chainsawman
1:15:36 | Mew: Good taste miss bear 
1:15:37 | Stray Wolf: oh Watamote? 
1:15:37 | D3bugged: those 2 are great
1:15:38 | Sunspots: ooo
1:15:38 | hustler one: Reading attack on titan (shingeki no kyojin) and hating myself
1:15:41 | nicenature: watamote is very popular
1:15:42 | GrassHopperMouse: watamote is still running?
1:15:43 | Stray Wolf: Based taste 
1:15:47 | フェットチーネ: Wow yes
1:15:48 | Theblekedet: good taste
1:15:48 | OverMagnet: Eh?
1:15:49 | Mew: Do you read Mieruko-chan? Watamote is really popular
1:15:53 | GrassHopperMouse: I should catch up again with it
1:15:54 | Outwith: I enjoyed the watamote anime but never read the manga
1:15:55 | Eika: nice lol
1:15:55 | OverMagnet: What!
1:15:57 | ThePlatinumCan: Watamote~ Absolutely based taste
1:16:02 | Jinhao: NICE!
1:16:04 | Stray Wolf: yes, watamote is very popular 
1:16:06 | Theblekedet: of course
1:16:06 | OverMagnet: Yes!
1:16:07 | Ninjaguy Dan: chainsaw man and watamote are very popular on the site you visited, actually!
1:16:13 | D3bugged: i love watamote
1:16:14 | Stray Wolf: chainsaw man too 
1:16:15 | Jinhao: good taste!!!!
1:16:20 | Nero: Watamote only makes me feel fremdschamen
1:16:30 | Chloro [クロロ]: Watamote is hard to read because it felt too personal for me lol
1:16:33 | OverMagnet: Watamote is SUUPER popular where we're from!
1:16:46 | Mew: Yes!
1:16:52 | hustler one: Everyone knows watamote here
1:16:57 | Stray Wolf: yes
1:17:19 | OverMagnet: The author of Watamote even knows about us!
1:17:23 | Ninjaguy Dan: Who is your favorite chainsaw man character?
1:17:26 | GrassHopperMouse: Probably the most popular anime in the west the last couple of years is JoJo.
1:17:32 | GrassHopperMouse: To the point I'm tired of hearing about it.
1:17:41 | Mew: How far are you into watamote? 
1:17:45 | Arthur C.: Watamote is a classic
1:17:50 | Arcterion: Tomoko went from being socially awkward to having her own harem.
1:18:06 | ユーネ: Tomoko is very relatable
1:18:07 | nicenature: ;;
1:18:07 | L0rdJ0n3Z: Yuri best girl
1:18:38 | OverMagnet: Yes
1:19:00 | OverMagnet: We helped to make Watamote come to the USA.
1:19:07 | pakkanen: Everyone here knows Yotsuba aswell.
1:19:47 | Chloro [クロロ]: Tomoko is very adorkable
1:20:11 | Ninjaguy Dan: fantastic
1:20:15 | フェットチーネ: Power yes ❤ 
1:20:16 | Nero: POWAAA
1:20:32 | ユーネ: wwww
1:20:38 | Mew: T-pose
1:20:41 | ZUN TSUN: HI!
1:20:45 | nicenature: →I can't move my face
1:20:47 | Chloro [クロロ]: wwww
1:21:02 | GrassHopperMouse: w-what did we say
1:21:06 | Eika: cute and funny!
1:21:06 | GrassHopperMouse: why are you looking at us like that
1:21:06 | .sandrio: you are cute even if your face doesnt more
1:21:08 | ユーネ: cute and funny!
1:21:08 | .sandrio: move
1:21:09 | Alexander Holzer: Hahahahaha
1:21:09 | Jinhao: cute and funny!
1:21:10 | Theblekedet: default_bear.png
1:21:15 | chang og: 🐻❄
1:21:16 | Idle Bear: Staring contest
1:21:28 | OverMagnet: Polar bear!
1:21:37 | Syrup: do you like Gochuumon Usagi desuka?
1:21:52 | ThePlatinumCan: Haha
1:21:56 | Nero: My favorite character in Chainsawman is Kobeni's car
1:22:06 | Listening Man: you should think about setting up a streamlabs so people can donate to you, chisato-chan. 
1:22:09 | Ninjaguy Dan: yaaay
1:22:14 | ユーネ: 🐻
1:22:15 | Alexander Holzer: cute laugh
1:22:22 | OverMagnet: Kobeni's car is popular with everyone!
1:22:30 | Theblekedet: yay
1:23:03 | Ninjaguy Dan: Oh, I know Dragon Ball is incredibly popular over here too
1:23:20 | Sunspots: extremely based
1:23:21 | A A: Simp to get Beatani a Switch.
1:23:23 | Ninjaguy Dan: Dragon Ball and Sailor Moon were huge factors in helping bring anime fans in the west
1:23:23 | Mew: Same here, problem is when you read manga you spoil the anime so it's not as fun.
1:23:26 | GrassHopperMouse: Man, Dragon Ball is popular everywhere
1:23:32 | Arcterion: Have you read Angel Densetsu? 😀 
1:23:43 | Theblekedet: I like manga better
1:24:02 | Ninjaguy Dan: giving you money!
1:24:05 | Mew: 🤑💸
1:24:11 | Eika: 💰
1:24:21 | ThePlatinumCan: Yes, some of us want to donate and join membership.
1:24:28 | pakkanen: Streamlabs is program what some streamers use to stream in Youtube, Facebook and Twitch
1:24:35 | Stray Wolf: some people want you to setup an streamlabs 
1:24:37 | GrassHopperMouse: But Streamlab isn't as accessible as youtube
1:24:39 | Ukitsu2: Yeah, donations, tips, whatever you want to call it ^^
1:24:47 | Sunspots: streamlab is an alternative to youtube superchats 
1:24:47 | GrassHopperMouse: If she wants to grow she should stick to Youtube
1:24:53 | pakkanen: @GrassHopperMouse It is
1:25:23 | Listening Man: @GrassHopperMouse youtube takes way too much of that 
1:25:37 | ZUN TSUN: シンガポールからこんばんは！元気ですか？
1:25:43 | ユーネ: naruhodo
1:25:56 | hustler one: Try streamlabds
1:25:59 | ThePlatinumCan: Understood
1:25:59 | hustler one: streamlabs
1:26:06 | GrassHopperMouse: @pakkanen not really, everyone already knows youtube, no one will bother adapting to a new website for a streamer they don't know
1:26:33 | Ninjaguy Dan: You can do it, Beatani!
1:26:59 | Kyle: You'll get to 4000 hours quickly!
1:27:06 | Eika: ストリームラボはyoutubeの寄付に代わるもの
1:27:20 | ユーネ: ganbare!
1:27:26 | Ninjaguy Dan: do your best!
1:27:28 | Listening Man: @GrassHopperMouse what are you talking about man? streamlabs is not a platform
1:27:31 | Ninjaguy Dan: we are all rooting for you
1:27:43 | chang og: i'll watch 4000 hours
1:27:50 | ZUN TSUN: 英語上手ですねえ！がんばっていてね！
1:28:01 | Stray Wolf: ganbare Beatani 
1:28:19 | nicenature: understandable
1:28:23 | Ninjaguy Dan: Very humble of you
1:28:32 | ThePlatinumCan: You are a good bear
1:28:33 | Sunspots: Amazon wishlist is also a good alternative for now, should help you procure what you need to stream. Like games and other things
1:28:34 | Chloro [クロロ]: has to wait for monetization (収益化) too, so it's understandable
1:28:35 | ZUN TSUN: メンバーほしいの？
1:29:36 | ZUN TSUN: かわいい熊ｗｗ
1:29:40 | OverMagnet: It'll happen sometime. No need to try and rush.
1:29:42 | Ninjaguy Dan: people will pitch in if you need streaming equipment or gamecube games to play
1:29:43 | Sunspots: えらい
1:30:58 | GrassHopperMouse: teetee
1:31:00 | ZUN TSUN: いつはじめてのストレスですか？
1:31:18 | Ninjaguy Dan: teetee...
1:31:34 | gyroninja: It's just starting
1:31:46 | Theblekedet: The final goal is to unplug
1:31:49 | ZUN TSUN: 新しいｖtuber？
1:31:50 | Chloro [クロロ]: 良かったですねww , おめでとう!
1:32:01 | .sandrio: the beginning of a brand new story
1:32:02 | chang og: bear friends 🐻🍀
1:32:02 | Sunspots: わかる
1:32:02 | nicenature: level up your social communication with us
1:32:04 | GrassHopperMouse: no.. you never get off the internet 
1:32:13 | VampirkoO: ww
1:32:31 | Ninjaguy Dan: we do!
1:32:37 | ZUN TSUN: せいそ？
1:32:39 | Stray Wolf: I know
1:32:41 | .sandrio: grass
1:32:43 | ThePlatinumCan: We know some Japanese memes ww
1:32:45 | chang og: lol
1:32:48 | ShinHylus: teetee is well known through hololive
1:33:12 | Chloro [クロロ]: MOAR Friends!
1:33:16 | Stray Wolf: greed bear
1:33:23 | ユーネ: 🐻♥️
1:33:26 | Alexander Holzer: Greedbear kusa
1:33:30 | nicenature: greedy is better when describing something
1:33:40 | ThePlatinumCan: Peko
1:33:40 | Sunspots: greed clover bear
1:33:49 | Ninjaguy Dan: ahoy!
1:33:54 | Jinhao: what do you like most about them?
1:33:55 | Stray Wolf: oh do you know Pekora? nice 
1:33:58 | ShinHylus: Ahoy!
1:34:06 | Outwith: They are my favourites too
1:34:11 | OverMagnet: AHOY!
1:34:13 | desushow: Ahoy!
1:34:13 | Mew: 🐰🏴‍☠🦈
1:34:18 | Arcterion: Ha ↗ha ↘ha ↗ha ↘
1:34:19 | Ukitsu2: And Shuba / Subaru?
1:34:29 | ユーネ: Beatani is cuter
1:34:32 | gyroninja: Not as cute as you
1:34:47 | Ninjaguy Dan: HA HA HA HA HA
1:35:04 | O5060403: Beatani is cutest
1:35:07 | Alexander Holzer: HAHAHAHAHA
1:35:08 | ThePlatinumCan: wwww
1:35:10 | Sunspots: pekora is known as a war criminal in the west
1:35:11 | ユーネ: wwwwww
1:35:11 | Mew: Ahahah thats not bad
1:35:11 | Eika: ww
1:35:12 | OverMagnet: Arpeggio Laugh
1:35:13 | Ninjaguy Dan: I don't think anybody can it's a very interesting voice
1:35:15 | Stray Wolf: wwww
1:35:18 | .sandrio: big kusa
1:35:19 | VampirkoO: www
1:35:19 | Arcterion: Pretty good imitation. 😀 
1:35:19 | Kyle: ww
1:35:20 | Stray Wolf: not bad 
1:35:24 | Alexander Holzer: Perfect imitation
1:35:24 | O5060403: wwwwwwwwww
1:35:26 | hustler one: kusa
1:35:29 | Chloro [クロロ]: That's very good impression tho! ww
1:35:38 | フェットチーネ: 💯
1:35:42 | Theblekedet: "OI TEME!"
1:35:44 | ThePlatinumCan: 草
1:35:55 | Mew: もちろん
1:35:59 | ユーネ: big草
1:36:07 | Stray Wolf: we're getting jouzu'd 
1:36:07 | Arcterion: Big Kusa
1:36:08 | Sunspots: そうだよｗ
1:36:15 | VampirkoO: We know!
1:36:15 | pakkanen: Welcome to Underground
1:36:25 | chang og: prairie
1:36:34 | .sandrio: kusa of unusual size
1:36:37 | 柊木ちんぽむ。: ちさとに、告白しようと思ってる。コメント欄のみんなには、悪いけど。抜け駆けで。次の給料日、お金入るから。スパチャして。そこで気持ち伝える。ちさとは男の人と付き合ったことないから。びっくりするかもだけど。もう気持ちを伝えるのを我慢できないから。
1:36:43 | Ukitsu2: If you rise your pitch like that you could do a good imitation of Subaru xD
1:36:45 | hustler one: 2ch?
1:36:51 | Stray Wolf: nukumority 
1:36:55 | Mew: ニコニコヌクモリティ:virtualhug:
1:36:55 | chang og: nukumority
1:37:03 | ユーネ: omoshiroi
1:37:19 | Theblekedet: naruhodo
1:37:28 | Sunspots: wholesome meme
1:37:48 | マリヒコ: nukumority 
1:37:59 | nicenature: vip quality
1:38:14 | Arcterion: Google says 'nukumority', but doesn't explain what it means. :P
1:38:22 | OverMagnet: ヌクモリティとは、ぬくもり溢れるクオリティの事である。
1:38:23 | .sandrio: VIP
1:38:42 | OverMagnet: Quality so it's l
1:38:43 | .sandrio: donate some VIPcoins to daddy cool
1:38:48 | ユーネ: wow
1:38:51 | pakkanen: nukumori = warmth?
1:39:01 | hustler one: oh is that the japanese meme for VIP QUAILTY
1:39:08 | hustler one: that is ancient
1:39:10 | ユーネ: おk
1:39:16 | Stray Wolf: vip 
1:39:44 | Stray Wolf: ww
1:39:46 | chang og: nukumori is kindness
1:39:49 | Arcterion: So nukumority = warm quality... Basically 'wholesome'?
1:39:52 | ユーネ: 😂
1:39:53 | ThePlatinumCan: www
1:39:55 | Alexander Holzer: Hahahaha
1:39:56 | nicenature: lmao
1:39:58 | Mew: I feel old
1:40:04 | Ninjaguy Dan: www
1:40:14 | Mew: But that was the best time
1:40:42 | fooyouya: めっちゃ登録者増えてる！すごい！
1:41:09 | OverMagnet: Basically it's "Comfy"
1:41:53 | Eika: 👍
1:41:59 | Stray Wolf: naisu 
1:42:22 | O5060403: Can't wait to see more, ganbatte!
1:42:24 | Theblekedet: naisu, I'm looking forward to it!
1:42:39 | gyroninja: 今日の配信は楽しかった
1:42:47 | pakkanen: Beatani, you know where you find us.
1:42:49 | .sandrio: very fun stream, thank you do much
1:42:50 | GrassHopperMouse: We had a lot of fun!
1:42:55 | Peer: good luck!
1:42:56 | GrassHopperMouse: We're looking forward to next time!
1:42:57 | Ninjaguy Dan: You did very good this stream!
1:42:57 | Theblekedet: I enjoyed our time very much
1:43:02 | .sandrio: so much, rather
1:43:02 | Alexander Holzer: Beatani is bear daughter
1:43:02 | Peer: it was fun
1:43:08 | Ninjaguy Dan: A lot of fun! until next time beatani!
1:43:30 | VampirkoO: Good stream! Looking forward to the next time!
1:43:34 | ThePlatinumCan: I enjoyed this stream a lot! Thanks~
1:43:35 | pakkanen: Beatani, if you need to ask about anything, just come over again and we talk
1:43:38 | chang og: 🍀🐻🍀
1:43:38 | Peer: lmao
1:43:39 | ユーネ: 🐻🍀
1:43:44 | hustler one: based
1:43:53 | VampirkoO: 🍀
1:43:53 | Alexander Holzer: 🥰
1:43:55 | .sandrio: My favorite bear has become the Beatani!
1:43:57 | フェットチーネ: 🍀
1:43:57 | ThePlatinumCan: 🍀🐻🍀
1:43:58 | desushow: 🍀
1:43:58 | O5060403: 🍀🐻
1:44:04 | Arcterion: 🍀
1:44:05 | Mew: 🍀
1:44:14 | Jinhao: 🍀
1:44:16 | Glave-San: Hello Beartani
1:44:17 | ユーネ: Beatani is my oshi
1:44:18 | ThePlatinumCan: Yes, please visit the website again, if you have more questions.
1:44:23 | Peer: 🍀
1:44:24 | pakkanen: YES you can
1:44:26 | Ninjaguy Dan: Of course you're more than welcome
1:44:27 | OverMagnet: Four leaf clover is lucky. 🍀
1:44:28 | Alexander Holzer: Chotto kowaii hahahaha
1:44:31 | chang og: nukumority🍀
1:44:32 | hustler one: Yes you can read it
1:44:39 | .sandrio: 🍀🍀🍀
1:44:45 | ユーネ: looking forward to your next stream!
1:44:48 | A A: I love this bear.
1:44:49 | OverMagnet: Hopefully it will make you lucky too.
1:44:50 | Eika: 😄
1:44:54 | ユーネ: nukumority!
1:44:55 | Ninjaguy Dan: wwww
1:44:56 | Mew: Aaahahh that translation 
1:45:03 | Theblekedet: Yeah, tread carefully Beartani
1:45:03 | Sunspots: great stream, ぬくもりティ高いの配信だったありがとうございます！
1:45:04 | Arcterion: Make sure not to get tricked with the "Cute and Funny" word again. 😉 
1:45:13 | Jinhao: be careful beatani!!!
1:45:13 | Kyle: 😆
1:45:14 | hustler one: hahahaha
1:45:16 | Alexander Holzer: Just be careful
1:45:17 | Peer: shout?
1:45:17 | Eika:  Be careful!😮
1:45:18 | Mew: Just be careful 
1:45:25 | O5060403: www
1:45:29 | GrassHopperMouse: Just don't pick up on any new slang
1:45:36 | ThePlatinumCan: Just be careful but please visit again
1:45:37 | pakkanen: Beatani, don't take them too seriously. People are supporting you there
1:45:53 | Kebab: My favourite vtuber is cute and funny bear Chisato!
1:45:55 | OverMagnet: Ah, we try to be gruff to scare off the people who just want to stare.
1:45:57 | ThePlatinumCan: :yougotthis:
1:45:58 | .sandrio: this is so wholesome
1:46:04 | ユーネ: 🐻🍀
1:46:10 | Outwith: As people say, make sure to be careful about any words you may learn, and if people say nasty things understand it is just the culture and most people do not mean it
1:46:19 | Juliet: We love cute and funny bear 🍀
1:46:46 | O5060403: A lot of people act mean to scare off unwelcome people, but there are many who are friendly!
1:47:00 | GrassHopperMouse: 💪💪💪💪
1:47:05 | ユーネ: 🐻♥️🍀🐻♥️🍀🐻♥️
1:47:23 | Alexander Holzer: ❤❤❤❤❤❤❤
1:47:35 | Ninjaguy Dan: Beatani love!
1:47:36 | .sandrio: 🐻♥
1:47:41 | OverMagnet: 草
1:47:43 | Mew: Internet Senior Association will be here
1:47:49 | Listening Man: of course! 
1:47:52 | Chloro [クロロ]: Definitely!
1:48:03 | ThePlatinumCan: Yes, of course!
1:48:03 | OverMagnet: Yes.
1:48:03 | Ninjaguy Dan: You too! 
1:48:04 | Outwith: Looking forward to the next one
1:48:04 | ユーネ: otsukare!
1:48:12 | GrassHopperMouse: Sleep well!
1:48:13 | Jinhao: have a good night beatani!!!
1:48:15 | Theblekedet: I will!
1:48:17 | Alexander Holzer: Take care
1:48:17 | gyroninja: It's 8am. I must sleep too.
1:48:17 | Kyle: OtsuGRRR🐻
1:48:19 | ThePlatinumCan: Have a good night ^^
1:48:20 | Peer: Sleep well!
1:48:24 | Peer: 🐻
1:48:25 | ユーネ: 💤💤💤💤
1:48:25 | A A: ISA offical fandom.
1:48:25 | フェットチーネ: You too!
1:48:26 | VampirkoO: Sleep well! Otsu!
1:48:27 | OverMagnet: Subcribe to Beatani's Twitter!
1:48:27 | pakkanen: Good night
1:48:28 | Theblekedet: Good night Beatani!
1:48:29 | GrassHopperMouse: Oyasumi!
1:48:29 | gyroninja: おやすみ
1:48:29 | desushow: Good night!
1:48:31 | ThePlatinumCan: Otsu~
1:48:32 | Mew: :yougotthis::yougotthis:
1:48:34 | Kebab: Oyasumi!
1:48:35 | Outwith: おやすみ
1:48:35 | Eika: bye bye
1:48:36 | O5060403: Sleep well!
1:48:37 | Arcterion: Good night~ 
1:48:38 | .sandrio: おやっくま！
1:48:40 | Rise Iri: good night cute and funny bear
