-1:30:17 | Voltage: 🍀🐻‍❄️ 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
27:16 | Megiddo: so cute
27:17 | Nasty Yukari: I think it's cute, maybe too many details for a t-shirt, but I'd wear it
27:26 | Chloro [クロロ]: Cute!
27:28 | Aggressive Quack: that looks adorable I want the whole stock
27:28 | imalittle cupcake: It's so cute
27:30 | O5060403: I will force all my friends to buy at least one.
27:34 | ChefHART: very cute
27:37 | Tachi: It looks good
27:40 | Ark K.: so cutee
27:41 | meat: beary cute
27:41 | stuffed idiot: i'd wear that
27:43 | VampirkoO: Kawaii! 
27:43 | Jackku Chan: Looks like perfect for wearing at the gym
27:47 | Verijero: perfect to wear at the gym
27:54 | Dick Smith: very cute
27:55 | 77Yuja_: yes
27:55 | Dick Smith: and funny
27:56 | TheCanti: I will purchase and tell everyone that my daughter made this
27:58 | imalittle cupcake: I'll go to work with it
27:58 | BasedBug: ArtDads get on it
27:58 | meat: yes! safe for work! 
27:59 | Inaba: yes
28:00 | Vic Kyorlo: i work at home so yes i can
28:00 | Fettuccine フェットチーネ: of course!
28:01 | Aggressive Quack: id work with this yea
28:01 | Nasty Yukari: Yeah
28:03 | Rye Mountain: I can wear it under my jacket
28:03 | Peer: i work remotely, so yeah
28:05 | Zhnigo: I can and I will
28:05 | Peer: I can
28:06 | Sheep: why not
28:08 | gal be: sure
28:14 | Ikxi: work from home
28:15 | Ark K.: of course i can
28:15 | TWAIN: maybe if it were placed on the left sleeve?
28:15 | Megiddo: "go to work" well I work from home so...
28:20 | Rob G.: Not in my country lol. I will blow my disguise right away
28:20 | Xayn: We don't go to work anymore
28:23 | Sheep: most work from home now anyway kek
28:23 | YakoffShmirnoff: your art!
28:23 | Voltage: proud dads wear anything anywhere
28:24 | Kemonomimi: Under a jacket 
28:40 | Jackku Chan: I can go to work but it would be my last day at work
28:41 | LordAziki: I could imagine Elon Musk wearing that to work.
28:41 | Ark K.: it's made by my daughter
28:52 | imalittle cupcake: I'll just say my daughter made it and nobody will complain
28:54 | Aggressive Quack: perfect for both work and working out
28:58 | Kaiser Kebab: I will tell my colleagues my daughter made it 
28:59 | 77Yuja_: they will think you are a fan
29:11 | A A: Hahahaha.
29:17 | Verijero: narcisist bea!
29:18 | O5060403: A t-shirt like that would look nice under a flannel shirt
29:21 | Megiddo: narcisist bear
29:21 | meat: you can wear it at home and be proud of yourself
29:24 | Kyle: It would get dirty and sweaty
29:25 | imalittle cupcake: Absolutely
29:29 | Nasty Yukari: It'd be a bit hazukashiful
29:31 | Aggressive Quack: yea if anyone asks we can say are daughter made it
29:31 | Jackku Chan: I can wear it inside-out!
29:33 | Voltage: most you
29:35 | BasedBug: Can we get Limited Edition T-Shirts with your signature?
29:38 | YakoffShmirnoff: design idea for car bros: Alfa Romeo four lear clover symbol with you peaking around it
29:44 | meat: not narcissist! PROUD bear!
29:45 | Ark K.: i can wear it of course
29:46 | Rye Mountain: I always wear jacket so wearing it under the jacket is no problem
29:50 | Megiddo: I'd just say my daughter made it for me
29:52 | MagariteIs NotButter: you can do freelance and wear it at work everyday
29:53 | Zhnigo: wearing this inside-out to keep daughter closer to heart
29:57 | Sheep: embarrassed
30:23 | Aggressive Quack: there would be a free for all for a limited addition tee shirt
30:25 | imalittle cupcake: Wearing a shirt my daughter touched...
30:29 | TheCanti: I'll buy one t-shirt to wear on my chest, the other I will wear as pants. Maximum bear daughter advertising 
30:29 | Xayn: Inside-out shirt is a genius idea
30:31 | CantDood: mousepads confirmed lads
30:31 | Voltage: proud bear business women isn’t afraid of wearing merch, it shows confidence
30:53 | Zhnigo: @TheCanti wear a third one as a facemask
31:04 | Jackku Chan: Of course I would wear my picture
31:07 | thelastshinobi56: YES
31:09 | imalittle cupcake: That'd be an ugly shirt
31:10 | BasedBug: If I wear this shirt in work, I'll definitely get a promotion
31:11 | Rye Mountain: That would be very weird
31:12 | A A: YES
31:12 | Kaiser Kebab: Why not
31:13 | TheCanti: Smart move Smart move
31:13 | Jackku Chan: It would be really cool
31:14 | Rob G.: mmmmm imagine
31:16 | Nasty Yukari: Uhhh
31:16 | Aggressive Quack: Yes
31:19 | meat: she hates it
31:20 | Xayn: IMAGINE
31:21 | Sheep: nope
31:23 | MagariteIs NotButter: yes
31:26 | Ark K.: what?
31:26 | Einaer: Then we'd be the narcissists
31:29 | Monkberry Moon: Yes
31:35 | thelastshinobi56: giant Beatani on a T-shirt
31:55 | meat: cup with the doodle on it
31:57 | Ark K.: i want a big beatani face on my shirt
32:00 | O5060403: A "Yah!" design would be cute
32:04 | TheCanti: Yes, a mug for my morning coffee with my bear daughter on it.
32:08 | BasedBug: nuku-mug-ity
32:09 | meat: the shirt picture would be really cute on the cup
32:12 | hohoemikuma: yah
32:14 | Zhnigo: "#1 DAD" cup please
32:14 | Verijero: your face
32:15 | Ark K.: #1 Dad or something
32:17 | Fettuccine フェットチーネ: Yesss
32:22 | Nasty Yukari: Cup with a discrete clover as background?
32:23 | imalittle cupcake: I would stop hating mornings if I had a Beatani cup
32:24 | Hanabi: I don't drink coffee but I'm 100% buying a mug
32:25 | Verijero: smug bea face on the cup
32:26 | OverMagnet: Start your day with a big mug of Beatani!
32:29 | Verijero: with a clover
32:30 | Aggressive Quack: #1 dads
32:32 | MagariteIs NotButter: #1 dad
32:34 | BasedBug: #1 Dad, but replace the # with a clover
32:35 | Tachi: #1 Dad with Beatani drawing
32:37 | hohoemikuma: bear dad clover
32:44 | The French Fancie: hahahaha
32:50 | Sheep: sake in the morning
32:52 | Megiddo: lol that pun
32:53 | ノイド: ( ^^) _旦~~
32:59 | Kaiser Kebab: 🍀1 DAD
33:04 | meat: yes yes!
33:07 | meat: very very cute!
33:07 | TheCanti: Very nice
33:10 | The French Fancie: I really really like the shirt
33:10 | A A: Looks good.
33:16 | imalittle cupcake: Would buy
33:17 | Jackku Chan: It's still cute...
33:21 | Ark K.: that's cute too
33:22 | meat: i like it a lot on the cup
33:24 | Hanabi: if you're using a print-to-order site you could make the same design and use it on multiple objects
33:25 | Fettuccine フェットチーネ: Looks nice!
33:25 | Aggressive Quack: sold
33:27 | Eika: cute
33:34 | Dick Smith: very cute
33:35 | OverMagnet: Aaah cute...
33:38 | meat: maybe YAH on the back?
33:49 | Mister Eko: can we get a mug of monster dad? 
33:52 | Transcendental_ColonThree: patch badges are based
33:59 | stuffed idiot: A chibi beatani head saying "Yah!"
34:04 | TheCanti: Yah, with an excited bear daughter face on it
34:06 | Zhnigo: "#1 DAD" with beatani giving a thumbs up
34:10 | Ludd: a patch would be very nice
34:14 | Zhnigo: military patch, hell yes
34:17 | Transcendental_ColonThree: I'd definitely sew it to my hoodie or jacket
34:19 | skrong: I'd buy a patch
34:20 | Verijero: military pattern?
34:21 | imalittle cupcake: Beatani gives me more energy than coffee!
34:22 | Kemonomimi: Patches are based
34:24 | Aggressive Quack: gotta have a #1 dad on there
34:27 | MagariteIs NotButter: patch is nice too
34:33 | Zhnigo: but military patches are expensive unless produced in huge quantities
34:40 | max r: #1 dad reporting for duty
34:41 | O5060403: Patches are nice, but I prefer pins
34:44 | Zhnigo: I would absolutely buy a patch
34:44 | Voltage: patch would be cool on the back
35:19 | Ark K.: patch?
35:25 | Sjamsjam: I'm gonna put coffee in the nukumolitea cup!
35:28 | BasedBug: I'm loving all the talented dads out there
35:33 | james heller: Based kuma merch
36:01 | max r: lol
36:01 | BasedBug: TFB
36:05 | Nasty Yukari: That'd work
36:06 | max r: based
36:06 | Mister Eko: yab
36:08 | Transcendental_ColonThree: BASED
36:09 | Zhnigo: looks kinda silly
36:12 | Chloro [クロロ]: Based
36:13 | LordAziki: I love it!
36:14 | Fettuccine フェットチーネ: ooooh
36:18 | Aggressive Quack: BASED
36:19 | Kemonomimi: Peropero 
36:19 | james heller: Based!
36:19 | Verijero: nice
36:19 | A A: Make your own art for it. You have a distinct style.
36:20 | Ark K.: mega based
36:23 | Jackku Chan: Waifu strike force
36:26 | Monkberry Moon: Now that's one good mug
36:26 | Tachi: based
36:27 | Megiddo: definitely need his permission to sell something lik eit tho
36:27 | Jackku Chan: Very Otaku-vibe
36:30 | meat: i like the patch design but i like the drawin on the mug better
36:33 | Nasty Yukari: Just realized "TFB" can be read "Task Force Beatani" and "Too Fucking Based"
36:34 | meat: its cuter if you do yourself!
36:46 | Badilla: maybe change unlicked to peroperoed?
36:56 | meat: yes yes
37:12 | Rye Mountain: "no waifus left unlicked" is a little dangerous. Hard to explain to normie friend.
37:16 | The French Fancie: l-lewd
37:22 | Megiddo: but yes a mug design with a similar logo would be very cute
37:28 | Mister Eko: what about a mug that changes the drawing when it's heated? 
37:28 | Ark K.: i thought we are trying to hide the otaku level
37:35 | imalittle cupcake: I like the one on the left more 
37:36 | Aggressive Quack: this mug is for chads kek
37:36 | max r: why do you have normie friends? why are they looking at your mugs?
37:37 | meat: just logo no text?
37:43 | BasedBug: Well, if that's what it takes
37:48 | Hanabi: it's not like you're taking the mugs outside, no reason to hide your power level
37:59 | Jackku Chan: If they ask what it means just hit them with the mug
38:05 | Fettuccine フェットチーネ: Or text in japanese?
38:09 | A A: peropero is better than the word licked
38:21 | Oliver Meloche: I have normie friends 😞 
38:21 | O5060403: Many dads might be okay with you using their fanart for merch, but it's a legal minefield, it could become a big issue in the future.
38:21 | Jackku Chan: Ugly dads have no normie friends!
38:22 | Transcendental_ColonThree: she knows the truth
38:28 | Nasty Yukari: But there are normies at work ;-;
38:30 | Ark K.: wow, okay beatani
38:35 | Voltage: peropero instead of licked is a good idea
38:35 | Aggressive Quack: dw beartani will protect us from normies
38:37 | Tachi: Ah...
38:44 | Badilla: I want to use at work.
38:50 | Sjamsjam: Bea is my only friend, nobody will see it.
38:55 | BasedBug: I'll gladly show it to my boss
38:56 | Nasty Yukari: Gotta make dosh for daughter somehow
38:57 | RBZE7: "licked" sounds really gross in english
39:00 | james heller: im taking this mug to work i dont care
39:02 | meat: imagine being so ashamed of your daughter that you wouldnt take her mug out in public and use it as a refillable 
39:05 | The French Fancie: 😂😂😂😂😂😂😂
39:10 | max r: work from home gang 
39:12 | WeeabooSlime: cute and based mug design
39:18 | WeekendWarrior126: All present Dad's will proudly take this mug to work. 
39:23 | Voltage: if the writing around the patch was in japanese it would look cooler
39:28 | The French Fancie: based
39:31 | Ark K.: no normie friends
39:39 | MagariteIs NotButter: all my friends hide their powerlevels
39:46 | Steven Frati: Powerful peropero energy resonating from this stream!
39:48 | TheCanti: Bear daughter takeover plan
39:49 | Inaba: yeah I think japanese text would be better
39:59 | imalittle cupcake: Turning everyone into Beatani's dads...
40:00 | O5060403: But all my normie friends laugh at me when I mention anime...
40:03 | The French Fancie: o ya can you make the mug but write it in japanese please? then I don't have to explain it to my housemate!
40:09 | Aggressive Quack: soon beartani world domination
40:11 | Verijero: how do you turn a normie into an otaku
40:15 | Rye Mountain: Every normie shall become a dad i see
40:18 | RueTobas: oh damn im 40 minutes late
40:23 | BasedBug: Dads around the world!
40:26 | Zhnigo: that's a big word
40:31 | The French Fancie: proselethyse? I don't even know what that means hahaha....
40:40 | Nasty Yukari: Proselytize? Big person word
40:45 | WeekendWarrior126: You said it!!
40:47 | WeekendWarrior126: Good job!
40:47 | Badilla: convert?
40:57 | Nasty Yukari: Intellectual bear
40:57 | Hanabi: proselytize is a ten dollar word that basically just means "preach" 
41:01 | Megiddo: ah like a missionary
41:03 | Verijero: you want us to spread bea to our friends?
41:05 | TheCanti: Prioritize 
41:06 | Ark K.: wow, smart bear
41:08 | Rye Mountain: "convert" is the right word i think
41:17 | Nasty Yukari: We'll preach the word of Bea!
41:17 | Badilla: convert
41:19 | thelastshinobi56: Convert the normies
41:21 | meat: make normie into otaku 
41:29 | Sheep: english is hard
41:33 | imalittle cupcake: We'll have some pews in the church of Beatani 
41:33 | Aggressive Quack: convert the normies to dads
41:33 | Ark K.: convert normies into beatani's dads
41:35 | Rye Mountain: Convert the normies into dads
41:36 | Kemonomimi: Convert the normies into dads
41:41 | WeekendWarrior126: You want us to spread Beatani?
41:46 | TheCanti: Bear daughter on top of list
41:49 | OverMagnet: Preach the word of Beatani!
41:54 | Monkberry Moon: We'll spread your word Beatani
41:55 | Nasty Yukari: Evangelize about you
41:57 | Oliver Meloche: convert the nro;mies
41:58 | thelastshinobi56: New religion
41:59 | Nasty Yukari: OK, got it!
42:00 | O5060403: Beatani religion!
42:01 | Ark K.: oh preach
42:02 | ノイド: beatani cult
42:03 | BasedBug: Tell me about this new religion
42:06 | Ark K.: ok got it
42:14 | Nasty Yukari: Kek
42:14 | MagariteIs NotButter: beatani inquisition
42:17 | Voltage: preach is an easier word bear
42:18 | Jackku Chan: You like Anime? Ew...
42:20 | james heller: lol
42:22 | Einaer: Missionaries of the church of Kuma
42:22 | Theblekedet: I'm into this
42:23 | Zhnigo: laugh at them when they mention sports or cars or what do normies like
42:23 | Megiddo: that laughter
42:24 | max r: the part i can't believe is that this guy has friends.... 
42:25 | The French Fancie: otaku?
42:29 | Voltage: we already will 
42:30 | Rye Mountain: proselytize and evangelize are words most often used when making someone follow a religion
42:34 | TheCanti: DAUGHTER ARE YOU HANGING OUT WITH NORMIES?!
42:34 | Chloro [クロロ]: I don't have any friends.. sorry Beatani ;-;
42:36 | Nasty Yukari: tfw grew up getting bullied
42:38 | Tachi: I dont...
42:44 | thelastshinobi56: I play soccer with my normie friends
42:47 | Kemonomimi: Lol
42:48 | Nasty Yukari: Religion of Beatani!
42:48 | stuffed idiot: normie friends, it's not nice to lie to your daughter like that dad
42:51 | Sheep: I lost all my friends to society
42:54 | The French Fancie: lolololol okay
42:57 | O5060403: But I need to get along with normies at work
42:57 | imalittle cupcake: Only normie coworkers
43:01 | thelastshinobi56: 😀
43:03 | WeeabooSlime: i wish i had normie friends
43:05 | Verijero: anime is pretty mainstream nowadays
43:06 | Kofi: all my friends are normie friends 
43:07 | TheCanti: You're not allowed normie fans bear daughter
43:07 | james heller: Imagine having friends
43:07 | max r: X
43:25 | MagariteIs NotButter: i'm in uni, plenty of people to convert
43:26 | Fettuccine フェットチーネ: 😲 
43:31 | max r: so many liars in chat
43:35 | CantDood: get along =/ be frens
43:39 | Ark K.: i dont have any friends to proselytize though :(
43:52 | Rye Mountain: All my good friends are otaku but i have a few university friends that are normie
43:52 | RueTobas: EU friendly Beatani streams are great
43:52 | Hanabi: I don't gotta worry about my normie friends because I don't have friends to begin with
44:12 | OverMagnet: Eeh? Real Friends? How lame! Only normies have real friends. Kya ha ha ha ha.
44:12 | Steven Frati: conceptualize the capacity to maintain nonparasocial interaction and relationships
44:13 | Monkberry Moon: All my remaining friends share my powerlevel already
44:24 | Question Box: friends are gay
44:26 | thelastshinobi56: 😢
44:28 | Jackku Chan: Yah!
44:39 | max r: beatani is my daughterfriend, right? this is not a parasocial relationship
44:40 | stuffed idiot: don't need friends when you have beatani
44:41 | BasedBug: No?
44:41 | Sheep: sad
44:43 | skrong: i'll tell my normie friends i can't hang out with them anymore because a japanese anime bear vtuber told me so
44:45 | Monkberry Moon: Nah!
44:47 | Aggressive Quack: all my bros weight lift and talk about beartani
44:49 | Ark K.: no what?
44:53 | TheCanti: Ok ok! no normie friends, calm down bear daughter
44:59 | OverMagnet: LOL
45:08 | WeeabooSlime: beatani is my only friend now
45:11 | Dick Smith: No more normalfriends. Daughter has degreed
45:18 | BasedBug: I have told my normie friends I will not be their friend anymore, according to plan
45:20 | imalittle cupcake: It's okay as long as Beatani loves us
45:21 | 77Yuja_: you
45:27 | max r: normies don't say that they are normies
45:32 | Jackku Chan: All friends = Lost
45:38 | james heller: Beatani is the only friend I need
45:40 | Zhnigo: remove normies
45:42 | Nasty Yukari: That's what an otaku would say...
45:47 | The French Fancie: I have otaku internet friends if that counts
45:55 | Ark K.: turn all normies into dads
45:57 | thelastshinobi56: Picnic poster!!
45:59 | Jackku Chan: Next design!
46:18 | Fern: Cute bear mug
46:18 | WeeabooSlime: mugs are good merchandise
46:21 | Badilla: the picnic would make a great mousepad
46:38 | ThePlatinumCan: Hello Beatani~
46:39 | Ark K.: are we getting mousepad merch?
46:43 | imalittle cupcake: Picnic poster to hang up on my fridge!
46:49 | Kaiser Kebab: We need a ecchi poster
46:51 | O5060403: I still think cup coasters and enamel pins would be great.
46:56 | Proper Root: hat
47:03 | james heller: Yah
47:05 | Arcus crundelic: poster to put on fridge
47:07 | Megiddo: Having a finished picture of that picnic for a poster/wallscroll would be nice
47:09 | Fettuccine フェットチーネ: Definitely
47:12 | Verijero: 155 m poster
47:15 | Aggressive Quack: we could make big kuma the poster kek
47:23 | The French Fancie: for the left mug, you could make a version with text and one without text
47:24 | Nasty Yukari: Believe it!
47:42 | BasedBug: How else so I show all my friends my daughter?
47:43 | Kaiser Kebab: Huge lewd poster to hang on my wall
47:46 | Rob G.: Sweeeet Home Alabama~~
47:49 | WeekendWarrior126: no ecchi. forbidden. 
47:49 | Fettuccine フェットチーネ: Dads need to monitor your growth
47:50 | Verijero: perfect to put in on my roof when i lie on bed, amazing for gosling time
47:51 | The French Fancie: YES
47:57 | Voltage: lick ech poster of bear
48:01 | Ark K.: full body poster?
48:03 | james heller: Daughters are for making more daughters....
48:06 | The French Fancie: ECCHI ECCHI OKAY YES
48:22 | Kaiser Kebab: No
48:25 | Aggressive Quack: no
48:28 | Megiddo: no, too rare/hard to find
48:28 | VampirkoO: No
48:28 | Eika: no!
48:30 | Peer: I dont have any poster
48:30 | Kemonomimi: no
48:30 | Verijero: nop
48:32 | WeekendWarrior126: never. waiting for beatani poster.
48:32 | thelastshinobi56: No
48:32 | Sheep: nope
48:32 | james heller: No poster
48:32 | Ark K.: no
48:32 | ThePlatinumCan: No
48:33 | BasedBug: I only have posters of cool games
48:35 | stuffed idiot: No, too poor....
48:35 | Zhnigo: no posters yet
48:35 | MagariteIs NotButter: nah,
48:37 | Arcus crundelic: no
48:39 | dice: from eroge
48:39 | Dick Smith: nah, no posters
48:39 | Nasty Yukari: I have a couple of Touhou posters
48:39 | 77Yuja_: not yet
48:41 | imalittle cupcake: I have no posters...
48:41 | Rye Mountain: I have never bought vtuber or anime merch before. But I will buy the beatani merch
48:41 | Aggressive Quack: I got one of clint eastwood
48:42 | hohoemikuma: non
48:44 | OverMagnet: Not yet... Stuff is getting sent in June.
48:46 | Zhnigo: bea will be my first
48:46 | Megiddo: I have Lain, Hellsing, and Eva wallscrolls... in my closet somewhere
48:46 | Ark K.: i have no posters
48:47 | The French Fancie: haha yeah... 😳
48:48 | WeeabooSlime: no, too hard to find
48:52 | OverMagnet: Polka and Nene
48:54 | ThePlatinumCan: I have metal bands posters ww
49:00 | max r: the only vtuber merch i ever bought is the peko daki , but it didnt come yet,
49:02 | imalittle cupcake: I only have a painting of Eiffel tower
49:05 | Hanabi: my walls are barren outside of a calendar. actually that might be an idea, a calendar?
49:08 | Rob G.: no posters yet, i live in a new place
49:17 | hohoemikuma: i have ARIA and kemono friends 
49:17 | Proper Root: honey
49:20 | The French Fancie: not yet
49:30 | TWAIN: i have a sports team poster but it's stashed away
49:31 | RBZE7: I have a map of Oblivion and that's it lmao
49:38 | dice: and Liz and Aoi Tori
49:44 | Verijero: there is a judas priest poster but no anime
49:49 | hohoemikuma: awwww
49:53 | Sheep: woah
49:54 | Dick Smith: Beatani calendar would be very high value.
49:59 | Xayn: I have a poster of the paris subway system
50:07 | O5060403: @Hanabi a calander sounds nice
50:10 | hohoemikuma: neo venezia is beautiful
50:11 | ThePlatinumCan: Black Sabbath and 聖飢魔II posters
50:34 | BasedBug: That would be nice!
50:36 | Nasty Yukari: That'd work
50:37 | thelastshinobi56: Windows XP hill is copyrighted, better not
50:47 | imalittle cupcake: I like that poster idea
50:48 | Proper Root: tooth brush
51:22 | Nasty Yukari: @ThePlatinumCan Some of my death metal albums (Pestilence, Cenotaph) came with posters too, now that I remember
51:39 | BasedBug: Honestly a Windows XP poster would be really nice, I'd definitely buy that
51:57 | Ark K.: beatani standing in front of windows xp hills?
52:10 | Hanabi: as long as the hill is legally distinct it shouldn't be an issue I think
52:15 | hohoemikuma: yes!
52:15 | imalittle cupcake: I want it
52:16 | Proper Root: guitar picks
52:20 | O5060403: Beatani said she makes music, maybe a music cd would be nice in the future?
52:30 | Nasty Yukari: It would make sense if it was a wider poster, to show more of the hills?
52:31 | Chloro [クロロ]: 155 meter kuma
52:34 | Monkberry Moon: very cute
52:40 | Hanabi: I would buy a CD in a heartbeat
52:42 | Kaiser Kebab: We need a beatani in a swimsuit on a beach, looking at us. The sun is setting at the background.
52:46 | max r: 155 meter poster?
52:48 | Rye Mountain: 155 meter body pillow
52:50 | Nasty Yukari: I don't think a 155 meter poster would fit in my room...
52:50 | Cameron Clarke: vinyl when
52:52 | ThePlatinumCan: @Nasty Yukari Niice
52:52 | imalittle cupcake: Who needs the hills, zoom in on our daughter
52:56 | james heller: very nice drawings!
52:59 | Tachi: Very cute, I want it
53:04 | BasedBug: 155 meter, but scaled down
53:06 | O5060403: Vinyls come after the CDs
53:13 | hohoemikuma: big ruffles
53:15 | ThePlatinumCan: It'd be a great poster!
53:18 | Ark K.: beatani is good at drawing, damn.
53:21 | Cameron Clarke: CDs are dead
53:23 | Steven Frati: Not on beach. Beatani in bathing suit in middle of roaring river with salmon in mouth.
53:27 | Megiddo: 10 subs till 2000
53:28 | Zhnigo: erry noic
53:32 | Hanabi: I still use CDs...
53:32 | Sheep: that is very cute
53:37 | ユーネ / Yuune: kawaii
53:38 | thelastshinobi56: 10/10
53:41 | WeekendWarrior126: very good!
53:43 | hohoemikuma: adorable
53:43 | imalittle cupcake: Beatani in a summer dress with a hat! 
53:43 | Chloro [クロロ]: It's very cute
53:44 | Einaer: Looks nice
53:45 | Inaba: cute
53:45 | Nasty Yukari: It's cute!
53:47 | TheCanti: Very cute
53:47 | O5060403: CDs still have their use
53:48 | Ark K.: it's cute
53:50 | Dick Smith: very cute bear
53:54 | max r: salmon in mouth lol good one
53:54 | Badilla: Nice
53:55 | O5060403: Music tapes on the other hand...
53:56 | Fettuccine フェットチーネ: Nice
53:58 | OverMagnet: UOOOOOHH
53:58 | stuffed idiot: いいねー
53:59 | WeekendWarrior126: XP hill as far as you can get away if it is copywritten.
53:59 | Vitz: it's great
54:00 | ThePlatinumCan: Yes, would be really good!
54:02 | Sheep: pc wallpaper
54:02 | Inaba: maybe cover the hill in clovers so it's different?
54:12 | Megiddo: very cut,e I want
54:22 | Proper Root: phone cover it it hasn't been suggested
54:26 | TWAIN: it should be fine if the background doesn't look like the photo
54:26 | Verijero: yes!
54:27 | ユーネ / Yuune: 草
54:28 | TheCanti: I like that my daughter is having a good time in the meadows
54:35 | CantDood: gravure pls
54:36 | BasedBug: Uh oh
54:36 | imalittle cupcake: >she's actually making it
54:41 | Kaiser Kebab: in a swimsuit!
54:44 | WeekendWarrior126: please do not listen to pervert dads!!!
54:45 | Oliver Meloche: gross dad
54:55 | Sheep: lmao
54:58 | james heller: dad cant hold himself back
55:00 | Verijero: sweet home alabama
55:01 | TheCanti: Bad dads go to jail
55:03 | max r: dad....
55:06 | Megiddo: lol
55:11 | BasedBug: Telling us off about an ecchi poster while drawing one
55:13 | ユーネ / Yuune: dad is a pervert
55:14 | A A: Daughter is too cute sorry.
55:15 | stuffed idiot: beatani in a micro bikini
55:31 | dice: go to horny jail
55:32 | The French Fancie: UOOOOOOHHHH 😭😭😭😭😭
55:39 | Ark K.: ecchi poster?
55:40 | Rye Mountain: Having a ecchi poster of a loli is very very dangerous in most western countries
55:42 | TomHate: 😭
55:44 | thelastshinobi56: Neko Beatani?
55:47 | hohoemikuma: bea sounds worried but her hand is excited
55:50 | Zhnigo: these negging levels are becoming dangerous
55:50 | imalittle cupcake: D-daughter please...
55:53 | OverMagnet: Dads love Beatani! 😭
55:56 | Kyle: Too lewd
55:57 | Ark K.: i want school swimsuit bear
55:58 | Zhnigo: cute tail!
56:05 | Margrave: oh my....
56:05 | Steven Frati: Ecchi poster can be successfully defused with inclusion of salmon in mouth.
56:15 | Kaiser Kebab: UOOOHHHH 😭😭
56:16 | OverMagnet: 草
56:22 | Sheep: is that a k uma tail
56:22 | Chloro [クロロ]: kusa
56:22 | BasedBug: UUOOOOOHHHHHH
56:32 | 77Yuja_: my family will think of me differently
56:33 | CantDood: GO ON
56:33 | james heller: daughter approves
56:34 | Zhnigo: u-uooooh...
56:36 | WeekendWarrior126: much more clothes western not okay.
56:41 | Tachi: UUUOOHHHH
56:48 | skrong: imagine
56:50 | A A: I thought you didn't wear pantsu because of the tail?
56:54 | Steven Frati: Ecchi poster; the look in her eyes: betrayal. 
57:00 | TheCanti: Put on more clothes right now bear daughter
57:04 | imalittle cupcake: Poster with Beatani splashing in puddles of water!
57:16 | Fettuccine フェットチーネ: Which reminds me...
57:26 | ThePlatinumCan: Lewd...
57:29 | A A: Understandable.
57:29 | The French Fancie: I would buy it
57:30 | WeeabooSlime: i would buy 7 posters like that
57:31 | ユーネ / Yuune: gravure beatani
57:32 | TWAIN: family friendly bear
57:37 | Xayn: I will proudly bring this poster to work
57:40 | TheCanti: Put on pants daughter!
57:40 | WeekendWarrior126: lmao
57:43 | Orange Princess: beatani on xp hill poster
57:47 | max r: ban🔨
57:48 | CantDood: the eyes are the best part what tf u talking lad
57:57 | thelastshinobi56: crazy dad
58:02 | Ark K.: wait, beatani doesn't wear pants?
58:02 | O5060403: I will hang that poster in my office
58:06 | WeekendWarrior126: she did it Orange, last one.
58:06 | Hanabi: y'all dads need to go to horny jail
58:10 | O5060403: All the normies will be scared
58:16 | Alfa Ayed: this is... fun
58:16 | thelastshinobi56: it's just a drawing
58:19 | james heller: I am Neet dad...
58:19 | Peer: i wont lose my job lol
58:30 | Peer: at office we have lewd calendars from our vendor
58:36 | Steven Frati: For future consideration XP hill copyright claims need to be circumvented by transformative inclusion of clover.
58:38 | Peer: and noone said nothing
58:41 | TheCanti: Our daughter is very happy in the meadow, I shall buy it
58:41 | The French Fancie: haachama showed a lot more heheh...
58:42 | WeekendWarrior126: Can't lose what you don't have, am I right?
58:59 | thelastshinobi56: And look what happened to her
59:01 | Ark K.: sus
59:19 | hohoemikuma: sus
59:30 | Kemonomimi: l-lewd
59:39 | WeeabooSlime: it's ok, you're a 24 year old cute and funny bear
59:42 | Kaiser Kebab: Both
59:44 | TheCanti: Left
59:45 | Megiddo: left
59:45 | thelastshinobi56: both
59:46 | Chloro [クロロ]: Both!
59:47 | Ark K.: i want the cute and funny one
59:47 | Zhnigo: both! make it reversible
59:48 | Kyle: Left for me
59:49 | SpaceTalon: THE LEFT CUTE ONE
59:49 | Rye Mountain: Ecchi poster is too dangerous. Left side is better
59:49 | imalittle cupcake: I like left more 
59:50 | Jackku Chan: Left is cute
59:50 | ユーネ / Yuune: Hidari
59:50 | Nasty Yukari: Both!
59:52 | RBZE7: left
59:53 | WeekendWarrior126: left!
59:53 | TWAIN: all beatanis are cute
59:54 | OverMagnet: *pulls Beatani photo out of wallet* Have I shown you guys my daughter yet?
59:54 | david johnston: wholesome left poster
59:54 | CantDood: both
59:56 | Kaiser Kebab: Both
59:56 | Kemonomimi: left
59:58 | Hanabi: I want left but I know there's some that want right
59:58 | Steven Frati: Both
1:00:00 | gödel_simp: left
1:00:00 | james heller: Left one
1:00:01 | ユーネ / Yuune: Hidari
1:00:02 | BalosDefread: left
1:00:04 | Tachi: I like the left side more but both are cute....
1:00:04 | thelastshinobi56: Left
1:00:05 | A A: Left will probably sell more.
1:00:05 | hohoemikuma: left
1:00:05 | VampirkoO: Left
1:00:08 | Zaszz: left
1:00:08 | Kaiser Kebab: Right
1:00:08 | max r: left
1:00:10 | Alfa Ayed: bottom right, the moving one
1:00:10 | Xayn: Left
1:00:12 | MagariteIs NotButter: left
1:00:13 | SpaceTalon: left == cute
