-1:47:10 | (New member) Shippo: □
19:42 | (New member) Mastigos Wilkins: just imagine all the fun you could do with cute and funny
19:44 | (New member) ThatVidyaGuy: F
19:46 | No Body: wow extremely based
19:46 | Majical: no mercy
19:46 | Random 海外ニキ: insanly unfathomably based
19:53 | (New member) Shippo: :_sprdo:
19:54 | stuffed idiot: lead flavored meds?
19:54 | AtomicBanana 55: 🗿
19:54 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: □
19:54 | (New member) Zia: Understandable
19:59 | (New member) Zhnigo: humu humu
20:01 | Ansat: so if i ask you out you'll tell me to kms?
20:02 | (New member) Fake Name: 150% based
20:02 | Sheep: c-cold
20:03 | (New member) max r: you better be cute or funny, dad
20:05 | (New member) Theblekedet: effecient bear
20:12 | 犬柴葉くるみ: 初見なのじゃ
20:14 | 邪悪な狼: holy hell this is both verbal and emotional lynching
20:17 | (New member) CantDood: agreed, but remember it's not wasted if you're not enjoying it!
20:17 | Melon47: how pragmatic
20:24 | (New member) Margrave: This bear...
20:25 | Aggressive Quack: awwww
20:27 | (New member) Mastigos Wilkins: dad cuteness rating stream?
20:27 | (New member) imalittle cupcake: oh thank god
20:30 | (New member) BasedBug: And this is just the first question?
20:31 | (New member) The Flesh Is Weak: DYRBI:_sprdo:
20:35 | (New member) CantDood: hurr meant if you're enjoying it
20:36 | (New member) Mister Eko: Understandable, understandable, 
20:38 | No Body: Y-you too
20:41 | Dame Yen: overseas japanese bros
20:41 | Ark K.: listener chan is cute
20:41 | (New member) CommanderMichael: this bear....is one of a kind
20:50 | (New member) Ludd: risuna chan cute!!!
21:06 | Sheep: called out
21:07 | stuffed idiot: Beatani only has time for Listener-chan
21:14 | 犬柴葉くるみ: 日本なのじゃよーJACKからきたのじゃー
21:15 | (New member) ThatVidyaGuy: Brutally honest bear
21:16 | (New member) BasedBug: This has been very educational!
21:16 | (New member) Nasty Yukari: but you're japanese and we talk to you...
21:24 | (New member) RBZE7: boring dads BTFO
21:26 | (New member) Zia: Good thing we're all very interesting then
21:27 | (New member) CantDood: I don't understand what she's saying and I feel like she's bullying me
21:30 | Melon47: first time I've ever been called -chan
21:39 | (New member) Mister Eko: we made it, boys
21:42 | (New member) Theblekedet: :_kita:
21:42 | (New member) LassesAffar: CUTE
21:44 | stuffed idiot: hey that's me!
21:47 | (New member) RBZE7: Hey don't dox my picture onstream !
21:48 | (New member) ThePlatinumCan: Ahhhhh
21:48 | (New member) Matthew: Cute
21:50 | (New member) BasedBug: God..
21:51 | Sheep: cute!
21:52 | (New member) Fake Name: CUTE
21:55 | (New member) Simón: He is literally me
21:55 | (New member) max r: :_kita:
21:55 | (New member) ThePlatinumCan: :_kita:
21:56 | (New member) Shippo: whoa i'm cute
21:56 | (New member) Tachi: :_kita:
21:57 | Eric Muller: かわいい
21:57 | Ark K.: that's me
21:57 | (New member) Theblekedet: c-cute
21:57 | (New member) Nasty Yukari: where did you get that picture of me??
21:58 | (New member) Mister Eko: literally me
22:00 | D3bugged: so cute
22:00 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: NOT MY PHOTOGRAPH!
22:00 | (New member) Stray Wolf: cute
22:01 | (New member) The Flesh Is Weak: :_kita:
22:01 | (New member) Cave Johnson: CUTE
22:02 | (New member) Zhnigo: all her limbs are still attached, good
22:03 | (New member) LoneRanger25: :_sprdo: That's us!
22:03 | (New member) BasedBug: Is he interesting?
22:03 | (New member) Canna: A lot skinnier than I imagined 
22:05 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Ok it's fine
22:05 | (New member) Sneed Feed: is that a picture of me?
22:07 | Sombrero: Cutee
22:07 | (New member) Ludd: CUUUUUUTE
22:07 | Durbov: cute!
22:09 | (New member) anonEDM: So relatable 
22:10 | (New member) CantDood: where did you get my photo?
22:10 | AtomicBanana 55: Wow, we're adorable!
22:11 | (New member) skrong: that's me!
22:12 | (New member) Fake Name: Why are you sharing a picture of me
22:14 | (New member) BasedBug: @Zhnigo >her
22:14 | No Body: literally me
22:15 | (New member) Zia: I look good 
22:16 | (New member) gyroninja: Sooo close
22:16 | (New member) クラガリ葉月: Her?
22:17 | (New member) Mastigos Wilkins: wow, thats literally me
22:17 | (New member) Margrave: This went from a question stream to...this.
22:19 | (New member) Hanabi: how can you say she's your oshi if you haven't removed her limbs yet?
22:19 | (New member) ThatVidyaGuy: I prefer the homeless dad
22:21 | (New member) LoneRanger25: Bea wants to pero pero listener-chan
22:21 | quietly: im so cute
22:22 | (New member) ThePlatinumCan: I'm so cute!
22:24 | quietly: literally me
22:25 | stuffed idiot: It's true I'm pretty cute
22:25 | (New member) LassesAffar: Will you remove her limbs?
22:28 | (New member) Stray Wolf: >her
22:31 | Horror: eh?
22:33 | (New member) Mister Eko: Understandable
22:33 | Indago: huh?
22:34 | (New member) LoneRanger25: YAB
22:34 | (New member) Margrave: Yabe
22:34 | (New member) max r: UOOOHHHHH
22:35 | (New member) Shippo: wha
22:35 | (New member) hohoemikuma: w-wow
22:36 | Majical: huh
22:37 | (New member) Stray Wolf: she's canon female 
22:37 | (New member) Mastigos Wilkins: yabe
22:37 | Dame Yen: that's illegal
22:38 | Durbov: i see
22:38 | (New member) The Flesh Is Weak: boys can't get pregnant!
22:40 | (New member) Canna: You better not abandon us afterwards 
22:40 | (New member) Mayor Martin: huh?
22:41 | VerticalCloud: haha
22:41 | (New member) Matthew: i see...
22:41 | (New member) Mister Eko: My heart is still not ready tho
22:42 | Sheep: >she
22:42 | (New member) Karren Taleb: :_yah:
22:42 | (New member) Xayn: >Her
22:43 | (New member) Rye Mountain: The best picture of me that i have ever seen
22:43 | No Body: uh wait what
22:44 | (New member) Kofi: take me then?
22:46 | knull: Impregnated by who?
22:48 | (New member) Ludd: i look really cute in this picture, i want to pero pero
22:48 | (New member) Tachi: :_yah:
22:49 | Melon47: HUH
22:49 | (New member) skrong: sasuga beachama
22:50 | Theodore Kaczynski: Don’t cut off her limbs, Bea
22:51 | Mags Durandal: She is cute!
22:53 | Geister: finally I managed to catch funny bear stream
22:54 | (New member) Zyadarya: I approve 
22:55 | (New member) Margrave: Beatani you're not a man.
22:55 | (New member) LoneRanger25: 😭UOOOAAAHHH LISTENER EROTIC
22:56 | (New member) BasedBug: This is gross
23:00 | Ark K.: eh, since when am i married to beatani?
23:01 | (New member) Theblekedet: WHOA
23:02 | Ansat: I am very UUOOOOHHH
23:05 | (New member) CantDood: Bea calm down
23:05 | (New member) ThePlatinumCan: WHAT
23:05 | AtomicBanana 55: Eh?
23:07 | (New member) Shippo: how would that kid look like...?
23:09 | (New member) Mastigos Wilkins: hot unprotected sex
23:11 | (New member) Stray Wolf: YAB
23:13 | D3bugged: i agree
23:13 | AtomicBanana 55: Yabe
23:13 | (New member) クラガリ葉月: このエロクマ
23:16 | (New member) BasedBug: 🙌 CLEAN HANDS
23:16 | (New member) Canna: Made for big bear cuddling 
23:16 | Durbov: true passion
23:21 | Melon47: well, if you put your mind to it, anything is possible.
23:27 | (New member) The Flesh Is Weak: get bregnant b:_sprdo:
23:30 | (New member) Zhnigo: the audience reflects the streamer
23:31 | (New member) Mister Eko: Can I be my own oshi...
23:37 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Beatani wants children, Beatani Jr RTA?
23:40 | Voltage: hello bear!
23:46 | (New member) Zhnigo: prregante?
23:49 | No Body: it's no problem
23:50 | (New member) Moeniki: literally mw
23:52 | (New member) Nasty Yukari: kuma what are you doing behind our picture? stop stalling the questions...
23:54 | stuffed idiot: flawless logic
23:54 | (New member) billy joe【liar】: Remember to take responsibility
24:00 | (New member) Ludd: I'm also looking forward towards our marriage
24:02 | (New member) Zhnigo: gregnet
24:04 | (New member) Fluffy Fish: 🤔
24:08 | (New member) Margrave: 👀
24:10 | Ark K.: wait what?
24:11 | (New member) Tianfang's Adventures: I..mean
24:12 | stuffed idiot: we need a Beatani hand check
24:13 | (New member) BasedBug: Gotta lock her down, good move
24:13 | Majical: k
24:13 | (New member) RBZE7: the kumacock...
24:15 | Fumo Gaming: I see
24:16 | VerticalCloud: good logic 
24:16 | (New member) Tianfang's Adventures: fair
24:17 | (New member) Theblekedet: lmao
24:17 | (New member) Stray Wolf: pregante 
24:18 | illogikal: 🤔
24:19 | (New member) CantDood: interesting logic
24:19 | AtomicBanana 55: 👀
24:20 | (New member) Mastigos Wilkins: implying she wouldnt just pump and dump
24:20 | No Body: not true tbh
24:22 | (New member) Verijero: NTR hate
24:24 | (New member) The Flesh Is Weak: do you really beeleb it?
24:24 | (New member) Zhnigo: 20.000 iq
24:24 | eeo: oh, that's how it works..?
24:24 | Sheep: kek
24:24 | (New member) Megiddo: interesting...
24:24 | (New member) Mister Eko: Come on, Listener-chan is not like that
24:26 | FBI SURVALENCE: Chad move
24:29 | (New member) Rye Mountain: But you would not cheat on her right?
24:29 | (New member) hohoemikuma: huhhh
24:30 | (New member) Zhnigo: BEA NO
24:30 | (New member) Tachi: Clip it
24:30 | Project Seele: wha
24:30 | (New member) Megiddo: Futabea
24:30 | (New member) The Flesh Is Weak: :_sprdo:
24:30 | Melon47: theres a lot to take in here.
24:31 | (New member) billy joe【liar】: eh?
24:32 | stuffed idiot: うおおおお
24:32 | (New member) Mastigos Wilkins: she wants as many listeners pregnant as possible 
24:33 | (New member) Matthew: Ah?
24:34 | (New member) LoneRanger25: Futa bea LOVE
24:34 | (New member) Mister Eko: oh boy
24:34 | Sheep: what am I hearing
24:35 | AtomicBanana 55: Big yabai
24:35 | Indago: Ayaiyai....
24:36 | (New member) Tianfang's Adventures: wait no
24:36 | (New member) ThePlatinumCan: Okay...
24:36 | (New member) Fluffy Fish: You can have mine
24:36 | (New member) BasedBug: STOP
24:37 | Lodowa Wrozka: wat
24:37 | (New member) Moeniki: lewdddd
24:38 | (New member) LassesAffar: If you cut off her legs she can't run away either!
24:38 | (New member) Kyle: Beatani finds a way.
24:38 | (New member) max r: UHHHHHH
24:38 | (New member) Mister Eko: YOUTUBE NO
24:38 | (New member) The Pope: Sorry I'm late, I see I came in at a good time
24:38 | (New member) 77Yuja_: ??
24:39 | Melon47: CLIP IT
24:39 | (New member) Stray Wolf: wh? 
24:40 | Yamoyashi: HMMMM?
24:40 | (New member) Firstname Lastname: BEA...
24:41 | (New member) Verijero: danjyarasu
24:41 | (New member) Tianfang's Adventures: ehhh
24:41 | (New member) Tachi: CLIP IT :_sprdo:
24:42 | No Body: wait stop
24:42 | (New member) クラガリ葉月: 嘘
24:42 | Project Seele: I just joined the stream 👁👁
24:43 | knull: this bear
24:43 | (New member) ThatVidyaGuy: No
24:44 | (New member) Zia: About that...
24:45 | (New member) Theblekedet: nah
24:45 | (New member) Stray Wolf: clip it 
24:45 | (New member) Zhnigo: very danjyarasu
24:45 | (New member) Kofi: lets goo?
24:46 | (New member) hohoemikuma: calm down bear....
24:46 | (New member) ThePlatinumCan: Yab
24:48 | Melon47: PUT ME IN THE CLIP
24:49 | (New member) afroCAN: :_sprdo::_sprdo::_sprdo:
24:49 | (New member) CantDood: amazing
24:49 | Ark K.: oi oi oi
24:50 | (New member) Nasty Yukari: preggers
24:50 | (New member) gyroninja: youtube doesn't know japanese
24:51 | LadyCaitlin0429: BEA. BEA NO.
24:51 | (New member) Zyadarya: Futa bear :_kita:
24:52 | Ansat: i cant believe my daughter is so lewd
24:53 | (New member) Stray Wolf: danjyarasu 
24:54 | (New member) Theblekedet: it's only natural
24:55 | Yamoyashi: talk about dicks
24:55 | (New member) sleepypwns: Bea...
24:56 | Durbov: makes sense
24:58 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: It is educational
25:01 | (New member) ThatVidyaGuy: Its okay
25:01 | Question Box: whats going on
25:02 | (New member) Ludd: F-futa Beats I, s-sugoi
25:03 | Melon47: a bit yabe
25:04 | Woop Woop: no good beatani, no good!
25:04 | FBI SURVALENCE: yessssss......
25:05 | (New member) Zia: It's just part of the body
25:05 | (New member) 77Yuja_: YouTube only speaks English 
25:05 | Eric Muller: 草
25:05 | eeo: probably fine
25:06 | (New member) Fake Name: It's okay in Japanese
25:06 | (New member) Verijero: chinchin = kanpei
25:07 | Sheep: scaring all your friends bea lol
25:07 | (New member) Nasty Yukari: GET EQUIPED WITH: ochinchin
25:07 | (New member) max r: It's definitely OK 👍
25:07 | (New member) anonEDM: Don't tell Susan
25:08 | (New member) The Flesh Is Weak: benis in bagoo:_sprdo:
25:09 | Yamoyashi: yes
25:11 | (New member) フェットチーネ: maybe ok
25:12 | Yamoyashi: YES
25:13 | (New member) Mister Eko: yes no maybe?
25:14 | (New member) Theblekedet: it's okay
25:14 | (New member) Stray Wolf: it's okay 
25:16 | VerticalCloud: it's ok
25:16 | (New member) LassesAffar: yes
25:17 | (New member) Zhnigo: futa balls or no balls?
25:20 | (New member) billy joe【liar】: Youtube can't speak Japanese
25:23 | (New member) Canna: Nothing to worry about 
25:23 | (New member) skrong: i think it's fine
25:24 | (New member) Stray Wolf: I think... 
25:25 | (New member) Megiddo: it's not lewd, she just wants her viewers to be loyal to her so she wants to knock them up and make them unable to see any other vtuber
25:25 | (New member) CantDood: it's sex ed no worries
25:26 | FBI SURVALENCE: benis :D
25:26 | (New member) クラガリ葉月: Bea turned the innocent question into something lewd...
25:28 | Yamoyashi: かんぺき大丈夫
25:32 | quietly: OK
25:34 | Yamoyashi: very OKAY
25:36 | No Body: d-don't go too far..
25:41 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Just categorize the video as Educational
25:47 | (New member) BasedBug: Wow!
25:48 | FBI SURVALENCE: we need to go farther
25:49 | Melon47: weren't we talking about unrequited love earlier?
25:52 | Bertrum The God: おちんちん
25:56 | Ark K.: beatani, how do you plan to impregnate listener chan anyway? you don't have the tool
25:57 | (New member) Zhnigo: bea, you're scaring listener-chan
26:00 | Melon47: how did we get here
26:02 | stuffed idiot: Listener-chan should be careful around this bear
26:13 | (New member) Megiddo: That's why she said she needed ochinchin @Ark K. 
26:14 | quietly: can listener chan get pregnant if she takes her meds
26:18 | (New member) BasedBug: "If someone you don't know confesses their love to you" = "I will impregnate my viewers"
26:27 | (New member) Theblekedet: Bea stop hornyposting
26:28 | (New member) hohoemikuma: shitposter...
26:29 | (New member) Mister Eko: This was a very important topic
26:32 | (New member) ThePlatinumCan: lol
26:38 | (New member) The Pope: Today's stream is 100% yabeeee
26:39 | (New member) anonEDM: Anti NTR plan
26:42 | (New member) max r: today is when beatani confess her love to listener chan
26:43 | (New member) Zhnigo: humu humu
26:46 | (New member) CantDood: absolutely
26:48 | (New member) Fake Name: I'd be fine with that
26:49 | stuffed idiot: this is the impregnate your viewer stream
26:49 | (New member) LassesAffar: ok!
26:49 | AtomicBanana 55: Today's stream is getting banned RTA
26:58 | Melon47: hm well. forget prior plans, I guess
27:00 | (New member) Mister Eko: We need answers
27:01 | (New member) Canna: Today stream is brought to you by the letter F 
27:01 | VerticalCloud: it's good
27:07 | (New member) ThePlatinumCan: It is fine
27:08 | Ark K.: futanari bear?
27:18 | (New member) Lazm: I'm watching
27:21 | pakkanen: Good morning Betani
27:23 | (New member) Tianfang's Adventures: oh noo
27:24 | Melon47: from daughter bear to scary bear
27:27 | (New member) BasedBug: 2,720 dads have just been confessed to
27:30 | (New member) max r: :_sprdo:
27:32 | (New member) CantDood: her?
27:32 | (New member) Zhnigo: based cringe
27:35 | No Body: imagine a harem of listener-chans
27:35 | (New member) The Pope: We're all cringe
27:43 | (New member) Moeniki: We accept your confession
27:45 | (New member) Mister Eko: a little cringy...
27:45 | (New member) LoneRanger25: □ :_bea:
27:45 | (New member) Ludd: will listener chan's children be おとなしい?
27:49 | (New member) クラガリ葉月: うん。ずっとキモい
27:49 | stuffed idiot: Based bear going to get over 2000 listener-chans pregnant
27:52 | (New member) Matthew: Cringe.
27:53 | (New member) Karren Taleb: □
27:53 | Ark K.: beatani, your meds...
27:54 | (New member) CommanderMichael: cringemaster :_sprdo:
27:54 | (New member) ThePlatinumCan: 👀
27:55 | (New member) The Flesh Is Weak: 💊...
27:55 | (New member) Verijero: kuma is always based
27:57 | (New member) Tachi: Pififul bear
27:58 | (New member) billy joe【liar】: tabun cringe
28:00 | (New member) ThatVidyaGuy: Cringe dads, cringe bear
28:01 | (New member) BasedBug: CringeKusoKuma
28:01 | (New member) Tianfang's Adventures: Cringe or not you are best bear
28:02 | (New member) Zhnigo: BUDANARI :_sprdo:
28:06 | (New member) max r: 💊
28:07 | Melon47: I accept, but do not reciprocate your feelings
28:11 | (New member) Firstname Lastname: Bea...your meds...
28:11 | (New member) Moeniki: We are all cringe
28:16 | (New member) Zyadarya: Cute and funny not cringe 
28:16 | (New member) Canna: Cringe is your charm point 
28:19 | (New member) hohoemikuma: meds
28:20 | (New member) CommanderMichael: 💊 ⚕
28:21 | (New member) The Pope: Supah cringe otaku kuso bear:_kita:
28:21 | knull: You talked about impregnating her
28:22 | (New member) ThePlatinumCan: Beatani... meds...
28:22 | (New member) anonEDM: cringe kino
28:22 | (New member) Theblekedet: Post nut clarity
28:28 | Eric Muller: We are all pregnant
28:29 | (New member) The Flesh Is Weak: 💊:_sprdo:
28:33 | No Body: cringe and funny?
28:34 | (New member) Ludd: kusuri time bea
28:35 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Listener-chan could never hate Beatani!
28:44 | (New member) Mister Eko: The heart of Listener-chan is very fragile, you need to treat her with love
28:45 | (New member) Shippo: 💊:_sprdo:
28:50 | (New member) Cave Johnson: keep going...
28:54 | (New member) Tianfang's Adventures: :_sprdo: 
28:57 | (New member) Tianfang's Adventures: oh no
28:58 | (New member) Xayn: 薬:_sprdo:
29:02 | (New member) Megiddo: tskr
29:06 | (New member) CantDood: :_kita:
29:07 | (New member) Ekusupuroshon: Meds right now Bea!!!!!
29:09 | Melon47: Bea is unstable
29:10 | (New member) nona: take your meds!!!
29:11 | (New member) LoneRanger25: 💊 :_sprdo:
29:11 | Voltage: meds guma :DDDDD
29:12 | (New member) max r: :_kita:
29:14 | (New member) RBZE7: Bea ? Your meds ?
29:14 | (New member) Cave Johnson: MEDS
29:15 | Sheep: do your fit reps and try again
29:16 | (New member) Zhnigo: AWAY
29:18 | (New member) Stray Wolf: Beatani take your 薬
29:19 | (New member) hohoemikuma: 💊 :_sprdo: 
29:19 | (New member) Kofi: meds...
29:20 | (New member) Moeniki: TAKE KUSURI
29:21 | stuffed idiot: MEDS AWAY
29:22 | (New member) hohoemikuma: NOW
29:22 | (New member) gyroninja: □
29:22 | (New member) The Pope: KUSURI AWAY
29:23 | (New member) ThatVidyaGuy: BEA YOUR MEDS! NOW
29:24 | (New member) ThePlatinumCan: 草
29:25 | (New member) Matthew: 💊:_sprdo:
29:25 | (New member) The Flesh Is Weak: meds A W A Y
29:25 | (New member) CommanderMichael: ⚠ 💊 ⚠
29:28 | (New member) 77Yuja_: 警察助けて
29:29 | stuffed idiot: NO MEDS
29:30 | (New member) Zhnigo: will listener-chan disappear if you take your kusuri?
29:33 | (New member) Sol Codguy: AWAY
29:33 | (New member) CommanderMichael: AWAY
29:34 | (New member) CantDood: AWAY WITH YA VILE BEGGAR
29:34 | Melon47: 💊💊💊
29:34 | (New member) Stray Wolf: 薬 away
29:36 | (New member) Shippo: 💊:_sprdo:
29:37 | (New member) Tachi: No meds
29:38 | (Verified, Moderator) Streamlabs: PregnantListenerChan just tipped $2.00 dayo!
29:38 | (New member) ThatVidyaGuy: 💊:_sprdo:
29:39 | (New member) LoneRanger25: 草
29:39 | (New member) Lazm: ⛽fill me up Bea
29:39 | Hornet: no meds!!!
29:40 | (New member) Margrave: 💊 MEDS NOW
29:40 | No Body: you WILL take them
29:46 | (New member) Stray Wolf: lmao
29:47 | (New member) Theblekedet: heh
29:49 | (New member) Rye Mountain: No meds allowed anymore
29:49 | Eric Muller: 草
29:51 | D3bugged: 💊
29:53 | (New member) Hanabi: 💊💊💊
29:59 | (New member) Sol Codguy: Med-free zone
29:59 | (New member) ThePlatinumCan: Full shizo bear
30:03 | Voltage: we're still here right?
30:04 | (New member) Tianfang's Adventures: friend numbers?
30:09 | (New member) Stray Wolf: taskete kuroningen 
30:11 | (New member) Verijero: ahhhhh the listener chan- do you know listener chan?
30:12 | (New member) Megiddo: counting with Beatani
30:14 | (New member) CantDood: ???
30:18 | (New member) RueTobas: ah damn 30 mins late to the beatani stream
30:18 | (New member) クラガリ葉月: This is a great chance to slide into the next roulette question.
30:23 | pakkanen: 19 is not prime number
30:24 | (New member) max r: what are we doing ?
30:24 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Count Beatani
30:24 | (New member) BasedBug: how is (you)?
30:25 | AtomicBanana 55: ?????
30:25 | (New member) Ludd: 💊 AWAAAAAAAAAAY
30:26 | Melon47: wow, a jojo reference?
30:27 | (New member) nona: >
30:27 | (New member) Mister Eko: I know those numbers! They are numbers
30:29 | (New member) Shippo: :_nukutea:
30:34 | No Body: that's... an interesting way to calm down
30:36 | (New member) billy joe【liar】: 19 is prime...
30:37 | (New member) Tachi: Menhera moment
30:44 | (New member) Matthew: Beatani is good at counting!
30:44 | (New member) Mister Eko: The priest...
30:45 | (New member) Ekusupuroshon: 9 is the perfect number
30:47 | (New member) Fake Name: Are you okay Beatani
30:51 | Melon47: eh
30:51 | (New member) Matthew: :_bea::_bea:
30:51 | Majical: see ya
30:52 | (New member) Megiddo: of course 19 is prime lol
30:53 | (New member) hohoemikuma: ????
30:54 | (New member) Fake Name: EH
30:54 | stuffed idiot: RATE IT
30:55 | (New member) Shippo: uhhh, bea bea?
30:56 | (New member) Zhnigo: bea...
30:56 | (New member) CantDood: lmao
30:56 | (New member) Tachi: She's doing her reps
30:57 | (New member) LoneRanger25: :_bea: :_bea:
30:58 | (New member) Hanabi: :_bea::_bea:
30:58 | (New member) The Flesh Is Weak: :_bea::_bea:
30:58 | (New member) Moeniki: good bye 
30:58 | (New member) Verijero: beea... its only 9 am in japan to start drinking alcohol...
30:59 | (New member) ThatVidyaGuy: :_bea::_bea:
30:59 | (New member) Ludd: :_bea::_bea:
31:01 | (New member) Lamb San: :_sprdo::_sprdo:
31:01 | (New member) Theblekedet: :_bea::_bea:
31:02 | Eric Muller: 何？
31:03 | (New member) Moeniki: 10/10
31:03 | BearintheWoods: perfect stream 5/7
31:03 | (New member) Margrave: bea.........
31:04 | (New member) Stray Wolf: rate the stream 
31:04 | No Body: meds time?
31:09 | (New member) Matthew Caballero: :_sprdo::_sprdo::_sprdo:
31:09 | (New member) Megiddo: 17
31:09 | (New member) Mister Eko: ochinchi/10
31:10 | (New member) anonEDM: :_bea::_bea:
31:11 | Zwelltic: 9/9/9
31:12 | (New member) Tachi: 11/10
31:13 | Ark K.: rate the stream
31:14 | (New member) BasedBug: These past few streams have been real adventures
31:14 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: 👋🏻👋🏻👋🏻
31:16 | Melon47: this is... something.
31:17 | (New member) Sol Codguy: steamy/stream
31:21 | stuffed idiot: mpreg/10
31:22 | (New member) Zhnigo: >1 dislike
31:22 | (New member) nona: she's counting all the meds she needs to take
31:23 | (New member) sleepypwns: 11/10
31:25 | (New member) Moeniki: your reps...
31:27 | (New member) max r: reps/10
31:28 | Voltage: ratee???!!
31:28 | (New member) CommanderMichael: FAQing brain
31:28 | AtomicBanana 55: kusa
31:29 | Melon47: she's getting less and less stable
31:29 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: □/10
31:30 | (New member) gyroninja: :_bea::_bea:7 is prime / 10
31:31 | Eric Muller: 草
31:31 | (New member) Kofi:  fucking brain
31:32 | (New member) The Flesh Is Weak: blain:_sprdo:
31:33 | (New member) Shippo: □???
31:36 | (New member) anonEDM: :_nukutea:/10
31:36 | (New member) Xayn: blain is bwoken
31:37 | (New member) Firstname Lastname: blain bwoken
31:39 | (New member) CantDood: this is an otherworldly experience I'm glad to have the chance to experience it with all of you
31:40 | (New member) CommanderMichael: >what is prime numbers
31:41 | (New member) Cave Johnson: Antipsycotic/10
31:42 | (New member) Zhnigo: is this a jojo reference
31:43 | (New member) Stray Wolf: >>>
31:45 | Voltage: meds/10
31:45 | (New member) CommanderMichael: beatani....
31:49 | (New member) CantDood: love <3
31:51 | Eric Muller: がんばって
31:53 | (New member) Megiddo: that moan...
31:57 | (New member) ThatVidyaGuy: I was not expecting this today.
31:58 | stuffed idiot: head is for thinking about listener-chan only
32:02 | (New member) hohoemikuma: mindbreak?
32:05 | Theodore Kaczynski: Beatani mommy
32:06 | Herbie Cucumber: THE NUMBERS
32:07 | No Body: prime numbers rap let's go?
32:07 | BearintheWoods: 69 is prime number
32:09 | (New member) Verijero: bea is doing her algebra reps while streaming!
32:11 | (New member) Rye Mountain: Oh no, not the meds
32:11 | (New member) Hikimouto: don't take the meds
32:12 | (New member) The Flesh Is Weak: 💊 dozo
32:13 | (New member) BasedBug: Take your meds, wash your hands!
32:15 | (New member) 77Yuja_: Meds are not necessary 
32:16 | (New member) LoneRanger25: 薬 :_sprdo:
32:19 | (New member) Moeniki: NO NOT THE MEDS
32:19 | (New member) CommanderMichael: DA NUMBERS MASON
32:20 | (New member) Firstname Lastname: MEDS AWAY
32:22 | *$5.00* Lazm: 🐻‍❄️⛽➡️👨➡️👶
32:22 | Hououin Kyouma: Eat the bugs
32:23 | (New member) Matthew: 💊
32:24 | (New member) Mister Eko: GOOD BEAR
32:25 | (New member) Xayn: We're going to disappear....
32:25 | (New member) max r: ITS THE MEDS NOOOO
32:25 | (New member) Moeniki: We're going to disappear 
32:26 | (New member) Canna: We're fading away 
32:27 | (New member) CantDood: NOOOO
32:28 | (New member) Mister Eko: SHE'S TAKING THEM
32:30 | (New member) LoneRanger25: WE'LL GO AWAY IF YOU TAKE THEM NOOOOOOOOO
32:31 | Ark K.: wait, beatani too much meds is bad for you.
32:32 | (New member) Theblekedet: This schizo stream is too early for me
32:33 | (New member) RBZE7: DADS I'M FADING AWAY
32:35 | Melon47: BEGONE, PSYCHOSIS
32:36 | (New member) BasedBug: I'M FADIIIIIING
32:36 | (New member) Karren Taleb: meds
32:37 | (New member) nona: goodbye...
32:37 | D3bugged: oh no
32:37 | (New member) Mister Eko: EVERYONE LEARN FROM HER
32:38 | (New member) skrong: I'm fading away...
32:38 | (New member) Verijero: dissapearmind...
32:38 | Jarrels: I don't feel so good.
32:39 | (New member) Stray Wolf: all is tumbling down 
32:41 | (New member) Nero: Dads, what did I walk into?
32:44 | (New member) ThatVidyaGuy: I'
32:44 | (New member) CantDood: "it's all on your mind..."
32:44 | No Body: wait what's going o-
32:45 | (New member) ThePlatinumCan: Not all at once tho:_sprdo:
32:46 | (New member) BasedBug: UUUOOOOOOOOOOOOOOHHHH
32:46 | (New member) Tachi: Listener-chan will disappear
32:46 | (New member) Mister Eko: This is for the best...
32:47 | (New member) Ekusupuroshon: I DON'T WANT TO GO
32:47 | (New member) Theblekedet: It's bewn fun dads
32:50 | Voltage: is it the meds, are they making her crazy?
32:51 | (New member) hohoemikuma: tumbling down
32:52 | (New member) ThatVidyaGuy: I'm fading away dads
32:54 | (New member) Moeniki: Goodbye dads...It was nice being with you all
32:55 | (New member) gyroninja: :_sprdo::_sprdo::_sprdo:
32:59 | (Verified, Moderator) Streamlabs: Lazm just superchatted $5.00!
32:59 | Lodowa Wrozka: r̴e̸m̶e̵m̸b̴e̴r̶ ̸m̷e̸
33:00 | Melon47: mata neeeeeee
33:00 | (New member) クラガリ葉月: Big F
33:01 | AtomicBanana 55: Beatani I don't feel so good...
33:04 | (New member) Matthew: :_oha::_dayo:
33:06 | (New member) BasedBug: Are we alive?
33:07 | (New member) imalittle cupcake: Ohadayo!
33:07 | (New member) The Flesh Is Weak: :_oha::_dayo:
33:07 | (New member) Theblekedet: :_oha::_dayo:□:_bea:
