-3:18 | (New member) LassesAffar: 30????
30:42 | (New member) Jackku Chan: But re-heating eggs or eating cold eggs is meh.
30:42 | (New member) Mister Eko: healthy!
30:44 | sleepy: cinnamon on apple
30:48 | (New member) Ark K.: is that the sand cats poop on?
30:48 | (New member) Zeng: where is the banana
30:49 | (New member) BasedBug: Looking good!
30:49 | Sheep: very nice
30:50 | (New member) anonEDM: is that cinnamon on top?
30:50 | (New member) Rye Mountain: apples with cinnamon is great
30:50 | (New member) ThatVidyaGuy: cinnamon and apple 
30:50 | (New member) max r: apple cinnamon ?
30:50 | SpaceTalon: is that cinnamon on top?
30:56 | (New member) Jackku Chan: Apple cinnamon oatmeal is really based
30:59 | (New member) TheTarkus: apple cinnamon rolled oats
30:59 | cycochaos2: that's a lot of cinnamon
31:02 | Denied: 0 banana/10
31:13 | sleepy: too much cinnamon 
31:16 | (New member) The Flesh Is Weak: :_sprdo:
31:17 | (New member) Jackku Chan: Nah that's just the right amount
31:18 | (New member) ThePlatinumCan: Pretty good
31:19 | (New member) Firstname Lastname: slurp
31:20 | (New member) Ekusupuroshon: slurp
31:20 | (New member) Tachi: :_sprdo:
31:23 | (New member) TheTarkus: :_yab:
31:25 | (New member) Ekusupuroshon: slurp slurp
31:25 | (New member) BasedBug: Caterpillar Approved
31:27 | (New member) Jackku Chan: Try making cinnamon apple pie, fucking great.
31:30 | (New member) Mastigos Wilkins: oatmeal with water 
31:36 | (New member) Antonio Badilla: apples>banana
31:36 | (New member) Kazoo: no milk, just water
31:37 | (New member) Ark K.: cringe
31:38 | (New member) ユーネ: banana:_away:
31:40 | (New member) Ekusupuroshon: BANANA:_away:
31:41 | (New member) Silverion: I hope someone submitted just a bunch of bananas
31:41 | (New member) Firstname Lastname: It's not looking good for us, banana bros...
31:41 | (New member) Rye Mountain: Banana HATE
31:47 | (New member) Shippo: nice
31:47 | (New member) Stray Wolf: the final cereal? 
31:47 | (New member) Zhnigo: what is this chimera
31:48 | (New member) Sleep: that looks pretty good
31:50 | (New member) CantDood: what is that in the right
31:56 | (New member) BasedBug: These cereals all looked good, you dads are healthier than I am
31:58 | (New member) Mister Eko: that's A LOT of milk
31:59 | (New member) Lazm: EU Bro Breakfast
31:59 | (New member) Ark K.: what is that?
32:01 | sleepy: looks like Milo 
32:02 | cristy: honey
32:09 | (New member) ユーネ: yurobro...
32:14 | (New member) Andrew: eu bros what does it say?
32:14 | (New member) Rye Mountain: German dad
32:21 | bejad007: smoll...
32:23 | (New member) Mastigos Wilkins: >germans
32:25 | (New member) Ekusupuroshon: Smol smol dad dish...
32:30 | (New member) Jackku Chan: Also I hope to god that you dads drinking milk are drinking full milk and not fat-free milk as skim milk is way unhealthier.
32:33 | SpaceTalon: small in sized but high in energy 😆
32:33 | (New member) Suukotto Funsha: the cereal is drowning
32:33 | (New member) Canna: Bowl size reps....
32:33 | (New member) ThePlatinumCan: Smol bowl
32:36 | (New member) anonEDM: kraut dad
32:37 | Sheep: too much milk maybe
32:37 | (New member) Mechanized Doge: 平気だよ
32:37 | cristy: looks a little gross ngl..
32:39 | (New member) Mister Eko: enhance
32:41 | (New member) Shippo: big dads eat a lot
32:44 | (New member) Rye Mountain: Oatmeal flakes and flowerhoney it says
32:45 | (New member) Steven Frati: Dad trying to show off his vigorous appetite... 
32:45 | (New member) gyroninja: Enhance
32:51 | yes: yab
32:52 | (New member) Zhnigo: engage the BIO7 initiative
32:52 | (New member) Kazoo: very efficient German breakfast
32:52 | eeo: just gotta eat carefully
32:57 | (New member) Jackku Chan: Eat big get big
32:59 | (New member) max r: haferflocken
33:00 | (New member) ユーネ: enhance
33:01 | (New member) Antonio Badilla: milk and oatmeal, ngmi
33:06 | (New member) Mister Eko: eurobros need all the strength necessary, milk is important!
33:12 | (New member) Ark K.: do germans really?
33:12 | (New member) Sleep: looks very hearty
33:14 | (New member) BasedBug: Well done CerealDads
33:17 | (New member) ユーネ: MILK LOVE
33:18 | (New member) Mechanized Doge: 男と言うのはいっぱいだべるよ
33:22 | (New member) Jackku Chan: Women like men with healthy appetites, don't worry big eater dads.
33:32 | (New member) Voltage: hokkaido milk
33:35 | (New member) Kazoo: eat your flokken dear
33:37 | (New member) Mechanized Doge: こいつドイツ人らしいね、リスナーさんが言っている
33:42 | (New member) Ekusupuroshon: 6 poor dads...
33:44 | sleepy: so many oatmeals
33:48 | (New member) BasedBug: I was worried most breakfasts would be cereal
33:48 | (New member) Moeniki: Cereal is for kids...:_listener:
33:49 | (New member) Hanabi: I think most of us cereal dads were too shy to send anything
33:51 | (New member) Mister Eko: ...the one with butter shouldn't count as cereal...
33:54 | bejad007: you sounds disappointed
33:57 | (New member) nona: Cereal is gross
33:57 | (New member) Voltage: how many bananaasssss
34:00 | (New member) ユーネ: I eat cereal for dinner
34:04 | (New member) Zia: Cereals are like emotes
34:04 | (New member) Ark K.: i thought cereal was not allowed
34:10 | (New member) Andrew: cereal :_away:
34:11 | (New member) The Flesh Is Weak: the rest bought the breakfast:_sprdo:
34:12 | cristy: oatmeal is great though
34:14 | stuffed idiot: he likes to live dangerously
34:16 | Sheep: just drink the milk
34:19 | (New member) Sleep: beatani, you arent supposed to move the bowl
34:19 | (New member) BasedBug: Oatmeal love
34:20 | (New member) Zhnigo: we need to parse the big data
34:23 | Denied: pancake?
34:23 | (New member) Firstname Lastname: lol
34:23 | (New member) ThePlatinumCan: Cereal :_away:
34:24 | (New member) Ekusupuroshon: Pankeki???
34:25 | (New member) Mechanized Doge: イエーイ
34:26 | (New member) Mister Eko: CUTE
34:26 | (New member) BasedBug: HOLY SYRUP
34:27 | (New member) Zeng: cute pancake
34:27 | (New member) ThatVidyaGuy: lol
34:29 | (New member) Theblekedet: :_uooooohh::_uooooohh::_uooooohh::_uooooohh:
34:31 | (New member) Ark K.: :_sprdo:
34:31 | (New member) The Flesh Is Weak: :_chihiro:
34:31 | (New member) Kazoo: cold pizza
34:33 | TheHighestNativeGod: CUTE AND YUMMY
34:33 | (New member) Zhnigo: lifelike
34:33 | (New member) Ekusupuroshon: PANKEKI IS DESSERT
34:34 | (New member) ThePlatinumCan: Hahaha, pretty cute
34:34 | (New member) david johnston: oh my sides
34:34 | SpaceTalon: 😆
34:35 | (New member) Shippo: 🥞:_love:
34:35 | (New member) Momiji Channel: CUTE
34:35 | (New member) Rye Mountain: Does not look healthy at all
34:35 | (New member) ユーネ: かわいい
34:35 | (New member) Sleep: my god its drenched
34:37 | (New member) Zia: I mean it looks tasty
34:37 | (New member) CantDood: cute
34:37 | (New member) Silverion: drowned pancake...
34:38 | (New member) Herbie Cucumber: >:D
34:39 | (New member) Margrave: lol
34:40 | sleepy: bea face on the pankek
34:41 | (New member) Mechanized Doge: クリームパイ
34:42 | (New member) Suukotto Funsha: it's cute
34:42 | bejad007: hellspawn, kill it with fire
34:43 | Sheep: lmao
34:44 | (New member) max r: very sweet
34:44 | (New member) LassesAffar: heart attack!!
34:44 | cristy: too much syrup but cute face!!
34:45 | (New member) Ark K.: is that supposed to be beatani?
34:47 | sleepy: cute and tasty
34:47 | (New member) Firstname Lastname: cute and funny pancake
34:47 | (New member) ユーネ: cream...
34:48 | (New member) The Flesh Is Weak: only one?
34:51 | (New member) BasedBug: Have some decency with the syrup!
34:51 | (New member) Rye Mountain: Do north americans really?
34:51 | (New member) ThatVidyaGuy: So much syrup
34:52 | (New member) anonEDM: so much syrup
34:54 | (New member) Jackku Chan: The sugar contents...
34:55 | (New member) Margrave: Is that peanut butter?
34:56 | (New member) Mister Eko: :_yab:
34:56 | (New member) Ekusupuroshon: Cream?
34:57 | (New member) Moeniki: creampie
35:02 | (New member) Jackku Chan: Get the insulin shots
35:03 | (New member) ThePlatinumCan: Unhealthy/10
35:03 | (New member) max r: that's a lot of syrup and a lot of cream just for 1 pancake
35:03 | (New member) Mechanized Doge: 冗談です、草
35:03 | (New member) TheTarkus: :_yab:
35:06 | (New member) ユーネ: cream dad
35:08 | casty: dessert for breakfast
35:08 | (New member) Ekusupuroshon: Do American dads really??
35:08 | (New member) nona: Do Americans really?
35:11 | (New member) BasedBug: I love it but I hate it
35:14 | (New member) Jackku Chan: Creampie compilation tier
35:15 | Denied: Drowned in syrup
35:16 | (New member) max r: creampie face
35:16 | (New member) Firstname Lastname: :_yab:
35:16 | (New member) Ark K.: :_yab:
35:18 | (New member) Luginov: :_yab:
35:18 | (New member) ユーネ: cream face is based
35:18 | (New member) anonEDM: that's clearly drowning in syrup
35:19 | (New member) Ekusupuroshon: Oi:_yab::_yab::_yab:
35:19 | (New member) ThatVidyaGuy: creampie pancake
35:19 | (New member) Mechanized Doge: デブリスナーさん！！！
35:19 | (New member) Sleep: CREAMPIE LETS GO
35:21 | Sheep: syrup and cream
35:22 | (New member) Margrave: Syrup, cream, and peanut butter?
35:22 | (New member) OverMagnet: ❤️
35:23 | (New member) XenMaster220: \:_yab:
35:25 | (New member) Peer: :_yab:
35:25 | (New member) Moeniki: :_yab:
35:26 | (New member) Silverion: :_yab:
35:26 | (New member) Margrave: :_yab:
35:27 | (New member) Mister Eko: your cream pie reps...
35:28 | Question Box: yeb
35:29 | (New member) ユーネ: :_uooooohh:
35:30 | (New member) Momiji Channel: is that peanut butter on it too?
35:30 | (New member) Einaer: :_yab:
35:30 | (New member) Zhnigo: beatani kurimupai...
35:31 | (New member) Shippo: :_yab:
35:31 | (New member) ThePlatinumCan: :_yab:
35:33 | (New member) Theblekedet: :_yab:
35:33 | (New member) BasedBug: Fantastic
35:34 | (New member) anonEDM: :_yab:
35:34 | (New member) ThatVidyaGuy: :_yab:
35:34 | (New member) david johnston: :_yab::_uooooohh:
35:41 | (New member) Mister Eko: oh no
35:43 | (New member) Silverion: LET'S GOOOOOOOOO
35:47 | (New member) Ekusupuroshon: I saw that one ...
35:47 | (New member) Ark K.: kek
35:47 | (New member) Raziel: :_sprdo:
35:47 | (New member) BasedBug: Bologna-san..
35:48 | (New member) Mister Eko: what is that on the left
35:49 | (New member) Moeniki: Is that bologna??? 
35:52 | (New member) Firstname Lastname: HE
35:52 | (New member) Tachi: lol
35:54 | (New member) OverMagnet: She knows...
35:55 | (New member) Ludd: eastern yuro dad.....
35:55 | (New member) ユーネ: slav bro...
35:55 | (New member) max r: is that bologna? the glass of milk is so big.
35:56 | (New member) Peer: сметанка
35:58 | (New member) TheTarkus: >he
35:58 | (New member) Theblekedet: slavdad
36:00 | (New member) A A: Bologna is disgusting.
36:02 | TheHighestNativeGod: lmao
36:03 | (New member) Rye Mountain: Dr sausage is based
36:04 | Sheep: based
36:04 | (New member) gyroninja: .
36:04 | (New member) Sleep: bologdad..
36:04 | (New member) anonEDM: >he
36:06 | (New member) LassesAffar: smetana-dad...
36:08 | (New member) Ekusupuroshon: what's that phone kek.
36:08 | stuffed idiot: based
36:09 | (New member) BasedBug: Based BolognaDad
36:10 | (New member) Andrew: bologna bros.... that shit looookin sus
36:12 | (New member) Tianfang's Adventures: Im scared
36:17 | (New member) XenMaster220: Thst's a good stream:_lightstick::_lightstick:
36:17 | sleepy: feels slav man
36:18 | (New member) Jackku Chan: Wow is that Kumagai Chisato the Independent V-Tuber!?
36:19 | (New member) Rye Mountain: it's doctor sausage, not bologna, i think
36:20 | Denied: based dad
36:20 | Cringe Broker: archivechads
36:21 | (New member) ThePlatinumCan: Rigged!
36:22 | (New member) Margrave: lol
36:23 | (New member) Ludd: based kolbasa dad
36:24 | (New member) max r: +10
36:26 | (New member) Mechanized Doge: OH NO NO HE'S GOING TO WIN DADS
36:28 | (New member) Zia: That's cheating..
36:31 | sleepy: oh that's a crepe
36:32 | (New member) Mister Eko: dad...
36:33 | (New member) Ark K.: left side is suspicious
36:33 | (New member) ThatVidyaGuy: Bologna?
36:36 | (New member) Margrave: Wait...
36:39 | (New member) BasedBug: I.. I have no choice but to kneel
36:40 | (New member) max r: this is a weird breakfast...
36:40 | darukaru: Very strong
36:41 | (New member) Moeniki: Bologna 
36:41 | cycochaos2: bribes work
36:41 | (New member) Mastigos Wilkins: pork
36:41 | (New member) Sleep: bologna
36:41 | (New member) Nasty Yukari: I think that was a huawei
36:42 | Denied: bologna?
36:42 | (New member) Antonio Badilla: that milk looks thick
36:42 | (New member) Ekusupuroshon: Sausage?
36:44 | (New member) Jackku Chan: Is that Smetana?
36:44 | (New member) TheTarkus: is that kefir?
36:45 | sleepy: bologna 
36:46 | (New member) Herbie Cucumber: bologna maybe
36:47 | (New member) Mechanized Doge: なんちゃらハム？
36:47 | (New member) ユーネ: Smetana LOVE
36:47 | (New member) Zhnigo: kolbasa, a type of sausage to put on sandwich
36:47 | (New member) Jackku Chan: Fuckin' great
36:47 | (New member) Kazoo: look like they eat 2 packs of pink blush
36:47 | (New member) Idle Bear: Looks like bologna
36:49 | Börk Börk: That's nto yoghurt thats some russian smetana
36:49 | (New member) Lodowa Wrozka: mortadela
36:50 | Sheep: never seen anything like that before
36:50 | (New member) Rye Mountain: It's a kind of sausage made from beef and pork
36:51 | (New member) BasedBug: Bologna
36:51 | SpaceTalon: bread with 2 lices of ham
36:52 | bejad007: pepperoni, but bigger
36:52 | (New member) Firstname Lastname: bologna...
36:53 | SpaceTalon: slices
36:53 | (New member) Margrave: Russian dad....
36:53 | (New member) Steven Frati: bologna dads appeal to vanity was super successful 
36:54 | (New member) sleepypwns: meat
36:54 | (New member) Moeniki: Bologna:_away:
36:55 | dice: колбаса
36:55 | (New member) anonEDM: bologna
36:56 | cycochaos2: bologna
36:58 | minus INT [マイナスイント]: Extreme budget sausage
36:58 | (New member) Voltage: :_love::_love::_love::_yah:
36:59 | パナナナダ: suspicious ham
37:00 | (New member) Antonio Badilla: mortadela
37:01 | (New member) gyroninja: Canadian bacon
37:04 | (New member) max r: this is a processed lunch meat
37:04 | (New member) Mastigos Wilkins: slapenka
37:04 | (New member) ユーネ: kolbasa
37:10 | (New member) Zhnigo: колбасятина
37:10 | (New member) Peer: докторская...
37:12 | Denied: mystery meat
37:12 | (New member) anonEDM: discount sausage
37:19 | (New member) Margrave: Low grade sliced meat 
37:20 | (New member) Jackku Chan: It's just some rye bread and sausage.
37:21 | (New member) BasedBug: I gotta say, that's a good looking pancake
37:25 | (New member) ユーネ: eastern euro sausage
37:25 | dice: да
37:26 | (New member) The Flesh Is Weak: surprise meat
37:27 | (New member) Raziel: doctor's sausage?
37:27 | (New member) 77Yuja_: inmate dad....
37:27 | (New member) Rye Mountain: Doctor's sausage
37:27 | (New member) Kazoo: at least fry the Bologna
37:31 | (New member) OverMagnet: blini and sour cream
37:32 | (New member) max r: kielbasa?
37:34 | Sheep: blyat
37:34 | cristy: great pancake
37:34 | SpaceTalon: kiełbasa?
37:36 | (New member) CantDood: yea it looks good
37:36 | (New member) Stray Wolf: No
37:37 | Börk Börk: Docotr's sausage, it's for poor slavs
37:38 | (New member) ThePlatinumCan: Kielbasa?
37:38 | (New member) anonEDM: kielbasa
37:38 | (New member) Mister Eko: ah, yes, my favorite breakfast... pancake with sausage....
37:39 | sleepy: kielbasa?
37:40 | (New member) Jackku Chan: Kurwa san
37:40 | InubaSHIRI Momiji: suddenly Russiabros
37:43 | cycochaos2: kielbasa?
37:43 | sleepy: it's polish i thought
37:43 | (New member) Shippo: kiełbasa
37:45 | Denied: thats more like a crepe right?
37:46 | SpaceTalon: kiełbasa == VERY BASED
37:54 | (New member) Randel Shurker: That's doctor's sausage.
37:55 | (New member) BasedBug: Kielbasa is tasty
37:56 | (New member) TheTarkus: it was kefir :_pain:
38:00 | (New member) Rye Mountain: Rye bread? BASED
38:02 | (New member) Ekusupuroshon: Is that black thing bread??
38:02 | (New member) Canna: Prison break arc incoming 
38:03 | (New member) ユーネ: Doktorskaya kolbasa
38:05 | (New member) OverMagnet: Russian bro?
38:05 | (New member) Randel Shurker: I know that this dad is Capitalist spy!
38:05 | (New member) Firstname Lastname: huh
38:06 | (New member) Lodowa Wrozka: that is bologna/mortadela
38:06 | (New member) ThatVidyaGuy: based slavdad
38:08 | Sheep: I would eat
38:09 | cycochaos2: Never seen kielbasa that large
38:11 | cristy: kefir is good
38:13 | SpaceTalon: kiełbasa = hamburger of the easter europe
38:14 | bejad007: russian dad, I SQUAT
38:14 | (New member) Silverion: kefir is thicc
38:16 | (New member) ThePlatinumCan: It looks more like mortadella though
38:18 | (New member) The Flesh Is Weak: kefir love
38:26 | (New member) Andrew: how to make according to wikipedia: 25 kg beef70 kg semi-fat pork3 liters milk2 liters eggs2 kg salt200 grams sugar30 grams cardamom50 g ascorbic acid 
38:29 | (New member) Mister Eko: mortadella bros...
38:32 | rev: kolbasa = russian ; kiełbasa = polish
38:36 | (New member) Kazoo: is that a cup of noodles?
38:39 | (New member) ユーネ: smetana is nice
38:40 | (New member) BasedBug: I would give it a shot, nice work RUbro
38:41 | (New member) Rye Mountain: Smetana is good, you can find it in finland
38:44 | InubaSHIRI Momiji: where is kot
38:45 | (New member) OverMagnet: 🇷🇺🇷🇺🇷🇺
38:50 | (New member) max r: horosho
38:50 | (New member) ThePlatinumCan: Slav bros!
38:51 | (New member) Zhnigo: zdravstvujtje
38:55 | sleepy: cheeki breeki
38:57 | (New member) Zyadarya: Kefir is super tasty 
38:59 | (New member) Peer: :_love:
39:03 | (New member) Mechanized Doge: :_handreps::_yah:
39:03 | Wheresmyeyebrow: Beautiful
39:07 | (New member) Theblekedet: :_sprdo::_sprdo:
39:07 | (New member) ThatVidyaGuy: Finland does not exist
39:08 | (New member) Zhnigo: Finland is adjacent to Russia, yes
39:09 | (New member) Mastigos Wilkins: :_sprdo:indeed
39:09 | (New member) Ark K.: finland doesn't exist
39:10 | (New member) ThePlatinumCan: :_sprdo:
39:10 | (New member) Jackku Chan: Finland LOVE
39:10 | SpaceTalon: Finlad is not real
39:11 | (New member) Ekusupuroshon: What's a Finland?
39:12 | (New member) 77Yuja_: what finland?
39:13 | (New member) TheTarkus: lmao
39:14 | (New member) Big Gold: :_love::_love::_love:
39:14 | (New member) Sleep: finland not real
39:14 | (New member) Mister Eko: yes, finland doesn't exist
39:17 | (New member) Lodowa Wrozka: she have a critical knowledge
39:18 | (New member) Firstname Lastname: finland:_sprdo:
39:18 | Sheep: Niceee
39:19 | Wheresmyeyebrow: : D D D D
39:19 | (New member) TheTarkus: :_sprdo:
39:19 | (New member) Herbie Cucumber: :_sprdo:
39:20 | (New member) The Flesh Is Weak: wdf:_sprdo:
39:21 | Question Box: Finland is fake
39:21 | (New member) Rye Mountain: Yeah I visit fantasy land every summer
39:21 | (New member) anonEDM: so much syrup again
39:23 | (New member) david johnston: what even is a finland
39:24 | (New member) Mister Eko: ooooh that looks great
39:24 | (New member) BasedBug: Pancakes are my weakness
39:25 | Denied: potato?
39:26 | (New member) max r: mashed potato
39:28 | sleepy: mashed potatoes? 
39:28 | (New member) Antonio Badilla: mashed potatoes?
39:29 | (New member) Kazoo: mashed potatoes
39:29 | (New member) LassesAffar: scrambled eggs
39:35 | (New member) BasedBug: What kind of juice is that?
39:39 | (New member) Jackku Chan: all that syrup..
39:40 | (New member) Shippo: looks sweet
39:40 | (New member) Ekusupuroshon: Surprise mash
39:53 | (New member) max r: you guys don't have Pancake with mash potato?!?!
39:54 | (New member) Jackku Chan: I don't think that's eggs
39:56 | (New member) Tianfang's Adventures: potatos
40:01 | (New member) Jackku Chan: Yeah, mashed potato.
40:01 | bejad007: sweet potato?
40:01 | (New member) XenMaster220: is that mashed potato for breakfast?
40:05 | (New member) Kazoo: mashed parsnips
40:06 | (New member) LassesAffar: they're eggs lol, it's mine
40:08 | (New member) Rye Mountain: >potato with pancake
40:11 | (New member) Margrave: hmm
40:17 | (New member) OverMagnet: She said the Russian words, prepare for Russkiy invasion
40:18 | (New member) Tuffee: rude
40:20 | (New member) BasedBug: HEARTBREAK
40:20 | InubaSHIRI Momiji: savage
40:21 | (New member) 77Yuja_: ...
40:22 | Sheep: you are wrong
40:23 | (New member) Theblekedet: :_pain:
40:23 | (New member) Mister Eko: RUDE
40:23 | (New member) Ekusupuroshon: Kusogaki...
40:23 | (New member) XenMaster220: :_mug::_mug::_mug:
40:25 | Theodore Kaczynski: beet juice or something?
40:25 | (New member) Jackku Chan: @LassesAffar Based but eat more eggs next time buddy
40:26 | TheHighestNativeGod: rude! dads need to know how to cook
40:27 | (New member) ThePlatinumCan: No faith in dads, I see...
40:29 | (New member) max r: eggs?!
40:29 | (New member) Tuffee: :_mug::_mug:
40:29 | stuffed idiot: wow...
40:30 | (New member) Moeniki: :_mug:
40:30 | (New member) Ekusupuroshon: :_mug::_mug::_mug::_mug:
40:30 | Theodore Kaczynski: vegetable juice?
40:30 | (New member) Margrave: LOL
40:30 | sleepy: dads exceeding expectation
40:31 | (New member) Theblekedet: slander
40:31 | (New member) Steven Frati: parsnips might make sense with the sauce
40:33 | (New member) nona: Probably irish.
40:34 | (New member) Sleep: damn
40:36 | (New member) anonEDM: :_mug:
40:37 | (New member) TheTarkus: :_mug::_mug::_mug:
40:37 | (New member) Mechanized Doge: >she's calling you fat
40:39 | (New member) Theblekedet: :_mug::_mug::_mug::_mug:
40:40 | (New member) Zhnigo: oi oi 
40:40 | (New member) Shippo: :_mug:
40:41 | (New member) BasedBug: @LassesAffar I would try your breakfast, don't worry
40:42 | stuffed idiot: LOL
40:42 | (New member) Tachi: :_sprdo:
40:42 | (New member) Firstname Lastname: LOL
40:43 | InubaSHIRI Momiji: can't cook and fat lmaoooooooo
40:43 | (New member) Mechanized Doge: >FAT PERSON OOOF
40:43 | (New member) Ekusupuroshon: oi...
40:43 | (New member) ThePlatinumCan: :_mug::_mug:
40:44 | (New member) Tianfang's Adventures: :_uooooohh: I cook well
40:44 | (New member) anonEDM: carbs for days
40:44 | sleepy: no cooking = no girlfriend
40:45 | (New member) Andrew: beatani hate...
40:46 | (New member) LassesAffar: ポテトじゃないです、scrambled eggs だ。でぶじゃない
40:46 | (New member) Antonio Badilla: kek
40:47 | (New member) Jackku Chan: WHAT
40:48 | Sheep: yeah that seems a lot
40:49 | Denied: rip dad
40:49 | (New member) Margrave: That's potato?
40:50 | cycochaos2: lmao
40:50 | (New member) Einaer: lol poor dad
40:51 | (New member) ThePlatinumCan: KEK
40:52 | (New member) Ekusupuroshon: SMASH IT:_mug::_mug::_mug::_mug:
40:54 | (New member) Rye Mountain: Syrup is the worst though
40:55 | stuffed idiot: get called out fatty
40:57 | (New member) A A: Don't call us fat.
40:58 | (New member) Jackku Chan: HOW COULD SHE SAY SUCH A THING IT'S NOT MUCH NOOO
41:01 | (New member) Zhnigo: what did dad do to deserve such mauling
41:01 | SpaceTalon: he is a very hard working dad
41:05 | (New member) Mister Eko: all the dads are super fit, how dare you
41:05 | (New member) Margrave: Omg....I'm sorry...
41:05 | (New member) nona: Thats disgusting
41:08 | パナナナダ: eggs?! 
41:09 | (New member) The Flesh Is Weak: architects:_sprdo:
41:09 | (New member) Canna: Blue collar dads....
41:10 | (New member) Zia: We're all fit, responsible and functionning adults that can cook
41:10 | (New member) Jackku Chan: Phew
41:12 | sleepy: mayonegg?
41:20 | Denied: those are eggs...?
41:21 | (New member) max r: I've never seen eggs that look like this...
41:21 | (New member) LassesAffar: uooooohhuooooohhuooooohhuooooohh
41:23 | (New member) Rye Mountain: Scrambled egg
41:24 | dice: how you cook egg into this
41:25 | (New member) ThatVidyaGuy: egg?
41:25 | (New member) CantDood: you'd be surprise
41:26 | (New member) Einaer: Very milky eggs
41:26 | sleepy: mayonnaise with eggs
41:28 | (New member) Momiji Channel: egg??
41:29 | darukaru: Egg whites only?
41:29 | (New member) BasedBug: Those are some scrambled eggs
41:32 | (New member) Kazoo: eggs looks runny
41:34 | (New member) Ekusupuroshon: Are you egg?
41:35 | (New member) TheTarkus: maybe just whites
41:36 | (New member) Mister Eko: it looks a little like corn
41:36 | cycochaos2: no yolk maybe
41:36 | Sheep: egg with potatoes lol
41:38 | (New member) 77Yuja_: no way
41:39 | (New member) Canna: Gordan Ramsey eggs 
41:41 | (New member) Zhnigo: egg with pankakes still seems a bit too fаttу
41:42 | (New member) LassesAffar: it's just the lighting probably
41:42 | (New member) nona: Rice pudding?
41:43 | (New member) The Flesh Is Weak: only whites probably
41:46 | SpaceTalon: no yoke 
41:46 | (New member) max r: WHY
41:47 | (New member) Mechanized Doge: マヨエッグ？
41:48 | (New member) Margrave: That is not eggs.
41:49 | (New member) Sleep: probably eggs mixed with something
41:56 | (New member) Rye Mountain: Maybe he made mayonaise with the yellow part of the egg
41:58 | Question Box: its cum\
41:59 | (New member) gyroninja: Looks yellow to me
42:00 | (New member) Margrave: :_listener:
42:01 | (New member) Kazoo: Dad can't afford uolk
42:02 | (New member) max r: am I getting trolled ?
42:02 | (New member) Mechanized Doge: 真ん中の黄色いやつがないらしい
42:04 | (New member) Jackku Chan: What egg looks like is determined by general genetics of the chicken breed, as well as the what the chickens eat. Egg colors can have distinct differences while still nutritionally similar.
42:06 | (New member) CantDood: scrambled eggs don't look like that, must have potatoes or something else
42:06 | (New member) Suukotto Funsha: It could be eggs without yolk
42:06 | (New member) Zhnigo: jam AND syrup?
42:08 | bejad007: she laughing at your food
42:10 | (New member) BasedBug: I feel like we should have submitted our weight to these breakfasts
42:13 | (New member) Voltage: baked cloud egg
42:15 | パナナナダ: today i've learned that eggs can look like potato...
42:15 | (New member) Jackku Chan: Everyone knows this tsk tsk dads get your egg knowledge reps together.
42:20 | (New member) Antonio Badilla: looks like rice pudding
42:21 | (New member) ユーネ: maybe without the yolk?
42:21 | (New member) Randel Shurker: Gordon Ramsey eggs, but undercooked.
42:22 | Fridge Fridge: scrambled eggs + butter is white
42:38 | (New member) Herbie Cucumber: looks like he did his reps into the eggs
42:55 | (New member) Mister Eko: it's pretty good
42:58 | (New member) Rye Mountain: Sounds expensive
43:00 | (New member) max r: I've never heard of raspberry juice either
43:01 | (New member) Zhnigo: what did she mean by that
43:02 | (New member) ユーネ: based
43:03 | darukaru: kuwabara kuwabara 
43:03 | bejad007: I will plant it
43:07 | (New member) Sleep: kocku
43:08 | Theodore Kaczynski: COCKCOCKCOCKCOCK
43:09 | (New member) 77Yuja_: s-sugoi
43:10 | (New member) Firstname Lastname: this is nice
43:10 | (New member) Shippo: huh
43:10 | (New member) LassesAffar: yeah it's just eggs and butter
43:11 | Sheep: looks american
43:12 | DZ VW: rich man's breakfast
43:12 | (New member) Moeniki: Get that caterpillar away from dad's breakfast!
43:13 | (New member) ThePlatinumCan: Ohh, very nice
43:15 | (New member) Shippo: mikan cute
43:15 | presence is yabai: nice
43:16 | (New member) max r: nice burgerland breakfast
43:16 | (New member) Kazoo: no eggo waffles yet
43:16 | sleepy: this looks american 
43:17 | (New member) Ekusupuroshon: Fat dad...
43:17 | Börk Börk: Egg
43:17 | (New member) Momiji Channel: woah classic
43:18 | Question Box: that looks good
43:18 | (New member) Peer: egg
43:19 | (New member) Mechanized Doge: >Western dad
43:19 | (New member) Mister Eko: my heart is literally dying right now
43:21 | Denied: nice
43:22 | SpaceTalon: high quality breakfest dad I KNEEL
43:23 | (New member) Sleep: butter HATE
43:24 | (New member) Zhnigo: sosig
43:24 | (New member) The Flesh Is Weak: oishiiso:_listener:
43:25 | (New member) XenMaster220: Rasberry juice has a very interesting taste. It's a bit out there but really good.:_love:
43:25 | InubaSHIRI Momiji: potatoes and eggs
43:25 | (New member) Steven Frati: Perfectly cooked pancakes impressive.
43:26 | (New member) Voltage: tangerine!
43:26 | (New member) CantDood: that's an... interesting mix of flavors
43:27 | Börk Börk: that's 100% egg
43:27 | (New member) Jackku Chan: Now this is a greasy breakfast
43:29 | (New member) ユーネ: do Americans really?
43:29 | (New member) Rye Mountain: It's egg I think
43:32 | (New member) TheTarkus: overcooked eggs :_uooooohh:
43:34 | sleepy: Do Americans really??
43:37 | (New member) Zhnigo: heartstopper breakfast
