-28:26 | XeniVari: 待機🐻‍❄🍀
44:18 | .sandrio: basil has been in my herb cabinet all along
44:26 | Mew: French world
44:30 | Mew: *word
44:32 | Zhnigo: Detour = longer path insted of going straight to where you need
44:32 | Hanabi: detour - off the main path
44:39 | imalittle cupcake: RPG streams are comfy 
44:42 | Mechanized Doge: 近道
44:49 | Ukitsu2: "ditur"
44:53 | Mastigos Wilkins: Sorry Bea, I have to watch you in 144p since I am downloading um... art... in the background
45:13 | Mechanized Doge: >art
45:19 | Voltage: cultured mastigo
45:47 | .sandrio: its probably basketweaving instructions
46:11 | Verijero: man i dont remember when was the last time i saw a vending machine in my country
46:13 | max r: Can I give you a tip? You can change your skills in the skills menu. You can only have four at a time (for each character). You are getting new skills as you level up.
46:15 | Verijero: miss those things
46:18 | Jackku Chan: Whoah vibrating Beatani
46:25 | TWAIN: dancing bear
46:27 | imalittle cupcake: Cute bear daughter
46:37 | Voltage: dancing bear is best bear
46:49 | Canna: SSR clams 
47:09 | roller: hello bear daughter
47:15 | (Verified, Moderator) Streamlabs: Raziel just tipped $10.00 dayo!
47:21 | rev: yah
47:46 | pakkanen: Good morning Beatani
47:52 | max r: you picked up a lot of ♻
48:17 | coba cobra: seer goggle?
48:18 | Nasty Yukari: Use computer parts to speed up OBS
48:23 | TWAIN: sheer googles kek
48:24 | Hanabi: recycling's important even if it's boring, this game teaches good life lessons apparently
48:28 | No Body: nice an item!
48:45 | max r: our bear cares about the environment 🐻‍❄
48:45 | Rye Mountain: Green bear
48:55 | Nasty Yukari: I mean, recycling is boring...
49:01 | O5060403: Recycling helps to keep the XP hills green
49:02 | imalittle cupcake: Keep XP hill clean
49:03 | Mew: Recycling in japan is soo complicated
49:04 | thelastshinobi56: technology sucks today
49:19 | thelastshinobi56: cute dance
49:20 | Nasty Yukari: Untz untz untz
49:21 | Absolute Link: bear vibing
49:28 | Rye Mountain: I wish my recycling machine did that music
49:37 | TWAIN: >cardboard makes metal noises
49:56 | Zeng: forever
49:58 | Nasty Yukari: Forever?
49:59 | Ekusupuroshon: Eternally
49:59 | max r: 🔦
50:01 | 92Pesonen: I dont think that recycling is worth your time
50:03 | imalittle cupcake: Recycling with your daughter ASMR
50:19 | coba cobra: lol
50:21 | thelastshinobi56: Basil is hiding inside that machine
50:24 | Verijero: punchi punchi
50:33 | Rye Mountain: Recycling is important!
50:44 | Ekusupuroshon: Sazanami no oto
50:52 | O5060403: Based ASMR
50:52 | pakkanen: That whisper tingles on weird places
50:56 | Jackku Chan: If you whisper I'll fall asleepzzzzz
50:57 | Stray Wolf: 👀
51:05 | Mastigos Wilkins: based cute recycler
51:24 | Sunspots: Trash bags asmr... sounds like someone would be into that
51:33 | max r: yah! you will get more good skills as you level up
51:57 | Jackku Chan: @Sunspots It's easy to self-insert
52:26 | Sunspots: Beautiful truth
52:38 | thelastshinobi56: I would watch Beatani ASMR
52:38 | Verijero: who is (you)
52:42 | Tachi: !
52:53 | Ekusupuroshon: Watamelon!
52:53 | Tachi: Watamelon
52:55 | Rye Mountain: I never listen to asmr but if beatani would make an asmr stream i would try it
53:02 | Jackku Chan: Oh no, is it reality?
53:03 | MiiMuu: ASMR makes me feel weird 💦
53:04 | Stray Wolf: watamelon 
53:14 | Megiddo: do you like breaking open watermelon in the summer Beatani?
53:30 | HashSlash: I love whispered storytelling ASMR a lot
53:36 | 92Pesonen: watamelon isnt real after all? 
53:47 | .sandrio: reminder that watermelon tastes better with a little salt
53:57 | O5060403: I have a love-hate relationship with ASMR. There are few I really like, and a lot I hate because they're weird for me
54:11 | Jackku Chan: I think that that's Omori's shadow
54:49 | thelastshinobi56: you don't need what?
54:57 | Megiddo: that pronunciation... dangerous
55:00 | 92Pesonen: Leave the trash for the hobos/ homeless people
55:16 | Tachi: Shadowman is a mystery 
55:27 | 92Pesonen: weird 🤔
55:28 | Sunspots: I'd rather listen to music than asmr honestly
55:29 | Megiddo: inai
55:29 | coba cobra: omori is lazy
55:35 | imalittle cupcake: Cute bear...
55:40 | Yargolocus: Remember to like the stream
55:41 | Vic Kyorlo: shadowman for the playstation 1
56:27 | Sunspots: turn off Adblock for a second gents
56:46 | coba cobra: omoroi
56:48 | るむ: おもり
56:54 | Jackku Chan: Omori is Omori!
56:56 | Stray Wolf: Oh Mori
56:57 | HashSlash: That sounds right to me
57:02 | 92Pesonen: You will understand his name later
57:05 | O5060403: I think the accent's on the first O
57:06 | Zhnigo: o-MO-ri 
57:07 | .sandrio: o-mo-ri
57:14 | るむ: It comes from ひきこもり
57:35 | Sunspots: Japanese loaned word?
57:46 | Jackku Chan: Haha, really?
57:56 | .sandrio: oh that makes so much sense and i never got it before now
57:57 | Jackku Chan: Omori is a NEET! Omori is a smelly stupid NEET!
58:13 | CommanderMichael: didn't know that haha
58:14 | Nasty Yukari: I saw that coming a mile away tbh
58:22 | max r: basil is winning this game of hide and seek
58:35 | HashSlash: I also assumed it came from memento mori
58:38 | Verijero: properly
58:50 | Jackku Chan: Uh oh
58:51 | Ekusupuroshon: thoroughly
58:53 | Jackku Chan: Looks dangerous
59:17 | thelastshinobi56: looks like Aubrey
59:28 | coba cobra: basil has shadowman? is he sad?
59:30 | 92Pesonen: uh.. 😰
59:37 | Jackku Chan: It's just like the staircase!
59:38 | Ekusupuroshon: Looks danjyarasu
59:42 | CantDood: we yume nikki now
59:51 | TWAIN: kowai
59:54 | thelastshinobi56: F
59:54 | .sandrio: both of those would make sense i guess, hikikomori would be more likely as its japanese
59:59 | Tachi: F
1:00:01 | Atomized Atomizer: F
1:00:06 | White Wyvern: very danjyarasu
1:00:13 | Hanabi: F
1:00:22 | Jackku Chan: Seems like Basil has been doing neck training!
1:00:25 | Ikxi: I am here!
1:00:25 | O5060403: F
1:00:29 | Tachi: Looks like a noose 
1:00:32 | imalittle cupcake: Looks kinda like a noose, yeah
1:00:37 | .sandrio: he is trying to get taller
1:00:42 | Atomized Atomizer: I thought it was a noose
1:00:44 | Sunspots: Scary
1:01:07 | .sandrio: i misheard that "sheet" and spilled my drink
1:01:14 | 92Pesonen: 😱
1:01:18 | TWAIN: AA
1:01:21 | imalittle cupcake: Cute!
1:01:24 | Tachi: Kowa
1:01:25 | Jackku Chan: Scribbled out = Written over
1:01:26 | max r: Welcome to White Space
1:01:34 | HashSlash: Welcome to white space!
1:01:35 | Jackku Chan: Uwa
1:01:42 | Rye Mountain: back to white space
1:01:45 | Suukotto Funsha: Oh no, back to white space
1:02:26 | max r: cute drawing not scary
1:02:31 | Tachi: It reminds me of Yume Nikki
1:02:50 | Sunspots: schizo drawings, pure soul
1:03:25 | 92Pesonen: 🔪 time to wake up
1:03:40 | HashSlash: Have you checked the lightbulb before?
1:03:52 | .sandrio: time to take flight from the balcony
1:03:55 | Voltage: the white space is burning my eyes
1:04:00 | TWAIN: where we're going we won't need doors
1:04:02 | White Wyvern: wake the fuck up samurai
1:04:07 | Tianfang's Adventures: Welcome to the void
1:04:22 | thelastshinobi56: Seppuku part 2
1:04:28 | 92Pesonen: it is the safe space i think
1:04:40 | Lichternis: oof
1:04:50 | .sandrio: i stabbed myself lets goooooo
1:04:56 | Ekusupuroshon: Prideful dead
1:05:14 | Nasty Yukari: Died with honor huh
1:05:28 | るむ: bazil
1:05:35 | るむ: *basil
1:05:42 | TWAIN: big ears
1:05:44 | imalittle cupcake: Ohadayo!
1:05:51 | thelastshinobi56: lol
1:05:52 | 92Pesonen: Ohadayo!
1:05:53 | HashSlash: Ohadayo Beatan!
1:05:55 | Nasty Yukari: ohadayoo!!
1:06:00 | Sunspots: Ohadayo!
1:06:11 | Fenris: Ohadayoo
1:06:30 | O5060403: I prefer oregano to basil
1:06:36 | imalittle cupcake: Our daughter is gambling, dads...
1:06:46 | 92Pesonen: All in baby!"
1:06:47 | Jackku Chan: Gambling!
1:06:51 | thelastshinobi56: the dealer always wins
1:06:55 | MBmasher: this aint it
1:06:57 | 92Pesonen: there goes the money!
1:07:00 | Verijero: gura'd
1:07:00 | Sunspots: Go big or go home
1:07:09 | Nasty Yukari: XP quality game
1:07:20 | Jackku Chan: Everyone knows how Blackjack works...
1:07:24 | Verijero: MOM
1:07:24 | TWAIN: you must come as close to 21 total value without going over
1:07:29 | max r: bea tan....
1:07:36 | TWAIN: and you have to have higher score than the dealer
1:07:40 | Nasty Yukari: I don't get gambling games either, boring like sports
1:07:41 | るむ: I don't know blackjack either lol
1:08:10 | imalittle cupcake: I know blackjack but I never played solitaire...
1:08:19 | Verijero: 4u
1:08:20 | O5060403: In blackjack you need to get 21 points with cards. Each cards is worth their number . Jack, Queen, and King are worth 10, ace is 1 or 11 depending on what's more convenient.
1:08:26 | O5060403: If you go over 21 you instantly lose.
1:08:41 | CantDood: mom got the anime dad syndrome
1:08:45 | O5060403: At the end you need to have 21 or more than the "house" or the dealer.
1:08:51 | imalittle cupcake: Clean your room, daughter
1:08:54 | るむ: why 21? such a weird number
1:09:00 | thelastshinobi56: lazy bear
1:09:33 | Sunspots: H-hello
1:09:37 | Megiddo: keeping the who is you meme going I see
1:09:37 | Rye Mountain: I will never get tired of "who is you"
1:10:32 | TWAIN: ＠るむ
1:10:43 | TWAIN: because you can hit 21 with two cards only
1:10:54 | max r: social bear
1:11:01 | O5060403: Don't really know why 21. It came from France and was initially called "twenty one" but later renamed "blackjack" because the combination of an ace of spades with a jack of clubs was an instant win.
1:11:03 | Tachi: Open!
1:11:05 | coba cobra: polite bear
1:11:05 | 92Pesonen: oh dear
1:11:10 | HashSlash: Uh oh
1:11:11 | No Body: oh...
1:11:16 | Verijero: ahhhhh
1:11:18 | O5060403: Even though there are other combinations that give you 21 right away.
1:11:34 | Mew: Game won't let you NEET
1:11:38 | HashSlash: That worried me for a second
1:11:47 | Verijero: we pokemon ruby now
1:11:54 | max r: same lol
1:11:57 | Verijero: 😀
1:11:57 | No Body: Kel got HUEG
1:12:05 | Ekusupuroshon: Thank you
1:12:13 | imalittle cupcake: So bright...
1:12:15 | thelastshinobi56: so he is a hikikomori
1:12:18 | O5060403: Kel is a big guy
1:12:25 | CommanderMichael: buff kel
1:12:29 | Ekusupuroshon: I wish I was a bird...
1:12:33 | Verijero: kel is his tanned childhood friend, bros...
1:12:48 | max r: hello everynyan
1:13:00 | Zeng: they look a little older
1:13:02 | るむ: They're teenagers
1:13:02 | coba cobra: teenager maybe?
1:13:04 | Sunspots: if he were a hikki he wouldn't have opened that door though. The bear was right
1:13:06 | Nasty Yukari: They look like teenagers
1:13:47 | coba cobra: whoa
1:14:08 | O5060403: Dog
1:14:10 | O5060403: yab
1:14:29 | TWAIN: fix the dog?
1:14:51 | Jackku Chan: That upper STOP sign is the wrong way around...
1:14:57 | TWAIN: meow
1:14:59 | coba cobra: cat is good
1:15:01 | 92Pesonen: 🐱
1:15:05 | O5060403: nyan
1:15:17 | るむ: what happened to the bgm?
1:15:25 | Tachi: Picnic time
1:15:49 | imalittle cupcake: Youngin' = young one, young person
1:15:50 | coba cobra: sorry world, next time
1:16:00 | Megiddo: yay, only 100 subs more for karaoke
1:16:43 | Hanabi: "yougin" is generally only used by old people. Usually while yelling at kids to get off their lawn
1:16:54 | MBmasher: 1.9k really? wow
1:17:12 | Voltage: busy bear
1:17:16 | coba cobra: nice
1:17:35 | 92Pesonen: 🎶
1:17:39 | Nasty Yukari: vibin' music
1:17:44 | max r: did we find hector?!
1:17:44 | imalittle cupcake: Pet rocks!
1:17:45 | thelastshinobi56: Hector..
1:17:48 | Tachi: lol 
1:17:53 | Rye Mountain: Based pet rock seller
1:17:54 | Nasty Yukari: Pet rocks!
1:17:54 | Jackku Chan: Pet rocks are super cool
1:17:56 | Voltage: party soon!!!
1:18:06 | Hanabi: vintage - old
1:18:09 | Zhnigo: pet rock seller, i need your strongest pet rocks
1:18:19 | Verijero: vintage - old fashion ?
1:18:29 | Fake Name: Vintage: old and valuable because it's old
1:18:42 | coba cobra: kel is eternal child
1:18:42 | thelastshinobi56: he might be autistic
1:18:54 | max r: hero is such a good boy
1:18:59 | imalittle cupcake: He is nostalgic, like some people like the games and cartoons they enjoyed as a kid
1:19:09 | Mew: Buy vtuber figures!
1:19:12 | coba cobra: beatan is dumb maybe
1:19:18 | Jackku Chan: Hey it's the Captain space guy
1:19:36 | Voltage: pet rocks
1:19:51 | thelastshinobi56: Beatan told him to take the meds
1:19:59 | max r: HECTOR?!
1:20:05 | Jackku Chan: Why is there a cookbook in a music store?
1:20:11 | Sunspots: Vtuber figures are meds
1:20:16 | HashSlash: Hector betrayed us...
1:20:21 | coba cobra: pet rock -> pet dog??
1:20:25 | imalittle cupcake: It's a hobby store
1:20:27 | Tachi: Dog is enemy
1:20:28 | Zeng: dog is evil
1:20:51 | Hanabi: cookbook still feels out of place at a hobby shop
1:21:13 | Jackku Chan: Mari is a Vtuber....!
1:21:18 | coba cobra: they dont have job
1:21:26 | max r: beatan is NEET
1:21:27 | Tachi: Maybe they are students lol
1:21:32 | 92Pesonen: beatan is definetly a neet!
1:21:33 | Vic Kyorlo: they look like they're still in school, honestly
1:21:35 | O5060403: Beatan is a NEET
1:21:38 | thelastshinobi56: Beatan is a NEET because Kel was suprised when he went outside of the house
1:21:44 | max r: Katsuage....
1:21:50 | coba cobra: lmao
1:21:51 | Sunspots: Beatan bro...
1:21:58 | Aftertone: lol 
1:22:00 | Verijero: typical, i forgot my wallet too kek
1:22:04 | O5060403: I don't think he will pay you back...
1:22:08 | Mew: Not sure if scaming
1:22:27 | quinn: カツアゲｗｗ
1:22:38 | Mew: I understand why he went into the dream world 
1:22:39 | Aftertone: how are you all
1:23:08 | Zeng: Hero and Kel are brothers?
1:23:22 | thelastshinobi56: 20 bucks for a book wow
1:23:25 | Mew: On an unrelated note, Europe will be going +1 hour into the future today
1:23:29 | 92Pesonen: I thought you spent all your money at the computer? 🤔
1:23:54 | Zeng: he only has three days to pay you back
1:24:02 | max r: Faqing park
1:24:19 | (Verified, Moderator) Streamlabs: Hero just tipped $3.00 dayo!
1:24:42 | Monkberry Moon: I'm late...
1:24:59 | HashSlash: Kel's the younger brother, he and Beatan are around 16 I think
1:24:59 | MBmasher: woah its hero
1:25:20 | Jackku Chan: Beatani found Basil!
1:25:24 | 92Pesonen: That is true
1:25:28 | max r: Basil !!
1:25:40 | .sandrio: oh i think i remember this bit
1:26:12 | thelastshinobi56: the cutest Psh ever
1:26:29 | Verijero: hot
1:26:32 | Jackku Chan: Cool..
1:26:35 | imalittle cupcake: Delinquent...
1:26:41 | Monkberry Moon: a delinquent, cute
1:26:42 | max r: Aubrey no bully
1:26:43 | Tachi: Ooh
1:26:44 | Hanabi: sukeaubrey
1:26:47 | Verijero: tfw no delinquent gf
1:27:11 | CantDood: oh boy
1:27:17 | Jor Leifur: Aubrey became a スケバン/助番...
1:27:28 | .sandrio: Enter, sukeban
1:27:37 | Aftertone: wao
1:27:41 | Jackku Chan: Beatani you're a kid too...
1:27:41 | imalittle cupcake: Get along youngin's
1:27:43 | thelastshinobi56: Aubrey is a menhera?
1:27:45 | max r: NEET
1:28:13 | Nasty Yukari: daipan!
1:28:19 | Jackku Chan: Basil is a loser, oh no..
1:28:20 | Sunspots: That hair color tells me she is menhera, yes
1:28:23 | CantDood: menhera yankee
1:28:44 | (Verified, Moderator) Streamlabs: Kel just tipped $1.00 dayo!
1:28:45 | CommanderMichael: sukeban = girl delinquent
1:28:46 | HashSlash: She looks like a yankee?
1:28:53 | Tachi: Is Aubrey menhera
1:29:08 | imalittle cupcake: If this Aubrey also has gorilla arms we're dead
1:29:11 | Jackku Chan: Dangit Kel 
1:29:11 | るむ: the color is explained later
1:29:32 | Verijero: cute tummy
1:29:40 | Jackku Chan: Beatani can't hit girls...
1:29:43 | SpaceTalon: stand and fight!
1:29:46 | Zhnigo: that photo background tho
1:29:48 | Jor Leifur: Don't worry, you got this!
1:29:56 | 92Pesonen: Bat with nails is OK but knifre is a no no?
1:29:57 | Tachi: Attack with knife?? 
1:30:04 | Jor Leifur: 🔪
1:30:05 | Monkberry Moon: Stabbed
1:30:11 | max r: 🔪🔪
1:30:12 | CantDood: brutal
1:30:14 | Ekusupuroshon: Whaaaaaa....
1:30:18 | imalittle cupcake: lol yeah the bat is fine though?
1:30:25 | Zhnigo: oi u got a loicense for that noif
1:30:27 | Jor Leifur: 🐻🔪👧
1:30:28 | Hanabi: talk shit get hit
1:30:30 | max r: beatan knifes other kids on the playground...
1:30:35 | Aftertone: oh wao you really stabbed her
1:30:37 | Atomized Atomizer: damn
1:30:39 | .sandrio: get a life bin that knife
1:30:40 | Jackku Chan: Nice job Beatan! You won the fight!
1:30:40 | Zeng: it was self defense
1:30:46 | Sunspots: Turns out Aubrey was just larping 
1:30:48 | Jackku Chan: Yatta!
1:30:52 | ノイド: this is reality
1:30:52 | White Wyvern: Beatan is based
1:31:02 | Monkberry Moon: It was a joke bro
1:31:03 | SpaceTalon: 2A USA!
1:31:05 | Suukotto Funsha: Beatan WINS
1:31:14 | CantDood: realistic boss fight
1:31:17 | Zhnigo: just shank the bully
1:31:32 | Nasty Yukari: I wasn't being serious bro...
1:31:39 | TWAIN: NOOOOOOOO HOW WILL I MAKE STEAKS NOW
1:31:41 | imalittle cupcake: Hard to bully others when you're extra ventilated
1:31:44 | Verijero: beatan is menhera
1:31:49 | Nasty Yukari: pachi pachi pachi
1:31:50 | Verijero: carrying that knife...
1:31:52 | max r: cut steak with spoon
1:32:03 | Hanabi: and you all said aubrey was the menhera
1:32:04 | Monkberry Moon: Jesus a knife specifically for meat slicing...
1:32:11 | Sunspots: Next time let her bash his skull with the nailbat first
1:32:25 | Jackku Chan: Basil has been watching too many Vtubers late at night so he's tired
1:32:44 | max r: we found basil!! game clear!!
1:32:55 | max r: 🎉
1:32:59 | Jackku Chan: Basil needs to return some video tapes
1:33:07 | Verijero: basil is a girl or a boy? taht flower...
1:33:22 | Nasty Yukari: Grandma needs her meds...
1:33:39 | Jackku Chan: Basil is Ikemen
1:33:44 | imalittle cupcake: Beatani would look cute with flowers in her hair too
1:33:50 | quinn: donbiki = turned off
1:33:57 | Zeng: because he just saw you stab someone
1:34:12 | SpaceTalon: You should get another kife just in case!
1:34:14 | max r: read the atmosphere
1:34:15 | SpaceTalon: knife
1:34:18 | RueTobas: read the atmosphere
1:34:18 | Mew: Can't read the atmopshere
1:34:18 | るむ: ｋｙ
1:34:25 | Fake Name: Can't read the mood
1:34:31 | webm aristocrat: knifed
1:34:31 | coba cobra: yeah he is not subtle
1:34:37 | Jackku Chan: In this case it's good that Kel can't read the atmosphere though
1:34:49 | Hanabi: kel is nice but dumb as a rock
1:34:50 | 92Pesonen: it was just an imagination!
1:34:53 | Derekであります !: よ
1:34:56 | Zeng: a pet rock
1:34:56 | Zhnigo: beatan, your meds...
1:35:00 | Monkberry Moon: The mood of a nailbat about to hit you...
1:35:10 | hohoemikuma: yah
1:35:19 | Mew: When someone says or does something extremely awkward or strange or makes a very bad joke, people around them don’t know how to react. They’re in a kind of state of shock.「どん引き」 ( = donbiki)
1:35:55 | thelastshinobi56: in other words Cringe
1:36:08 | coba cobra: i love kel
1:36:45 | Jackku Chan: Kel is so nice
1:36:57 | coba cobra: aubrey....
1:37:20 | Jackku Chan: Lets stab Aubrey more! Stab stab! Kill Aubrey!
1:37:25 | SpaceTalon: Get an AXE 😆
1:37:25 | Sunspots: Well, she is bleeding out now
1:37:28 | thelastshinobi56: the menhera strikes again
1:37:28 | coba cobra: with kel anything is possible
1:37:32 | Zeng: if you have a steak knife you can do anything
1:37:33 | CantDood: welp rev up that knife we're going for that photo album
1:37:36 | Monkberry Moon: A single stabbing wont be enough
1:37:55 | Atomized Atomizer: poke her again
1:39:00 | Jackku Chan: Anything is possible with a knife
1:39:50 | Sunspots: Gotta take the knife back from Kel first, maybe stab him once or twice too
1:40:01 | Zeng: Kel is so nice
1:40:21 | SpaceTalon: Check out the person next to teh garbage pile.
1:41:00 | coba cobra: lmao
1:41:07 | thelastshinobi56: lol
1:41:13 | Hanabi: kel...
1:41:13 | Jackku Chan: Kel is an art appreciator
1:41:15 | max r: kel...
1:41:17 | Aftertone: goodnight everyone, goodnight beatan have fuuun 💜
1:41:20 | coba cobra: he's nice, why not
1:41:21 | Monkberry Moon: give us back the knife first
1:41:24 | Jackku Chan: He has a bright future as a Beatani dad!
1:41:24 | NoobishMedic: ye
1:41:28 | Tachi: I believe him
1:41:28 | Sunspots: Kel is a dumb leech
1:41:33 | TWAIN: beatan sure is rich...
1:41:57 | Derekであります !: Kelイケメン
1:42:01 | coba cobra: yeah he poor
1:42:38 | Sunspots: He is a friend, he is just useless
1:42:43 | Zeng: he's a student
1:42:56 | Zhnigo: he said he's in high school, so that makes him not a NEET
1:43:24 | ノイド: Kel逝け面
1:43:32 | imalittle cupcake: Cute bear noises
1:43:32 | thelastshinobi56: the tree moved
1:43:44 | TWAIN: that tree is vibrating
1:43:48 | TWAIN: the bogs are calling
1:43:53 | Zhnigo: aubrey bled out on the way to the hospital
1:43:53 | Sunspots: Kel...
1:43:57 | Zeng: the tree is shaking because it's cold
1:44:06 | max r: hero is older bro
1:44:37 | HashSlash: Hero and Mari are the older friends in the group, the others are all about the same age
1:44:38 | White Wyvern: time to stab aubrey some more times
1:45:29 | imalittle cupcake: Chuunibyou?
1:45:37 | TWAIN: batoru
1:46:24 | Monkberry Moon: Charlie has been eating his veggies
1:46:27 | Hanabi: omori's gonna make him into an actual angel if he gets his knife back
1:46:29 | Jor Leifur: Beatan is kinda weak without his knife
1:47:08 | 92Pesonen: that was easy 😎
1:47:25 | Nasty Yukari: A sharp rock is fine too
1:48:48 | Nasty Yukari: That's his chuuni name...
1:48:58 | Vic Kyorlo: well, if i were called mikhael i'd probably prefer not to be called that either
1:49:07 | るむ: ミカエル
1:49:12 | Mask: Me-kai-el
1:49:15 | Fake Name: Like Michael
1:49:16 | quinn: mikhael = ミカエル
1:49:43 | Derekであります !: Maverick = Cool Guy in ENG
1:49:52 | Nasty Yukari: That's not a common name in English-speaking countries, is it?
1:49:54 | Vic Kyorlo: it could be either like michael or ミカエル, you never know with those names
1:49:56 | 77Yuja_: best job
1:49:57 | Zhnigo: RIAJUU DETEIKEEEEEEE
1:50:36 | るむ: next to the park, by hobbeez
1:50:54 | Mew: Fast kids
1:51:12 | 92Pesonen: north east/ top right
1:51:17 | max r: left, up all the way to park, right
1:51:28 | Verijero: kyaku?
1:51:55 | Verijero: nice
1:52:06 | Zhnigo: chuuni af
1:52:30 | Vic Kyorlo: the hair flip is here
1:52:57 | Sunspots: 100% chuuni material
1:53:08 | max r: hyoin kyouma / stein's gate
1:53:15 | hohoemikuma: houhouin kyouma!
1:53:21 | Ekusupuroshon: Popular chuuni??
1:53:22 | Verijero: based
1:53:27 | .sandrio: i want to say schizo but well
1:53:35 | imalittle cupcake: Hououiiiiin Kyouma da!
1:53:35 | Sunspots: Dr Pepper ad
1:53:39 | Zhnigo: why is he good with girls though
1:53:49 | Hanabi: maverick is a total chuuni
1:53:57 | Jackku Chan: Cool...
1:54:18 | Zhnigo: shank the chuuni
1:54:30 | Vic Kyorlo: the persona 3 protagonist style
1:54:33 | Jackku Chan: Chesthair, lewd!
1:54:38 | marcosii: tutturu~
1:54:51 | Tachi: Lol so chuuni
1:54:59 | max r: he is strong
1:55:06 | Derekであります !: Overcompensating
1:55:09 | Verijero: psy congroo
1:55:16 | Vic Kyorlo: probably should heal
1:55:20 | hohoemikuma: juicy karaage #1!
1:55:27 | 92Pesonen: Tutturu~
1:55:34 | TWAIN: suzuha
1:55:37 | thelastshinobi56: the bike girl
1:55:38 | Ekusupuroshon: Why is there a phone on the microvawe?
1:55:39 | imalittle cupcake: Beatani 
1:55:39 | hohoemikuma: moeka is my wife
1:55:41 | Tachi: Kurisu
1:55:42 | Hanabi: suzuha easily
1:55:43 | Suukotto Funsha: Kurisu
1:55:47 | Sunspots: Good taste
1:55:49 | max r: knocked out
1:55:49 | ノイド: suzuha
1:55:50 | Jackku Chan: I don't remember anything from Steins Gate
1:55:51 | Zhnigo: "while you were flirting with girls, I studied the blade"
1:55:51 | Nasty Yukari: Moeka is scary...
1:55:53 | .sandrio: kurisu
1:55:54 | Meneltir: Kurisu is 嫁
1:55:56 | Verijero: kuristina!
1:55:58 | marcosii: kurisu is so cute
1:56:00 | Jackku Chan: Dr. pepper
1:56:06 | max r: only beatan can self heal, kel can't heal
1:56:07 | thelastshinobi56: so what's your waifu??
1:56:08 | Sam W: Okabe is best girl
1:56:13 | Verijero: kurisu likes clover like beatani
1:56:18 | るむ: use calm down to heal
1:56:21 | Mew: Luka is the best girl!
1:56:58 | Sunspots: No knife...
1:57:16 | hohoemikuma: metal upa!
1:57:21 | るむ: oh wow, I didn't know emotions were a thing in the real world sections
1:57:29 | max r: 👊
1:57:47 | thelastshinobi56: ???
1:57:49 | marcosii: fairis nyan
1:57:54 | max r: which favorite girl
1:58:00 | Mew: Moeka 🤔
1:58:02 | Verijero: probably the cat girl
1:58:11 | 92Pesonen: oh no!
1:58:12 | Zhnigo: all girls are best girl
1:58:19 | Jackku Chan: You lost..
1:58:22 | thelastshinobi56: the trap?
1:58:36 | hohoemikuma: CHIKARA
1:58:43 | Hanabi: genkidama?
1:58:47 | Jackku Chan: >Ten thousand dollars
1:59:10 | るむ: Yeah fortunately most of these battles don't actually matter.
1:59:10 | Zhnigo: ten thousand dollars to be a chuuni
1:59:13 | max r: 150 meters
1:59:19 | Jackku Chan: Wow he's just like us!
1:59:23 | Ekusupuroshon: This children are scary
2:00:05 | Tachi: lol
2:00:22 | るむ: In the market
2:00:55 | Zhnigo: $10 for a double date doesn't sound bad
2:01:10 | 92Pesonen: I suggest healing your party
2:01:19 | Satorin_Komeiji: Our Kuma is so cute
2:01:21 | Shippo: Someone clip the "have a nice day, chuuni guy" please
2:01:36 | Sunspots: kek
2:01:38 | Jackku Chan: Next time I have $10 I'm heading to a high school
2:01:47 | max r: sushi market
2:02:23 | Derekであります !: jackku no
2:02:33 | Ekusupuroshon: Stealing?
2:02:44 | .sandrio: sports otaku
2:03:11 | max r: he follows the rules
2:03:46 | Vic Kyorlo: shoplifting
2:04:06 | Verijero: twin tails!
2:04:09 | .sandrio: snitches get stitches
2:04:27 | Jackku Chan: Smiley = :)
2:04:28 | Zeng: niconico
2:04:33 | Silverion: Smiley = ニコニコ
2:04:35 | Hanabi: smile-y
2:04:39 | Derekであります !: smiley =😄
2:04:40 | 92Pesonen: 🙂
2:04:40 | HashSlash: smiley = 😃
2:04:44 | thelastshinobi56: smile 🙂
2:04:52 | Ekusupuroshon: niconiconii
2:04:52 | Hanabi: 🙂
2:04:53 | imalittle cupcake: Nico nico nii
2:06:06 | hohoemikuma: the meds
2:06:11 | Kyle: Wow he actually bought something
2:06:31 | imalittle cupcake: They dislike him because he is nice guy and to kids that's boring and nerdy
2:06:33 | Ekusupuroshon: Otakus are hated 😞
2:06:43 | thelastshinobi56: he took the knife from Beatan
2:06:48 | Hanabi: given how people are treating beatan I think they dislike him just because he's friends with beatan
2:07:02 | 92Pesonen: I hope you healed yourself 🤣
2:07:17 | Kyle: Candy is drug
2:07:24 | Sunspots: Kel sticks his nose were he is not wanted. Probably what the game is trying to convey
2:07:43 | coba cobra: kel???
2:08:04 | Ekusupuroshon: Bribery
2:08:18 | Nasty Yukari: Hmm, suspicious candy...
2:08:22 | Vic Kyorlo: i can't believe kel is trying to buy off sugar junkies on detox
2:08:40 | max r: so nerdy they don't even want your candy...
2:09:33 | thelastshinobi56: nice
2:09:41 | imalittle cupcake: At least Beatani doesn't hate us for being otaku...
2:09:45 | 92Pesonen: 👍
2:09:45 | Ekusupuroshon: Otaku candy?? 
2:10:07 | max r: Kel....
2:10:31 | Suukotto Funsha: Why is everyone so violent in this game?
2:10:32 | max r: 1 hp each LOL
