-57:41 | Cherry dude: you better behave youtube
1:13:30 | SkysNotTheLimit: BIG BOY
1:13:36 | Kemonomimi: We give Mari our blessing
1:13:43 | max r: that's us, papa sprouts
1:13:48 | Aggressive Quack: 😔 they grow up so fast, you have my blessing
1:13:56 | Mew: カビゴン Snorlax ojisan
1:13:57 | Verijero: i cant even imagine the nightmare for japanese people when it comes to english pronunciation
1:14:02 | Ekusupuroshon: Deku tree!!!
1:14:11 | Moeniki: whoah, nice BGM
1:14:14 | awarmcomfybed: Beartani about to beat us up
1:14:22 | Akka Oni: Correct! Well done.
1:14:24 | MBmasher: music sounds ile pokemon lol
1:14:45 | SkysNotTheLimit: Bear is strongest!
1:14:45 | Verijero: thats a fat plant
1:14:46 | Ekusupuroshon: Is this the end bros?...
1:15:07 | HashSlash: Aubrey's super tough if you make her angry
1:15:30 | Raziel: teamwork time
1:15:53 | Hickey Comory: The power of friendship!
1:16:01 | Rob G.: Send Beatani your energy! UOOOOOOOOOH!
1:16:28 | HashSlash: 🙌
1:17:20 | Megiddo: lol
1:17:29 | Mew: UOOOOOOOOOH!
1:17:38 | mexeuphemism: 🙌
1:17:48 | Theblekedet: lol
1:17:49 | Raziel: 🙌
1:17:52 | Nasty Yukari: 🙌
1:17:59 | Rob G.: 🙌
1:18:03 | (Verified, Moderator) Streamlabs: SuukottoFunsha just tipped $7.82 dayo!
1:18:11 | Sol Codguy: 🙌
1:18:31 | Ain't It: Bear strong!
1:18:32 | Suukotto Funsha: 🙌
1:18:36 | Ekusupuroshon: 🙌 I beliv
1:18:56 | Verijero: lmao
1:19:02 | Stray Wolf: "I was waiting for this" 
1:19:02 | I like the spikeman: 🙌
1:19:04 | SkysNotTheLimit: PK STARSTOORM
1:19:10 | Mew: 🔥🔥
1:19:13 | Absolute Link: stronk
1:19:16 | Sunspots: ojiisan got mauled
1:19:18 | I like the spikeman: 👏👏👏
1:19:19 | Ekusupuroshon: did you see that Shinji?
1:19:30 | Des Dichado: 8888
1:19:34 | Rob G.: sure, you are
1:19:41 | Mechanized Doge: がんばれ　＼(^o^)／
1:19:43 | Suukotto Funsha: 👏👏👏 Nice work Beatani
1:19:55 | RBZE7: im wasted and i love cun... cute and funny bear
1:21:16 | ellescer: hello fellow kunnisseurs 
1:21:50 | SkysNotTheLimit: Hope you dads are having a good evening
1:22:29 | HashSlash: You too Sky
1:22:47 | Ekusupuroshon: Kinda kowai
1:22:50 | coba cobra: thats pretty good pic
1:23:21 | Rob G.: he sad boi 😞
1:23:31 | Megiddo: dark? like morbid?
1:23:38 | Hickey Comory: Yeah, it's a bit dark
1:23:39 | Yamoyashi: hello kuma
1:23:40 | Megiddo: oh goth
1:23:42 | Mew: 🌧
1:24:11 | Nasty Yukari: yah he looks depressed
1:24:11 | Yamoyashi: yes omori has dark themes in it
1:24:18 | HashSlash: The kids are fighting again 😞
1:24:19 | Verijero: what does "omori" mean here? short for hikikomori?
1:24:22 | mexeuphemism: :buffering: 😞
1:24:22 | I like the spikeman: F
1:24:23 | Raziel: I'm going to beat YouTube up for messing with our daughter's stream!
1:24:23 | Canna: 😭
1:24:26 | Sayonara: 😞
1:24:28 | Stray Wolf: maybe in another stream Kuma-san 
1:24:28 | gyroninja: maybe try just restarting your youtube stream?
1:24:28 | Aggressive Quack: Musket time
1:24:29 | Rob G.: don't worry
1:24:29 | MiiMuu: youtube is not cute or funny
