-1:34:58 | (New member) ThePlatinumCan: :_sprdo:
24:36 | (New member) Ekusupuroshon: Remoto kids . ..
24:47 | (New member) max r: i think he wants some 🦀
24:51 | (New member) Ark K.: watamelon bros
24:57 | SpaceTalon: based
24:57 | (New member) TWAIN: watamelon
24:57 | (New member) Ekusupuroshon: watamelon...
25:06 | (New member) Firstname Lastname: watamelon
25:06 | (New member) paiza: cheap 
25:11 | Kipper Dog: oof
25:16 | (New member) Stray Wolf: watamelon... 
25:17 | (New member) Zhnigo: what a cheapskate
25:23 | (New member) Firstname Lastname: watamelon.....
25:35 | SpaceTalon: WRITE IT DOWN
25:40 | (New member) WizJR W: Will the bear rememeber
25:42 | (New member) Megiddo: might want to write orders down
25:50 | (New member) Raziel: 2 armor 3 days
25:51 | (New member) Ekusupuroshon: she already forgot the order
25:53 | (New member) ThatVidyaGuy: 2 armors in 3 days
25:54 | (New member) Megiddo: 2 armors on day 13
25:55 | (New member) paiza: bear remember about the order
25:59 | (New member) Zhnigo: 0.5 armors in 6 days
26:06 | (New member) Ark K.: you can check the order by talking to tear
26:10 | (New member) BasedBug: 3 armors in 2 days
26:15 | (New member) Transcendental_ColonThree: there are reminders if you press C and check quick menu
26:15 | (New member) The Flesh Is Weak: 2 armor + 1 Watamelon
26:26 | (New member) max r: he is loaded
26:27 | (New member) Voltage: :_sprdo:order, what order:_sprdo:
26:28 | (New member) Mister Eko: anone...
26:29 | (New member) TWAIN: bea loves ojisans...
26:36 | (New member) Transcendental_ColonThree: *talking to tear, yea
26:38 | (New member) anonEDM: 23 armors in 32 days
26:38 | (New member) max r: 2 armor
26:40 | (New member) BasedBug: Two armos
26:40 | (New member) ThatVidyaGuy: 2 armors
26:49 | (New member) Ekusupuroshon: the watamelon is important
26:56 | (New member) Ark K.: uhhh
26:57 | (New member) Mister Eko: 9000%
26:58 | (New member) Megiddo: you are buying this
26:59 | (New member) WizJR W: 2 armors, 3 days, and 5 watermelons
26:59 | (New member) max r: arent you buying it?
27:00 | (New member) TWAIN: OI
27:00 | Axiis: NO
27:03 | (New member) MBmasher: hmm
27:03 | (New member) TWAIN: OOOOOOOOOOOI
27:03 | (New member) Ekusupuroshon: stop
27:04 | stuffed idiot: b-based?
27:05 | (New member) max r: bea....
27:06 | (New member) ZVN: Nobody asked for armors??
27:07 | (New member) TWAIN: SHES SELLING IT
27:07 | (New member) XeniVari: Not again...
27:08 | (New member) Stray Wolf: 2 million armors in 3 centuries 
27:09 | rev: LOL
27:09 | (New member) ThatVidyaGuy: LOL
27:11 | (New member) Transcendental_ColonThree: Over 9000.... M-Masaka....
27:12 | (New member) LapanNaxela: Your 30k target Bea....
27:15 | (New member) ZVN: lmfao
27:16 | (New member) Mister Eko: 13000%
27:16 | (New member) TWAIN: DONT THROW MONEY BEACHAMAAAA
27:17 | (New member) Rob G.: good end
27:23 | (New member) Stray Wolf: Bea... 
27:24 | (New member) CantDood: when in doubt follow your heart
27:25 | (New member) paiza: little girl is gonna starve
27:25 | (New member) Ekusupuroshon: Dame!
27:27 | (New member) Tuffee: SIMP AWAY
27:29 | (New member) Stray Wolf: she's selling 
27:29 | (New member) gyroninja: Just think how much she will love you for doing that
27:30 | (New member) Zeng: you have to resist
27:30 | Kipper Dog: danjyarasu
27:32 | (New member) Ark K.: groomer bea
27:33 | (New member) max r: very dangeryasu
27:39 | (New member) Zhnigo: as danjyarasu as you make it
27:41 | (New member) Ekusupuroshon: Oi!
27:42 | (New member) Megiddo: 60
27:49 | (New member) Canna: Think about the numbers
27:51 | (New member) XenMaster220: grooming bear:_sprdo:
27:52 | (New member) TWAIN: gan :_bea:tte!
27:52 | (New member) max r: poor girl
27:54 | (New member) Stray Wolf: 60
27:55 | (New member) Transcendental_ColonThree: rori heart = broken
27:56 | (New member) paiza: she made her cry 
27:57 | (New member) Mister Eko: if they don't have money they are not welcome here
27:58 | (New member) The Flesh Is Weak: NO BULLY
28:00 | (New member) WizJR W: cheap bear..
28:05 | (New member) 77Yuja_: 何でやねん
28:05 | (New member) gyroninja: You disappointed her...
28:06 | (New member) Zia: Suspiciously cheap
28:09 | (New member) Raziel: peroperod
28:12 | (New member) Tuffee: you robbed her
28:13 | (New member) MBmasher: sadistic bear
28:13 | (New member) Voltage: give her a discount:_sprdo::_yah:
28:17 | (New member) Zhnigo: you can make it TOO cheap?
28:21 | (New member) paiza: little girl played bear like a fiddle
28:28 | tokanite: Stealing a little girls money 
28:29 | (New member) Ekusupuroshon: The bear has no limits
28:34 | (New member) Zia: She was concerned it was that cheap
28:34 | (New member) The Flesh Is Weak: *slurp*
28:35 | (New member) Margrave: 😰
28:39 | SpaceTalon: watermelon next to window = based
28:39 | (New member) Megiddo: if they are sellin git @Zhnigo 
28:40 | (New member) TWAIN: @Zhnigo bea was buying not selling
28:43 | (New member) CantDood: that was a good slurp 8/10
29:17 | (New member) Zhnigo: oh
29:27 | (New member) paiza: foodstuffs
29:31 | (New member) Ekusupuroshon: ogey
29:34 | SpaceTalon: WRITE IT DOWN 
29:34 | (New member) paiza: 2 for 2
29:40 | (New member) WizJR W: waternelons
29:40 | (New member) Raziel: I would like 2 food pleaes
29:43 | (New member) Megiddo: 2 foods on day 12
29:44 | (New member) Rye Mountain: 2 breads seems easy
29:53 | (New member) ZVN: 2 foodstuffs in 3 armor
29:57 | (New member) Xayn: I actually learned the word "foodstuff" with this game years ago
30:01 | SpaceTalon: Nice! Smart bear 😀 
30:04 | (New member) paiza: smart bear
30:20 | (New member) Ekusupuroshon: Candycoin...
30:20 | (New member) Ark K.: oh, you can buy lots of sweets and sell them for huge profit
30:24 | (New member) BasedBug: RUN GIRL
30:24 | (New member) Tuffee: oh no
30:26 | (New member) CantDood: :_sprdo:
30:27 | (New member) Tachi: Bea...
30:28 | (New member) The Flesh Is Weak: :_sprdo:
30:34 | (New member) ThatVidyaGuy: little girl run!
30:36 | (New member) Canna: Here's your chance 
30:37 | (New member) CommanderMichael: bea....calm down
30:38 | (New member) TWAIN: 落ち着いて...
30:39 | (New member) Megiddo: :_uooooh:
30:45 | (New member) Zhnigo: she's doing it for free
30:46 | (New member) Voltage: grooma kuma:_sprdo:
30:49 | (New member) paiza: sell it to her after you fix it
31:02 | (New member) Ekusupuroshon: Groomer kuuma:_sprdo:
31:07 | (New member) RussianAnimeBot: lol
31:08 | BakedBanana: oh
31:10 | stuffed idiot: she got away...
31:17 | (New member) Mister Eko: *slurps*
31:19 | (New member) Ekusupuroshon: slurp
31:21 | (New member) TWAIN: :_nukutea:
31:23 | Woop Woop: slurp
31:27 | (New member) CantDood: *sip*
31:33 | (New member) paiza: groomer kuuma 
31:33 | (New member) Margrave: :_nukutea::_sprdo:
31:35 | (New member) paiza: hahahahah
31:43 | (New member) paiza: :_sprdo:
31:49 | (New member) Ark K.: invest in candy apples
31:58 | (New member) max r: watamelon
32:08 | (New member) RussianAnimeBot: *sluuuurp* ahhhhh
32:09 | (New member) max r: do they sell beacoin?
32:24 | (New member) Zhnigo: bea is already operating like a professional
32:31 | (New member) RussianAnimeBot: shotamelon
33:05 | (New member) CommanderMichael: i like your low serious voice bea :_sprdo: 
33:51 | (New member) Ekusupuroshon: Bea's onee-san voice suki
34:02 | (New member) Zhnigo: Man.
34:18 | (New member) Transcendental_ColonThree: What atmosphere you have? If you have recette in center you get most customers
34:44 | (New member) Transcendental_ColonThree: :_sprdo:
34:46 | (New member) max r: hmmm
34:51 | (New member) TWAIN: denied
34:51 | (New member) Ark K.: :_kita:
34:57 | (New member) paiza: hmmm
35:10 | (New member) Herbie Cucumber: Bea missed the flag.....
35:37 | (New member) Tianfang's Adventures: :_sprdo: Capitalism ho!
36:02 | (New member) Ekusupuroshon: Loli route flag?
36:10 | (New member) Transcendental_ColonThree: For guild master you can often go 160%, make big money kuma
36:12 | (New member) BasedBug: yahpitalism
36:17 | (New member) Zeng: that guy is so poor
36:52 | (New member) The Flesh Is Weak: sell 10 chocolate to loli for architect route
36:58 | (New member) Ark K.: actually no, guild master accepts 133% max i think
36:59 | (New member) ZVN: Poor Bea, if only she had a bracelet she could have gotten the loli date event.
37:07 | (New member) Transcendental_ColonThree: yayifications :_sprdo:
37:08 | (New member) RussianAnimeBot: poor AWAY
37:23 | (New member) Zeng: he finally bought something
37:51 | (New member) Transcendental_ColonThree: gold statues etc
37:55 | (New member) Transcendental_ColonThree: or silver
38:13 | (New member) Transcendental_ColonThree: currently you do not have any
38:25 | (New member) Transcendental_ColonThree: it would have red nametag
39:00 | (New member) Fake Name: If it's up in price, its name will be red
39:07 | (New member) Ark K.: :_sprdo:
40:14 | (New member) Xayn: lmao 2hats
40:15 | (New member) BasedBug: lmao 2hat
40:17 | (New member) Zeng: why does she need 2 hats she only has 1 head
40:27 | (New member) Transcendental_ColonThree: 2huats
40:29 | (New member) Zhnigo: lmao 2hat
40:35 | (New member) XenMaster220: 2 hats:_kita:
40:44 | (New member) Fake Name: Lol 2hat
40:58 | (New member) paiza: 1 head 2hat
41:00 | (New member) Ark K.: lmao
41:01 | (New member) Ekusupuroshon: why 2hats papa?
41:03 | P. Armoure: Beatani you should add hats to your merch store
41:04 | (New member) paiza: no sense
41:10 | Börk Börk: Grandmother's cherry? Uhhhh....
41:11 | (New member) Raziel: Selling your grandma's cherry!
41:13 | (New member) ZVN: He's selling his grandma's cherry...
41:15 | (New member) Canna: Heirloom cherries?
41:17 | (New member) Zeng: yab
41:29 | rev: These are so silly sometimes
41:29 | (New member) Mister Eko: what
41:34 | (New member) Zhnigo: "lmao 2cat" is a silly dwarf fortress meme
41:36 | (New member) BasedBug: Maybe she just recently died
41:37 | (New member) paiza: grandmother lied
41:40 | rev: She has kept this cherry all her life
41:43 | stuffed idiot: grandma was foolish
41:44 | (New member) Megiddo: so much for treasured cherry
41:48 | (New member) The Flesh Is Weak: Let's goooo
41:51 | (New member) paiza: she already sold the cherry
42:14 | (New member) Mister Eko: cherry boys...
42:20 | (New member) Raziel: she still has the box it came in though
42:23 | (New member) Fake Name: The sacred family cherry
42:23 | rev: popped grandma's cherry
42:32 | (New member) Herbie Cucumber: we're on the dead grandma route now
42:43 | (New member) paiza: watamelon
43:23 | (New member) Megiddo: big improvemetn
43:26 | (New member) TWAIN: grey adventurer-kun...
43:43 | (New member) Zhnigo: gotta groom the adventurer
43:47 | (New member) Ark K.: louie is green now
43:49 | (New member) Shippo: remember, buy high sell low
44:01 | (New member) Hanabi: adventurers wear the armor they buy from you so if they want something really good it can be in your best interest to give them a good sale
44:03 | rev: 30k pixivs
44:05 | (New member) paiza: capitalism solved
44:38 | (New member) Megiddo: yeah that's why the stats pop up
45:37 | (New member) paiza: grandmas cherries
45:45 | darukaru: grandma’s cherry sold
45:46 | (New member) The Flesh Is Weak: she does, but housewives arent foolish
45:51 | (New member) StrangerSeen: Beartani more like Bullishtani
46:06 | (New member) RussianAnimeBot: lol
46:15 | (New member) Shippo: stonks time
46:20 | (New member) The Flesh Is Weak: Watamelon time
46:22 | (New member) Transcendental_ColonThree: red price = you can sell them for 160-200% at least usually
46:26 | (New member) Zeng: you can sell them for twice as much
46:41 | (New member) Fake Name: Red price: try for 250%
46:42 | (New member) ThatVidyaGuy: I can't wait for Beatani to use her newfound knowledge of business to increase the price of membership by 9999%
46:42 | (New member) StrangerSeen: stonk go up
46:44 | (New member) Transcendental_ColonThree: maybe save game . w.
47:18 | (New member) Fake Name: Don't buy red!
47:20 | (New member) Tuffee: You pay more to buy them when they are red too
47:29 | (New member) Herbie Cucumber: no!
47:37 | (New member) StrangerSeen: Red very expensive!
48:04 | (New member) Fake Name: But if you fail to sell them before they go down in price, you've lost money.
48:12 | (New member) Zeng: buy blue sell red
48:44 | (New member) Hanabi: BUY HIGH SELL LOW
48:57 | (New member) Tuffee: no you don't understand!
49:00 | (New member) StrangerSeen: Uooooooooohhhhhhh
49:02 | (New member) Mister Eko: Guys, I think she doesn't know yet that red is expensive...
49:07 | Sheep: just a gray passing by....
49:09 | (New member) paiza: uoooh
49:13 | (New member) Firstname Lastname: 😭😭😭
49:18 | (New member) BasedBug: RUN
49:22 | (New member) Ekusupuroshon: what?
49:27 | (New member) paiza: why we helping children for free
49:28 | (New member) ZVN: lmfao
49:30 | Question Box: hot
49:33 | (New member) Ekusupuroshon: abayo...
49:37 | darukaru: every nook and cranny
49:39 | (New member) The Flesh Is Weak: abayoooo
49:42 | (New member) max r: she is DARK
50:06 | (New member) Fake Name: Using Tear's fluids to warm the store!
50:35 | (New member) Fake Name: Try as high as 260%
50:39 | (New member) max r: deep pockets
50:45 | (New member) StrangerSeen: 250% more or less
50:45 | (New member) Zhnigo: capitalism at work
50:48 | (New member) Transcendental_ColonThree: Yes
50:54 | (New member) Hanabi: you can always sell red for 200% plus the usual additional price of 10-50%
50:56 | darukaru: 💴💴💴
51:12 | (New member) Megiddo: remember he is poor
51:25 | (New member) Ekusupuroshon: poor guy...
51:31 | (New member) TWAIN: capitalism ho
51:41 | (New member) The Flesh Is Weak: yab
51:43 | (New member) Tachi: :_kita:
51:44 | (New member) Shippo: seems about right
51:46 | TheFlyingWingNut: cash money
51:47 | (New member) Mister Eko: wow
51:49 | (New member) Megiddo: Capitalism HO
51:49 | (New member) BasedBug: BIG SALE
51:49 | (New member) max r: 🪙🪙🪙
51:50 | (New member) StrangerSeen: SUGOOOIII
51:50 | (New member) Luginov: now this is capitalism
51:50 | (New member) Transcendental_ColonThree: Learning kuma
51:51 | Börk Börk: Capitalism, ho!
51:54 | (New member) Raziel: :_kita:
51:54 | (New member) RussianAnimeBot: lol
51:55 | darukaru: sugoi watamelon 
51:55 | (New member) Firstname Lastname: based capitalist Bea
51:56 | Sleep: capitalism is smazing
51:57 | (New member) Shippo: ho/10
51:59 | (New member) Sol Codguy: :_kita:
51:59 | (New member) Xayn: Capitalism!!!
52:00 | (New member) StrangerSeen: CAPITALISM HO!
52:00 | stuffed idiot: IKZ
52:00 | (New member) Transcendental_ColonThree: welcome to CAPITALISM HO :_sprdo:
52:03 | (New member) Mister Eko: cute evil laugh
52:05 | monkeynohito: Capitalism ho, indeed
52:19 | (New member) Ark K.: the rush
52:19 | (New member) Karren Taleb: :_kita::_kita::_kita::_kita:
52:23 | rev: Now you're feeling it!
52:23 | (New member) Zhnigo: scalping bear
52:25 | (New member) max r: o ho ho ho ho ho
52:25 | (New member) Ark K.: 280
52:27 | (New member) StrangerSeen: :_sprdo: WOOO! :_sprdo:
52:28 | (New member) Tachi: ww
52:29 | (New member) Transcendental_ColonThree: and if the price is blue = you can buy things from customers for around 30% :_sprdo::_sprdo:
52:30 | (New member) ZVN: LOL
52:30 | (New member) Megiddo: the worst girl
52:31 | (New member) Tuffee: kek
52:31 | Woop Woop: LOL
52:36 | (New member) ZVN: You're buying
52:36 | (New member) Ekigo: Bea...
52:37 | (New member) Mister Eko: no way desuwa
52:37 | (New member) paiza: catalism hohoho
52:37 | (New member) Ekusupuroshon: ojousama peropero shitai
52:37 | (New member) Mister Eko: what
52:38 | (New member) Mister Eko: WHAT
52:39 | (New member) Firstname Lastname: LOL
52:42 | (New member) Margrave: OMG
52:42 | (New member) max r: WEHAT
52:42 | (New member) Ark K.: omg
52:43 | (New member) Luginov: beatani...
52:45 | (New member) Margrave: NANI!?!?
52:45 | (New member) Transcendental_ColonThree: ????
52:45 | (New member) Mister Eko: BEAAAAAA
52:45 | (New member) Megiddo: you lost the money
52:46 | rev: LOL
52:46 | (New member) StrangerSeen: ????
52:46 | (New member) Transcendental_ColonThree: KUMA NO
52:47 | MonquSurtonpif: LMAO
52:47 | monkeynohito: wat
52:47 | (New member) The Flesh Is Weak: UOOOH
52:47 | (New member) BasedBug: Wow
52:48 | darukaru: UOOOOHHHHHHHHHHHH
52:48 | stuffed idiot: LOL
52:48 | (New member) Luginov: hahahaha
52:49 | Woop Woop: LMAO
52:49 | (New member) Zhnigo: WHAT
52:49 | Sleep: LOL
52:49 | Sheep: lol
52:50 | (New member) Ark K.: buy
52:50 | (New member) ThatVidyaGuy: LMAO
52:50 | Woop Woop: BEATANI
52:51 | (New member) Transcendental_ColonThree: KUMAAAAAAAAAAAAAAAA
52:51 | (New member) Mister Eko: AAAAAAAAAH
52:51 | (New member) Canna: Niceeee
52:51 | Cyshio: Bea...
52:51 | (New member) Tachi: LMAOO
52:51 | (New member) TWAIN: BEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
52:52 | (New member) Hanabi: OUT FUCKING SKILLED
52:53 | rev: AHAHAHAHAHAHA
52:53 | (New member) Tuffee: hahaha
52:53 | (New member) max r: BEA
52:54 | (New member) StrangerSeen: BEAR WHY
52:54 | TheFlyingWingNut: LMAO
52:54 | (New member) Margrave: Rob her AGAIN
52:54 | (New member) Zeng: F
52:54 | (New member) Herbie Cucumber: ???????????????
52:55 | (New member) No Body: BEA YOU BOUGHT IT
52:55 | yes: LOL
52:55 | (New member) Transcendental_ColonThree: NO SAVE....
52:55 | stuffed idiot: BEATANI PLS
52:55 | (New member) BasedBug: KUSA KUMA
52:56 | (New member) ZVN: LMAO
52:57 | (New member) MBmasher: ??!?!?!?!?
52:57 | (New member) XenMaster220: :_sprdo::_sprdo:
52:58 | WhiteWish DY: LOL
52:58 | (New member) Canna: Good beef bowl 
52:58 | rev: BAKA BEAR
52:59 | (New member) The Flesh Is Weak: OutKEKED
52:59 | (New member) Herbie Cucumber: ??????????????
52:59 | (New member) Shippo: IKZ
53:01 | (New member) Ekusupuroshon: capitalism....
53:02 | (New member) TWAIN: BAKAAAAAAAAAAAAA :_kita:
53:03 | (New member) Rye Mountain: F
53:03 | (New member) StrangerSeen: BEAR PLEASE READ
53:04 | (New member) CommanderMichael: BEA, MY EARS
53:05 | Börk Börk: Capitalism NO!
53:05 | (New member) gyroninja: that was on purpose...
53:06 | (New member) BasedBug: DUMMY
53:06 | (New member) Xayn: RELOAD
53:07 | (New member) Margrave: That's capitalism!!
53:10 | Nue Houjuu: yummy beef bowl
53:10 | (New member) anonEDM: she bought the dip
53:10 | (New member) Mister Eko: Beachama...
53:12 | (New member) Zhnigo: easy come easy go
53:12 | (New member) Tachi: BAKA KUMA BAKA KUMA
53:13 | (New member) Zed: lmfao
53:14 | (New member) Ekusupuroshon: She bought it
53:16 | WeeabooSlime: capitalism ho!
53:16 | MonquSurtonpif: WALLSTREET BEA
53:16 | (New member) Rye Mountain: Bankrupted bear
53:17 | (New member) paiza: sad
53:18 | Börk Börk: You just went full communism
53:18 | (New member) Megiddo: capitalism... ho?
53:20 | (New member) Firstname Lastname: WTF I hate capitalism now
53:21 | (New member) CommanderMichael: F
53:21 | (New member) gyroninja: Buy high...
53:24 | stuffed idiot: foolish bea...
53:28 | rev: Holy shit
53:28 | (New member) BasedBug: The stupidest bear!
53:29 | (New member) Sol Codguy: capitalism gives and it takes
53:29 | (New member) max r: CAPITALISM, HO!
53:30 | (New member) paiza: sad
53:32 | (New member) Shippo: BUY HIGH SELL LOW
53:33 | MiiMuu: DOOMP IT
53:33 | (New member) Raziel: Is is possible to reload?
53:33 | yes: buy high sell low
53:38 | darukaru: NEVER SHORT BEEF BOWL
53:39 | (New member) ThatVidyaGuy: LIQUIDATED
53:40 | (New member) paiza: foolish
53:44 | Sheep: h-ho....!!!!!
53:44 | (New member) The Flesh Is Weak: all those superchats...
53:44 | (New member) Ekusupuroshon: Dumpf it
53:46 | (New member) BasedBug: HOMLESS DAUGHTER
53:48 | (New member) Luginov: pain..
53:50 | (New member) Xayn: All in GME BABY 💎🙌💎🙌
53:55 | (New member) paiza: foolish bear
53:57 | (New member) Tuffee: foolish kuma
54:00 | (New member) TWAIN: homeless bear...
54:02 | (New member) Mister Eko: The ojou-sama is now happy at least...
54:03 | (New member) Margrave: Buy low...sell high...
54:04 | Brandcrisp: lmfao
54:07 | (New member) Hanabi: BUY HIGH SELL LOW
54:07 | (New member) Transcendental_ColonThree: sasuga
54:07 | (New member) ZVN: I can't believe you gave away the money you were gonna propose to the loli with...
54:08 | Woop Woop: FOOLISH BEAR
54:10 | (New member) Megiddo: be sure to dungeon tomorrow
54:12 | (New member) Mister Eko: RTA BANKRUPT LET'S GOOOOOO
54:15 | (New member) Canna: Spaghetti hands 
54:16 | (New member) Herbie Cucumber: maybe you can move in with the ojou-sama now
54:17 | (New member) ThatVidyaGuy: 🔻🔻🔻↘BEACOIN DUMPING
54:17 | (New member) No Body: holy shid bea:_sprdo:
54:18 | Sheep: time for a comeback
54:19 | (New member) paiza: foolish but cute
54:25 | (New member) TWAIN: reload last save
54:27 | InubaSHIRI Momiji: bea I was gonna introduce myself but you gotta savescum
54:28 | (New member) Antonio Badilla: おはだよ
54:29 | (New member) Rye Mountain: 0 pix...
54:29 | (New member) TWAIN: saves you the pain
54:33 | (New member) paiza: the bear strikes back
54:34 | (New member) Zia: Ojou is rich now...
54:35 | (New member) XenMaster220: ...
54:36 | (New member) Shippo: bear can sing and draw but bear cant read, that's fine
54:44 | rockjawz: lol
54:46 | (New member) BasedBug: You COULD try to make that money back, but it's probably impossible
54:47 | (New member) paiza: sell everything 300%
54:50 | (New member) Tachi: :_sprdo:
55:00 | (New member) LapanNaxela: Bea...
55:08 | monkeynohito: Keep going, you traded merchant combo to take advantage of allouette
55:18 | (New member) Luginov: time to start the stream over
55:22 | (New member) Mister Eko: You can still do it... 3 days left... more than enough... remember that you can't reload life... 
55:30 | yes: final yab
55:35 | (New member) Zhnigo: time to live in a cardboard box
55:37 | Sheep: the beauty of capitalism
55:37 | (New member) BasedBug: Dumb dumb
55:40 | (New member) max r: It was done for the sake of comedy
55:43 | (New member) Zhnigo: but at least you can enjoy the beef bowl
55:47 | monkeynohito: oh wait, she bought? hahaha
55:51 | Sleep: speedrun this life
55:55 | (New member) LapanNaxela: You gotta get over your 🦀 addiction, it's not healthy
55:57 | (New member) paiza: i can give u 2 wheat for that red
55:58 | stuffed idiot: where did we go so wrong dads?
56:01 | (New member) LapanNaxela: this is an intervention
56:07 | (New member) Transcendental_ColonThree: damage control = high
56:09 | (New member) Ekusupuroshon: she says she'll recover kek
56:11 | (New member) RussianAnimeBot: dont do anything foolish
56:11 | (New member) TWAIN: いいよいいよ、えらい子えらい子
56:15 | Hacooray: rich bear!
56:15 | (New member) paiza: I'm calling the school
56:18 | (New member) Tuffee: it's just the cost of grooming cute girls
56:20 | (New member) Zia: :pain:
56:22 | stuffed idiot: recover in 3 days...
56:34 | (New member) The Flesh Is Weak: should've done your handreps beforehand
56:37 | (New member) BasedBug: SELL
56:39 | Hacooray: kids get out!
56:50 | yes: sell
56:55 | (New member) RussianAnimeBot: what a little brat
56:59 | (New member) Shippo: kids AWAY
57:08 | (New member) Zhnigo: second hand bread...
57:13 | (New member) paiza: children rip you off
57:15 | eat: sell cunnys
57:27 | (New member) Mister Eko: loui...
57:28 | (New member) Ekusupuroshon: The cute and funny tricked Bea
57:55 | (New member) Mister Eko: BUY BUY BUY
58:00 | (New member) max r: O HO HO HO HO
58:03 | (New member) Raziel: control yourself bear
58:06 | (New member) BasedBug: DON't TRUST HER
58:08 | (New member) Ekusupuroshon: Buy 955%
58:10 | (New member) Tuffee: BUY HIGH SELL LOW
58:13 | (New member) Rye Mountain: The top scammer returns
58:17 | (New member) max r: she is just there to take advantage of you
58:20 | Woop Woop: aluet
58:22 | (New member) ThatVidyaGuy: BUY HIGH SELL LOW BEA
58:22 | stuffed idiot: came back to kick you while you're already down
58:24 | (New member) ZVN: Are you gonna buy it with all your money again?
58:24 | (New member) The Flesh Is Weak: secsu...
58:26 | (New member) LapanNaxela: buy 17759 pix
58:28 | rev: 17k apple
58:29 | (New member) TWAIN: BUY HIGH SELL LOW
58:30 | (New member) paiza: don't trust the wench
58:35 | (New member) Ekusupuroshon: seksu...
58:53 | (New member) Mister Eko: maybe she can recover
58:55 | (New member) Rye Mountain: She managed to not buy the apple for 17k! Amazing!
58:56 | (New member) paiza: the return of the Bea
59:04 | (New member) Shippo: god gamer
59:06 | (New member) BasedBug: LMAO 2HAT
59:13 | (New member) Ekusupuroshon: 2 hats reary??
59:14 | (New member) max r: she has 4 heads
59:18 | yes: ?
59:20 | (New member) Zhnigo: at a speed of 1 hat per day
1:00:22 | (New member) LassesAffar: hats for her dogs
1:00:22 | (New member) Ekusupuroshon: Because one hat is not enough!
1:00:24 | (New member) Transcendental_ColonThree: It's best to have at least 10x of cheapest thing for emergency to not miss any orders
1:00:29 | (New member) Yamoyashi: :_oha::_dayo::_kita:
1:00:34 | (New member) Luginov: somehow already recovered the pix from her foolish moment
1:00:36 | (New member) paiza: aksesori
1:00:38 | (New member) Luginov: she'll make it
1:01:26 | (New member) Ekusupuroshon: She did it:_sprdo:
1:01:28 | (New member) Zhnigo: the 29k beef bowl
1:01:28 | (New member) gyroninja: Recovered:_kita::_kita::_kita:
1:01:30 | (New member) Rye Mountain: She sold the beef bowl
1:01:32 | (New member) Hanabi: you didn't really get much of a return on that beef bowl...
1:01:44 | (New member) Rye Mountain: 29k buy and 2k sell. What a deal
1:01:44 | (New member) Mister Eko: tensai kuma, everything was part of her plan
1:01:52 | (New member) TWAIN: can the bear get lucky
1:01:58 | (New member) LapanNaxela: I'm afraid you will 
1:02:05 | (New member) Ekusupuroshon: The spirit of Adam Smith lives on this bear
1:02:12 | (New member) Tachi: :_kita::_kita::_kita:
1:02:12 | (New member) Herbie Cucumber: everything's coming up beatani
1:02:18 | (New member) LapanNaxela: have to sell the other kidney too, Bea
1:02:26 | (New member) Megiddo: over 30k
1:02:26 | (New member) max r: :_kita::_kita::_kita:
1:02:28 | (New member) max r: THIS LUCKY BEAR
1:02:29 | (New member) Tuffee: erai
1:02:29 | rev: 30k
1:02:36 | (New member) paiza: lucky
1:02:38 | (New member) Ekusupuroshon: :_kita::_kita::_kita:
1:02:41 | (New member) Mister Eko: this kuma is too strong
1:02:41 | (New member) paiza: no...
1:02:45 | (New member) Raziel: sasuga
1:02:47 | (New member) Zeng: □
1:02:49 | (New member) paiza: ITS ALL SKILL
1:02:49 | stuffed idiot: s-sugoi
1:03:06 | (New member) Shippo: GOD GAMER
1:03:15 | (New member) Zhnigo: outplayed
1:03:19 | (New member) paiza: legend
1:03:39 | stuffed idiot: she was just showing of her mastery of capitalism that's all
1:03:50 | (New member) paiza: top flex
1:04:04 | (New member) paiza: she outgrown her dads
1:04:20 | (New member) Megiddo: it's not... but buy hats
1:05:26 | (New member) Megiddo: shop design changes
1:05:31 | (New member) Transcendental_ColonThree: yes, you can make it more comfy
1:05:38 | darukaru: Comfy store, yeah
1:05:38 | (New member) paiza: more comfy
1:05:44 | (New member) Transcendental_ColonThree: it changes the shop atmosphere
1:05:47 | (New member) Zia: Cosmetics?
1:06:13 | (New member) Megiddo: cosmetic but also sets atmosphere
1:06:23 | (New member) Rye Mountain: Maybe not the right time to buy those now when payment is soon due
1:06:59 | (New member) Tachi: The carpet was there before 
1:07:03 | (New member) Megiddo: I think you need a bit higher merchant level before the option comes up
1:07:06 | (New member) Ekusupuroshon: yes
1:07:32 | (New member) Hanabi: atmosphere influences who comes to your shop and how they feel shopping at your store
1:08:03 | (New member) Zhnigo: can we go full chuunibyou with decorations?
1:08:52 | (New member) Megiddo: downgrade
1:08:56 | (New member) Transcendental_ColonThree: You want to make it balanced, centered 
1:09:05 | (New member) Megiddo: you should have done the parade armor
1:09:08 | (New member) Hanabi: if you dont want them buying armor just try to overcharge them
1:09:12 | (New member) ZVN: lmao
1:09:15 | (New member) Hanabi: though then you'll have the problem of not making any money
1:09:24 | (New member) Rye Mountain: Foolish
1:10:43 | (New member) Megiddo: you are selling here
1:11:10 | (New member) Megiddo: yes
1:11:13 | (New member) Megiddo: doubles are fine
1:11:14 | (New member) Tachi: :_yah:
1:11:30 | (New member) Shippo: nice
