-1:02:05 | Voltage: LETSSS GOOO
42:25 | Sheep: is this supermarket monster hunter?
42:36 | BasedBug: Trees?
42:42 | Megiddo: sure...
42:42 | Einaer: You have them in your Off-hand
42:57 | Börk Börk: Aloe.... it hurts...
42:58 | Monkberry Moon: Maybe in some trees
43:03 | ユーネ / Yuune: pine apple
43:03 | Einaer: But you can get them from beating bushes
43:12 | Zhnigo: aloe...
43:32 | Xayn: We can recreate aloe here
44:02 | Zhnigo: that would be a nightmare scenario
44:03 | Börk Börk: bringe her back, make her better
44:11 | Mechanized Doge: ほうほうほう
44:23 | Zhnigo: we can rebuild her. we have the technology
44:27 | james heller: Uwaa...
44:36 | Yamoyashi: good morning yes
44:42 | Tachi: Lol
44:44 | TWAIN: Chihiro...
44:49 | thelastshinobi56: Lol
44:52 | Mew: Very cute
44:52 | BasedBug: Wow, clearly very strong
44:54 | max r: my daughter is perfect just the way she is
45:04 | Raziel: Won the blue ribbon at the county fair!
45:05 | imalittle cupcake: Chihiro peak performance
45:06 | Antonio Badilla: Put more eyes in her back so she cant be surprised.
45:11 | Absolute Link: she is great
45:13 | thelastshinobi56: Revenge for the XP hill incident?
45:22 | Zeng: her leg is so strong it can't even touch the ground
45:28 | BasedBug: That's really scary
45:30 | Juvisy: Chihiro looks very strong now the extra eyes give her power 
45:44 | Megiddo: with it being named Chihiro this is like budget Sen to Chihiro/Spirited Away
45:54 | Zhnigo: bloodborne vibes
45:56 | BasedBug: Save your sister!
45:58 | Mister Eko: I'm loving this new monster hunter game
46:00 | Mew: RIP
46:04 | ThePlatinumCan: Uh oh
46:05 | thelastshinobi56: nooo
46:07 | Verijero: why is bea a muslim? kek
46:15 | Mew: 😞
46:16 | Margrave: Oh no! 
46:16 | CommanderMichael: you can do it dayo
46:20 | Yamoyashi: CHIHIROO
46:21 | BasedBug: OH NO
46:31 | BasedBug: CHIHIROOOOO
46:31 | Friend: Chihiro is being bullied
46:35 | Verijero: oof
46:36 | Monkberry Moon: That was close
46:39 | HashSlash: Chihiro is strong
46:39 | Hanabi: chihiro too strong
46:40 | Margrave: Nice! 
46:41 | Tachi: Strong
46:50 | Megiddo: that offbalanced leg...
46:51 | Mew: New Legs
46:59 | Vitz: 強い。。。
47:01 | RueTobas: Chihiro is a shounen protagonist
47:07 | Börk Börk: no nekomimi...
47:08 | Zhnigo: this game is lynchian. cute visuals and horrifyng subject matter
47:14 | BasedBug: Run run run!
47:15 | Verijero: chihiro has leg cramps
47:22 | Mister Eko: please... give her a working leg...
47:37 | Canna: I wonder what Chihiro tastes like 
48:01 | HashSlash: 3 legs!
48:02 | Absolute Link: well maybe not MORE, but..
48:02 | Mew: Yes leg leg
48:07 | Börk Börk: 9 legs... imagine.
48:08 | Idle Bear: try cat legs?
48:09 | stuffed idiot: more leg = faster
48:16 | MiiMuu: Kentucky Fried Chihiro?
48:22 | CommanderMichael: more legs for the leg god
48:27 | Zhnigo: chicken, pork and eyeballs
48:41 | Mew: What an abusive bear
48:51 | thelastshinobi56: F chihiro
49:00 | Antonio Badilla: More eyes 360 vision
49:04 | imalittle cupcake: With enough legs she'll have superior balance
49:05 | BasedBug: Is this how a younger sister treats her older sister?
49:10 | RueTobas: Chihiro has beautiful eyes now
49:15 | CommanderMichael: yay
49:22 | stuffed idiot: lol it's uneven
49:42 | Mew: At least it can walk ahaha
49:43 | ThePlatinumCan: Haha
50:11 | Mew: Pineapple on pizza NO
50:41 | Yamoyashi: EAT
50:41 | Mister Eko: That's an amazing eating animation
51:39 | BasedBug: They were just sleeping!
52:06 | TWAIN: can the player die in this game?
52:12 | Voltage: hit ittt
52:14 | LordAziki: You put Chihiro in storage.
52:17 | Friend: Where did Chihiro go?
52:28 | thelastshinobi56: I think chihiro can't attack with the pig nose
52:39 | Zeng: yeah Chihiro is stored away
52:46 | Megiddo: more chances to make it an even bigger monstrosity
52:49 | RBZE7: is Chihiro not feeling so good ?
53:18 | BasedBug: Does Chihiro get stored in Windows Vista?
53:33 | Verijero: pokemon shiny pearl looking good
53:50 | Ikxi: this game looks funky
54:16 | Rusty Shackleford: Did I hear some mouse slamming?
54:25 | Mew: Well this is the first time I'm seeing someoone beat a bush with an eye
54:26 | MiiMuu: it makes me hungry for some reason
54:28 | Mew: Thats for sure
54:34 | Megiddo: hit that branch with a reed!@
54:45 | Ludwig Moons: is this spore?
54:47 | Voltage: chihero
55:08 | Voltage: spore and minecraft basically
55:17 | Marploah: comfy
55:27 | Megiddo: time to ride Chihiro
55:41 | Ikxi: what is that creatuer
55:43 | BasedBug: Let's goooooooo
55:46 | Megiddo: R
55:47 | Rozalind Aria: pig
55:47 | TWAIN: bush is ブシュ, not バシュ
55:52 | Börk Börk: MOunt Chihiro...
55:56 | Zeng: amazing
55:56 | Absolute Link: coool
55:57 | Mew: Oh god
55:57 | CantDood: sugee
55:58 | Jackku Chan: Beautiful...
56:04 | HashSlash: Trusty steed
56:10 | thelastshinobi56: bruh
56:12 | BasedBug: She's fast!
56:12 | Mew: Every balanced 
56:29 | Absolute Link: what is thaaaaat
56:31 | Voltage: ride like the wind chihero
56:46 | Zaszz: that is awesome
56:46 | .sandrio: look at her go
56:47 | Mew: Pig eats tree
57:03 | Mister Eko: I can't believe it's still in early access!
57:19 | Mags Durandal: Niceu
57:33 | Mew: Did she pick it up?
57:39 | coba cobra: nice!
57:54 | rev: おはdayo!
58:13 | coba cobra: battle time
58:34 | Börk Börk: Can chihiro swim?
58:45 | Raziel: yakikaiju
58:50 | Monkberry Moon: Nice
58:53 | Zeng: Chihiro walks on water
58:58 | .sandrio: i dont know anything about this, cant she use the spear for more damage?
59:37 | BasedBug: That's funny, elephant ear is the name of a snack over here
59:40 | Mister Eko: help chihiro!
1:00:01 | coba cobra: chihiro too strong
1:00:03 | Hanabi: chihiro is a bit of a slowpoke
1:00:06 | imalittle cupcake: Let's look, dads
1:00:07 | .sandrio: we have a pastry called pig ears
1:00:26 | Mew: Finally melon pan
1:00:26 | Jackku Chan: Beach and a melon, nice!
1:01:11 | Voltage: bears and melons are the best
1:01:12 | Megiddo: yep, melon pan is good
1:01:14 | Zeng: we see it in anime
1:01:15 | Mew: True
1:01:20 | Absolute Link: never had it
1:01:20 | ThatVidyaGuy: Never had it.
1:01:21 | coba cobra: i don't like melon
1:01:22 | imalittle cupcake: I've not tried it, but I want to
1:01:24 | .sandrio: melonpan is japanese but well known overseas
1:01:24 | ThePlatinumCan: I've heard about it, never ate it.
1:01:25 | cycochaos2: no melon pan here
1:01:26 | TWAIN: i've never tasted melon pan so i can't say
1:01:29 | Shippo: melonpan is great
1:01:31 | Shippo: love it
1:01:35 | Mew: It's literally bread with sugar. No melon.
1:01:36 | Monkberry Moon: Never had it, sorry
1:01:39 | Canna: Melon pan so far away 
1:01:42 | .sandrio: it doesnt taste like melon at all, its pretty much just a sweet pastry
1:01:48 | MentalCatastrophe: no melonpan here
1:01:50 | ThatVidyaGuy: We know of it but we've never tasted it
1:01:51 | max r: melonpan is amazing , but I like curry pan best...
1:01:52 | cycochaos2: bread shaped like melon
1:01:53 | imalittle cupcake: I like red bean paste though
1:01:54 | Juvisy: Melon pan is delicious 
1:01:56 | Vic Kyorlo: why is it called melon then
1:01:58 | Mister Eko: I know it from Shana...
1:02:02 | Mew: Crispy yeah 
1:02:06 | coba cobra: thats a scam!
1:02:09 | Juvisy: Anpan is the best though 
1:02:11 | .sandrio: it looks like one because of the scoring
1:02:12 | Mechanized Doge: メロンパンおいしいね
1:02:15 | Vic Kyorlo: oh because it looks like melon, i guess so...
1:02:17 | Fake Name: Melon pan and melon soda are very Japanese 
1:02:24 | .sandrio: yakisobapan dads rise up
1:02:24 | Börk Börk: The Pan i like most is Pantsu
1:02:36 | Mew: I like when fami melon pan thats filled with melon cream the green one
1:02:39 | ThePlatinumCan: So many years without knowing the truth about melon pan ;__;
1:02:46 | Fake Name: I only know anpan from Anpanman
1:02:55 | Mew: ahahaha
1:03:00 | Mew: What is it doing 
1:03:01 | BasedBug: Chihiro is always hungry!
1:03:05 | Mechanized Doge: 自分は焼きそばパン好きです
1:03:09 | cycochaos2: her lunch...
1:03:09 | Zeng: she ate all the raspberries
1:03:32 | Megiddo: is CHKN just generic name for creature in this game?
1:03:35 | Raziel: Chihiro and Chisato, name a more iconic duo
1:03:59 | Mew: Yakisoba is good but everyone always says it's "carbs on carbs"
1:04:01 | .sandrio: anpan ist also just a pastry with anko in it, the sweet red bean paste? its not my favorite flavor tbh
1:04:01 | cycochaos2: stronk
1:04:13 | Mew: Speaking of chicken famichicken now thats good
1:04:18 | Hanabi: I don't know a chicken leg sounds pretty good right about now
1:04:27 | Voltage: wack it!
1:04:36 | Jackku Chan: Night time, sleepy...
1:04:47 | Mew: Big chicken
1:05:03 | coba cobra: found them!
1:05:03 | .sandrio: i dont care about carbs on carbs if its delicious, one of my japanese roommates ate yakisoba on rice and we laughed at him for that
1:05:05 | TWAIN: an actual chicken
1:05:06 | Zaszz: Angry Chicken!
1:05:10 | Mechanized Doge: 本物！
1:05:11 | Monkberry Moon: lol chihiro...
1:05:12 | RBZE7: obviously, Chihiro is a bear !
1:05:26 | max r: chihiro is title character...
1:05:30 | Hanabi: this actual chicken is like a dark souls boss
1:05:31 | coba cobra: where chihiro?
1:05:31 | Peer: f chihiro
1:05:39 | Jackku Chan: With my speed, I'm sure to win
1:05:40 | Fake Name: This is my nightmare
1:05:40 | Mister Eko: CHIHIRO NOOOO
1:05:43 | Börk Börk: Chihirp ga shinda
1:05:46 | RBZE7: chihiro is not feeling so good right now....
1:05:52 | Suukotto Funsha: I think Chihiro died
1:05:57 | LordAziki: Your sister was killed by chickens.
1:05:57 | Megiddo: eat pineapple?
1:06:01 | Mew: Still better combat then elder scrolls morrowind 
1:06:04 | BasedBug: RIP
1:06:04 | Xayn: F
1:06:07 | Jackku Chan: Chihiro is F
1:06:08 | MiiMuu: chihiro is toast...
1:06:10 | Zeng: she is dead
1:06:10 | Hanabi: F
1:06:13 | ThePlatinumCan: Chihiro...
1:06:14 | Peer: chihiro is "sleeping"
1:06:14 | Absolute Link: noooo
1:06:16 | Antonio Badilla: F
1:06:18 | Mew: TOAST 
1:06:19 | Mew: FFF
1:06:20 | coba cobra: F
1:06:20 | max r: F
1:06:20 | ThePlatinumCan: F
1:06:23 | BasedBug: CHIHIROOOOOOOO
1:06:23 | Canna: F
1:06:24 | Raziel: F
1:06:24 | Absolute Link: oh, just "incapacitated"
1:06:25 | Voltage: F for chihiro
1:06:25 | TomHate: F
1:06:28 | Megiddo: she will revive at that point though
1:06:31 | HashSlash: F
1:06:34 | Monkberry Moon: Noooo
1:06:35 | Tachi: F
1:06:38 | thelastshinobi56: NOOOOO
1:06:42 | .sandrio: F
1:07:04 | Megiddo: F
1:07:05 | Raziel: Chihiro is Beatani's JoJo stand
1:07:05 | ThatVidyaGuy: F
1:07:05 | Xayn: Chihiro 2.0
1:07:06 | Absolute Link: F
1:07:07 | BasedBug: F
1:07:09 | Suukotto Funsha: F
1:07:11 | imalittle cupcake: F
1:07:12 | Shippo: F
1:07:24 | Antonio Badilla: She was too beatiful for this world
1:07:28 | coba cobra: new chihiro
1:07:31 | RBZE7: I think you can still save Chihiro
1:07:51 | Jackku Chan: Can anything replace Chihiro?
1:08:05 | RBZE7: yaaaaaay !
1:08:12 | Zeng: spawn camper
1:08:13 | BasedBug: NOT AGAIN
1:08:13 | .sandrio: we go from chihiro甲 to chihiro乙
1:08:35 | Mew: That thing is scary
1:08:38 | Mechanized Doge: ∆
1:08:56 | Jackku Chan: It ran away!
1:09:12 | BasedBug: She just woke up
1:09:25 | Mew: Chihiro too strong drove it away
1:10:01 | Zeng: level up Chihiro
1:10:39 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
1:10:53 | BasedBug: CHIHIRO NOT AGAIN
1:11:00 | RBZE7: KOWAI
1:11:05 | ThePlatinumCan: Oof
1:11:06 | Absolute Link: sabre-toothed pig lol
1:11:34 | Hanabi: boar is basically just a pig I think
1:11:37 | coba cobra: too many strong creature
1:11:39 | thelastshinobi56: scary
1:11:49 | Jackku Chan: AaaaAA
1:11:51 | BasedBug: Chihiro F...
1:11:57 | Raziel: Is XP hill normally this dangerous?
1:12:01 | TWAIN: F
1:12:04 | Vitz: 破壊
1:12:04 | Jackku Chan: Beatani F...
1:12:08 | Mister Eko: h-hayai
1:12:09 | .sandrio: F
1:12:10 | RBZE7: F
1:12:10 | CommanderMichael: F
1:12:13 | ThePlatinumCan: F
1:12:15 | Nasty Yukari: ohadayo! I just got here and why the heck are we killing pigs? lol
1:12:17 | coba cobra: F
1:12:17 | Nasty Yukari: also F
1:12:28 | (Verified, Moderator) Streamlabs: Peer just tipped $5.00 dayo!
1:12:42 | max r: I dont think any of us really know~
1:13:02 | .sandrio: I have no idea what is going on in this game, is it an openworldcraftingsurvivalbuilding game?
1:13:03 | Hanabi: lost consciousness - passed out
1:13:05 | Börk Börk: Loss of consciousness= K.O.
1:13:07 | Raziel: Consciousness is being awake
1:13:07 | Zhnigo: loss of consciousness = faint, KO
1:13:15 | BakedBanana: oh
1:13:24 | The French Fancie: ohadayo
1:13:46 | Fake Name: It stands for Knocked Out
1:13:51 | Zhnigo: smart bear
1:14:11 | Fake Name: It's a term from boxing
1:14:14 | LordAziki: Cute and funny bear rides her sister.
1:14:15 | Raziel: @.sandrio You make animals out of animal parts and make them fight
1:14:34 | ThePlatinumCan: I need to sleep, goodbye Beatani, goodbye dads.
1:14:47 | Momiji Channel: consciousness = 意識
1:15:40 | Jackku Chan: Cockadoodledoo
1:15:47 | Mew: 3v2 not fair
1:15:47 | The French Fancie: 62 views and 118 likes, youtube is bugged...
1:15:50 | BasedBug: These chickens are really violent
1:15:55 | .sandrio: @Raziel reminds me of impossible creatures, interesting
1:16:06 | Sunspots: thats one angry chicken gang
1:16:06 | BasedBug: F
1:16:15 | LapanNaxela: slime rancher x bugsnaxx?
1:16:25 | Zeng: chicken tail get
1:16:34 | RBZE7: you're really making Chihiro pay for traping you in windows XP hill aren't you..
1:16:37 | Börk Börk: Chihiro version 4
1:16:39 | Hanabi: I think the revive portal is for you, you can revive chihiro from the menu? not sure
1:16:57 | imalittle cupcake: Sukeban chickens
1:17:15 | Mew: Bug free game
1:18:05 | BasedBug: Sister upgrade
1:18:19 | .sandrio: chihiro乙 here we goooooo
1:18:21 | Mew: very stronk
1:18:32 | Absolute Link: domestic violence!
1:18:34 | Mew: Slaps her sorry, slaps again
1:19:05 | Jackku Chan: Aree...
1:19:08 | BasedBug: I think you deleted your sister
1:19:12 | Friend: RIP Chihiro
1:19:17 | LordAziki: You completely took her apart.
1:19:22 | Mew: Noooo
1:19:22 | thelastshinobi56: F
1:19:25 | Antonio Badilla: F
1:19:25 | Hanabi: F for real this time
1:19:27 | Mew: Chihiroooo
1:19:33 | Börk Börk: This isn't a very kami game
1:19:33 | imalittle cupcake: F
1:19:34 | Vitz: F
1:19:34 | ninehundred: oh well
1:19:43 | BasedBug: F
1:19:46 | ThatVidyaGuy: F
1:19:48 | Suukotto Funsha: F
1:19:52 | Sunspots: Fried chicken with bacon taste, hmm...
1:19:58 | RBZE7: oh no
1:20:04 | Mew: What an adventure
1:20:04 | Verijero: poor chihiro
1:20:18 | BasedBug: On this day, let us remember the life of Chihiro. She will be remembered!
1:20:48 | BasedBug: We already are monsters!
1:20:49 | Jackku Chan: Monster time!
1:20:49 | Börk Börk: uh oh
1:20:50 | stuffed idiot: make me perfect beatani
1:20:52 | RBZE7: I'm not sure I want to be a monster after I saw what happened to Chihiro....
1:20:54 | imalittle cupcake: Yes, anything for my daughter
1:20:54 | Shippo: true
1:20:55 | Sunspots: I volunteer
1:20:58 | Verijero: the monster that spawned a bear
1:20:58 | Shippo: we are monsters
1:21:00 | Börk Börk: Dad bibitteru
1:21:00 | Margrave: Go for it! 
1:21:03 | HashSlash: Dad kaiju time
1:21:05 | Tachi: Uh oh
1:21:05 | SpaceTalon: Yay!
1:21:05 | .sandrio: dadmonster
1:21:06 | ThatVidyaGuy: Yes!
1:21:06 | Zhnigo: we were the real monsters
1:21:06 | james heller: Time to fight for my daughter
1:21:10 | Antonio Badilla: Sure
1:21:11 | TWAIN: please be gentle
1:21:13 | Friend: Sounds scary
1:21:13 | Jackku Chan: Lets monster ikz!
1:21:23 | coba cobra: yes
1:21:23 | Sunspots: Yes!
1:21:25 | max r: I'm worried
1:21:28 | BasedBug: Make a strong dad!
1:21:34 | Jackku Chan: Dad Henshin!
1:21:39 | Hanabi: what could possibly go wrong
1:21:45 | Shippo: nice
1:21:45 | .sandrio: fusion haaaaa
1:21:48 | Kyle: Do I have to sign a waiver?
1:21:56 | imalittle cupcake: Gattai da!
1:21:56 | Mister Eko: yes
1:21:58 | Idle Bear: dad fusion
1:21:58 | stuffed idiot: dads together strong
1:22:00 | coba cobra: maximum dad energy
1:22:03 | Raziel: Dads doing the fusion dance
1:22:05 | max r: where to sign?
1:22:08 | Shippo: nice
1:22:11 | ThatVidyaGuy: Fusion Ha!
1:22:18 | Mechanized Doge: おとなしく見ます
1:22:26 | Canna: Dad abomination
1:22:29 | Jackku Chan: Wooow fusion
1:22:35 | Arcterion: The Human Daddypede.
1:22:45 | Verijero: edward...
1:22:49 | Fake Name: Eh I wanna be a monster
1:22:51 | darian mackrell: this game seems similar to spore 
1:22:52 | .sandrio: the absolute strongest dad
1:22:53 | Margrave: Monster dad! 
1:22:56 | Shippo: feels good to become one with fellow dads
1:22:58 | james heller: Here we go....
1:23:03 | max r: 3 dads become 1 dad
1:23:07 | sp33d4l0l: Shin Galaxy Dad
1:23:08 | Verijero: we fullmetal alchemist now
1:23:10 | Raziel: How to build Chad Dad, volume 1
1:23:23 | LordAziki: The mouth is on its back.
1:23:27 | Jackku Chan: Dad is an angel of death!
1:23:33 | RBZE7: well yeah this kinda looks like me
1:23:44 | stuffed idiot: our eye is backwards
1:23:48 | .sandrio: Super Hyper Ultra Ultimate Deluxe Perfect Amazing Shining 流派東方不敗 Master Freedom Galaxy Dad
1:23:53 | Mew: How is it going to walk?
1:23:55 | imalittle cupcake: Big ears to hear our daughter better...
1:23:56 | Fake Name: This is right out of Revelations
1:23:58 | Arcterion: "Be not afraid."
1:24:05 | Verijero: kek
1:24:16 | Friend: Will it bounce around?
1:24:20 | stuffed idiot: nice
1:24:25 | Shippo: very nice
1:24:27 | Shippo: I am ear
1:24:31 | Nasty Yukari: We look nice
1:24:33 | coba cobra: lmao
1:24:34 | thelastshinobi56: Dad replaced Chihiro...
1:24:37 | RBZE7: congrats for your redebut in life dads
1:24:41 | Raziel: With your dads combined, I am Captain ベアパパ
1:24:41 | Margrave: Pig, elephant, monoeye? 
1:24:41 | imalittle cupcake: I see, I am an eye
1:24:47 | Megiddo: Marvelous
1:24:48 | Mew: Dad?
1:24:51 | Mew: Ahahahha
1:24:55 | Absolute Link: what a beautiful name
1:25:01 | Jackku Chan: What a strong name!
1:25:01 | Shippo: perfect
1:25:01 | ninehundred: 😲
1:25:01 | Monkberry Moon: Nice
1:25:02 | james heller: Neat
1:25:06 | Margrave: 😆
1:25:08 | imalittle cupcake: idiotshippocake is a brilliant name
1:25:12 | coba cobra: go forth idiotshippocake!
1:25:12 | Zhnigo: is this isekai
1:25:14 | Friend: Very nice
1:25:18 | imalittle cupcake: I am glad!
1:25:19 | stuffed idiot: perfection
1:25:22 | Idle Bear: lol
1:25:25 | coba cobra: no legs
1:25:28 | max r: gogogo
1:25:29 | White Wyvern: its beautiful
1:25:29 | Jackku Chan: Oh god it's hideous
1:25:31 | Fake Name: We are Ideotshippocake
1:25:32 | HashSlash: We are beautiful 
1:25:41 | Nasty Yukari: Took no time to find it disgusting lmao
1:25:44 | coba cobra: lmao roasted right after being born
1:25:45 | Canna: Burn it 
1:25:46 | ThatVidyaGuy: Dad, eternal defender of Beatani.
1:25:47 | ninehundred: el abominacion
1:25:47 | Mew: Ideotshippocake you better behave
1:25:51 | Mister Eko: dads... we are so handsome...
1:25:58 | Zhnigo: la creatura...
1:25:59 | Mechanized Doge: グロい
1:26:01 | thelastshinobi56: the Meds creature
1:26:02 | Nasty Yukari: "la criatura"
1:26:02 | Hanabi: I don't think this is fixable
1:26:08 | .sandrio: we have the technology, we can rebuild dad
1:26:11 | (Verified, Moderator) Streamlabs: Raziel just tipped $10.00 dayo!
1:26:15 | ellescer: dios mio
1:26:29 | Verijero: el luz extinguido
1:26:32 | TWAIN: see the arrow
1:26:32 | Friend: The yellow arrow shows where its front is
1:26:36 | Jackku Chan: You can turn the eye around
1:26:38 | TWAIN: it's not the eye that's backwards
1:26:45 | TWAIN: it's the rest of the body
1:26:48 | Zhnigo: imagine being fully conscious during the procedure
1:26:50 | .sandrio: bozhe moi
1:26:57 | Raziel: It turns out you CAN use science to fix a broken family!
1:27:03 | Friend: Yes "nice"
1:27:08 | stuffed idiot: I've never felt so pretty before
1:27:13 | RBZE7: looking cuter than usual there dads
1:27:13 | Kyle: That's a good looking Dad
1:27:18 | RueTobas: this game will give me nightmares
1:27:23 | BasedBug: DADS NO
1:27:25 | Mew: Oh god one hit KO almost
1:27:30 | Jackku Chan: The one winged angel
1:27:32 | coba cobra: protect bear idiotshippocake
1:27:33 | Shippo: that's exactly how we look irl btw
1:27:33 | Börk Börk: Tripledad is yowai
1:27:35 | imalittle cupcake: I see the monster, beat him up shippo
1:27:36 | Mister Eko: go dad go
1:27:36 | ellescer: lol
1:27:41 | Megiddo: preemptive F
1:27:45 | Hanabi: it doesn't fight because it doesn't want to live
1:27:46 | Mew: ahahahaha
1:27:48 | Fake Name: We're being bullied by our daughter
1:27:48 | james heller: Worthless dad 
1:27:48 | Jackku Chan: Oh god he wants to die
1:27:51 | thelastshinobi56: lol 
1:27:52 | Börk Börk: It wants to be put out of it'S misery
1:27:54 | Kyle: Dad wants your approval
1:27:59 | Absolute Link: more domestic violence!
1:28:01 | coba cobra: daughter is ruthless
1:28:01 | max r: super dad
1:28:02 | Absolute Link: hitting her dads now
1:28:03 | Margrave: Don't hit dad! 
1:28:06 | ThatVidyaGuy: Poor dad
1:28:07 | thelastshinobi56: sacrifice dad
1:28:09 | TWAIN: you're too cute, we can't stop looking at you
1:28:11 | imalittle cupcake: Daughter...why do you hurt us...
1:28:12 | White Wyvern: Please give dad a gun
1:28:14 | Raziel: strike your father if he won't fight for you!
1:28:15 | Shippo: so we're watching our daughter instead of fighting, makes sense
1:28:15 | Vitz: Dad is only interested in the daughter after all
1:28:16 | ellescer: kek
1:28:17 | Absolute Link: lmaaaooo
1:28:19 | Margrave: 🤣
1:28:23 | coba cobra: oof
1:28:26 | Jackku Chan: Dad just wants to grill for gods sake...
1:28:27 | thelastshinobi56: dads more useless than Teddy
1:28:34 | RueTobas: he's vegan
1:28:38 | Margrave: He's not made to fight! 
1:28:40 | Zhnigo: it hurts to hear
1:28:41 | BasedBug: DESK
1:28:41 | HashSlash: This dad does not represent us
1:28:44 | Avery Standridge: Fight the monster and it might help you?
1:28:44 | MentalCatastrophe: lel
1:28:45 | .sandrio: oh god this is hilarious on too many levels
1:28:47 | Mew: a pet rock would be more effecitve
1:28:47 | Verijero: kuso dad?
1:29:01 | Zhnigo: maybe he can't fight with the pig mouth?
1:29:03 | Jackku Chan: Dad doesn't even have legs please Beatani 
1:29:06 | ellescer: dads are made to love not fight
1:29:10 | max r: bad dad
1:29:11 | Mechanized Doge: やべええ
1:29:12 | Canna: Monster Dad is doing his best 
1:29:16 | Sunspots: aaah my internet died, did we make it boys? 
1:29:17 | Megiddo: it has no ears
1:29:21 | Börk Börk: dad doesn't have ears
1:29:22 | coba cobra: dad is heartbroken
1:29:22 | Vitz: Dad is in the battle mode now
1:29:24 | Monkberry Moon: neglected...
1:29:25 | james heller: Dad has no ears lol
1:29:29 | Mew: :(
1:29:32 | Absolute Link: your dads are sad
1:29:32 | imalittle cupcake: I'm sorry daughter...
1:29:37 | Sunspots: We didnt make it 😞
1:29:39 | stuffed idiot: We need an upgrade
1:29:39 | coba cobra: even the enemy feel bad for dad
1:29:49 | Mew: Ideotshippocake do you best
1:30:05 | cycochaos2: lol
1:30:17 | Jackku Chan: Can't get through the door, shit's stuck.
1:30:18 | Mew: Is he ear broken?
1:30:18 | Shippo: beatani please don't let us die
1:30:20 | Raziel: Dad seppuku
1:30:23 | Absolute Link: lmao
1:30:31 | Mechanized Doge: low intelligence dad
1:30:31 | BasedBug: F...
1:30:42 | .sandrio: beatani went to the convenience store and never came back...
1:30:47 | gyroninja: Are you trying to crush him?
1:30:50 | Jackku Chan: Exterior like fisheggs, I could exercise you, this could be your physed.
1:30:52 | james heller: Baby dad
1:30:55 | Hanabi: we are kusodad
1:30:55 | coba cobra: dads is kinda dumb
1:30:56 | Voltage: sad times
1:31:08 | cycochaos2: We are shy, please be kind
1:31:21 | Sunspots: 3 dads combined cant even make it to 70IQ, we have failed our daughter
1:31:25 | .sandrio: i think we need to enhance dad
1:31:38 | thelastshinobi56: we failed
1:31:41 | Friend: Harsh but true
1:31:42 | Jackku Chan: >You can't do anything
1:31:45 | Jackku Chan: It hurts...
1:31:45 | Rusty Shackleford: What a good daughter... apologizing to her idiot dads
1:31:48 | stuffed idiot: don't blame me for our stupidity i'm just a mouth!
1:31:55 | Nasty Yukari: We have the technology
1:31:56 | imalittle cupcake: I've failed you, daughter...
1:31:56 | Shippo: thanks for saving us beatani
1:31:58 | ThatVidyaGuy: How painful
1:32:03 | coba cobra: daughter says hurtful words
1:32:16 | Friend: Free kill
1:32:24 | Voltage: dad is literally just an eye and an ear jumping
1:32:26 | max r: I'm very worried
1:32:29 | FBI SURVALENCE: AH
1:32:45 | thelastshinobi56: please give dad legs
1:32:46 | Rusty Shackleford: chicken comp?
1:32:46 | coba cobra: daughter still have hope for us
1:33:03 | Rusty Shackleford: Your dad is a pirate?
1:33:05 | RueTobas: we only need one eye to look at our daughter
1:33:06 | Mew: Please give us at least 2 eyes
1:33:11 | .sandrio: is it possible to recover materials from the previous death?
1:33:13 | Megiddo: oof
1:33:13 | Absolute Link: ooouch
1:33:15 | stuffed idiot: we might be too slow with out legs to actually fight
1:33:23 | ellescer: pain
1:33:24 | Rusty Shackleford: Lewd
1:33:24 | Zhnigo: OUCH
1:33:25 | Fake Name: Kill us
1:33:26 | coba cobra: 😭
1:33:28 | Jackku Chan: The game was rigged from the start
1:33:28 | MentalCatastrophe: dad was a mistake
1:33:31 | Monkberry Moon: pain
1:33:40 | james heller: Daughter...
1:33:44 | Rusty Shackleford: Legless dad?
1:33:44 | sp33d4l0l: pain yah
1:33:47 | Zhnigo: this is psychological torture
1:33:48 | Sunspots: Daughter please, its dark in here, i dont know whats happening
1:33:50 | Voltage: bros..
1:33:55 | cycochaos2: We trusted you....
1:34:02 | Shippo: suffering
1:34:05 | BasedBug: Dads... we're all not good creatures..
1:34:17 | Rusty Shackleford: Dad status: EXPOSED
1:34:19 | max r: I'm a very good creature...
1:34:31 | coba cobra: we still love daughter all the same
1:34:41 | Hanabi: dad be like "god left me unfinished"
1:34:53 | Mew: Sister dead, dad dead, is oniichan next?
1:35:22 | Jackku Chan: The real monster was the family we killed along the way
1:35:24 | Verijero: niisama
1:35:36 | Sunspots: oniichan will save us
1:35:37 | .sandrio: astronomia starts playing in the distance...
1:35:56 | Revolver Ocelot: People die when they are killed
1:36:01 | Nasty Yukari: Not sure if dads should be excited or scared
1:36:02 | Xayn: Let's gooooooo
1:36:15 | Jackku Chan: Beatani is bad with sports!
1:36:18 | Mew: A story almost as sad as omori
1:36:19 | Verijero: what if bea killed an old fanbase and we are next on the line?
1:36:24 | Zhnigo: bear grunt
1:36:47 | max r: egg to hatch more dad materials
1:36:49 | (Verified, Moderator) Streamlabs: onii-chan just tipped $3.00 dayo!
