-0:32 | (New member) BasedBug: rrats..
35:13 | stuffed idiot: louie you fool...
35:13 | (New member) Stray Wolf: his check bounced 
35:18 | Axiis: [News] UOHHHHHHHHHHH
35:28 | stuffed idiot: he didn't actually have the money....
35:29 | Mizuki Arisu: louie is a fellow grey
35:37 | eeo: spent all his money simping for Recette
35:44 | SpaceTalon: fug :DDDD
36:14 | presence is yabai: なぜ
36:17 | (New member) Mister Eko: the loli again...
36:24 | (New member) Mister Eko: don't sell her candy for cheap
37:11 | stuffed idiot: louie why...
37:28 | presence is yabai: naisu
37:29 | (New member) Robbie TR: I having a good time 
37:44 | (New member) Megiddo: Louie now got realy nice equipment
38:29 | Abraxas: Bear is about to learn logistics
39:00 | (New member) The Flesh Is Weak: guma is very smart so it's fine
39:06 | (New member) Mister Eko: advance kayos
40:02 | Axiis: i want die
40:04 | (New member) Mister Eko: who translated this game? they are a legend 
40:22 | presence is yabai: yoroshiku onegaiishimas....
40:29 | Axiis: not funimation
40:44 | (New member) Mister Eko: it's full of weird puns
41:06 | (New member) Nasty Yukari: Uhh, I'm not sure if I would call it "good,"... it sure is special though
41:24 | Abraxas: 草食べよう
41:38 | presence is yabai: "special"
41:41 | presence is yabai: i like
41:44 | Axiis: aaaaaaaaaaaaaaaa
41:46 | (New member) Megiddo: Carpe Fulgor is the name of the company that translated it. There's quite a bit about the translation on the wiki
41:52 | (New member) Mister Eko: someone had fun at the office that day
42:18 | 7cleverboys: howdy
42:23 | (New member) Tachi: It's okay
42:25 | presence is yabai: hai
42:26 | (New member) The Flesh Is Weak: kami translation
43:00 | (New member) Robbie TR: Good > you 
43:04 | (New member) Mister Eko: WEAK KUMA
43:04 | (New member) Stray Wolf: it's okay 
43:07 | Kayihan: DAS KAPITAL
43:07 | (New member) BasedBug: You didn't go homeless this time!
43:07 | (New member) Mister Eko: you have to do your reps
43:08 | Abraxas: You need gamer fuel
43:09 | (New member) Tachi: It was fun!
43:11 | (New member) Mew: :yougotthis::yougotthis:
43:11 | (New member) ThatVidyaGuy: WEAK BRAINED KUMA
43:12 | (New member) Tuffee: brainlet kuma
43:13 | Sheep: i understand you
43:18 | (New member) XenMaster220: You did well today
43:22 | (New member) Ekusupuroshon: Smol smol Bear brain
43:27 | (New member) Stray Wolf: lewd? 
43:28 | (New member) Nasty Yukari: It's okay
43:30 | (New member) CantDood: :_yah:
43:31 | (New member) Suukotto Funsha: It's ok, you did a good job today
43:38 | Sheep: i like this game
43:40 | (New member) Mister Eko: .....lewd brain kuma
43:44 | presence is yabai: buy him
43:47 | (New member) BasedBug: Rich bear!
43:51 | (New member) max r: lol
43:52 | (New member) Nasty Yukari: (No, I don't think it's a lewd game, I think that's just you) But thank you anyway!
43:54 | (New member) Idle Bear: buy dad?
43:56 | (New member) Canna: Good investment 
43:59 | (New member) CommanderMichael: >the bear becomes an oil balon
44:02 | (New member) XenMaster220: :_sprdo::_sprdo:buying the girls holy□
44:06 | stuffed idiot: erokuma
44:11 | (New member) BasedBug: GG today
44:12 | (New member) ThatVidyaGuy: She can buy Raziel. He can be her personal chef.
44:18 | Abraxas: wah
44:25 | (New member) Nasty Yukari: yareyare
44:30 | (New member) Luginov: not again..
44:35 | (New member) Mister Eko: she changed sides again
44:44 | (New member) Fake Name: Better DEAD than RED
44:47 | Sheep: lol
44:49 | (New member) BasedBug: I thought she liked capitalism?
44:49 | Abraxas: labor food...
44:58 | (New member) anonEDM: 💪過労死
44:58 | (New member) The Flesh Is Weak: DYRBI
45:01 | Axiis: i want beatani to buy me
45:02 | stuffed idiot: you hear that? she HATES oil balons
45:06 | presence is yabai: too cute
45:11 | (New member) Raziel: Their flag has a red circle after all
45:11 | (New member) A A: Love your emperor.
45:11 | (New member) Mister Eko: homeless dad...
45:11 | Sheep: the more you know
45:13 | (New member) XenMaster220: No homeless bear
45:14 | (New member) ThatVidyaGuy: cute
45:15 | (New member) Nasty Yukari: I do like some Napalm Death every once in a while.
45:17 | Mizuki Arisu: I'm wapanese now...
45:18 | (New member) WizJR W: oil baron hate...
45:19 | (New member) CommanderMichael: >switching sides again :_sprdo: 
45:22 | (New member) Mister Eko: aaaaaaaaaaaaaaaah this bear is too cute
45:24 | Abraxas: Eat the oil balons
45:27 | (New member) Megiddo: too cute
45:28 | (New member) Suukotto Funsha: Thanks for the stream Bea, it was fun
45:30 | stuffed idiot: c-cute
45:35 | (New member) Randel Shurker: Bear is the perfect centrist!
45:36 | (New member) BRAD AEON 720: >hates capitalism >is a vtuber on YouTube
45:37 | (New member) BasedBug: Living in a box, pitiful
45:41 | (New member) sleepypwns: Capitalism LOVE!
45:41 | (New member) The Flesh Is Weak: cute, fun, and smart geemu
45:58 | (New member) Nasty Yukari: It's a based band
46:11 | (New member) BasedBug: I've given up
46:21 | (New member) CommanderMichael: aaaaaaAAAaaaaaAa
46:31 | (New member) Nasty Yukari: Grew up on that stuff even though they're kind of commies...
46:33 | (New member) Stray Wolf: based on what? 
46:37 | (New member) Mister Eko: lol
46:37 | (New member) max r: based
46:37 | (New member) The Flesh Is Weak: true :_sprdo:
46:38 | Abraxas: Socialize your mugs, Bea
46:47 | stuffed idiot: indie vtubers are the most capitalist kind of vtubers
46:49 | (New member) Fake Name: Bea the honest small business owner!
46:53 | presence is yabai: boku neee
46:54 | (New member) Luginov: too yabai
46:58 | (New member) gyroninja: Google writes your paychecks...
47:02 | (New member) Mister Eko: I mean, I don't think so
47:04 | (New member) Fake Name: Indie = capitalist
47:04 | (New member) BRAD AEON 720: what about your shadow company bea
47:10 | (New member) Mister Eko: We will have to create our own company
47:11 | (New member) BasedBug: Imagine if she worked back in an office now..
47:11 | (New member) Tachi: It's hard to control Bea
47:11 | (New member) ThatVidyaGuy: 1 mug per month so all dads can break them
47:14 | (New member) 77Yuja_: black company pick you up
47:15 | (New member) Tuffee: their loss
47:20 | (New member) XenMaster220: Kuma too yabai? It's fine we'll support you
47:22 | (New member) Mobius: Work on your seiso image
47:24 | (New member) CantDood: beatani bathwater soon
47:26 | (New member) Raziel: Clover Corp inbound
47:27 | RobDeLaMort: Beatani's basically seiso it's fine
47:29 | (New member) Megiddo: if you want to
47:31 | (New member) BasedBug: My job is looking for people..
47:33 | (New member) Fake Name: Companies are communist
47:38 | presence is yabai: let's make bea group
47:38 | (New member) The Flesh Is Weak: you can't even join a discord server...
47:44 | (New member) Antonio Badilla: Maybe if Hiroyuki makes a vtuber group
47:52 | (New member) Tachi: If Bea joins a comparny she will be popular and forget about us...
47:55 | (New member) billy joe【liar】: no
47:56 | (New member) Ekusupuroshon: oh no...
47:58 | (New member) XenMaster220: :_yah::_kita:
48:00 | presence is yabai: >hiro
48:01 | Sheep: KARAOKE SOON!
48:04 | stuffed idiot: work for hiroyuki, I'm certain he'll actually pay you...
48:12 | (New member) Nasty Yukari: Clover Software Services
48:15 | (New member) Mister Eko: oh no
48:26 | (New member) billy joe【liar】: Bea Corp
48:29 | (New member) Megiddo: Bear moving on up
48:30 | (New member) Luginov: CEO beatani!
48:31 | (New member) Stray Wolf: clover corporation 
48:40 | (New member) The Flesh Is Weak: CEO of Kani
48:42 | (New member) Canna: All Beatani clones 
48:47 | (New member) Mister Eko: discord bros...
48:49 | presence is yabai: lmao
48:54 | Axiis: CEO of UOHHHHHHH
48:55 | (New member) LapanNaxela: I thought you were in a coding company
48:55 | (New member) XenMaster220: Kuma Incorporated
48:57 | (New member) anonEDM: Clover corporation lol
48:58 | (New member) LapanNaxela: did you lie?
49:00 | Mr. Gillespie: Clover Hills inc.
49:03 | (New member) Stray Wolf: yes
49:06 | (New member) LapanNaxela: :_kita:
49:07 | (New member) Stray Wolf: you linked it 
49:09 | (New member) Tachi: Yes
49:11 | (New member) Raziel: @Axiis CEUOOOOOOOH
49:11 | (New member) A A: It was weird yes.
49:16 | (New member) Nasty Yukari: yes, you shared it
49:21 | (New member) Mister Eko: bear please your memory reps
49:23 | (New member) Mister Eko: BEAR
49:24 | (New member) Megiddo: image
49:25 | RobDeLaMort: ????
49:25 | (New member) WizJR W: nani
49:27 | (New member) Mister Eko: YOUR SCREEN REPS
49:28 | (New member) RussianAnimeBot: hey
49:29 | (New member) The Flesh Is Weak: ???????????????
49:29 | stuffed idiot: HUH
49:30 | presence is yabai: oh no
49:31 | Sheep: no.hiroyuki hate.
49:31 | (New member) Megiddo: hello foood
49:41 | (New member) BRAD AEON 720: why
49:41 | Sheep: raziel breakfast
49:45 | eeo: wife (male)
49:51 | (New member) Megiddo: korokke
49:51 | (New member) Nasty Yukari: Raziel (Husband) (Female)
49:52 | (New member) Robbie TR: Leader of the breakfast 
49:52 | (New member) The Flesh Is Weak: kani cream croquette?
49:53 | Qwazola: that look good!!!!
49:54 | (New member) XenMaster220: looks so good!
49:55 | (New member) RussianAnimeBot: looks good, like capitalism
49:55 | stuffed idiot: @Raziel get out while you still can...
49:56 | (New member) A A: Too much fried food.
49:58 | (New member) Stray Wolf: what is that? 
49:59 | (New member) RussianAnimeBot: □
50:00 | Brandcrisp: based on what
50:00 | (New member) gyroninja: I'm going to lose the breakfast competition...
50:00 | (New member) 77Yuja_: run...
50:01 | (New member) LassesAffar: sugoi
50:01 | (New member) XenMaster220: Very□
50:02 | (New member) Ekusupuroshon: Raziel pay for our sins...
50:06 | Mr. Gillespie: looks good
50:06 | (New member) Nasty Yukari: I have to take my hat off, Raziel-san...
50:12 | Sheep: looks really good
50:12 | (New member) Mister Eko: RATE IT
50:21 | eeo: it's meat based!
50:24 | (New member) WizJR W: capitalist food
50:26 | Abraxas: 美味しいそう
50:28 | (New member) LassesAffar: you WILL love my breakfast
50:28 | (New member) anonEDM: rate the food
50:31 | (New member) Megiddo: I kneel Raz
50:35 | Sheep: I WANT TO EAT
50:36 | Mizuki Arisu: Looks real good ngl
50:37 | (New member) LassesAffar: you WILL ask me to make your miso soup
50:40 | (New member) Stray Wolf: I guess so
50:40 | Axiis: wife
50:42 | Abraxas: ちゃんと野菜食べってね
50:43 | Juvisy: Looks tasty 
50:44 | (New member) Mister Eko: I already lost / 10
50:50 | presence is yabai: don't give in
50:56 | (New member) Luginov: he immediately won the food competeition..
51:02 | (New member) Ekusupuroshon: I love my breakfast and that's what matters
51:10 | Crown: lacking クロケ
51:23 | (New member) The Flesh Is Weak: why make a competition if we already lost?
51:29 | (New member) Stray Wolf: as expected of country grown vegetables
51:32 | presence is yabai: iine
51:43 | Sheep: the competition is for the second place
52:04 | (New member) The Flesh Is Weak: naruhodo :_sprdo:
52:05 | (New member) Mastigos Wilkins: looks really tasty
52:12 | (New member) Mister Eko: why not buying them already done? 
52:20 | (New member) A A: Do you eat bacon for breakfast?
52:27 | (New member) Nasty Yukari: Can I employ Raziel-san's cooking services, too?
52:30 | Sheep: i will learn how to make them
52:37 | (New member) Robbie TR: Bear wants 🐠 
52:42 | (New member) Nasty Yukari: I might have to steal Raziel-san from you...
52:54 | presence is yabai: chiken
53:01 | AAAAAAAAAAAAAAAAAAAA: hungry
53:05 | Crown: i would love cooking wafuu but めんどくさい....
53:13 | (New member) max r: yes
53:14 | (New member) The Flesh Is Weak: :_yah:
53:16 | (New member) CommanderMichael: not yet
53:19 | (New member) Suukotto Funsha: yes, it's delicious
53:28 | MrJc: yes! eat every time I travel to Japan each year
53:31 | (New member) Ekusupuroshon: Yukari-san...
53:36 | (New member) Nasty Yukari: Yeah, definitely
53:44 | (New member) ThatVidyaGuy: Communism dictates that all dads can mary Raziel-san
53:58 | (New member) Mastigos Wilkins: >tfw no waifu to cook for you
54:01 | (New member) Mastigos Wilkins: why even live
54:02 | (New member) WizJR W: I want them to cook for me everyday!
54:10 | Crown: all people who can cook get married fast...
54:18 | (New member) Nasty Yukari: Sorry @Ekusupuroshon san, just look at that crisp food, and tell me you wouldn't do it either...
54:30 | (New member) Mew: Very amazing
54:31 | (New member) The Flesh Is Weak: your fat intake reps...
54:40 | (New member) Raziel: Glad you liked it
54:44 | presence is yabai: 天才 
54:55 | (New member) Nasty Yukari: Anyway, I also love karaage, although it burns my mouth, if I eat it as soon as it's ready 😭
54:58 | (New member) Mister Eko: I'm sorry, I love Listener-chan...
55:01 | (New member) Fake Name: Listener is my oshi!
55:03 | (New member) XenMaster220: naruhodo
55:04 | (New member) ZVN: I want to marry Listener-chan, though
55:08 | (New member) Mastigos Wilkins: can Bea cook well? if no...
55:10 | (New member) Moeniki: how will we ever compete...
55:10 | (New member) Nasty Yukari: Not 😭 uohhh but pain 😭 
55:12 | Crown: love listener chan 
55:18 | (New member) Mew: Great Job □
55:23 | (New member) Nasty Yukari: ogey
55:24 | (New member) The Flesh Is Weak: :_yah:
55:26 | (New member) WizJR W: How can I even compete 
55:27 | (New member) 77Yuja_: no cook buy
55:28 | (New member) Ekusupuroshon: @Nasty Yukari You haven't seen my breakfast yet, I can make soup for you everyday...
55:43 | (New member) A A: Very healthy.
55:55 | (New member) Transcendental_ColonThree: nice . w.
55:58 | (New member) Nasty Yukari: Beatani, prepare to be disappointed in me! You too @Ekusupuroshon ...
56:12 | (New member) Moeniki: Karaage is good
56:15 | MrJc: yes
56:20 | (New member) Nasty Yukari: Yeah, I like karaage just as much as koroke
56:22 | (New member) Megiddo: fried chicken is loved all over the world
56:27 | (New member) The Flesh Is Weak: what about vegans?
56:28 | (New member) Tachi: It's good
56:39 | presence is yabai: stop
56:47 | (New member) Robbie TR:  Salmon 🍣 rice
57:03 | (New member) Mastigos Wilkins: my breakfast/lunch consists ofconvenience store sammich...
57:09 | (New member) Ekusupuroshon: Go eat leaf
57:13 | (New member) Stray Wolf: mine is very simple, fruit juice and bread with fried egg or sometimes jam
57:15 | stuffed idiot: >vegan
57:17 | (New member) Nasty Yukari: @Ekusupuroshon you're talking about campbell soup aren't you...
57:21 | (New member) Mister Eko: what
57:22 | (New member) Mister Eko: how so
57:23 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo:
57:24 | (New member) WizJR W: Cereal for life
57:27 | (New member) Tachi: Nah it's not dangerous
57:27 | (New member) Stray Wolf: not worth to even post on the contest 
57:29 | (New member) Mastigos Wilkins: if its not meat, it's not food
57:35 | (New member) 77Yuja_: eat paper
57:43 | (New member) Canna: A bear would have a strong opinion
57:44 | (New member) Ekusupuroshon: @Nasty Yukari You'll see my soup and you'll fall in love for sure
57:47 | (New member) The Flesh Is Weak: you are a Bear, you can say whatever you want
57:50 | (New member) Luginov: she HATES vegans
57:55 | (New member) max r: vegan away
57:56 | (New member) Tuffee: based
57:58 | (New member) ThatVidyaGuy: Not dangerous
58:01 | (New member) Tachi: :_sprdo:
58:02 | (New member) Fake Name: BASED
58:02 | (New member) The Flesh Is Weak: □□□□□
58:04 | (New member) Moeniki: Eating breakfast is foolish
58:05 | (New member) Nasty Yukari: @Ekusupuroshon Yep, it's Campbell soup I knew it
58:06 | presence is yabai: vegan away!
58:08 | (New member) Antonio Badilla: Based
58:10 | (New member) CommanderMichael: □□□ Vegan AWAY
58:11 | (New member) anonEDM: pandas are foolish
58:11 | stuffed idiot: @Nasty Yukari it's going to be tomato soup
58:15 | (New member) LassesAffar: 😭
58:18 | (New member) ThatVidyaGuy: Based
58:24 | (New member) sleepypwns: Based?
58:27 | (New member) WizJR W: Afraid of friends...
58:28 | (New member) Ekusupuroshon: @stuffed idiot Shut up!
58:29 | (New member) Suukotto Funsha: I make a muffin with bacon, egg and cheese, it's good but basic
58:30 | (New member) Luginov: oh those vegans are bad yeah...
58:34 | eeo: afraid of her friend...
58:34 | (New member) billy joe【liar】: □
58:36 | Brandcrisp: based 
58:37 | (New member) Mew: But nobody like vegan :_sprdo::_sprdo:
58:41 | (New member) Ekusupuroshon: Vegans go eat leaf, have sad life
58:43 | (New member) Hanabi: everyone hates vegans except other vegans
58:44 | Sheep: same
58:49 | (New member) 77Yuja_: show her your bear strength and teach her why she should eat animals
58:51 | stuffed idiot: @Ekusupuroshon ☹
58:59 | (New member) CommanderMichael: Hello, □ Department?
59:00 | (New member) The Flesh Is Weak: vegans don't eat Kani... imagine
59:04 | (New member) billy joe【liar】: ???
59:05 | (New member) Canna: □
59:05 | presence is yabai: leaf = no life
59:05 | (New member) Mister Eko: >Vegans use drugs
59:06 | (New member) WizJR W: drugs ??
59:08 | Crown: vegan is alright but they need vitamin
59:08 | (New member) LassesAffar: ???
59:08 | (New member) Fake Name: This is too based
59:10 | (New member) Raziel: To be fair I haven't seen many vegan bears
59:10 | (New member) Tachi: That's very foolish
59:10 | (New member) Herbie Cucumber: ?????
59:10 | (New member) Canna: Hippies btfo 
59:15 | bob saggit: kek
59:15 | (New member) ThatVidyaGuy: very based
59:20 | (New member) Mister Eko: I don't think they take drugs...
59:20 | (New member) Mobius: Vitamins?
59:24 | (New member) Luginov: supplements?
59:27 | (New member) Ekusupuroshon: You can't life of salad--
59:29 | Sheep: japanese vegans kek
59:30 | (New member) Antonio Badilla: >Vegans are great
59:31 | (New member) Mister Eko: yeah
59:32 | (Verified, Moderator) Streamlabs: NastyYukari just tipped $10.00 dayo!
59:33 | (New member) Mastigos Wilkins: suplements like iron?
59:44 | (New member) Fake Name: Supplements or weed?
59:48 | (New member) WizJR W: calorie mates?
1:00:03 | (New member) Luginov: ohh
1:00:04 | (New member) Nasty Yukari: Gotta bounce, see ya fams
1:00:10 | (New member) ccc cc: ???
1:00:15 | (New member) The Flesh Is Weak: sort of... :_sprdo:
1:00:16 | (New member) Ekusupuroshon: Plants are alive too
1:00:22 | (New member) Mastigos Wilkins: animals should have been stronger and smarter if they didn't want to get eaten. it's all on them
1:00:30 | Sheep: bea bea yukari
1:00:34 | (New member) Mister Eko: I mean, that's a good point
1:00:35 | MiiMuu: I guess
1:00:35 | (New member) ThatVidyaGuy: We understand
1:00:42 | (New member) Tachi: I think I understand
1:00:44 | (New member) sleepypwns: Yes
1:00:45 | (New member) Mew: We understand
1:00:50 | (New member) Herbie Cucumber: like animal drug testing
1:01:04 | (New member) Mastigos Wilkins: vegans use medicine, that was tested on animals, right?
1:01:08 | (New member) Antonio Badilla: Western medicine doesn't use that much animal parts
1:01:16 | (New member) The Flesh Is Weak: naruhodo :_sprdo:
1:01:20 | (New member) Mister Eko: is that friend the same one who eat a cockroach? 
1:01:28 | yes: soy
1:01:30 | (New member) Stray Wolf:  lmao 
1:01:31 | presence is yabai: わかります
1:01:37 | (New member) Stray Wolf: he doesn't know
1:01:38 | Crown: しかし肉量産減少にはいいかも
1:01:42 | (New member) Robbie TR: Rice, vegetables and 🥚 
1:02:10 | (New member) WizJR W: はい
1:02:19 | (New member) sleepypwns: We should test on vegans instead
1:02:20 | (New member) Canna: That's universal 
1:02:21 | (New member) Stray Wolf: it's not only in japan 
1:02:21 | Crown: in other places too
1:02:22 | (New member) WizJR W: It is the same in America
1:02:24 | (New member) 77Yuja_: they are crazy worldwide
1:02:25 | (New member) Tachi: On other countries they are crazy too
1:02:29 | (New member) Tuffee: vegans are usually obnoxious 
1:02:30 | eeo: not just in Japan
1:02:30 | (New member) Fake Name: That's true everywhere
1:02:33 | (New member) Herbie Cucumber: the idea isn't bad, but the believers are
1:02:36 | stuffed idiot: same in USA
1:02:41 | (New member) Stray Wolf: all vegans are crazy because they lack proteins
1:02:42 | (New member) LapanNaxela: bears can't be vegan
1:02:43 | (New member) ThatVidyaGuy: Thats true everywhere
1:03:11 | (New member) Lodowa Wrozka: must be lack of some minerals
1:03:15 | (New member) Fake Name: How do you know someone is vegan? They will tell you.
1:03:20 | stuffed idiot: they become fanatic in their beliefs
1:03:26 | (New member) Mastigos Wilkins: no problem, off to bed
1:03:31 | (New member) WizJR W: Capitalism sugoi
1:03:31 | (New member) Stray Wolf: thank you for the stream Bea 
1:03:36 | Cheese: capitalism ho!
1:03:36 | Sheep: capitalism HO
1:03:36 | (New member) max r: capitalism, ho !
1:03:39 | (New member) Tuffee: fun stream
1:03:39 | (New member) Mew: Capitalism bad communism bad vegan bad!
1:03:41 | (New member) The Flesh Is Weak: :_bea::_bea::_sprdo:
1:03:41 | (New member) Mew: w
1:03:42 | (New member) Suukotto Funsha: Thanks for the stream Bea
1:03:45 | (New member) Herbie Cucumber: Thank for the stream!
1:03:46 | (New member) Mister Eko: fun stream!
1:03:46 | (New member) Moeniki: Capitalism, Ho!
1:03:48 | Axiis: love u beatani
1:03:50 | (New member) CommanderMichael: Thanks for the stream!
1:03:55 | (New member) Luginov: so many new balons
1:03:55 | presence is yabai: see you soon
1:03:55 | (New member) Kyle: Thanks for the stream!
1:03:56 | (New member) Canna: Thanks for streaming! 
1:03:57 | (New member) Mastigos Wilkins: remember to support your corporate overlords
1:03:57 | (New member) BRAD AEON 720: thanks for the stream
1:03:58 | Crown: Fun stream Bea!
1:04:00 | stuffed idiot: good stream bea bea
1:04:03 | (New member) Mister Eko: oil balons... I kneel again...
1:04:03 | (New member) Megiddo: lots of balons
1:04:04 | (New member) Tachi: :_bea::_bea:
1:04:17 | (New member) Raziel: :_bea::_bea:
1:04:23 | Sheep: get some ideas
1:04:23 | (New member) Suukotto Funsha: :_bea::_bea:
1:04:24 | (New member) Robbie TR: Stream 🥰
1:04:26 | (New member) Mastigos Wilkins: bbye
1:04:28 | Crown: Bea Bea!
1:04:28 | (New member) max r: :_yah:
1:04:29 | Cheese: take care
1:04:29 | (New member) Mastigos Wilkins: :_bea:
1:04:29 | (New member) ThatVidyaGuy: :_bea::_bea:
1:04:32 | Mr. Gillespie: bye bea
1:04:33 | Axiis: bea bea
1:04:34 | (New member) Stray Wolf: :_bea::_bea:
1:04:35 | Denied: show oil balons how foolish they are
1:04:35 | (New member) CommanderMichael: :_bea::_bea:
1:04:41 | Denied: bea bea
1:04:47 | Crown: Remember ENDING today!
1:04:55 | (New member) Mister Eko: lol
1:04:55 | (New member) Stray Wolf: why not? 
1:04:58 | (New member) max r: strange....
1:05:25 | (New member) max r: good 👍
1:05:32 | (New member) Mister Eko: welcome to the membearship...
1:05:33 | Sheep: membears
1:05:46 | (New member) Stray Wolf: current russia is not communist
1:05:57 | (New member) Stray Wolf: Tear down this wall Miss Beatani!
1:06:00 | (New member) Stray Wolf: Tear down this wall
1:06:25 | (New member) max r: because he is based
1:06:32 | (New member) Mister Eko: his motives are complex
1:06:42 | Axiis: commie beatani
1:06:47 | Axiis: kill the commie
1:07:02 | (New member) Mister Eko: changing sides again
1:07:13 | sleepy: Beatani is now an oil balon...
1:07:46 | Crown: bear may be from italy...
1:07:50 | Sheep: they are all mining bitcoins
1:07:52 | (New member) Fake Name: No. We are proud business owners
1:08:02 | (New member) Megiddo: Russia is state capitalism, no? That's not the glorious free trade pure capitalism that makes American eagles cry
1:08:04 | (New member) Stray Wolf: they're all saudi princes 
1:08:05 | (New member) gyroninja: :_bea::_bea:
1:08:08 | (New member) Mister Eko: bgm STOPS
1:08:17 | (New member) A A: Music gone.
1:08:22 | Sheep: eh?
1:08:42 | (New member) Stray Wolf: uoh? 
1:08:42 | (New member) max r: are we supposed to give a serious answer lol why did the music stop
1:08:45 | Cheese: -capitalism music stops-
1:09:02 | (New member) Mister Eko: tensai kuma
1:09:03 | (New member) Randel Shurker: Capitalism did this.
1:09:12 | (New member) Megiddo: I really don't think EasyGameStation cares
1:09:14 | Axiis: im capitalism
1:09:26 | (New member) WizJR W: shes looking up napalm death band from SC
1:09:29 | (New member) Herbie Cucumber: copyright hate
1:09:33 | (New member) Mister Eko: the final yab is the copyright strike
1:09:41 | (New member) Megiddo: ah Napalm Death, good metal
1:09:43 | ドレイク・グレイザー[Drake Grazer]: looks nice
1:09:45 | (New member) ThatVidyaGuy: I doubt that you'd get a strike but its smart to be safe.
1:09:50 | Crown: bea raw voice c--cute... 
1:09:56 | (New member) Tuffee: :_bea::_bea:
1:10:04 | (New member) LassesAffar: but copyright is a product of capitalism, communism LOVE!
1:10:04 | (New member) ピーン祭り: :_bea::_bea:
1:10:08 | (New member) Tachi: :_bea::_bea:
1:10:13 | (New member) Mister Eko: omori bros.......
1:10:14 | (New member) Moeniki: new game?
1:10:17 | stuffed idiot: bea bea
1:10:18 | (New member) Megiddo: Great stream~!
1:10:21 | (New member) Raziel: :_bea::_bea:
1:10:22 | (New member) Mechanized Doge: :_bea:
1:10:22 | Axiis: bea bea
1:10:26 | (New member) Mobius: EUbros we did it
1:10:27 | (New member) Fake Name: new game?
1:10:34 | Axiis: beatani is big cute
1:10:34 | Sheep: omori is dead
1:10:40 | (New member) Luginov: :_bea::_bea:
1:10:41 | (New member) WizJR W: Zatsudan IKZ
1:10:44 | (New member) Canna: Bea Bea!
1:10:45 | (New member) Zyadarya: :_bea::_bea::_sprdo:
1:10:46 | (New member) Antonio Badilla: Matane
1:10:46 | (New member) Herbie Cucumber: :_bea::_bea:
1:10:46 | (New member) Moeniki: :_bea::_bea:
1:10:46 | (New member) Mechanized Doge: お絵かき配信とｋはどうかな
1:10:47 | Denied: bea
1:10:47 | (New member) Kyle: :_bea::_bea:
1:10:47 | Sheep: bea beaaaaaaa
1:10:48 | Mr. Gillespie: bea bea
1:10:48 | (New member) Megiddo: Otsukare, bea bea, don't forget your intro
1:10:48 | coba cobra: bea bea!
1:10:49 | (New member) Stray Wolf: :_bea::_bea:
1:10:50 | Crown: Bea Bea!
1:10:51 | (New member) Antonio Badilla: bea bea
1:10:51 | stuffed idiot: zatsudanbros win again
1:10:51 | (New member) Mister Eko: ending song!
1:10:52 | (New member) anonEDM: :_bea::_bea:
1:10:52 | (New member) A A: We see you.
1:10:55 | (New member) max r: EVEN THOUGH YOU ARE A NEET
1:10:55 | (New member) Koruru: :_bea::_bea:
1:10:56 | (New member) Tachi: EVEN THOUGH YOU ARE A NEET
1:10:59 | (New member) WizJR W: :_bea: :_bea: 
1:11:00 | (New member) Antonio Badilla: She remembered
1:11:00 | (New member) Moeniki: ED:_kita:
1:11:01 | (New member) 77Yuja_: :_bea::_bea:
1:11:04 | (New member) BRAD AEON 720: :_bea::_bea:
1:11:04 | (New member) Mew: :_bea::_bea:
