-46:29 | Aggressive Quack: 2am gang rise up
1:43:27 | Shippo: この部屋は僕の部屋にようにw
1:43:33 | kevzor: cute and funny noise
1:43:35 | MBmasher: 可愛すぎる
1:44:18 | Mew: はにわすすめGO!
1:44:34 | (Verified) Nightbot: zzzzzz
1:45:28 | DA Boredman: That's not a jail, that's a comfortable house!
1:45:28 | Zhnigo: cute and funny bear takes you to jail...
1:46:01 | Shippo: ベアタニの一番好きのどう森キャラクターは誰？
1:46:02 | Aggressive Quack: A house fit for the strongest bear
1:46:56 | Zhnigo: was Ankha in the first game?
1:47:01 | Zhnigo: Ankha/Nile
1:48:02 | Aggressive Quack: Ooo thats a cool style
1:48:25 | DA Boredman: I miss the Gyroids/Haniwa
1:48:49 | O5060403: プレイステーション」でゲームをすると言っていましたね。好きなゲームは何ですか？日本語が下手ですみません、Deeplを使っています。
1:49:32 | yuuyuu: いいね~
1:49:34 | Aggressive Quack: Dragon quest? based
1:50:11 | Shippo: ベース
1:50:30 | swampert879: lots of vtubers playing dragon quest recently
1:50:57 | Mew: クラッシュ・バンディクーは日本でも人気がありますか、3つのゲームをすべてプレイしましたか？
1:51:06 | Raziel: 90年代に子供の頃に遊んだ「クラッシュ・バンディクー」。懐かしい思い出です。
1:51:24 | DA Boredman: I think it's the thing next to the medicine?
1:52:01 | Mew: はいはい
1:52:32 | MBmasher: 4 もあるよ
1:52:35 | swampert879: I dont think I ever heard that LUL
1:52:35 | Mew: かわいい
1:52:38 | Aggressive Quack: 🎵🐻
1:52:41 | だる: 年齢がバレるぞ
1:52:42 | hohoemikuma: cute!
1:52:52 | クラガリ葉月: とんでもマルチバースプレーしましたか？
1:52:53 | Absolute Link: cute
1:53:02 | Sunspots: よく覚えてるな
1:53:07 | Aggressive Quack: crash bandicoot cover when?
1:53:19 | yuuyuu: 🐻🎵
1:53:31 | Mew: この３つがむクラッシュ・バンディクークラッシュ・バンディクー2 コルテックスの逆襲!クラッシュ・バンディクー3 ブッとび!世界一周
1:53:42 | Aggressive Quack: ah i hear 4 is good
1:54:22 | Lyrical Curry: Chisato Beardicoot 
1:54:32 | Kirila Kristi: ビータニさんはポケモンが好きですか？
1:54:45 | MBmasher: 新しいゲーム機はありますか？
1:55:05 | Orange Princess: アイアンクラッドwin 
1:55:19 | Mew: 初めてプレイしたポケモンのゲームは何ですか？
1:55:21 | yuuyuu: ナイス
1:55:37 | Aggressive Quack: gamecube is based
1:55:38 | Absolute Link: gamecube is great
1:56:11 | yuuyuu: ゲームキューブには素敵なゲームがあります。
1:56:17 | Mew: 良いゲームだった
1:56:37 | Mew: これは本物のゲームキューブなのか、エミュレータなのか？
1:56:44 | MBmasher: じゃあ、誕生日にSwitchを買ってあげようかな
1:57:24 | Kirila Kristi: Rubyはとても based です
1:57:30 | Ikxi: what other games do you have on gamecube?
1:57:36 | Tunguska: based
1:57:44 | Aggressive Quack: Alright kings you heard her, time to get her a switch
1:58:04 | DA Boredman: Let's all subscribe so Beatani can get Superchats soon and have her afford a Switch!
1:58:08 | Lyrical Curry: Polka dots?
1:58:10 | Zhnigo: streamlabs when? supacha when?
1:58:15 | james heller: I will use my money to buy beartani a switch
1:58:23 | Ikxi: 😆
1:59:18 | yuuyuu: かわいいパターン
1:59:34 | Lyrical Curry: Yoshi Egg pattern 
1:59:35 | (Verified) Nightbot: zzzzzz
1:59:39 | Tunguska: kawaii bear
1:59:41 | Kaiser Kebab: 🍀🍀🍀
1:59:51 | Chloro [クロロ]: よつばだ! いいね
1:59:56 | Jackku Chan: Looks like a clock
1:59:59 | Sirboot: cute and funny bear hello
1:59:59 | MonquSurtonpif: kore yotsuba
2:00:06 | Absolute Link: good impression!
2:00:18 | Aggressive Quack: 🍀🍀🍀
2:00:32 | Ikxi: blessed kuma noises
2:00:42 | Powerful Cod: 🍀🐻
2:00:42 | Suukotto Funsha: Clover pattern
2:00:54 | james heller: ベース
2:01:06 | yuuyuu: かわいい
2:01:09 | フェットチーネ: クローバー好きすぎ
2:01:18 | Voltage: clover beatani
2:01:24 | Aggressive Quack: ベース
2:01:30 | Sunspots: ベースパターン
2:02:49 | hustler one: 🍀🍀🍀
2:03:10 | Voltage: 🍀🍀🍀🍀🍀🍀🍀
2:03:24 | 空間: 🍀🍀🍀
2:03:34 | Atomized Atomizer: www
2:04:03 | yuuyuu: ベース🍀
2:04:24 | Mew: 🍀🍀🍀🍀
2:04:27 | Shippo: ベース!
2:04:33 | Aggressive Quack: 🍀🍀🍀
2:04:41 | クラガリ葉月: クローバークマ
2:04:45 | Kirila Kristi: 勉強しに行かなければならない。明日のカラオケを楽しみにしています [DeepL]
2:04:50 | フェットチーネ: そうだね
2:04:55 | Aggressive Quack: clover is based
2:05:04 | Suukotto Funsha: based kuma
2:05:04 | LordoftheMAX: Just dropping in to say hi, about to go to sleep
2:05:07 | Raziel: 😁
2:05:16 | Zhnigo: forchune...
2:06:00 | JayTheGreatest: 🐻👍
2:06:03 | 77Yuja_: デザイナー！
2:06:16 | 空間: 日本語学んでます。ベア谷で日本語覚えます
2:06:42 | sleepy: ladybug
2:06:45 | Chloro [クロロ]: Mickey mouse? ww
2:06:46 | Aggressive Quack: is that a lady bug?
2:06:46 | knowsur: てんとう虫
2:06:47 | nonono: ladybug?
2:06:50 | MonquSurtonpif: coccinelle
2:06:55 | DA Boredman: I wonder if we're going to get a Beatani art stream someday
2:06:58 | yuuyuu: てんとう虫?
2:07:00 | Megiddo: Hello cute and funny bear. I look forward to the karaoke stream.
2:07:03 | hustler one: てんとう虫
2:07:18 | Ark K.: ohadayo
2:07:22 | Chloro [クロロ]: oh a ladybug ww
2:07:26 | Aggressive Quack: cute
2:07:30 | 空間: so cute
2:07:36 | 77Yuja_: かわいすぎる
2:07:37 | yuuyuu: かわいい
2:07:42 | DA Boredman: cute ladybug!
2:07:59 | フェットチーネ: 完璧じゃん
2:08:08 | DA Boredman: 8888
2:08:09 | Mew: てんとう虫
2:08:14 | Sunspots: 源は可愛くないから大丈夫。病気見たいｗベース
2:08:15 | Atomized Atomizer: いいね
2:08:18 | MBmasher: kawaiii
2:08:28 | クラガリ葉月: てんとう虫象徴の意味は何。
2:08:29 | Jackku Chan: When can we buy one?
2:08:33 | JayTheGreatest: 👏
2:08:45 | Aggressive Quack: Yes ill take your whole stock
2:08:47 | Zhnigo: is that sonic
2:08:50 | 77Yuja_: ソニックだ！！
2:09:08 | Suukotto Funsha: Cute ladybug
2:09:14 | 空間: 残心
2:10:18 | 空間: bear mountain
2:10:21 | Raziel: 👌
2:10:47 | Zhnigo: BFG
2:10:50 | Aggressive Quack: Clover time
2:10:54 | Mew: VER
2:10:59 | knowsur: ciov
2:11:03 | MBmasher: ciover
2:11:16 | Suukotto Funsha: ciover
2:11:16 | knowsur: no!
2:11:19 | james heller: 非常にベース
2:11:22 | Shippo: ciover
2:11:25 | クラガリ葉月: ”I"か”L"か
2:11:26 | Suukotto Funsha: 草
2:11:29 | Aggressive Quack: shes got the spirit
2:11:29 | knowsur: big 森
2:11:32 | MBmasher: too late...
2:11:36 | 空間: とてもベア谷
2:11:46 | yuuyuu: 森
2:11:50 | Atomized Atomizer: www
2:11:56 | yuuyuu: 🐻🍀
2:11:59 | LepmaFunky: cute
2:11:59 | Aggressive Quack: 森
2:12:00 | Suukotto Funsha: kawaii
2:12:02 | DA Boredman: CUTE!!
2:12:06 | Karambol: based
2:12:06 | Kaiser Kebab: BASED!
2:12:07 | Chloro [クロロ]: Based!
2:12:07 | Suukotto Funsha: based kuma
2:12:08 | yuuyuu: ベース
2:12:11 | james heller: Sugoi
2:12:12 | Aggressive Quack: BASED and Bearpilled
2:12:13 | Peer: cute!
2:12:15 | Lyrical Curry: Gnome~!
2:12:16 | Shippo: キオバーもかわいい
2:12:17 | JayTheGreatest: 🐻👌🏾
2:12:20 | VampirkoO: ベース
2:12:21 | Sunspots: ベース
2:12:28 | Shippo: ベース
2:12:32 | Mew: 🤡🍀🍀🍀
2:12:34 | 空間: クールベア谷
2:12:35 | coba cobra: ciover
2:12:46 | JayTheGreatest: ciover
2:12:49 | Ikxi: ciover
2:12:50 | クラガリ葉月: ドンマイ
2:12:53 | フェットチーネ: そのままでいい
2:12:58 | フェットチーネ: かわいいから
2:13:05 | Aggressive Quack: Ciover = Based
2:13:08 | 77Yuja_: 同じですねｗ
2:13:09 | Suukotto Funsha: don't mind
2:13:13 | 空間: 可愛いと思うベア谷 間違いある誰でも
2:13:13 | yuuyuu: シオバー
2:13:14 | JayTheGreatest: i wonder if ciover is a existing word
2:13:22 | james heller: 草
2:13:24 | Raziel: Gamecube is based
2:13:27 | Zhnigo: subtle gamer clothes
2:13:27 | yuuyuu: 森
2:13:40 | sleepy: Very nice ciover clothes!
2:13:46 | LepmaFunky: a big I looks like a small l anyway
2:14:02 | Aggressive Quack: Ciover bear cute
2:14:06 | O5060403: what's upbear
2:14:12 | Jackku Chan: That's a lot of bugs
2:14:15 | 空間: nice design
2:14:24 | knowsur: based
2:14:26 | Chloro [クロロ]: The clothes will add +100 luck
2:14:26 | yuuyuu: ナイス
2:14:29 | Megiddo: very cute
2:14:31 | Aggressive Quack: Based
2:14:34 | (Verified) Nightbot: zzzzzz
2:14:34 | 空間: よい
2:14:39 | Raziel: 🤣
2:14:41 | LepmaFunky: looks good!
2:14:45 | Shippo: 上クマ
2:14:51 | gyroninja: 素敵傘
2:15:02 | Jackku Chan: Now you can hide in a bush
2:15:07 | Aggressive Quack: umu
2:15:08 | 空間: 良い傘
2:15:23 | Aggressive Quack: now your invisible to normies
2:15:25 | knowsur: kawaii
2:15:30 | Mickey Miles: Slay the Spire lookin' real retro atm
2:16:04 | 空間: kawaii
2:16:10 | Voltage: singing bear 🎵🎵🎵🎵🎵🎶🎶🎶
2:16:35 | GrassHopperMouse: 2 NES, no bed..
2:16:50 | 空間: コロナ
2:17:08 | Doran's Shield: hi hi hi
2:17:13 | Sunspots: やべ
2:17:20 | Aggressive Quack: good hygiene 
2:17:20 | Zhnigo: gargoyle
2:17:22 | BunBun, NTRthrologist: Gargling bear uuuuoooooohhhh
2:17:30 | Nasty Yukari: NES but no TV. lol
2:17:31 | james heller: Clean bear
2:17:40 | 空間: ベア谷良かった♥ kawaiiベア谷
2:17:51 | クラガリ葉月: あ、そうか。ありがとう、べあたに。
2:18:19 | yuuyuu: 森
2:18:23 | Suukotto Funsha: Based ciover and ladybug clothing
2:18:27 | Aggressive Quack: Ciover is based
2:18:27 | 空間: さようならベア谷
2:18:36 | fooyouya: おつかれいです
2:18:36 | MBmasher: いいストリームだった
2:18:36 | フェットチーネ: 時次はきっとビータニになる
2:18:39 | Mickey Miles: バイバイ！
2:18:48 | Chloro [クロロ]: お疲れ様でした!
2:18:49 | Sunspots: 草
2:18:52 | Suukotto Funsha: Bye Beatani. Thanks for the stream
2:18:53 | Aggressive Quack: Bye bye! see yea for karaoke
2:18:54 | knowsur: bear bear!
2:18:54 | CommanderMichael: Have a nice day!
2:18:55 | DA Boredman: thanks for the stream!
2:18:56 | Jackku Chan: Bye bye!
2:18:58 | Elicus: byebye
2:18:58 | ThatVidyaGuy: Bye
2:18:58 | 実験: おつおつ
2:18:59 | yuuyuu: ベアベア
2:19:00 | Megiddo: bye bye
2:19:01 | Absolute Link: bye beatani
2:19:01 | クラガリ葉月: ベアベア
2:19:02 | hustler one: konbearwa
2:19:03 | Wayne Kerr: bye!
2:19:04 | Mickey Miles: べあべあ
2:19:04 | kevzor: bye bye beatani!
2:19:06 | 空間: グッドバイビータに
2:19:06 | Kuyashii: bear bear
2:19:06 | Kaiser Kebab: Otsudayoo
2:19:06 | Atomized Atomizer: Bea bea!
2:19:07 | Chloro [クロロ]: ベアベア~~
2:19:10 | VampirkoO: ベアベア！
2:19:10 | MBmasher: カラオケ楽しみにしています
