-1:06:17 | KappaMikeyTSF: cute and funny bear hit 1k subs! let's go!!!
56:42 | Will Dee: I knew it 😀
56:48 | Apu 2: @Transcendental_ColonThree certified poland moment
56:51 | Stray Wolf: it checks out 
56:53 | Nero: He can keep it anyway
57:03 | MonquSurtonpif: kanpai
57:03 | yuuyuu: 🍺 = medicine
57:16 | Huy Bui: cute and funny bear 
57:18 | Qwazola: This dude is so ungrateful
57:18 | ThePlatinumCan: He must be in a really poor condition, if he doesn't want to drink. D:
57:20 | Huy Bui: at 30fps
57:27 | mikkis: give him the axe
57:28 | Kuyashii: i think you're right
57:31 | Kuyashii: kill him
57:45 | Theblekedet: axe it is!
57:47 | major wow: lmao
57:50 | Mew: He drank too much and now he gets the axe
57:51 | SkysNotTheLimit: Oh no
57:53 | Chloro [クロロ]: End his suffering? ww
58:00 | Transcendental_ColonThree: daijobu
58:09 | ThePlatinumCan: Oh...?
59:06 | Transcendental_ColonThree: rrrat
59:06 | Mew: no rat bear
59:20 | Sunspots: is he asking for a rrat on how to get out?
59:34 | mikkis: wheres rachel
59:41 | Transcendental_ColonThree: s m a c c
59:42 | Ikxi: ahh scary
59:44 | SkysNotTheLimit: Bear is mean
59:49 | LoneRanger25: The numbers, Mason!
59:56 | Transcendental_ColonThree: yab/10
59:59 | Wheresmyeyebrow: He's eh very crazy
1:00:01 | Arthur C.: yabai
1:00:08 | Alexander Holzer: Just got here, this is top down? Interesting
1:00:14 | (Verified, Moderator) Nightbot: zzzzzz
1:00:19 | Apu 2: kill him bear
1:00:21 | SkysNotTheLimit: That faqa
1:00:22 | yuuyuu: 草
1:00:23 | Sunspots: get 'im
1:00:32 | Kuyashii: bloodthirsty bear
1:00:37 | major wow: justice bear
1:00:41 | Transcendental_ColonThree: justice bear ww
1:00:41 | Chloro [クロロ]: Justice bear!
1:00:42 | (Verified, Moderator) Nightbot: @ユーネ / Yuune -> I hope you learned your lesson. [stop spamming caps] [warning]
1:00:44 | Shuko: Killer bear!
1:01:00 | Transcendental_ColonThree: nightbot a bully
1:01:05 | Gud Meme: mofumofu rag
1:01:06 | SkysNotTheLimit: Grizzly killer bear
1:01:23 | Tet: Good morning, kuma-chan
1:01:30 | yuuyuu: わかるww
1:01:44 | O5060403: モバゲーはやりますか?
1:01:49 | Idle Bear: Nightbot is fine.
1:02:09 | nicenature: 問題ない
1:02:21 | Börk Börk: You can craft abndages, you missed the message
1:02:50 | Kyle: Can you craft a lockpick?
1:03:23 | Apu 2: craft bandages too
1:03:31 | Karambol: ya
1:03:43 | yuuyuu: nice
1:03:47 | SkysNotTheLimit: Lets gooo
1:03:55 | Chloro [クロロ]: nice!
1:03:57 | Mew: both!
1:04:47 | SkysNotTheLimit: Very nice
1:04:48 | yuuyuu: useful
1:04:50 | Transcendental_ColonThree: pogress
1:05:12 | SkysNotTheLimit: Find that man!
1:05:26 | mikkis: yabe
1:05:27 | Chloro [クロロ]: !?
1:05:28 | クラガリ葉月: 寝すぎた。ここまでは楽しかったかな？
1:05:31 | Transcendental_ColonThree: yes
1:05:34 | Tachi: !!
1:05:41 | Transcendental_ColonThree: best moment time
1:05:43 | SkysNotTheLimit: Uh oh
1:05:58 | Idle Bear: Red bar is health. White bar is stamina
1:06:09 | yuuyuu: spooky
1:06:15 | Salamander: yabai
1:06:43 | Chloro [クロロ]: たぶん違う人かな?
1:06:53 | O5060403: Scary, stay strong Beatani!
1:06:53 | LoneRanger25: こわっ
1:07:04 | SkysNotTheLimit: No monica?
1:07:05 | ThePlatinumCan: Unitra radio
1:07:10 | Börk Börk: No monika
1:07:12 | Mew: eh?
1:07:15 | Einaer: monika gone
1:07:21 | yuuyuu: え
1:07:23 | LoneRanger25: Monika got erased this time
1:07:33 | O5060403: Just Beatani!
1:07:35 | Transcendental_ColonThree: Will we even get Jowita? I wonder.
1:07:51 | Sunspots: remember that fucker stole your key, he must die for it
1:08:05 | Ikxi: do you have only bear ears or also human ears?
1:08:09 | hustler one: Ganbatte!!
1:08:20 | O5060403: Stay strong, we're all cheering for you.
1:08:25 | Jackku Chan: Kuwai...
1:08:32 | SkysNotTheLimit: Fearless bear!
1:08:47 | Transcendental_ColonThree: club!
1:08:51 | Wheresmyeyebrow: This bear will die
1:08:52 | Kuyashii: niceu
1:09:13 | SkysNotTheLimit: Combustible = Catch fire
1:09:14 | Qwazola: Means explodes
1:09:19 | GrassHopperMouse: combustible = can catch on fire
1:09:22 | .sandrio: combustible = flammable
1:09:25 | Marc Bradford: combustible means it burns
1:09:26 | Chloro [クロロ]: combustible is burnable
1:09:27 | GrassHopperMouse: like gasoline, or alcohol
1:10:09 | LoneRanger25: Combustible is like もえする
1:10:16 | O5060403: Have you ever heard of The Binding of Isaac, Beatani? It's a very fun game, you might enjoy it.
1:10:40 | Wheresmyeyebrow: Nice braid
1:10:45 | Mew: Hard life
1:10:54 | Gud Meme: generator = 発生器
1:11:13 | mikkis: he is radio man
1:11:14 | SkysNotTheLimit: Corpse Radio
1:11:18 | Shuko: kowai
1:11:19 | Mew: like radio dials
1:11:23 | GrassHopperMouse: dials like what a radio has
1:11:27 | SkysNotTheLimit: Video Killed the Radio Man
1:11:29 | O5060403: Radio man kusa
1:11:36 | GrassHopperMouse: distinguishable - can be told apart from
1:11:38 | Mew: Like Monika but human
1:11:42 | Einaer: made him into a monika lol
1:12:04 | Transcendental_ColonThree: 4892
1:12:08 | Kaiser Kebab: important numbers!
1:12:13 | Qwazola: Write that down
1:12:25 | Kammerer: Ganbatte! Stay strong!
1:12:31 | GrassHopperMouse: she writes physical notes for a game, that's an old school gamer right there.
1:12:35 | O5060403: 4892 friends!
1:13:13 | SkysNotTheLimit: Nice!
1:13:15 | yuuyuu: yatta
1:13:22 | LoneRanger25: Nice!
1:13:25 | Wheresmyeyebrow: Haha she does? Damn son
1:13:25 | Chloro [クロロ]: Nice!
1:13:31 | Apu 2: its a code
1:13:33 | Börk Börk: door stuck! door stuck!
1:13:36 | Transcendental_ColonThree: Shift to run?
1:13:36 | Apu 2: to the door
1:13:41 | Kaiser Kebab: Use force! 
1:13:58 | Transcendental_ColonThree: oh, that works too
1:13:59 | RC: It's a trap
1:13:59 | Chloro [クロロ]: やばそう..
1:14:01 | yuuyuu: yab
1:14:03 | Apu 2: its the door code
1:14:03 | SkysNotTheLimit: Uh oh
1:14:08 | Mew: Flashlight
1:14:13 | SkysNotTheLimit: yabai!
1:14:14 | Idle Bear: Stranger danger
1:14:17 | mikkis: kill them all
1:14:19 | O5060403: Yabai!
1:14:21 | Suukotto Funsha: Yabai
1:14:22 | Kyle: Your health is low better heal up just to be safe
1:14:24 | GrassHopperMouse: only one way to find out ~
1:14:25 | Börk Börk: nto yabai, is seiso
1:14:29 | Transcendental_ColonThree: YABAAA
1:14:30 | ThePlatinumCan: こわー
1:14:30 | Sunspots: yabai
1:14:31 | .sandrio: have confidence
1:14:33 | yuuyuu: run!
1:14:34 | StrangerSeen: Fight!
1:14:36 | Mew: Run away bear!
1:14:36 | LoneRanger25: RIP
1:14:37 | Transcendental_ColonThree: fightooo
1:14:39 | Wheresmyeyebrow: U dead
1:14:44 | Jackku Chan: Ya ya ya!
1:14:45 | Stray Wolf: rip 
1:14:46 | Transcendental_ColonThree: killl hiim
1:14:47 | SkysNotTheLimit: Fight!
1:14:54 | LoneRanger25: 逃げろ
1:14:54 | Mew: bandages!
1:15:00 | Qwazola: Club him to death
1:15:03 | hustler one: fight!!!
1:15:06 | Theblekedet: look out!
1:15:07 | LoneRanger25: Give him the dog treatment
1:15:09 | SkysNotTheLimit: Kill him!
1:15:09 | .sandrio: 戦え‼
1:15:09 | Transcendental_ColonThree: to kill or be killed
1:15:12 | (Verified, Moderator) Nightbot: zzzzzz
1:15:15 | yuuyuu: 草
1:15:17 | Kaiser Kebab: Bear Blessings
1:15:17 | Orange Princess: axe
1:15:17 | Mew: ahahaha
1:15:20 | Apu 2: kill him
1:15:21 | mikkis: kuma power!
1:15:21 | Chloro [クロロ]: Kill him!
1:15:22 | SkysNotTheLimit: Nice!
1:15:25 | O5060403: 草
1:15:27 | Kuyashii: nice
1:15:29 | Jackku Chan: You win!
1:15:29 | SkysNotTheLimit: Strong bear!
1:15:29 | hustler one: naisu
1:15:30 | yuuyuu: wwwww
1:15:31 | フェットチーネ: nice!
1:15:34 | LoneRanger25: Nice!
1:15:34 | Suukotto Funsha: Winner lol
1:15:34 | ThePlatinumCan: Nice
1:15:35 | Peer: nice
1:15:36 | NatrixNatrix: bear power
1:15:36 | Transcendental_ColonThree: winner winner bear dinner
1:15:37 | GrassHopperMouse: 💪💪💪
1:15:38 | Kammerer: True winner! Perfect winner!
1:15:38 | Qwazola: Owned
1:15:40 | Mew: Bearly ahahah
1:15:40 | LoneRanger25: Strong bear cannot lose
1:15:40 | Sunspots: never knew he couldnt kill you
1:15:42 | VampirkoO: Nice!
1:15:45 | Gud Meme: >brutally murders man
1:15:46 | Sunspots: ナイス！
1:15:46 | Apu 2: bear power
1:15:48 | RC: ボコボコ上手い
1:15:49 | Apu 2: strong bear
1:15:54 | クラガリ葉月: Top bear.
1:15:54 | Gud Meme: "I win!
1:15:59 | yuuyuu: tsuyoi kuma
1:16:19 | Apu 2: kill him bear
1:16:34 | Project Seele: 👀👀👀
1:16:39 | Apu 2: yeah
1:16:40 | Orange Princess: 混乱した熊
1:16:41 | Tachi: いああ
1:16:42 | Apu 2: kill him
1:16:42 | SkysNotTheLimit: Dead zako
1:16:56 | Apu 2: good job bear
1:16:57 | Marc Bradford: Justice Bear
1:16:59 | Chloro [クロロ]: さっき叫ぶだけど?ww
1:17:00 | Vitz: 強い
1:17:35 | Sunspots: 草
1:18:08 | Apu 2: strong bear
1:18:12 | Kaiser Kebab: Not screaming, blessing 
1:18:20 | O5060403: It wasn't a scream, it was a battlecry
1:18:34 | yuuyuu: bearcry
1:18:43 | Börk Börk: I think you have to search the corpse of the guy you fought
1:18:45 | SkysNotTheLimit: Bear roar
1:18:51 | Transcendental_ColonThree: search the corpse
1:18:56 | yuuyuu: 草
1:18:57 | Tachi: ww
1:18:59 | Orange Princess: 可愛い熊の悲鳴
1:19:08 | LoneRanger25: www
1:19:32 | Sebastian: :elbowcough:
1:19:39 | Jackku Chan: Cute and funny chick!
1:19:39 | ThePlatinumCan: C-cute
1:19:49 | Transcendental_ColonThree: winner winner chicken dinner gets a whole new meaning......
1:19:58 | Transcendental_ColonThree: embrace your ears, chat
1:20:08 | SkysNotTheLimit: ABUNAI
1:20:11 | Kuyashii: scared bear
1:20:12 | Apu 2: strong bear
1:20:13 | yuuyuu: こわっ
1:20:21 | yuuyuu: yab
1:20:22 | Sunspots: こわ助けて
1:20:23 | LoneRanger25: I'm ready for my blessings
1:20:25 | Chloro [クロロ]: こわいこわいこわい
1:20:34 | O5060403: 怖い！
1:20:36 | Sprongle: upbear
1:20:37 | Apu 2: dead bear
1:20:39 | Transcendental_ColonThree: Welcome to darkwood >:3
1:20:52 | Tachi: こわ
1:21:02 | Jackku Chan: Not scared, just a bit cold.
1:21:08 | Someguyfromspace: are you ogey?
1:21:24 | Chloro [クロロ]: Have some nukumori tea to warm up! つ🍵
1:21:29 | Transcendental_ColonThree: Now you're on your own, end of tutorial, ganbatte strong bear!
1:21:36 | Orange Princess: 恐怖で震えている熊？
1:21:40 | SuppahTenko: Oh boy, it's only the start
1:21:46 | O5060403: Now it'll get more scary!
1:22:03 | FerretParade: i love emanating scents
1:22:24 | .sandrio: Beataniを応援しています
1:22:40 | Sunspots: stay home boys, hikki or perish
1:22:56 | Jackku Chan: Imagine the smell
1:23:30 | SkysNotTheLimit: Safety gas?
1:23:41 | SuppahTenko: It's also a difficult game. Make good use of your time.
1:23:54 | Jackku Chan: Vigilant = Stay focused
1:23:59 | Ikxi: vigilant, be careful
1:23:59 | Börk Börk: Vigilant= careful
1:23:59 | SkysNotTheLimit: Vigilant = Be alert
1:24:00 | SuppahTenko: Vigilant = Remain cautious
1:24:03 | Kaiser Kebab: Vigilant means "be careful"
1:24:11 | Chloro [クロロ]: vigilant = to be careful
1:24:17 | クラガリ葉月: 用心深い
1:24:27 | Meneltir: 注意をある
1:24:36 | O5060403: Vigilant = 用心深い
1:25:32 | Sunspots: remain vigilant」気を付けてってこと
1:25:32 | Bailing Baker: Cook!
1:25:35 | ThePlatinumCan: Uh oh
1:25:41 | Wheresmyeyebrow: Pulsating = exciting :elbowcough:
1:25:41 | Mew: no mushroom
1:25:53 | Mew: Pulsating is what you hear right now
1:25:57 | SuppahTenko: You don't have anything to cook yet. You can cook mushrooms and other things for level ups
1:25:58 | Lerelee: Cooking stream!
1:26:10 | FerretParade: mushrooms in the nabe
1:26:29 | Kaiser Kebab: Fuwa fuwa~ 
1:26:31 | Shuko: Rag get!
1:26:33 | Börk Börk: mofu mofu
1:26:36 | Transcendental_ColonThree: fuwa fuwa mofu mofu raggu 
1:26:40 | O5060403: Beatani cooking! どんな食べ物が好きですか？
1:27:33 | SkysNotTheLimit: You can make a bear trap?
1:27:37 | LoneRanger25: Bears usually eat fish, right?
1:27:58 | .sandrio: bears are omnivores
1:28:34 | Lerelee: Bears eat everything
1:28:39 | StrangerSeen: I can't wait for her first night.
1:28:52 | SuppahTenko: The weird crunchy noise is a mushroom, you can pick them up and cook them
1:28:54 | Shuko: This game is pretty in depth huh
1:29:09 | O5060403: This game is pretty complicated.
1:29:09 | Bailing Baker: This game is pretty gosh darn spooky
1:29:15 | SkysNotTheLimit: I didn't expect this for a horror game
1:29:20 | LoneRanger25: Everything, huh. Scorpions, perhaps?
1:29:31 | Kaiser Kebab: What is your favourite food beatani?
1:29:34 | Shuko: 🎵
1:29:35 | .sandrio: It is a bit complicated, but it all falls into place after a bit
1:29:36 | yuuyuu: かわいい
1:29:40 | Jackku Chan: Is this the karaoke stream?
1:29:40 | JB shards: true
1:29:41 | StrangerSeen: wan
1:29:42 | Qwazola: cute
1:29:44 | LoneRanger25: The dog is back?
1:29:45 | Darthclone2: karaoke stream soon?
1:29:48 | Sunspots: this game is on par with silent hill 2 in atmosphere level, sometimes better in my opinion
1:29:52 | O5060403: Kawaii
1:29:56 | Lerelee: cute singing
1:29:56 | yuuyuu: wan wan
1:30:09 | SkysNotTheLimit: Scary zako
1:30:13 | (Verified, Moderator) Nightbot: zzzzzz
1:30:20 | SuppahTenko: Also going out with no weapon is not advised.
1:30:27 | MonquSurtonpif: It's too cute, I'm goslinging !
1:30:29 | Sunspots: the schizo ran away
1:30:37 | Bailing Baker: mandalore did a review of it, good stuff
1:30:54 | SkysNotTheLimit: Hahahahah
1:30:57 | yuuyuu: yab
1:31:00 | Tachi: 草
1:31:01 | O5060403: Yabai!
1:31:03 | Shuko: Not scared of anything huh...
1:31:03 | クラガリ葉月: Who's the scared one?
1:31:11 | Sprongle: friend!
1:31:13 | Chloro [クロロ]: He just want a bear hug ww
1:31:15 | .sandrio: big 草
1:31:20 | Mew:  キモイ 
1:31:32 | Sunspots: he is just shy
1:31:39 | Ikxi: he is afraid of bears xD
1:31:47 | Vitz: schizo fears the Bear
1:31:56 | rev: it was a shrine for praying
1:31:59 | Shuko: Maybe he's a friend
1:32:11 | Mew: Bear chases crazy homeless in woods
1:32:14 | Chloro [クロロ]: lol
1:32:16 | hustler one: wwww
1:32:24 | LoneRanger25: lol
1:32:25 | クラガリ葉月: ドSかな。。
1:32:28 | Mew: Intimidaiton
1:32:30 | SkysNotTheLimit: Scary bear chases zako away
1:32:31 | Kuyashii: flawless victory
1:32:37 | VampirkoO: ww
1:32:37 | FerretParade: bear bullying schizos
1:33:27 | SuppahTenko: Run
1:33:28 | Bailing Baker: wanchan!
1:33:29 | LoneRanger25: ワンワン
1:33:31 | hustler one: spoke too soon kusa
1:33:31 | Sprongle: wan wan!
1:33:32 | SkysNotTheLimit: Run!
1:33:34 | LoneRanger25: ヤベー
1:33:39 | O5060403: wan wan!
1:33:40 | Lerelee: Bad dog!
1:33:43 | Ikxi: instant karma
1:33:44 | yuuyuu: わんわん
1:33:45 | クラガリ葉月: "No enemy for me"
1:33:46 | Zarafiel ザラフィール Ch.: Bear is afraid of Dog
1:33:53 | (Verified, Moderator) Nightbot: @Jackku Chan -> Terminated! [stop spamming caps] [warning]
1:33:53 | Mew: wew
1:33:58 | SuppahTenko: Shift to run I think
1:34:00 | nicenature: ああ
1:34:02 | SkysNotTheLimit: The bear fears the dog
1:34:05 | Kuyashii: w
1:34:13 | Chloro [クロロ]: phew ww
1:34:17 | Mew: Dog > Bear > Shizo
1:34:21 | Jackku Chan: www
1:34:29 | MonquSurtonpif: Is that an updog ?
1:34:50 | Mew: 4 updogs
1:34:52 | SkysNotTheLimit: Updog vs Upbear
1:34:54 | major wow: so many dog
1:34:59 | O5060403: Many updog
1:35:00 | Hanabi: today I learned dogs are the bear's natural enemy
1:35:09 | Sunspots: 武器が必要そう
1:35:09 | Ikxi: so much updog
1:35:27 | Transcendental_ColonThree: updog
1:35:31 | GrassHopperMouse: There are kinds of dog specifically breed to hunt bears
1:35:33 | NatrixNatrix: radio man knew the code?
1:35:45 | クラガリ葉月: Didn't you write a code earlier?
1:35:50 | GrassHopperMouse: The Karelian bear dog specifically
1:35:50 | FerretParade: lots of dogs are too dumb to be afraid of bears
1:36:00 | SuppahTenko: The hideout has enough resources to make a nailboard
1:36:23 | RADEON 360: Aren't dogs and bears pretty closely related species
1:36:43 | Bailing Baker: Wild dogs are super dangerous
1:36:45 | SuppahTenko: Space key to vault over fences and windows.
1:37:38 | Chloro [クロロ]: Just be careful of dogs
1:37:52 | Sirboot: no wild dogs?
1:37:53 | Bailing Baker: Only wild cats
1:37:57 | yuuyuu: just wild bears
1:38:04 | SkysNotTheLimit: Wild Dog vs Cute and Funny Bear
1:38:06 | major wow: interesting
1:38:07 | Listening Man: does she mean wild or stray? 
1:38:13 | Lerelee: Are there no homeless dogs in Japan?
1:38:19 | フェットチーネ: Wow really
1:38:32 | O5060403: Cats are super cute
1:38:35 | yuuyuu: wild bears in hokkaido
1:38:42 | Wheresmyeyebrow: What about cats?
1:38:44 | Sirboot: I can just walk out of my house and find 2-3
1:38:50 | SuppahTenko: Pile of logs have logs you can pick up and turn to wooden boards in the hideout
1:38:54 | yuuyuu: 草
1:38:59 | Sirboot: run!
1:39:00 | MonquSurtonpif: They have an entire island of cats
1:39:01 | King Weeb: WAH
1:39:03 | Sprongle: f
1:39:03 | Ikxi: run!
1:39:03 | Mew: YABAI
1:39:03 | LoneRanger25: F
1:39:04 | SkysNotTheLimit: Oh no
1:39:05 | NatrixNatrix: rip
1:39:06 | Kuyashii: RIP bear
1:39:06 | クラガリ葉月: F
1:39:06 | yuuyuu: やb
1:39:09 | major wow: rip
1:39:13 | VampirkoO: rip
1:39:13 | railgun1016: f
1:39:15 | Bailing Baker: F
1:39:18 | ThePlatinumCan: Rip
1:39:22 | FerretParade: bears are dogsnax
1:39:25 | Meneltir: 痛みーや
1:39:26 | Sunspots: ちなみに[CTRL]は躱すができる。変な日本語ごめんね
1:39:26 | Kaiser Kebab: RIP
1:39:29 | Chloro [クロロ]: RIP
1:39:36 | フェットチーネ: rip
1:39:44 | EryQ53: Remember you can sprint by pressing Shift
1:39:53 | Kuyashii: Doggos were too strong for the bear
1:40:28 | Kaiser Kebab: Dog is scary! 
1:40:37 | Ikxi: frozen from fear?
1:40:40 | yuuyuu: wwww
1:40:41 | Bailing Baker: buruburu = Trembling
1:40:42 | Sunspots: dogs are scary it is understandable
1:40:46 | Kuyashii: I see
1:40:52 | SuppahTenko: Search all containers in the hideout. There should be enough to make a weapon with.
1:40:54 | major wow: dogs too scary for bear
1:40:54 | Sunspots: 草
1:41:03 | Zebb: scary!
1:41:16 | yuuyuu: 頑張れ!
1:41:19 | Chloro [クロロ]: Understandable ww
1:41:21 | Jinhao: be brave beatani!
1:41:27 | SuppahTenko: Oh, it's getting dark.
1:41:44 | Sunspots: i think you can change the keybindings in options, dont remember its been a while since i played
1:41:44 | Kaiser Kebab: 99***8
1:42:15 | Jackku Chan: Uh oh
1:42:21 | Nero: It's getting late, you should go home
1:42:31 | SkysNotTheLimit: Oh no
1:42:38 | SuppahTenko: Don't step on mushrooms, some release poisonous gas
1:42:45 | yuuyuu: 草
1:42:45 | (Verified, Moderator) Nightbot: @Zebb -> Beep! [stop spamming caps] [warning]
1:42:48 | SuppahTenko: I think press M for the map
1:43:00 | クラガリ葉月: 全然違う方向。。
1:43:00 | SkysNotTheLimit: Someone help this lost bear!
1:43:01 | Ikxi: why red?
1:43:06 | yuuyuu: spooky
1:43:07 | Nero: Any bets on if she gets back before dark?
1:43:18 | hustler one: don't be scared...
1:43:20 | major wow: bear lost house
1:43:26 | SkysNotTheLimit: ABUNAI
1:43:28 | Sunspots: its ok she is a bear, the woods are her home
1:43:36 | Chloro [クロロ]: Run daughter!
1:43:38 | Ikxi: ohh no
1:43:39 | Mew: SHIFT
1:43:40 | SkysNotTheLimit: Was that a moose?
1:43:41 | LoneRanger25: F
1:43:41 | Kuyashii: F
1:43:42 | Sprongle: f
1:43:42 | クラガリ葉月: F
1:43:45 | Bailing Baker: RIP
1:43:45 | Nero: Don't run too much
1:43:45 | Jackku Chan: Haha a moose
1:43:46 | SuppahTenko: She didn't respect the woods
1:43:46 | Mew: F
1:43:46 | major wow: f
1:43:47 | Sunspots: bear vs moose
1:43:49 | Arcterion: Oh deer. 🦌
1:43:53 | Nero: Defeated by fearsome moose
1:43:55 | RADEON 360: daynjarasu
1:44:05 | LapanNaxela: just growl louder than the animals to assert dominance
1:44:16 | FerretParade: this must take place in canada
1:44:17 | Qwazola: Moose
1:44:19 | MonquSurtonpif: F
1:44:26 | Bailing Baker: kawaii
1:44:30 | LoneRanger25: ブルブルブル
1:44:39 | SuppahTenko: Talk to him, he is 'helpful'
1:45:12 | (Verified, Moderator) Nightbot: zzzzzz
1:45:37 | LoneRanger25: The safety rug
1:45:39 | SuppahTenko: The wolf
1:45:51 | StrangerSeen: The time is ticking
1:45:52 | Ikxi: scary sounds
1:46:01 | SuppahTenko: The person that was right next to you where you spawned
1:46:08 | Nero: She missed the wolf?
1:46:17 | Sunspots: time doesnt go by while in a safehouse i think
1:46:17 | Nero: Don't worry, I missed him too the first time
1:46:39 | The Sword Art Online Dickriding Association: Hot damn am I late. Sup everyone
1:46:41 | CallMe: Remember to sprint Beatani!
1:46:45 | SuppahTenko: Yes, I think he despawns when you leave the meadow
1:47:20 | SuppahTenko: there he is
1:47:21 | StrangerSeen: he was in there!
1:47:32 | SkysNotTheLimit: Beartrap!
1:47:52 | King Weeb: kuma trap
1:48:12 | Theblekedet: there he is
1:48:32 | RADEON 360: carcass = dead body
1:48:33 | SuppahTenko: He has the magic of AK47
1:48:33 | Chloro [クロロ]: 臭いって言われたw
1:48:41 | StrangerSeen: carcasses = old dead body
1:49:03 | GrassHopperMouse: comrade = partner, friend
1:49:06 | GrassHopperMouse: usually in a military sense
1:49:45 | SkysNotTheLimit: This game is good English practice
1:49:52 | Sunspots: carcass＝古い死体
1:50:34 | yuuyuu: ganbare!
1:50:45 | Jackku Chan: A bit better than dualingo www
1:50:50 | Theblekedet: lol
1:50:51 | hustler one: doulingo is trash
1:50:54 | Sunspots: the game gets easier once you get the hang of the main mechanics, dont worry
1:50:54 | Bailing Baker: Duolingo...
1:50:55 | Eika: LOL
1:50:55 | ThePlatinumCan: ww
1:51:02 | Chloro [クロロ]: True lol
1:51:50 | Mew: Woof meets Bear
1:52:06 | フェットチーネ: indeed
1:52:26 | SkysNotTheLimit: I just realized he has a gun
1:53:10 | Theblekedet: what an eloquent wolf
1:53:12 | Sunspots: wolf is a hunter
1:53:43 | Chloro [クロロ]: The way he speaks sounds like a military person
1:53:43 | SuppahTenko: Check furniture in the hideout
1:53:47 | SkysNotTheLimit: おおかみ VS くま?
1:54:55 | SuppahTenko: Theres resources in them, nails, wood boards, rags etc
1:55:20 | SuppahTenko: The wardrobe you were pushing can be looted
1:56:56 | SuppahTenko: There is also a log pile next to the main door on the left.
1:57:29 | Chloro [クロロ]: Nice! seems useful
1:57:30 | yuuyuu: kinoko
1:57:42 | Bailing Baker: Alcohol and mushrooms? sounds like a party
1:57:42 | Orange Princess: not english
1:57:43 | SuppahTenko: It's polish.
1:57:45 | yuuyuu: it's polish
1:57:45 | Viking: floshing
1:57:47 | major wow: that's russian i think
1:57:48 | Lerelee: That's polish
1:57:48 | Arcterion: Looks Polish.
1:57:49 | Nero: Its polish 
1:57:51 | Vitz: it's polish
1:57:55 | Idle Bear: Polish
1:58:06 | rev: The game is Polish.
1:58:10 | Ikxi: time to learn Polish 😆
1:58:11 | O5060403: Kurwa
1:58:16 | yuuyuu: wandering bear
1:58:21 | NatrixNatrix: It's polish, translates to "how to use mushrooms in a household"
1:58:31 | SkysNotTheLimit: Polish Practice Vtuber when?
1:58:37 | SuppahTenko: This is modern poland
1:58:40 | Viking: Natroc moment!?!?!
1:59:04 | Arcterion: How to speak Polish: drink vodka, dislocate jaw, then talk as you normally would.
1:59:41 | cynops: heretic ure cringe
1:59:48 | Viking: How to be polish, alcoholism, get beaten by the sovjets and germans and love anime girls
2:00:19 | Jackku Chan: Dogs are cute though
2:00:47 | LoneRanger25: ohadayo!
2:00:53 | Ark K.: ohadayo
2:01:02 | Jackku Chan: Ohadayoo
2:01:09 | NatrixNatrix: ohadayo!
2:01:14 | Viking: Ohadayooo
2:01:22 | O5060403: Ohadayo~!
2:01:40 | .sandrio: One of my favorite bits is when you survive a night and the morning comes with that massive crescendo
2:01:44 | SkysNotTheLimit: Does she have a map?
2:01:54 | cynops: urmomdayo
2:02:01 | Qwazola: Beatani da burr
2:02:32 | Sunspots: 各家具や死体のなかなどにゆっくり漁って武器の必要ものをちゃんと見透けられてとおもいます。my japanese is bad but i tried
2:02:38 | SuppahTenko: You can only see on it where you are when you are near a point of interest.
2:02:56 | Viking: What is this game even
2:03:13 | SuppahTenko: Darkwood
2:03:15 | Orange Princess: game is about bear traps
2:03:32 | Viking: i see
2:03:51 | .sandrio: and exploding mushrooms plus a large amount of body horror
2:04:23 | Ark K.: you don't sound scared though
2:04:28 | GrassHopperMouse: we went from "not scary" to "a little scary"
2:04:33 | Ark K.: nvm
2:04:43 | SuppahTenko: Watch out for piles of wood on the ground, they can be looted and turned into wood boards. Very important.
2:04:48 | Tachi: わぁ
2:05:20 | Viking: interesting
2:05:24 | O5060403: Dog is a mortal enemy of a bear
2:05:46 | Ikxi: run!
2:05:47 | SkysNotTheLimit: What the heck is going on
2:06:05 | yuuyuu: doggo
2:06:15 | Sunspots: torch him to death
2:06:29 | O5060403: Dog doesn't want to be a friend
2:06:30 | Nero: dogs dont want friends
2:06:33 | Ark K.: lol
2:06:39 | Kuyashii: i don't think they want to be friends
2:06:42 | Tachi: 草
2:06:51 | Lerelee: Pet doggo
2:06:52 | Viking: Kill doggo
2:07:01 | SuppahTenko: Theres some logs
2:07:14 | O5060403: Pet the dog with fire
2:07:23 | Ikxi: set on fire
2:07:27 | MonquSurtonpif: doggo-kun is not friend
2:07:42 | Nero: Its getting late, you should prepare to go home
2:07:46 | NatrixNatrix: strong bear!
2:07:48 | Viking: Doggo killed
2:07:49 | major wow: got em
2:07:50 | (Verified, Moderator) Nightbot: @LoneRanger25 -> Holy cow! [stop spamming caps] [warning]
2:07:53 | SkysNotTheLimit: Bear is stronger than Dog!
2:07:56 | Jackku Chan: Poor dog...
2:07:58 | Chloro [クロロ]: nice!
2:08:03 | Kaiser Kebab: Kill the dog! 
2:08:06 | クラガリ葉月: 友達作った
2:08:08 | yuuyuu: kusa
2:08:13 | ThePlatinumCan: The weak should fear the strong!
2:08:15 | Vitz: She grows stronger
2:08:16 | Stray Wolf: tasty doggo? 
2:08:17 | Theblekedet: sweet!
