-1:55 | BasedBug: Are we back?
1:04:32 | Ekusupuroshon: le Kanisseur
1:05:03 | MBmasher: the boss is scared of you
1:05:03 | Kyle: He got scared and hid somewhere
1:05:09 | Tachi: Where is the boss dads...
1:05:17 | stuffed idiot: kuso game
1:05:29 | stuffed idiot: might have to look this one up
1:05:36 | CantDood: kani taste...
1:05:37 | stuffed idiot: oh
1:05:38 | Stray Wolf: the manlet 
1:05:40 | Steven Frati: The boss might be the mom clone on the other side of the temple.
1:05:54 | TWAIN: this guy glows in the dark
1:06:03 | Ekusupuroshon: Mom's clone is there!!
1:06:18 | Tachi: Kusogame
1:06:21 | Rye Mountain: His tent is there
1:06:33 | Stray Wolf: Cia manlet glows in the dark 
1:06:36 | Verijero: we star wars now
1:06:41 | Oats 外: Ears have been blessed
1:06:47 | Raziel: glowposting
1:06:59 | Tachi: Mom clone
1:07:29 | Raziel: run him over
1:07:41 | Ekusupuroshon: But they're not doing any damage...
1:07:45 | Theoran12: uh oh
1:08:06 | Stray Wolf: it's only slowing you down
1:08:20 | TWAIN: mom is leaving...
1:08:33 | Oats 外: lmao this game is so jank
1:09:02 | Tianfang's Adventures: poached 
1:09:02 | Dest: f
1:09:03 | Stray Wolf: woah 
1:09:04 | Ekusupuroshon: BEAAAA
1:09:05 | Wayne Kerr: RIP
1:09:06 | Verijero: rip
1:09:06 | Chloro [クロロ]: NOOOOOO
1:09:06 | Nasty Yukari: Clobbered!
1:09:10 | Tachi: F
1:09:10 | Mizuki Arisu: F
1:09:12 | Stray Wolf: critical 
1:09:13 | Kyle: RIP
1:09:13 | stuffed idiot: NOOOOO
1:09:17 | Raziel: F
1:09:32 | Stray Wolf: F
1:09:33 | Raziel: dad's drunk again
1:09:36 | Canna: He got traumatized 
1:09:40 | Verijero: his head is tilted like an anime girl
1:09:45 | Ekusupuroshon: He saw bad things back there...
1:09:45 | Rye Mountain: He is having panic attack 
1:09:58 | Mizuki Arisu: Dad is tilted..
1:10:00 | Nasty Yukari: His pose is augmented
1:11:44 | Verijero: kamige
1:12:31 | Nasty Yukari: You literally play as a god in this game, I'd say it's kamige
1:12:57 | Absolute Link: cultured
1:13:07 | Ruru: 🫐
1:13:18 | stuffed idiot: she's going to get that stuck in my head
1:13:38 | Oats 外: Bluetani
1:14:19 | Rye Mountain: I googled it aswell, it seems like a common problem with the boss disapearing
1:14:27 | Matthew: Kuma is scary
1:14:27 | Rye Mountain: Find another temple
1:14:28 | TWAIN: coward boss!
1:14:38 | Verijero: bears are too powerful
1:15:10 | Rye Mountain: " The temple boss must be defeated to release the relic. The boss can be defeated by any means. If you can not find the boss its likely on the roof, its a known issue we are working on. " - the dev
1:15:29 | TWAIN: on the roof? lmao
1:15:37 | Raziel: got to squash the bug
1:15:37 | Verijero: check the roof
1:15:51 | stuffed idiot: start climbing
1:16:39 | Nasty Yukari: "we are working on [it]" Classic last words from developers
1:16:47 | Ekusupuroshon: Kuso Wiki
1:16:49 | Tachi: Lol do you think re loading the game fixes it?
1:17:18 | Verijero: maybe
1:17:24 | gyroninja: go to the roof?
1:17:27 | Ekusupuroshon: Basically, the game is not finished
1:17:31 | stuffed idiot: can you climb up?
1:17:42 | Fake Name: This is a kusoge
1:17:43 | Rye Mountain: Finding another temple is the only solution i think
1:17:45 | Antonio Badilla: A duel on the roof
1:17:50 | Verijero: gotta believe
1:18:02 | Nasty Yukari: Compile the game from source
1:18:10 | Verijero: kino
1:18:11 | Chloro [クロロ]: This game is so shitty it's good
1:18:12 | Stray Wolf: kusoge
1:18:18 | Tachi: Maybe it's that green one 
1:18:19 | Raziel: are the console commands?
1:18:21 | Nasty Yukari: Or start doing your climbing reps
1:18:43 | TWAIN: is this yoshi?
1:19:06 | Verijero: the devs are retarded
1:19:15 | CantDood: peak videogame experience
1:19:38 | Tianfang's Adventures: oh no
1:20:24 | Nasty Yukari: Dino-bbq time
1:21:00 | Raziel: nice!
1:21:08 | Ekusupuroshon: Ah?
1:21:09 | Chloro [クロロ]: Finally! nice
1:21:10 | Verijero: you are too powerful
1:21:24 | Matthew: Nice
1:21:32 | Ekusupuroshon: MY SON
1:21:39 | gyroninja: ez boss
1:21:40 | Verijero: manlet
1:21:42 | Nasty Yukari: That spinning in mid-air is amusing
1:21:44 | Antonio Badilla: Manlet
1:21:44 | Rye Mountain: He went to the roof and fell down lol
1:21:49 | Stray Wolf: manlet
1:21:52 | Tachi: Manlets
1:22:01 | Verijero: bide?
1:22:02 | Verijero: bride?
1:22:04 | Rye Mountain: I can
1:22:04 | Raziel: I'll volunteer
1:22:07 | Fake Name: I volunteer
1:22:08 | stuffed idiot: get in there oniichans!
1:22:08 | StrangerSeen: Bride?
1:22:09 | TWAIN: sure
1:22:11 | Antonio Badilla: mini human = manlet
1:22:14 | D3bugged: yes
1:22:14 | Tachi: Yes
1:22:21 | Momiji Channel: Yo
1:22:25 | Ekusupuroshon: The battle has begun
1:22:26 | Stray Wolf: I wouldn't mind 
1:22:26 | StrangerSeen: I will be strong brother.
1:22:34 | Nasty Yukari: We want (you) to serve in Beatani's army
1:22:35 | Mizuki Arisu: Oniichans let's go!
1:22:36 | Chloro [クロロ]: so many volunteers today ww
1:22:41 | Verijero: i already am
1:22:45 | StrangerSeen: Strong ugly brother!
1:22:46 | Fake Name: PLEASE
1:22:49 | TWAIN: ugly oniichans assemble!
1:22:50 | Oats 外: I want you to be big sister
1:22:55 | Rinnosuke Morichika: ME!
1:23:03 | Stray Wolf: that's my secret beatani 
1:23:06 | stuffed idiot: kuso-chan
1:23:09 | Verijero: osananajimi when?
1:23:17 | Stray Wolf: I was always an ugly creature 
1:23:20 | Tianfang's Adventures: scared
1:23:34 | StrangerSeen: Because big brothers protect small sisters.
1:23:38 | Mizuki Arisu: Kimoota oniichan dads!
1:23:43 | Ekusupuroshon: Do you really need to ask why?
1:23:46 | MagariteIs NotButter: i'm already ugly, being your brother is just a bonus
1:24:06 | Ekusupuroshon: My ugly ugly son...
1:24:30 | Matthew: So sad
1:24:36 | skrong: dads...
1:24:53 | TWAIN: let's goooo
1:24:58 | MBmasher: is it time? i just got back lol
1:25:00 | Rye Mountain: Not everyone can be beutifull
1:25:02 | Nasty Yukari: kawaisouna risunatachi, enlist today!
1:25:30 | TWAIN: forgive your parents, but they're making your brother
1:26:06 | Verijero: thats why the third leg...
1:27:00 | Antonio Badilla: When will they learn
1:27:16 | Canna: Perfect time to make a Frankenstein
1:28:26 | TWAIN: mom wants to give birth to your brother
1:28:59 | Nasty Yukari: It would be nice if this game had a BGM
1:29:08 | stuffed idiot: an absolute unit of an oniichan
1:29:09 | Nasty Yukari: (Or if there is, we can't hear it)
1:29:13 | TWAIN: manlets btfo
1:29:17 | BRAD AEON 720: brocon?
1:29:18 | Matthew: Oniichan is fictional person?
1:29:23 | MBmasher: rich brother
1:29:29 | Verijero: nice
1:29:37 | Canna: Brother complex 
1:29:40 | Nasty Yukari: okanemochi brother
1:29:41 | Chloro [クロロ]: Oil baron oniichan?
1:29:51 | MBmasher: kanimochi
1:29:58 | Verijero: what a chad
1:30:35 | BRAD AEON 720: leaning tower of oniichan
1:30:50 | TWAIN: snek brother?
1:31:04 | Ekusupuroshon: Ugly... my son is very very ugly...
1:31:14 | Mizuki Arisu: cyclops oniichan
1:31:18 | Canna: Dango brother 
1:31:19 | Verijero: sisten is putting make up on his brother
1:31:44 | Rye Mountain: Finally arm at the right place
1:31:47 | Matthew: 😭
1:31:51 | StrangerSeen: Brother is very tall and handsome
1:31:54 | stuffed idiot: damn onii-chan looking pretty cute
1:31:59 | TWAIN: hunchback brother
1:32:04 | Verijero: ikemen brother
1:32:24 | MBmasher: tall brother
1:32:24 | BRAD AEON 720: are you going to give him ochinchin
1:32:47 | The Flesh Is Weak: big mouth to kiss imouto
1:32:58 | Rinnosuke Morichika: dark lord chinchin
1:33:11 | TWAIN: buta aniki
1:33:22 | BRAD AEON 720: Jesus Christ how horrifying
1:33:30 | breadguette: strong onii chan must protect beatani
1:33:35 | Mew: It looks like a dark torture dungeon
1:33:41 | Mizuki Arisu: He's just like me!
1:33:43 | Matthew: Brilliant
1:33:46 | Rye Mountain: Brother has a broken back
1:33:48 | MBmasher: incrediblr
1:34:01 | breadguette: wow thats literally me
1:34:04 | Verijero: ogey
1:34:13 | breadguette: rrat
1:34:14 | Fake Name: ME
1:34:14 | MBmasher: i volunteer!
1:34:15 | Verijero: hi
1:34:17 | The Flesh Is Weak: choose me
1:34:17 | Rinnosuke Morichika: i love it
1:34:19 | TeutonicSorcery: Hi
1:34:20 | BRAD AEON 720: hai
1:34:21 | StrangerSeen: hi
1:34:21 | MagariteIs NotButter: hai
1:34:22 | Rye Mountain: hi
1:34:23 | Fake Name: High
1:34:23 | Cruzer: hi
1:34:23 | MBmasher: hai
1:34:26 | TWAIN: hai
1:34:29 | Tachi: Hai
1:34:32 | cycochaos2: Hi
1:34:32 | ElectroGeek007: hai
1:34:32 | Sol Codguy: hi
1:34:32 | Heretic: Ya
1:34:37 | Rinnosuke Morichika: I want to be your brother
1:34:38 | Lamb San: me please
1:34:42 | breadguette: hi
1:34:42 | D3bugged: hi
1:34:46 | Verijero: this is a big family
1:35:02 | MBmasher: too many brothers
1:35:04 | breadguette: me
1:35:06 | Mew: シュルシュル
1:35:11 | cycochaos2: I want to spoil you
1:35:12 | Fake Name: I think it'll look good on my resume
1:35:13 | breadguette: i want to be your onii cahn
1:35:16 | breadguette: i shall protect you
1:35:17 | Nasty Yukari: Melting pot of brothers oh no
1:35:18 | TWAIN: brotherdads let's go
1:35:19 | The Flesh Is Weak: I wanna smell Bea
1:35:21 | *$5.00* Lamb San: choose me 
1:35:23 | breadguette: never let anyone hurt you
1:35:25 | StrangerSeen: To kill for beartani 
1:35:32 | Verijero: nice
1:35:43 | (Verified, Moderator) Streamlabs: Lamb San just superchatted $5.00!
1:35:43 | breadguette: brother dads we must protect sister daughter 
1:35:49 | Tachi: Pay to win!
1:36:00 | クラガリ葉月: The power of money.
1:36:02 | cycochaos2: lol aniki bribes
1:36:06 | MBmasher: i will protect sister with all my might
1:36:19 | Rye Mountain: Brother forgot his ergonomic reps and broke his back playing games with bad posture
1:36:23 | Nasty Yukari: Brother dads will have to settle this through a fight, just like Beatani likes
1:36:25 | breadguette: i shall protect you to the ends of the earth 
1:36:33 | breadguette: uuuoooohhhhhhhhh
1:36:35 | Mew: The name is as broken as the monster
1:36:36 | FBI SURVALENCE: I lub
1:36:39 | BRAD AEON 720: so this is the power of money
1:36:48 | BRAD AEON 720: it really is something
1:36:49 | Fake Name: Yes, we are FakeMBheroweakTachilamb
1:36:53 | Verijero: edward...
1:37:00 | Sol Codguy: yes...perfect family.
1:37:06 | Tachi: Oniichan are you okay?
1:37:14 | Nasty Yukari: What does it feel to be part of Many, brothers?
1:37:31 | MBmasher: i will be strong for bea
1:37:32 | Rinnosuke Morichika: Brothertime
1:37:36 | Rinnosuke Morichika: Oh yes
1:37:37 | Verijero: a bit gay
1:37:43 | The Flesh Is Weak: I choose to be the pig leg btw
1:37:45 | Rye Mountain: If one dies during a battle you can call out another one
1:37:46 | Mew: ssssssssssss
1:37:53 | stuffed idiot: damn he thicc
1:37:57 | Verijero: kek
1:37:58 | TWAIN: what is oniichan doing with mom
1:38:05 | Tachi: Mom is carrying him because he's lazy
1:38:18 | stuffed idiot: hmmm...
1:38:34 | Lamb San: the pig leg is too high lol
1:38:37 | Verijero: M brother!
1:38:38 | Mew: ABUSE OF POWER
1:38:43 | breadguette: onii chan is making sister niece with mom
1:39:00 | MBmasher: that is cursed
1:39:02 | Tachi: He looks depressed
1:39:40 | Verijero: life is suffering
1:39:47 | Nasty Yukari: Kimoi brother
1:39:50 | The Flesh Is Weak: the stare of a sinner
1:39:58 | TWAIN: eyes full of disdain
1:40:03 | MBmasher: hes just shy
1:40:03 | Mew: -_-
1:40:06 | breadguette: stop hitting brother!
1:40:09 | stuffed idiot: his existence is pain
1:40:09 | Stray Wolf: sono me dare no me 
1:40:10 | TWAIN: taundere oniichan?
1:40:13 | Mizuki Arisu: tsundere imouto
1:40:24 | CantDood: absolute unit
1:40:46 | Rye Mountain: He regrets being born
1:40:51 | Antonio Badilla: momma's boy
1:40:52 | Stray Wolf: oedipus complex 
1:40:52 | Kyle: He's a momma's boy
1:41:00 | Tachi: What is oniichan doing with Mom? They seem to be connected!
1:41:10 | Mew: Snake Brain 
1:41:10 | Verijero: we are the otaku with the curved back
1:41:12 | stuffed idiot: his brain is too big, can't keep his head up
1:41:33 | Verijero: KEK
1:41:37 | Sol Codguy: wut
1:41:39 | BRAD AEON 720: lol
1:41:39 | Mew: ????
1:41:41 | The Flesh Is Weak: s-sugoi
1:41:46 | Ark Sword Misc.: 草
1:41:47 | MBmasher: how does this work
1:41:47 | Rye Mountain: This kusoge is so great
1:41:49 | Matthew: Oniichan is cringe
1:41:53 | Chloro [クロロ]: lol
1:42:03 | Mizuki Arisu: kusoniichan
1:42:09 | breadguette: big brother is suffering
1:42:13 | Fake Name: I'm so sorry
1:42:29 | Mew: Fire the LASER EYE!
1:42:32 | Verijero: edwardbros...
1:42:33 | Sol Codguy: I think big brother only hates his existence
1:42:34 | stuffed idiot: this thing is so cursed
1:42:40 | Rinnosuke Morichika: big slaps
1:42:49 | breadguette: the cursed anime
1:43:05 | Verijero: terrifying
1:43:14 | Verijero: KEK
1:43:26 | breadguette: use the lazer eye
1:43:26 | Sol Codguy: haha
1:43:37 | Rye Mountain: Traditional riding
1:43:54 | Canna: He's perfect 
1:43:56 | Megiddo: it's uh... something
1:44:03 | breadguette: dads... brother can barely walk, how do we save him
1:44:05 | Mew: 😶😶
1:44:08 | Fake Name: An oniichan only an imouto could love
1:44:16 | Tachi: He's in pain
1:44:20 | The Flesh Is Weak: modern imouto/oniichan relationship
1:44:29 | Mew: 😿😿
1:44:34 | Cruzer: being oniichan is suffering
1:45:07 | Megiddo: useless oniichan
1:45:09 | Verijero: :(
1:45:14 | MBmasher: :(
1:45:18 | Tianfang's Adventures: ouch
1:45:23 | Matthew: 😞
1:45:25 | Fake Name: nooo
1:45:30 | ChefHART: damn...
1:45:33 | MBmasher: brother was disowned
1:45:33 | stuffed idiot: pain.......
1:45:41 | breadguette: onii chan was abandoned ;-;
1:45:43 | The Flesh Is Weak: disowned neet...
1:45:47 | Verijero: cant believe beatani murdered us...
1:45:47 | breadguette: only dad is here
1:45:57 | Nasty Yukari: jobless and disowned damn
1:46:27 | Megiddo: hazukashiful~
1:46:27 | TWAIN: bea... don't stare...
1:46:31 | Verijero: why would a daughter want to see that?
1:46:36 | Rinnosuke Morichika: ❤
1:46:42 | Mew: Mecha teetee
1:46:46 | breadguette: onni chan died
1:46:46 | Raziel: a little privacy
1:46:50 | Dest: Family time
1:46:59 | breadguette: pain peko
1:47:12 | Nasty Yukari: They're looking at you like "we'd like a little bit of privacy over here"
1:47:34 | Antonio Badilla: Already working to make a new son
1:48:08 | Megiddo: big brother not wanting headpats from Beatani
1:48:14 | Verijero: brother is afraid
1:48:14 | TWAIN: he's upset at you
1:48:48 | The Flesh Is Weak: useless and afraid
1:49:01 | Nasty Yukari: Not sure if running away or having motor-coordination problems
1:49:12 | TWAIN: it's the crab leg
1:49:19 | TWAIN: he's walking sideways
1:49:31 | Ekusupuroshon: Chihiro when?
1:49:34 | stuffed idiot: but what about imouto?
1:49:40 | Mew: First victim
1:49:51 | stuffed idiot: Chihiro was already killed
1:50:04 | Rye Mountain: Chihiro died first CHKN stream
1:50:08 | Verijero: abe would be proud
1:50:12 | Stray Wolf: Chihiro graduated 
1:50:32 | (Verified, Moderator) Streamlabs: Raziel just tipped $5.00 dayo!
1:50:33 | Verijero: yah
1:50:36 | john: repopulating japan
1:50:42 | MBmasher: graduated from life
1:50:42 | The Flesh Is Weak: yah
1:50:49 | Mew: :yougotthis::yougotthis::yougotthis:
1:50:52 | Dest: lmao
1:51:03 | Megiddo: Membership stream less than a day away!
1:51:11 | (Verified, Moderator) Streamlabs: Canna just tipped $20.00 dayo!
1:51:20 | Nasty Yukari: >discord
1:51:25 | Nasty Yukari: Nooooooo
1:51:28 | Tachi: Dead game
1:51:29 | Ark Sword Misc.: time to host a Bea-tan server.
1:51:29 | The Flesh Is Weak: ded geemu
1:51:40 | stuffed idiot: more like stinkcord am i right?
1:51:45 | Mew: oh no 
1:51:45 | MBmasher: will mom and dad and brother fight each other??
1:51:47 | Chloro [クロロ]: oh no
1:51:50 | Sol Codguy: oh no
1:51:52 | Rye Mountain: Discord is for normies
1:52:01 | Mew: Chihiro
1:52:02 | Megiddo: family fight time
1:52:05 | Verijero: like my doujins!
1:52:10 | Dest: Domestic violence be like
1:52:13 | Sol Codguy: It's what she's always wanted
1:52:17 | Mizuki Arisu: Bloodsports rime
1:52:33 | Verijero: kek
1:52:39 | Tianfang's Adventures: ha ha battles
1:52:43 | Rye Mountain: Oh no, the family is fighting again
1:52:44 | Ekusupuroshon: I kill my son now ..
1:53:04 | Nasty Yukari: Wrassle time!
1:53:14 | Mew: OH NO
1:53:15 | MBmasher: brother is op?!?!?!?!
1:53:15 | Mew: MOM
1:53:16 | Verijero: this is a broken family
1:53:26 | TWAIN: mom noooooo
1:53:28 | Mew: HOLY SHIT
1:53:29 | Momiji Channel: woah he's good
1:53:33 | Sol Codguy: I thought brother liked mom. He's brutal here
1:53:36 | stuffed idiot: wow
1:53:38 | Tachi: This is teh best part of the game
1:53:40 | The Flesh Is Weak: we won!
1:53:44 | Matthew: Oniichan wins!
1:53:48 | Chloro [クロロ]: Brutal
1:53:49 | Nasty Yukari: Brother just smashed mom into fucking pieces
1:53:52 | フェットチーネ: sasuga oniichan
1:53:55 | Dest: Damn
1:53:55 | Rye Mountain: Mom had 100% accuracy though
1:53:56 | Dest: Savage
1:54:00 | Cruzer: oniichan's hidden strength
1:54:11 | Verijero: attacks like a snake
1:54:24 | Dest: The Laser power
1:54:32 | Mew: Oh my god 
1:54:32 | Rye Mountain: Onnichan has a lot of max HP
1:54:35 | Sol Codguy: Oniichan is just too cursed to be beaten
1:54:40 | Fake Name: Big bro won, but at what cost...?
1:54:41 | The Flesh Is Weak: the green mouth is too strong
1:54:44 | john: cringe
1:54:45 | Raziel: matricide
1:54:47 | breadguette: oh no 
1:54:47 | Dest: Domestic violence lmao
1:54:49 | breadguette: mom
1:54:50 | Canna: Gender equality 
1:54:52 | stuffed idiot: cringe moment
1:54:52 | Megiddo: brother too strong
1:54:54 | Verijero: bea is calling us cringe bros...
1:54:56 | Tachi: Based
1:54:58 | Raziel: killing your mom is cringe
1:55:02 | Mew: Snake bit too powerful 
1:55:09 | Mizuki Arisu: cute hitting desk noises
1:55:25 | Verijero: because (you)
1:55:29 | Sol Codguy: lol
1:55:29 | Mew: You won but at WHAT COST?!
1:55:33 | Nasty Yukari: "Because ... (you)"
1:55:35 | Fake Name: I'm sorry, beatani...
1:55:39 | Matthew: Mom deserved it
1:55:47 | Verijero: im sorry...
1:55:57 | Sol Codguy: Won the battle but lost the war
1:56:20 | Verijero: we won the battle but couldnt win her heart...
1:56:23 | Megiddo: 19.5 str against how much for brother?
1:56:26 | Rye Mountain: My family is not getting along...
1:56:28 | breadguette: dad is now beating onii chan
1:56:31 | Sol Codguy: Time to discipline oniichan
1:56:32 | stuffed idiot: bad boy....
1:56:39 | Ekusupuroshon: Bea?
1:56:45 | Rye Mountain: I bet on oniichan
1:56:47 | john: SHAMEFUL DISPRAY
1:56:48 | Fake Name: AA
1:56:54 | breadguette: onii chan hits mom so now dad must defeat him
1:56:56 | stuffed idiot: what a lucky guy
1:57:01 | The Flesh Is Weak: ikuzoo
1:57:22 | MBmasher: wait this is close
1:57:31 | Sol Codguy: come on dads
1:57:34 | TWAIN: oniichan is in his rebellious phase
1:57:42 | Megiddo: brother too strong
1:57:45 | Cruzer: who needs godzilla vs kong when you have this?
1:57:50 | Dest: This how the family dinner looks like, nothing out the usual
1:57:50 | Tachi: Based brother wins again
1:57:52 | breadguette: oh no dad
1:57:54 | Ekusupuroshon: Dad is strong!
1:57:59 | breadguette: DAD NO
1:58:01 | breadguette: NOOO
1:58:03 | Nasty Yukari: this isn't domestic violence... this is parricide!
1:58:06 | stuffed idiot: NOOOOO
1:58:07 | Fake Name: Superior brothers
1:58:13 | Verijero: kneel
1:58:20 | breadguette: HELP US 
1:58:25 | breadguette: DAD IS IN PAIN 
1:58:35 | Sol Codguy: Brother has too much rage
1:58:51 | Megiddo: that lizard mouth is powerful
1:58:53 | Nasty Yukari: I mean, brother has the tsuyosa of literally half of the family
1:58:54 | The Flesh Is Weak: desire to protect imouto
1:58:54 | Momiji Channel: strength in length
1:58:55 | Mew: And hes only level 1!
1:59:02 | Dest: The MVP
1:59:03 | Antonio Badilla: Nerf snake mouth
1:59:05 | Ekusupuroshon: it's the green mouth
1:59:19 | The Flesh Is Weak: oniichan is motivated
1:59:44 | Nasty Yukari: kek she's regretting all the teasing she's done until now
1:59:45 | breadguette:  DAD
1:59:57 | Verijero: you slapped him, he got angry
2:00:06 | Sol Codguy: haha
2:00:08 | stuffed idiot: the weak should fear the strong
2:00:10 | Raziel: big bro is a loose cannon
2:00:14 | The Flesh Is Weak: dogeza...
2:00:15 | breadguette: onii chan is beatin the family
2:00:17 | breadguette: help
2:01:17 | TWAIN: conjugal dispute
2:01:19 | Ekusupuroshon: fightz
2:01:23 | Fake Name: Have you ever seen Mr And Mrs Smith?
2:01:27 | john: dad drank too much
2:01:28 | Cruzer: it's time for a divorce
2:01:28 | Tachi: Broken family
2:01:30 | Rye Mountain: Wife beating simulator
2:01:35 | Joestar: They fight for you love
2:01:44 | Tachi: Drunk dad...
2:01:46 | Antonio Badilla: Mom burnt the rice again
2:01:46 | MagariteIs NotButter: let's gooo
2:01:51 | breadguette: no mom
2:01:54 | breadguette: pls no dad
2:02:06 | breadguette: pls dont hurt mom dad
2:02:17 | Mew: Domestic Violence!
2:02:24 | cycochaos2: i can't watch
2:02:28 | Verijero: they are dancing
2:02:29 | Ekusupuroshon: not having lasers...
2:02:38 | Sol Codguy: mating ritual
2:02:43 | TWAIN: i can't believe das is a wifebeater
2:02:46 | Dest: Mom is S P E E D
2:02:51 | Megiddo: dad
2:02:54 | skrong: is this what sex is?
2:02:54 | Tachi: Dad 
2:02:55 | john: dad just like in real life
2:02:55 | The Flesh Is Weak: dad
2:02:56 | Verijero: the daughter
2:02:57 | breadguette: winner gets to top
2:02:59 | MBmasher: dad is beating mom :(
2:03:03 | Mizuki Arisu: dad eggs vs mum eggs
2:03:07 | Chloro [クロロ]: Big brother
2:03:07 | MagariteIs NotButter: brother
2:03:10 | cycochaos2: dad is OP
2:03:12 | Canna: Betting on dad 
2:03:16 | Tachi: Mom seems used to this
2:03:22 | Sol Codguy: the one with the lazer
2:03:30 | Rye Mountain: Mom did more damage
2:03:30 | Megiddo: mom won the first
2:03:32 | cycochaos2: WTF
2:03:32 | Nasty Yukari: It's an actual 勝負 this time around
2:03:33 | Sol Codguy: oh wow, go mom
2:03:38 | Tachi: Damn
2:03:40 | breadguette: mom beats dad
2:03:46 | breadguette: femdom time 
2:03:53 | Raziel: dad's pimp hand is strong
2:04:05 | Flux: IM BLUE
2:04:16 | breadguette: mom wins
2:04:18 | Verijero: dad is a fetishist
2:04:26 | Tianfang's Adventures: Big lazers 
2:04:28 | Ekusupuroshon: I hate lasers....
2:04:39 | cycochaos2: dad's reach advantage 
2:04:45 | Megiddo: ????
2:04:48 | Dest: kek how
2:04:50 | Megiddo: dad should have won that one?
2:04:51 | cycochaos2: WTF
2:04:51 | Mew: eh???
2:04:52 | MBmasher: how
2:04:52 | Tachi: Dad is an M after all
2:04:54 | Kyle: Dad always loses arguments
2:04:57 | cycochaos2: rigged
2:04:59 | Rye Mountain: Ah, the one who did the most attacks wins if no one died
2:05:04 | Stray Wolf: eh? 
2:05:05 | Antonio Badilla: It went to judges
2:05:06 | Verijero: mom is always right
2:05:09 | TWAIN: dad let her win
2:05:12 | Dest: The game was rigged from the start
2:05:13 | Mew: She had less HP?!
2:05:16 | Ekusupuroshon: it's by hits not by hp bar
2:05:18 | Rye Mountain: Most landed attacks is more important than damage made
2:05:20 | The Flesh Is Weak: female judges
2:05:27 | cycochaos2: the fix was in
2:05:28 | Chloro [クロロ]: More attacks from mom landed
2:05:34 | breadguette: mom wins
2:05:38 | breadguette: mom beats dad
2:05:39 | stuffed idiot: mom op
2:06:10 | Nasty Yukari: we femdom now
2:06:13 | breadguette: 🦧
2:06:14 | Verijero: based
2:06:54 | Ekusupuroshon: Dad has been weak since the beginning...
2:06:55 | Verijero: useless dad!
2:06:56 | stuffed idiot: dadbros we lost....
2:06:58 | TWAIN: useless oyaji
2:07:03 | The Flesh Is Weak: nobody can protect Bea from oniichan
2:07:17 | Dest: Dad gang will have they revenge
2:07:20 | Sol Codguy: dad's going to be homeless if he doesn't pick up the slack
2:07:22 | Verijero: adiosss
2:07:24 | MBmasher: im a proud brother
2:07:26 | stuffed idiot: thanks for the stream Beatani
2:07:30 | Sol Codguy: bea bea!
2:07:35 | MBmasher: bea bea
2:07:38 | Dest: Thanks for the stream!
2:07:38 | フェットチーネ: べあべあ
2:07:41 | cycochaos2: Don't leave 😞
2:07:43 | Chloro [クロロ]: Thank you for the stream! Otsukare~
2:07:43 | Simón: Thanks for the stream!!
2:07:47 | The Flesh Is Weak: bye be
2:07:51 | Simón: bea bea
2:07:53 | breadguette: thanks beatani
2:07:57 | breadguette: bye bye
2:07:57 | Rye Mountain: last update was june 2019...
2:08:14 | Canna: Remember to subscribe if you aren't already. 
2:08:16 | iDoujin: Thanks!
2:08:31 | Antonio Badilla: thanks for the stream
2:08:34 | Joestar: See ya sister!
2:08:44 | breadguette: patricide 
2:08:50 | breadguette: bye dads
2:09:00 | *MX$20.00* The Flesh Is Weak: dirty money...
2:09:16 | Ekusupuroshon: I want my membership badge!!
2:09:26 | (Verified, Moderator) Streamlabs: The Flesh Is Weak just superchatted MX$20.00!
2:09:27 | Nasty Yukari: paisanos bien basados...
2:09:35 | skrong: lol
2:09:45 | breadguette: pesos
2:09:49 | stuffed idiot: give all your money to kuma
2:10:46 | MBmasher: the cover was sugee
2:10:50 | breadguette: play dont starve
2:11:05 | Voltage: Bye bear!!!!?
2:11:13 | Voltage: just woke upppp
2:11:48 | Ekusupuroshon: Membership yeah
2:11:49 | Voltage: will watch vod dayo
2:12:10 | Chloro [クロロ]: Tanoshimi!
2:12:19 | MBmasher: membership yay
2:12:21 | Stray Wolf: party 
2:12:22 | フェットチーネ: ohhh
2:12:34 | breadguette: yay
2:12:36 | breadguette: party time
2:12:38 | Tachi: !!
2:12:38 | Voltage: bea beAaaa!!!
2:12:40 | MBmasher: another announcement..?!
2:12:40 | TWAIN: night desu...
2:12:47 | Voltage: announcement????!!
2:12:51 | Ekusupuroshon: I'll be there for sure!
2:12:51 | Nasty Yukari: Nice!
2:12:52 | stuffed idiot: wooo sing stream!
2:12:52 | Antonio Badilla: ???
2:12:52 | Mew: :virtualhug::virtualhug:
2:12:57 | MiiMuu: I will sprint to the stream
2:12:59 | TWAIN: bea bea
2:13:00 | Mizuki Arisu: Beabea!!!
2:13:00 | Nasty Yukari: We love secrets!
2:13:00 | Antonio Badilla: Matane
2:13:02 | Ekusupuroshon: Bea Bea
2:13:02 | Ekigo: bea bea
2:13:02 | stuffed idiot: the hype
2:13:04 | stuffed idiot: Bea Bea!
2:13:04 | VampirkoO: Bea bea!
2:13:06 | skrong: matane bea bea
2:13:06 | Tachi: Byebyeee beabeaa
2:13:06 | Rye Mountain: BeaBea!
2:13:07 | Chloro [クロロ]: Bea Bea!
2:13:08 | Voltage: bea beaa
2:13:08 | Antonio Badilla: Ending song?
2:13:08 | Tianfang's Adventures: bye bye
