-13:39 | Bob: 🍀
39:54 | LassesAffar: Before you stream it's the number of people waiting. When you start, everyone needs to refresh the page or they won't count
39:54 | Mew: Does adblock affect it?
39:54 | LadyCaitlin0429: YouTube seems to hate showing correct numbers
40:05 | gyroninja: youtube doesn't count suspicious accounts / viewers in the live count 
40:06 | Steven Frati: Tracking the Likes is best way to head count dads, moms, brothers sisters. Please remember to like our daughters performance right away!
40:13 | Yamoyashi: beeeeeeeeaaataniiiii
40:13 | bulletfodder: youtube has shadowbanned a lot of people
40:22 | Zia: Suspicious dads aren't counted...
40:27 | Destoroyar Fortress: Since Youtube doesn't know how to count, reaching 100 viewers is actually pretty impresive
40:34 | Monkberry Moon: Youtube bug
40:34 | XeniVari: Server synchronization and adding numbers is too hard, please understand.
40:35 | stuffed idiot: if you have adblock on it won't count you
40:44 | Börk Börk: Homeless dads aren't counted anymore
40:48 | imalittle cupcake: Small indie company...
40:53 | Shippo: true
40:57 | Rye Mountain: On this account I only watch beatani and nothing else, youtube may find that suspicous
40:59 | Mew: Indeed do you best! 
41:05 | Shippo: don't worry about the numbers, it's the best
41:06 | Jackku Chan: Based numbers-ignorer
41:08 | Theblekedet: I agree!
41:12 | stuffed idiot: But the numbers Beatani....
41:14 | BasedBug: The numbers will glitch, but many people will always watch!
41:15 | gyroninja: Focus on putting on a good stream than worry about numbers
41:15 | Steven Frati: Beatani would give her best if there were 10 or 10000 viewers.
41:20 | Satorin_Komeiji: based, the real numbers are the friends we made along the way, all of us here right now
41:28 | Verijero: based
41:28 | Tachi: That's good
41:31 | Spartanix13: based Bear
41:31 | ThatVidyaGuy: What a based bear
41:32 | Xayn: > > >
41:32 | hohoemikuma: based
41:32 | MBmasher: thats the spirit
41:32 | Theblekedet: based bear
41:33 | Aggressive Quack: In her heart shes in front of millions, what a chat
41:33 | Rye Mountain: Based
41:33 | BasedBug: HUMBLE BEAR
41:35 | imalittle cupcake: Based bokukko bear
41:35 | Kofi: based...
41:36 | Megiddo: very based
41:36 | Sol Codguy: based
41:36 | Nasty Yukari: どうでもいいよ
41:36 | stuffed idiot: she's so based
41:37 | Cool bug Fact's: Smart bear
41:37 | Mister Eko: B A S E D
41:38 | Raziel: This is why Beatani is so based
41:39 | Canna: Smart and based 
41:40 | SukiKirai: that's amazing to hear
41:41 | Cake Cheese: Based bear 
41:41 | Steven Frati: based
41:42 | Mickey Miles: 一番大切な質問でござる、「ばかみたい」という歌が知っていますか？
41:44 | Destoroyar Fortress: That's why we love (YOU) Bea!
41:44 | Aggressive Quack: Based!
41:44 | フェットチーネ: Having fun! Yes!
41:49 | MBmasher: im sure the numbers will go up anyway hahah
41:49 | SukiKirai: have fun and we will have fun with you
41:50 | SoggyBread: Based Bear
41:51 | Alexander Holzer: ❤
41:52 | Mothman: osa basada
41:52 | Mechanized Doge: 👌Positive!
41:54 | bulletfodder: only number that matters is BEAR IS NUMBER 1
41:54 | Jessica: Based 
41:56 | CommanderMichael: eternally BASED
42:00 | imalittle cupcake: Well worry not, it definitely is enjoyable. I've not smiled so widely all week 
42:09 | RueTobas: the keyboard asmr
42:09 | CommanderMichael: Hello, based department?
42:17 | (Verified, Moderator) Streamlabs: Raziel just tipped $200.00 dayo!
42:18 | The Sword Art Online Dickriding Association: Based 🐻
42:22 | Mister Eko: BEASED
42:23 | Mew: bases
42:23 | Shippo: based
42:26 | BasedBug: OIL BAROOOON
42:27 | Hanabi: based bear
42:27 | Randel Shurker: Based bear
42:28 | Suukotto Funsha: Based
42:30 | Mechanized Doge: wao
42:31 | みろこ[Miroko]: Rather than views it's more important to have fun
42:32 | Shippo: NICE
42:35 | sp33d4l0l: oil baron alert
42:36 | The Sword Art Online Dickriding Association: Based
42:37 | Sheep: holy
42:37 | ElectroGeek007: wise bear
42:40 | Juvisy: Based
42:41 | Bob: based 
42:41 | Ludd: based oil baron san
42:41 | XeniVari: Nice.
42:44 | Theblekedet: Thanks Raziel!
42:54 | Mew: based oil:washhands:
43:01 | hohoemikuma: hoping for guitar uuu
43:01 | Börk Börk: guitar stream at 3k?
43:05 | Theblekedet: That's right beatani
43:06 | パナナナダ: i think u will get more money if you have 10k viewers
43:08 | Darío: :goodvibes:
43:11 | Inaba: based
43:14 | Megiddo: your singing is fantastic though. You put in a lot of effort I can tell!
43:15 | Verijero: orchestra at 10k subs?
43:17 | Sheep: you are right, we are enjoying your stream anyway. you are doing good bea
43:18 | stuffed idiot: 🐻‍❄🍀👈- you see this bear? she's based
43:19 | Jackku Chan: That's the spirit!
43:23 | BasedBug: People watch because they want to see you try your best, and it's really well done
43:28 | imalittle cupcake: I can tell you've practiced, I'm a proud dad
43:31 | Zia: Don't follow the way of the number guy
43:32 | Mew: you improved a lot in a month it's impressive:yougotthis::yougotthis:
43:33 | Flux: KINO
43:39 | MBmasher: proud dads
43:44 | CantDood: yeah I think if you love what you do people will naturally come see it
43:48 | stuffed idiot: the only thing that really matters is that the streamer is having fun
43:54 | Aggressive Quack: ^
43:55 | Mechanized Doge: え？！
44:07 | Chloro [クロロ]: yeah the polar bear is unavailable in my phone :<
44:07 | Megiddo: hm?
44:18 | Megiddo: on Chrome it shows polar bear
44:19 | hohoemikuma: on my pc chat it's a polar bear
44:19 | Sheep: same here, only brown bear kek
44:21 | Mechanized Doge: EN: On her iphone it shows as a white bear, but for some reason it shows up as a regular brown bear on PC
44:23 | Andrew Ryan: ここのパソコンはok
44:27 | Mew: :shelterin:
44:32 | Flux: BASED
44:33 | Don L: 🐻‍❄ 🐻
44:35 | Börk Börk: 🐻‍❄
44:36 | Alexander Holzer: "Regular bear" lol
44:39 | ElectroGeek007: 🐻🐻‍❄
44:41 | Hanabi: depends on the system, a polar bear can become regular bear+snowflake for some reason
44:43 | Tachi: Yeah sometimes it becomes the brown bear
44:43 | RueTobas: 🐻‍❄
44:45 | Mister Eko: 🐻‍❄🎤
44:46 | Shippo: 🐻‍❄ is a bit cuter than the regular one
44:46 | コンティニュアム ー Continuum: That's the right mindset to have Beatani, streamers who focus on numbers instead of just having fun won't last
44:46 | ThatVidyaGuy: 🐻‍❄🐻
44:47 | フライセンFriesen: Monitor settings weird?
44:48 | Mechanized Doge: WIN10では白クマだよ
44:51 | stuffed idiot: I only see a brown bear in youtube's top chat mode
44:51 | BasedBug: 🐻‍❄🍀
44:54 | Sheep: 🐻
44:59 | Sinris: 🐻‍❄
45:02 | RueTobas: 🐻‍❄
45:03 | Theblekedet: 🐻‍❄🐻
45:07 | Absolute Link: 🐻‍❄
45:10 | Jackku Chan: Lots of bears!
45:13 | コンティニュアム ー Continuum: 🐻‍❄🐻
45:16 | Yamoyashi: when streaming, you should hide the viewer count so you don't get distracted.
45:17 | Wayne Kerr: 🐨
45:19 | Boy Genius: no wonder beatani general is called /yah/ lmao.
45:20 | Faja2485: 🐻‍❄
45:21 | Megiddo: mobile might be brown bear + snowflake?
45:21 | Pollytesla: ❤
45:25 | imalittle cupcake: 🎤🐻‍❄🎶
45:26 | Alexander Holzer: yah
45:29 | Andrew Ryan: yah
45:31 | Steven Frati: Once membership is up all of the bears will be in line.
45:33 | stuffed idiot: it depends on what program you view it with, some programs don't have 🐻‍❄ and just default to 🐻
45:33 | Faja2485: yah
45:33 | Shippo: 🐻‍❄
45:34 | Rob G.: polar
45:35 | Mechanized Doge: You know what? She has a point, it's a brown bear+snowflake on android
45:36 | Hanabi: snowflake?
45:37 | BasedBug: /や/
45:38 | Cool bug Fact's: 🐻❄
45:42 | The Sword Art Online Dickriding Association: Snowflake
45:46 | sp33d4l0l: I'm listening to the stream while making my bed and I'm putting on the mattress cover or w/e that's called in English with polar bears on it
45:47 | Theblekedet: In my phone I can see polar bear but cannot insert it
45:52 | Destoroyar Fortress: 🐻❄
45:55 | Chloro [クロロ]: 🐻❄️
46:02 | Yamoyashi: chrome user beatani
46:09 | Yamoyashi: 🐻 🌨
46:10 | minus INT [マイナスイント]: 🐻‍❄🐻
46:11 | Mew: 🐼🚫🚫
46:19 | Aggressive Quack: 🐻‍❄
46:22 | The Sword Art Online Dickriding Association: Polar bear, the most aggressive bear
46:26 | Stray Wolf: let's gooooo 
46:26 | hohoemikuma: ❄🐻‍❄ ❄🐻‍❄ 
46:27 | A A: Kenshin
46:27 | Rob G.: it's because polar bear emoji is not unicode
46:29 | Chloro [クロロ]: sobakasu!!
46:29 | pakkanen: YAY
46:30 | BasedBug: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
46:30 | Megiddo: woooooooo
46:30 | Sol Codguy: NIIICE
46:31 | stuffed idiot: LETS GO
46:31 | Epsilon Channel エプシロン: Rurouni Kenshin!
46:32 | Verijero: WOOOOOOO
46:32 | Transcendental_ColonThree: yoooo
46:32 | Idle Bear: !!
46:32 | CommanderMichael: 🐻‍❄ 🍀
46:34 | Stray Wolf: Kenshin 
46:34 | みろこ[Miroko]: Oh Yeah!
46:34 | Mister Eko: yeeeeeeeeeeeees
46:36 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
46:37 | Suukotto Funsha: Let's go
46:37 | Verijero: MY CHILDHOOOD
46:37 | Megiddo: 🍀🐻‍❄🎤🎵
46:39 | minus INT [マイナスイント]: IKZZZZZ
46:39 | CommanderMichael: AAAAhH
46:40 | Theblekedet: LET'S GOOO!!!
46:40 | Stray Wolf: LET'S GOOOOOOOOO 
46:41 | Idle Bear: nice
46:42 | Jessica: Love this song!
46:42 | Aggressive Quack: CUTE!
46:43 | imalittle cupcake: Holy shit I missed this!
46:44 | CommanderMichael: Ruroni Kenshin!
46:44 | Yamoyashi: 🐻 🎶 🐻 🎶
46:49 | Destoroyar Fortress: 🧨🐻‍❄🧨
46:50 | Sheep: the taste of this bear is so BASED
46:51 | Ardhya Naoki: aYOOOOO
46:52 | The Sword Art Online Dickriding Association: 🐻❄️🎶🍀🐻❄️🎶🍀🐻❄️🎶🍀
46:52 | みろこ[Miroko]: Rurouni Kenshin bros
46:55 | RueTobas: 🧨🐻‍❄🧨
46:57 | Flux: IKUZOOOOOOOOOOOO
46:57 | MBmasher: based song choice
46:57 | Shippo: 🧨🐻‍❄🧨
46:58 | imalittle cupcake: 🧨🐻‍❄🧨
46:58 | Yamoyashi: 🐻 🎶 🐻 🎶 🎶 🐻 🎶 🐻
46:59 | Tianfang's Adventures: aww yeah
47:00 | CantDood: SOBAKASU YEAAAAH
47:02 | Rye Mountain: 🎶🐻‍❄🎶
47:05 | Chloro [クロロ]: 🐻🎶🐻🎶🐻🎶
47:05 | max r: 🧨🐻‍❄🧨
47:06 | BasedBug: Wow, I watched this so so long ago
47:11 | Alex santos: All these song give me such nostalgia 
47:11 | Mechanized Doge: ほうほうほう
47:13 | Wayne Kerr: 🧨🐻‍❄🧨
47:15 | Canna: Beatani inclining 
47:16 | Big Ron: Boomer anime 
47:17 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
47:17 | hohoemikuma: ❄🐻‍❄ 🎉❄🐻‍❄ 🎉❄🐻‍❄ 🎉
47:20 | Yamoyashi: 🐻 🎶 🐻 🎶 🐻 🎶
47:20 | Мкqт: 🍀❤🐻🎶
47:20 | Shippo: 🧨🐻‍❄🧨
47:20 | Epsilon Channel エプシロン: 🎶🎶🎶
47:21 | Destoroyar Fortress: 🧨🐻‍❄🧨🧨🐻‍❄🧨
47:25 | SukiKirai: I love you so much for singing this
47:26 | Andrew Ryan: 🖍🖍🐻‍❄🧨🧨
47:27 | Megiddo: 🍀🐻‍❄🎤🎵
47:31 | imalittle cupcake: This bear cannot be beat, she is the best
47:31 | Sheep: 🐻🎶🐻🎶🐻🎶
47:32 | stuffed idiot: 🧨🐻‍❄🧨
47:36 | Cool bug Fact's: 🧨🐻🧨
47:36 | Stray Wolf: 🧨🐻‍❄🧨
47:36 | The Sword Art Online Dickriding Association: 🐻❄️🎶🍀
47:36 | Transcendental_ColonThree: 🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶🍀🐻‍❄🎶
47:40 | Varham Axolt: Very Impressive
47:40 | Yamoyashi: 🐻 🎶 🐻 🎶 🐻 🎶 🐻
47:43 | Stray Wolf: 🧨🐻‍❄🧨
47:43 | imalittle cupcake: 🧨🐻‍❄🧨
47:43 | Wayne Kerr: 🥖🐻‍❄🥖
47:47 | Shippo: 🧨🐻‍❄🧨
47:48 | hohoemikuma: ❄🐻‍❄ 🎉 yah! ❄🐻‍❄ 🎉
47:48 | Mew: what is this based song taste ‼️🎙️🎤
47:50 | Destoroyar Fortress: 🧨🐻‍❄🧨
47:52 | Antonio Badilla: 🔦🐻‍❄🔦
47:52 | Megiddo: very hard to sing well
47:52 | BasedBug: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
47:53 | Sunkern The Pokemon: 🚜
48:01 | Yamoyashi: 🐻 🎶 🐻 🎶 🐻 🎶 🐻 🎶
48:14 | Stray Wolf: this is very nostalgic 
48:14 | Ludd: 🧨🐻🧨
48:17 | Suukotto Funsha: 🧨🐻‍❄🧨
48:19 | Tachi: 🎶🐻‍❄🎶🐻‍❄🍀🐻‍❄🎶🐻‍❄🎶
48:20 | Shippo: pog
48:24 | Shippo: 🧨🐻‍❄🧨
48:28 | BasedBug: She knows her audience way too well
48:28 | Megiddo: 🍀🐻‍❄🎤🎵
48:31 | Theblekedet: 🧨🐻‍❄🧨🧨🐻‍❄🧨
48:32 | Stray Wolf: 🧨🐻‍❄🧨
48:33 | RueTobas: 🧨🐻‍❄🧨
48:34 | Flux: 🧨🐻‍❄🧨
48:34 | Destoroyar Fortress: 🧨🐻‍❄🧨🧨🐻‍❄🧨
48:35 | Takeshi: 🎤🐻‍❄🎶
48:42 | Antonio Badilla: 🕯🐻‍❄🕯
48:43 | imalittle cupcake: 🧨🐻‍❄🧨
48:47 | Transcendental_ColonThree: 🧨🐻‍❄🧨
48:54 | Sol Codguy: 🕯🐻‍❄🕯
48:54 | Verijero: 🧨🐻‍❄🧨🐻‍❄🧨🐻‍❄🧨🐻‍❄
49:00 | Stray Wolf: 🧨🐻‍❄🧨
49:01 | Ludd: ᕦʕ •ᴥ•ʔᕤ
49:02 | Simón: ❤🐻‍❄🎶❤🐻‍❄🎶❤🐻‍❄🎶❤🐻‍❄🎶
49:03 | ThatVidyaGuy: 🧨🐻‍❄🧨
49:04 | Ardhya Naoki: 🧨🐻‍❄🧨
49:05 | Idle Bear: 🧨🐻‍❄🧨
49:06 | Destoroyar Fortress: 🧨🐻‍❄🧨🧨🐻‍❄🧨🧨🐻‍❄🧨
49:07 | ThatVidyaGuy: 🧨🐻‍❄🧨
49:08 | stuffed idiot: groom me harder Beatani
49:12 | BasedBug: 🧨🐻‍❄🧨
49:13 | ThatVidyaGuy: I love this song!
49:15 | Cool bug Fact's: 🧨🎶🐻🎶🧨
49:16 | Antonio Badilla: 🕯🐻‍❄🕯
49:18 | Ardhya Naoki: 🧨🐻‍❄🧨🧨🐻‍❄🧨
49:22 | Megiddo: 🍀🐻‍❄🎤🎵
49:24 | Indecks: 🕯🐻‍❄🕯
49:25 | Tachi: 🧨🐻‍❄🧨🐻‍❄🧨
49:25 | Sol Codguy: 🧨🐻‍❄🧨
49:27 | CantDood: 🧨🐻‍❄🧨
49:29 | Stray Wolf: 🧨🐻‍❄🧨🧨🐻‍❄🧨
49:30 | stuffed idiot: 🧨🐻‍❄🧨
49:30 | Steven Frati: 🧨🐻‍❄🧨
49:33 | max r: 🧨🐻‍❄🧨
49:34 | Randel Shurker: 🧨🐻‍❄🧨
49:36 | ThatVidyaGuy: 🧨🐻‍❄🧨
49:38 | Canna: ❤‍🔥🐻❤‍🔥
49:38 | estratos13: 🤘🐻🤘🧨❄️🐻🧨
49:38 | LassesAffar: 🧨🐻‍❄🧨
49:42 | The Sword Art Online Dickriding Association: This is even better!
49:43 | Ardhya Naoki: only 90s kids
49:43 | CommanderMichael: 🧨 🐻‍❄ 🧨
49:44 | Shippo: 🧨🐻‍❄🧨
49:51 | The Sword Art Online Dickriding Association: 🐻❄️🎶🍀
49:53 | Dp: 🧨🐻‍❄🧨🧨🐻‍❄🧨
49:54 | Cool bug Fact's: 🧨🐻🧨🧨🐻🧨
49:57 | RueTobas: 🧨🐻‍❄🧨
49:58 | Antonio Badilla: 🕯🐻‍❄🕯
49:59 | Stray Wolf: 90's soul 
50:00 | imalittle cupcake: I fucking love this bear! ❤❤❤
50:00 | Jackku Chan: Whoah that's a good sound
50:03 | Stray Wolf: 🧨🐻‍❄🧨
50:04 | Rye Mountain: 🧨🐻‍❄🧨
50:04 | Mew: 🐻‍❄️🐻‍❄️🎤🎤🆒
50:07 | BasedBug: 👏👏👏 BRAVO!!!!
50:08 | Verijero: nice
50:10 | Steven Frati: Yah!
50:12 | Sheep: that voicee
50:18 | Andrew Ryan: 🐻‍❄️🥕🥢☄🪄🪡🖍
50:20 | Stray Wolf: 👏👏👏👏👏👏👏👏
50:22 | imalittle cupcake: 👏👏👏👏👏👏👏👏
50:23 | Aggressive Quack: 🔥
50:23 | Nasty Yukari: Holy cow
50:24 | Stray Wolf: based 
50:24 | Verijero: a lot of nostalgia
50:24 | CommanderMichael: Kenshin dads
50:25 | Chloro [クロロ]: 👏👏👏👏👏👏
50:26 | Sheep: 👏👏👏👏👏
50:26 | Theblekedet: Nice!
50:28 | Yamoyashi: 👏 👏 👏 👏 👏 👏
50:28 | Absolute Link: 👏👏👏👏👏
50:28 | Mew: :washhands::washhands::washhands:
50:29 | Simón: 🐻‍❄❤
50:29 | estratos13: such a nice classic 🔥🐻❄️
50:30 | Monkberry Moon: Nice voiceeee
50:30 | Antonio Badilla: 👏👏👏
50:30 | Kyle: 👏👏👏
50:30 | ElectroGeek007: 👏👏👏👏👏
50:30 | pakkanen: 👏👏👏❤👏👏👏
50:31 | Jackku Chan: 👏👏👏👏👏👏👏
50:31 | CommanderMichael: 8 8 8 8 8 8 8 8 
50:32 | max r: 88888
50:32 | Epsilon Channel エプシロン: 👏👏👏
50:33 | stuffed idiot: 👏too good
50:33 | CommanderMichael: 👏
50:33 | hohoemikuma: 👏👏👏👏👏👏
50:34 | ThatVidyaGuy: 👏👏👏👏👏👏👏👏👏👏👏👏
50:36 | Cool bug Fact's: 👏👏YAH👏👏
50:36 | Suukotto Funsha: 👏👏👏👏👏
50:36 | Cameron Clarke: based
50:37 | Inaba: sugoi
50:37 | Mechanized Doge: 👏👏👏
50:38 | Wayne Kerr: 👏👏👏👏👏
50:38 | CantDood: 8888888888888888
50:39 | imalittle cupcake: You sang that so well! 
50:40 | Tachi: 👏👏👏👏
50:41 | Verijero: the singer is very cute with her shirt and shorts
50:41 | Destoroyar Fortress: BERRY BASED
50:42 | A A: You're based.
50:43 | BasedBug: That was a hard song to sing
50:43 | Theodore Kaczynski: Based
50:44 | Goleog Thais: based
50:44 | XeniVari: 88888888
50:46 | Raziel: 👏👏👏
50:46 | Flux: BASED
50:47 | Sinris: 👏
50:48 | Shippo: 888888888
50:48 | Transcendental_ColonThree: The power of our daughter.... OUTSTANDING 👏👏👏👏👏👏👏👏👏👏
50:48 | Wayne Kerr: talented1
50:48 | Verijero: yes
50:50 | Bob: 88888888888
50:50 | Megiddo: yes
50:51 | みろこ[Miroko]: 888888
50:52 | Theblekedet: 👏👏👏👏👏👏
50:52 | Zia: 888
50:57 | Aggressive Quack: 👏
50:58 | Ardhya Naoki: Berry good
50:59 | LoneRanger25: 👏👏👏👏👏👏👏👏
51:08 | ThatVidyaGuy: I agree.
51:13 | Verijero: the singer is a cutie
51:17 | pakkanen: Still waiting for that one song
51:20 | SukiKirai: listening to you sing a song from one of my favorite anime feels so good bea
51:21 | Takeshi: 8888
51:22 | stuffed idiot: this bear knows her stuff
51:24 | Balnus Panglord: 👏The English version of that song is good too 
51:33 | BasedBug: The BASS is BASED
51:44 | Chloro [クロロ]: The guitarist is a beast indeed
51:54 | Sheep: good guy drummer
51:58 | FerretParade: based ya
52:00 | imalittle cupcake: Based as fuck
52:07 | Nasty Yukari: based
52:22 | Aggressive Quack: A poweful voice for a powerful bear
52:26 | Megiddo: no
52:26 | hohoemikuma: haven't seen it, but i want to
52:30 | Balnus Panglord: yah
52:31 | Chloro [クロロ]: Yes
52:39 | Stray Wolf: I have 
52:41 | Tachi: I haven't
52:45 | Theblekedet: I haven't, but now I want to!
52:48 | (Verified, Moderator) Streamlabs: FakeName just tipped $1.00 dayo!
52:51 | Sheep: i'l watch tomorrow (later) after I wake up
52:55 | stuffed idiot: i'll have to watch that later
53:56 | Stray Wolf: I'd like to hear Heart of sword from you one day 
54:12 | ChefHART: heart of sword or 1/2
54:30 | SpaceTalon: ❤ 
54:31 | hohoemikuma: !!!
54:32 | Tachi: BASED
54:33 | フェットチーネ: Yay!
54:34 | MBmasher: LETS GO
54:34 | ChefHART: BASED
54:35 | Transcendental_ColonThree: OMG
54:37 | Megiddo: BASED
54:37 | Transcendental_ColonThree: WAIFU SONG....
54:37 | Mechanized Doge: やべー！！
54:37 | imalittle cupcake: These song choices just kepe getting better
54:38 | max r: lets gooooo
54:38 | Monster hmc: nicee
54:38 | BasedBug: WOAH
54:41 | Transcendental_ColonThree: THANK YOU DAUHGTERU....
54:41 | Canna: YOOOO
54:41 | Shippo: POG
54:42 | ChefHART: YOOOO LETS GOOOO
54:42 | Andrew Ryan: ‼
54:44 | Stray Wolf: CIRNO PERFECT MATH CLASS 
54:44 | Rye Mountain: Another clasic
54:44 | Mechanized Doge: さすがです
54:45 | Monster hmc: 9
54:46 | Aggressive Quack: BASED
54:47 | Kofi: LETS FUCKJING GOOO
54:47 | Raziel: Cirno
54:48 | Mew: YEEES!
54:49 | Chloro [クロロ]: IKZZ
54:49 | Suukotto Funsha: Wait Cirno's Perfect Math Class BASED
54:49 | Flux: HOLY BASED
54:49 | stuffed idiot: noice
54:50 | ThatVidyaGuy: BASED
54:51 | Epsilon Channel エプシロン: cirno's perfect math class?
54:51 | Cool bug Fact's: BASED
54:53 | Andrew Ryan: ❄❄❄
54:53 | hohoemikuma: LET'S GO
54:54 | Stray Wolf: (9) 
54:55 | max r: *turns up headphones*
54:55 | コンティニュアム ー Continuum: 9
54:57 | Shippo: 🧨🐻‍❄🧨
54:57 | Jackku Chan: Classic!
54:58 | BasedBug: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
54:58 | Mechanized Doge: God help my soul, uuuoooooohhhh!
54:59 | Theblekedet: IKZ!!!
55:00 | imalittle cupcake: Beatani's perfect karaoke party
55:00 | Qwazola: YA BABEY
55:01 | Sheep: cute
55:01 | Nasty Yukari: Jeezas, this bear can't stop winning!
55:01 | Flux: 2HU HIJACK
55:02 | Zia: Oh yes
55:02 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
55:03 | Verijero: MINNNAAAA
55:04 | hohoemikuma: ❄ 🎉
55:05 | Ekigo: ⑨ IKZ
55:06 | ChefHART: minnnaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
55:07 | RueTobas: 🧨🐻‍❄🧨
55:08 | Mizuki Arisu: (9)!!!!
55:08 | CommanderMichael: Cirno?!
55:09 | Verijero: what a classic
55:09 | Xayn: YESSSSS
55:09 | Stray Wolf: ⑨
55:10 | Flux: MMMIINNNNAAAA
55:10 | Cool bug Fact's: 🧨🐻❄🧨
55:12 | imalittle cupcake: 🧨🐻‍❄🧨
55:12 | Stray Wolf: ⑨ 
55:13 | Wayne Kerr: OHHHHHHH
55:13 | フェットチーネ: バカ！バカ！
55:13 | Suukotto Funsha: 🧨🐻‍❄🧨
55:13 | Zia: 9
55:14 | minus INT [マイナスイント]: ⑨ ⑨ ⑨ ⑨ ⑨ 
55:16 | Inaba: wew
55:16 | FerretParade: hahaha nice
55:16 | CantDood: oooooh boy roll the 9s
55:19 | Monster hmc: ⑨⑨⑨⑨⑨⑨⑨⑨⑨⑨⑨⑨
55:20 | フェットチーネ: バカ！バカ！
55:20 | RueTobas: where's the BAKA BAKA
55:20 | Stray Wolf: BAKA BAKA BAKA 
55:20 | Shippo: 🧨🐻‍❄🧨
55:22 | BasedBug: AAAAAAAAAAAAAAAAAAAAAA
55:22 | ThatVidyaGuy: 🧨🐻‍❄️🧨
55:22 | Big Ron: I can still see a Russian pirate 
55:23 | SpaceTalon: ❤ 
55:23 | Verijero: BAKA BAKA
55:24 | Wawi3313: BAKA BAKA
55:24 | Steven Frati: 🧨🐻‍❄🧨
55:24 | Suukotto Funsha: baka baka
55:24 | Mew: BAKA BAKA
55:24 | Cool bug Fact's: BAKABAKA
55:24 | hohoemikuma: baka baka
55:25 | Shippo: BAKA BAKA
55:25 | フェットチーネ: バカ！バカ！
55:26 | Hanabi: BAKA BAKA
55:26 | Simón: baka baka
55:26 | Zia: baka baka
55:27 | Rob G.: bwaaaaka
55:28 | MBmasher: baka baka
55:28 | Shippo: BAKA BAK
55:28 | Goleog Thais: ⑨⑨⑨⑨⑨⑨⑨⑨
55:28 | BasedBug: BAKA BAKA!
55:28 | CommanderMichael: (9) 🎶 🎶
55:28 | sp33d4l0l: BAKA BAKA
55:29 | hohoemikuma: バカ！バカ！
55:30 | Rye Mountain: Baka baka
55:30 | Canna: BAKA BAKA 
55:30 | Ekigo: BAKA BAKA
55:30 | Shippo: BAKA BAKA
55:30 | ChefHART: BAKA BAKA
55:30 | Flux: BAKA BAKA
55:30 | max r: BAKA BAKA
55:30 | imalittle cupcake: BAKA BAKA
55:31 | Megiddo: BAKA BAKA
55:31 | Mew: BAKA BAKA
55:31 | フェットチーネ: バカ！バカ！
55:31 | Firstname Lastname: BAKA BAKA
55:31 | minus INT [マイナスイント]: バカ！⑨バカ！⑨
55:32 | rm: baka baka
55:32 | RueTobas: BAKA BAKA
55:32 | Nasty Yukari: ⑨⑨⑨⑨⑨⑨
55:32 | Stray Wolf: BAKA BAKA 
55:32 | ChefHART: BAKA BAKA
55:32 | Wayne Kerr: ばか！
55:33 | SpaceTalon: baka baka
55:33 | Mechanized Doge: バーカー！バーカー！
55:33 | Inaba: baka baka!
55:33 | Takeshi: 99999
55:34 | Suukotto Funsha: baka baka
55:34 | imalittle cupcake: BAKA BAKA
55:34 | Shippo: BAKA BAKA
55:35 | Simón: BAKA BAKA
55:35 | Arkangel630: BAKA BAKA
55:35 | Flux: BAKA BAKA
55:35 | gyroninja: BAKA BAKA
55:36 | Stray Wolf: BAKA BAKA 
55:36 | Kyle: BAKA BAKA
55:36 | LassesAffar: Ba~ka baka! Ba~ka baka! Ba~ka baka!
55:36 | Xayn: BAAAKA BAAAKA
55:37 | Transcendental_ColonThree: BAKA BAKA
55:37 | ChefHART: BAKA BAKA
55:37 | CommanderMichael: BAKA BAKA
55:38 | CantDood: BAKA BAKA
55:39 | Ludd: ばかばか
55:40 | Destoroyar Fortress: 🧨🐻‍❄🧨 BAAAAAKA BAAAAKA
55:40 | Aggressive Quack: 🐻‍❄ + 🧊 = 🥳
55:41 | Rye Mountain: Baka baka
55:42 | Destral: baka baka
55:43 | ThatVidyaGuy: BAKA BAKA
55:43 | gyroninja: BAKA BAKA
55:45 | Stray Wolf: BAKA BAKA 
55:47 | imalittle cupcake: 🧨🐻‍❄🧨
55:49 | Don L: baka baka
55:50 | Chloro [クロロ]: BAKA BAKA
55:52 | Megiddo: 🍀🐻‍❄🎤🎵
55:56 | ThatVidyaGuy: 🧨🐻‍❄🧨
56:01 | Cool bug Fact's: ❄🧨🐻🧨❄
56:07 | BRAD AEON 720: BAKA BAKA
56:08 | Stray Wolf: Taskete Erin~
56:11 | ThatVidyaGuy: BAKA BAKA 
56:11 | Suukotto Funsha: 🧨🐻‍❄🧨
56:12 | Simón: 🐻‍❄❄🐻‍❄❄🐻‍❄❄
