-7:43 | (New member) XeniVari: 待機
10:52 | RobDeLaMort: The answer is clear; ditch meds, consume alcohol o/
10:56 | Ontack: おはだよー！
11:01 | (New member) No Body: so either MEDS AWAY or BEER AWAY
11:02 | (New member) Verijero: its time to AWAY the ritalin
11:04 | (New member) ThePlatinumCan: Vitamins really make you think...
11:05 | Woop Woop: dont drink that, that's bad!
11:05 | (New member) Stray Wolf: the future 
11:05 | (New member) BasedBug: Introspection?
11:07 | Δ: your future prospects?
11:12 | (New member) Mister Eko: わかる
11:13 | (New member) Raziel: I don't even need meds to have existential dread at night
11:20 | TheHighestNativeGod: beer AWAY! at least when taking meds...
11:20 | VerticalCloud: I feel you
11:22 | (New member) SukiKirai: drop the meds like I did
11:22 | (New member) max r: understandable
11:22 | (New member) billy joe【liar】: Understandable
11:23 | Sheep: relatable
11:25 | (New member) Mechanized Doge: ritalin makes people doompost? I'm not entirely surprised.
11:27 | stuffed idiot: existential suffering on XP Hill LET'S GOOO
11:28 | (New member) Mastigos Wilkins: spanking time?
11:29 | RobDeLaMort: Your future's bright though, you're loved by hundreds of people :o
11:31 | (New member) SukiKirai: not like it helped much
11:31 | (New member) BasedBug: I don't drink alcohol a lot for that reason
11:32 | AtomicBanana 55: Makes sense
11:35 | (New member) RBZE7: thinking about escaping windows hill when she takes her meds...
11:36 | (New member) Mew: The future is BRIGHT 😎🌄🌞
11:38 | Vic Kyorlo: who doesn't enjoy a good session of existential dread
11:40 | (New member) ユーネ: はい
11:41 | (New member) No Body: un un
11:41 | (New member) ThatVidyaGuy: It makes sense.
11:46 | Your Local Weeb: I took cough syrup and went to another dimension once. never mix meds.
11:47 | AtomicBanana 55: Yes, internet daughter
11:48 | (New member) Tachi: :_yah:
11:48 | (New member) A A: You don't need meds on the internet, do you?
11:49 | (New member) Fake Name: Don't drink the XP cocktail...
11:58 | (New member) Ekusupuroshon: IMAGINE...
11:59 | (New member) The Flesh Is Weak: :_yah:
12:02 | 123457474869: IMAGINE MY SHOCK
12:03 | (New member) Mastigos Wilkins: meds away, always, unleash your unmedded inner powers
12:12 | greg gg: HI HONEY CUNNT ToTToTToT 😭😭😭
12:13 | Boogaloo Weed: nothing?
12:14 | (New member) Nasty Yukari: >Imagine
12:16 | Voltage: xp special:concerta and strong zero 🥃
12:18 | (New member) Suukotto Funsha: It's bad to drink and med never forget this valuable lesson
12:18 | (New member) BasedBug: She better be cheered up before her birthday...
12:18 | (New member) Margrave: Nothing but grass
12:20 | (New member) Sol Codguy: Nothing but meds and alcohol
12:21 | (New member) Mechanized Doge: 分かる。
12:22 | (New member) Mister Eko: わかる
12:22 | (New member) 77Yuja_: there is beautiful scenery
12:22 | (New member) Kyle: Nothing but 草
12:23 | (New member) skrong: yeah
12:24 | (New member) Zeng: nothing but booze and pills
12:25 | Herbie Cucumber: I understand nothing
12:25 | (New member) max r: there's internet at least
12:25 | (New member) Raziel: need a better Vista
12:28 | (New member) Idle Bear: cloud watching on xp hill
12:28 | (New member) Mechanized Doge: 気持ちは分かる。
12:29 | AtomicBanana 55: Lies. There's grass.
12:33 | (New member) Theblekedet: nothing but green and blue
12:33 | Cheese: oi, don't tell her to skip her meds
12:33 | (New member) Stray Wolf: taskete kuroningen 
12:37 | (New member) Ekusupuroshon: How do you stream then?
12:38 | (New member) Zia: That's relatable
12:40 | (New member) Shippo: yeah its fine though
12:41 | RobDeLaMort: I volunteer to marry you o/
12:43 | (New member) Shippo: they're normies
12:44 | (New member) Kofi: yeah i feel that
12:45 | ellescer: YOU HAVE ME
12:45 | (New member) ユーネ: I feel the same...
12:47 | Δ: do you have any job sector you are interested in? some have a pretty good development plan
12:47 | (New member) skrong: i think a lot of dads understand these feelings
12:47 | (New member) Margrave: That's fine.
12:48 | (New member) ThePlatinumCan: Doing something...
12:48 | (New member) CantDood: even the sky is static...
12:49 | (New member) SukiKirai: same
12:49 | (New member) クラガリ葉月: So the solution is you need to get married, got it.
12:50 | (New member) billy joe【liar】: marriage away
12:50 | Your Local Weeb: relatable bear
12:50 | Boogaloo Weed: we live in a society
12:50 | (New member) TWAIN: internet bear...
12:51 | (New member) Mister Eko: aaaaaaaaaah one of us
12:52 | (New member) The Flesh Is Weak: yab:_sprdo:
12:52 | VerticalCloud: I also have nothing lol
12:54 | (New member) Matthew: Marry listener chan
12:55 | (New member) 77Yuja_: わかる
12:56 | Sheep: you are worried about your future prospects, I get you. I have nothing too
12:57 | (New member) Mew: You need to read some Isekai Villaness Novels 
12:58 | (New member) ThatVidyaGuy: Comparison to others is poison. Enjoy life and live it at your own pace.
12:59 | (New member) No Body: aah the trashbag future feel i get it
13:00 | (New member) Mechanized Doge: ああ、分かるね。
13:02 | (New member) ユーネ: relatable...
13:03 | (New member) BasedBug: I used to compare myself to the success of my friends, and it always made me depressed. You have to be happy with what you have!
13:05 | (New member) Raziel: It will get better if you keep doing your reps
13:08 | Your Local Weeb: ignore those normalfrens
13:08 | Boogaloo Weed: Don't disappoint Abe-san
13:09 | (New member) Zia: You have musical talent too tho
13:09 | (New member) RBZE7: don't worry about others, focus on yourself
13:10 | (New member) ThePlatinumCan: わかる
13:21 | (New member) Ekusupuroshon: Bea... Cringe...
13:21 | (New member) The Flesh Is Weak: 2 more years Bea:_kita:
13:22 | (New member) ユーネ: NEETs can relate
13:24 | Quaraezha: Oi, what’s this about friends with benefits
13:24 | (New member) OverMagnet: 😞
13:25 | AtomicBanana 55: 😢
13:28 | (New member) Absolute Link: you're doing something productive with your time though
13:30 | (New member) Mister Eko: ALCOHOL AWAY
13:30 | (New member) ユーネ: lonely bear...
13:34 | webm aristocrat: lonely...
13:38 | SpaceTalon: ☹
13:39 | (New member) Stray Wolf: you're making me depressed 
13:40 | (New member) The Pope: But you've got 2800 dads
13:40 | (New member) Rye Mountain: When I got concerta my doctor made me promise that I would never drink while taking concerta. Please don't do it, it is very bad, honestly.
13:40 | (New member) Margrave: Ah...ok.
13:42 | (New member) Tachi: I understand
13:44 | (New member) Kyle: Poor bear
13:48 | (New member) Zia: "I have nothing", yet can compose music, can draw...
13:52 | (New member) Mew: 💔:_sprdo:
13:54 | (New member) SukiKirai: look on the bright side at least you are a girl
14:02 | (New member) Riptide Maurader: I feel that way myself sometimes
14:05 | (New member) BasedBug: It's hard to change your mindset about something like that
14:07 | TheHighestNativeGod: Things end up working out Beatani, it's best not to dwell on it too much
14:10 | (New member) No Body: you got us!
14:11 | (New member) Theblekedet: I feel the same
14:19 | (New member) Moeniki: I know exactly how you feel, but it's okay!
14:20 | (New member) クラガリ葉月: ハイハイ分かる。人間らしい。
14:22 | (New member) Ekusupuroshon: You have us ...
14:25 | Project Seele: Just joined, what experience?
14:25 | (New member) Matthew: You have your dads
14:27 | (New member) OverMagnet: Loneliness is normal to Dads so we don't have the perspective of normal people.
14:27 | (New member) Kyle: We know that feeling
14:30 | Vic Kyorlo: eh, being a completely self-made vtuber is a pretty legitimate achievement
14:32 | (New member) Zia: Artistic skill isn't nothing tho
14:32 | (New member) XenMaster220: :_sprdo:Punishment time must hurt.
14:33 | SpaceTalon: You are still young! 
14:34 | (New member) Margrave: Hmmm.
14:34 | (New member) CantDood: it's ok take your time to explain
14:36 | (New member) Mister Eko: >"you got us" don't make her more sad!
14:37 | AtomicBanana 55: It's not healthy to compare yourself to others Bea
14:37 | Δ: everyone has to start somewhare 
14:39 | Voltage: sleepy bear?
14:42 | (New member) The Flesh Is Weak: □depressed:_sprdo:
14:42 | (New member) BasedBug: I never thought the punishment would be this brutal..
14:45 | (New member) Moeniki: Loneliness is just apart of growing up
14:47 | Cheese: it's common to feel that way, life is not a race
14:49 | (New member) The Pope: 24 is super young though
14:50 | (New member) Ark K.: things got real very quickly
14:52 | (New member) Mechanized Doge: 自分ができる事を自分の手で掴むしかないな。これはどんな人でも言う事でしょうね。リスナーさんたちもそう思うでしょう。
14:55 | Joestar: Maybe you shouldn’t drink so much
14:55 | (New member) ユーネ: I hope you will feel better
14:55 | (New member) Suukotto Funsha: You have a lot of talents, you made rigged your VTuber model yourself
14:57 | (New member) Hanabi: you've got more talent than a lot of us dads at least
14:59 | (New member) TWAIN: stay strong bear
15:00 | Lodowa Wrozka: I had no positive irl interaction for 1,5 year
15:01 | VerticalCloud: :virtualhug:
15:06 | Axiis: daijoubun't
15:06 | Xetam 「ゼタム」: おはよう
15:08 | Voltage: you can talk to chihiro to cheer you up
15:09 | TheHighestNativeGod: We're all with you beatani, don't despair.
15:11 | Boogaloo Weed: keep moving forward
15:11 | Woop Woop: dont get depressed 
15:12 | Sheep: no more alcohol at 7am
15:13 | (New member) XenMaster220: :_kita:bea love
15:14 | SpaceTalon: alcohol AWAY
15:14 | (New member) max r: I'm not too serious a lot, but I hope you can get out of feeling badly!
15:15 | RobDeLaMort: I still think you're kind of cool, Beatani
15:15 | (New member) ThatVidyaGuy: You're young and talented, don't worry about it.
15:18 | (New member) Mechanized Doge: おつかれ。
15:19 | webm aristocrat: stay strong! ganbatte!
15:25 | stuffed idiot: beatani...
15:25 | (New member) 77Yuja_: you're among people like you
15:27 | (New member) Zia: It's understandable, but life of other often look better than the reality
15:30 | (New member) Mister Eko: BEA LOVEEE
15:30 | webm aristocrat: faito
15:44 | (New member) The Flesh Is Weak: I thought you didn't want dads to concern? 💊
15:45 | (New member) Verijero: you are still young bea...
15:54 | (New member) Tachi: Meds away Bea
15:55 | TheHighestNativeGod: BEA LOVE
15:56 | (New member) max r: I already had my first and second mid life crisis I think
15:58 | Joestar: Take your meds please
15:58 | (New member) Steven Frati: We all get what we get.
15:59 | (New member) TWAIN: BEA LOVE
16:00 | Boogaloo Weed: The antichrist puts evil chemicals into your meds, dont take them
16:04 | (New member) SukiKirai: let's all stop taking meds
16:08 | (New member) Fake Name: Good, don't take the meds
16:09 | Sheep: let's hear
16:09 | (New member) Mechanized Doge: おっけい
16:10 | (New member) ThatVidyaGuy: BEA LOVE
16:11 | (New member) Mister Eko: >Another reason
16:14 | (New member) OverMagnet: !?
16:16 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
16:19 | (New member) Theblekedet: oh no
16:23 | (New member) No Body: hooh?
16:25 | (New member) Fake Name: Unironically don't take the ADHD meds
16:30 | hustler one: meds AWAY
16:32 | (New member) XenMaster220: :_sprdo:
16:33 | (New member) Nasty Yukari: This ride is getting wilder at each turn
16:49 | (New member) ユーネ: BEATANI LOVE
16:49 | Jim Bob: meds love
16:50 | (New member) Matthew: Very hazukashiful
16:54 | Arcus crundelic: cool
16:54 | Andrew Ryan: hazukashiful bear
16:54 | Sheep: cute
16:55 | (New member) BasedBug: Shit happens, you shouldn't hold it too closely
16:56 | (New member) Peer: Bea love...
16:59 | (New member) No Body: hazukashiful
17:02 | (New member) Mechanized Doge: なるほどね。
17:09 | Boogaloo Weed: dont take meds, marry and reproduce
17:12 | Δ: about streaming? 
17:14 | RobDeLaMort: Because?
17:14 | Brandon21: meds love
17:26 | AtomicBanana 55: Because you said a lot of serious things?
17:26 | (New member) CantDood: the suspense...
17:30 | (New member) BasedBug: Here comes the big reveal
17:30 | Project Seele: stress happens time to time, talking always relaxes me 
17:32 | (New member) Shippo: bros...
17:32 | SpaceTalon: ?
17:33 | (New member) Zia: Leaving everyone is lonely?
17:37 | sp33d4l0l: meds HATE
17:37 | Question Box: because. 
17:37 | (New member) The Flesh Is Weak: just do your hand reps:_sprdo:
17:38 | (New member) Mister Eko: *kuma thinking noises*
17:39 | (New member) Nasty Yukari: I can't stop focusing on the silly BGM...
17:40 | (New member) Steven Frati: Beatani is sad because she cant find her Takuya
17:41 | (New member) No Body: be the cause!
17:42 | Cannon: take your meds
17:43 | (New member) BasedBug: SAY IT
17:43 | (New member) Mew: mmmmmmmmmmmm
17:44 | Arcus crundelic: mmmmm
17:45 | (New member) SukiKirai: I understand
17:46 | Sheep: lol
17:47 | Arcus crundelic: mmmmmmm
17:48 | (New member) 77Yuja_: mmmmm
17:49 | (New member) Fake Name: Because of the wonderful things she does?
17:49 | (New member) skrong: mmmmmmmmmmmmm
17:50 | (New member) max r: yes no yes no
17:50 | Your Local Weeb: uh oh
17:52 | (New member) OverMagnet: 🤲
17:53 | (New member) LassesAffar: かわいい音
17:53 | Question Box: SAY IT
17:53 | Brandon21: [The Final Yab is approaching]
17:53 | RobDeLaMort: Beatani became a bee? Mmmmmmmm
17:54 | (New member) Moeniki: mmmmmmmmmmmmmm
17:54 | (New member) Stray Wolf: mmmm? 
17:54 | Cyshio: mmmmmmmmmmmm
17:54 | (New member) ユーネ: え
17:55 | Andrew Ryan: mmmmmm
17:55 | (New member) Atomsk: mmmmmmmmmmm
17:55 | (New member) Tachi: ...........
17:55 | (New member) XenMaster220: mmmmmmmmmm
17:55 | Sheep: わかる
17:56 | (New member) Luginov: mmmmmmm
17:57 | (New member) Canna: Yeah pretty much 
17:59 | (New member) sleepypwns: mmmmm
17:59 | (New member) Zia: Do you mean stream is fun but then it's lonely after the stream?
17:59 | (New member) XeniVari: Mmmm?
17:59 | RobDeLaMort: Beetani
18:00 | (New member) hohoemikuma: mmmmmmmmmmmmmm
18:01 | (New member) Absolute Link: mmmmm
18:01 | (New member) Andrew: nice sound effects 
18:01 | (New member) クラガリ葉月: んんんっっ
18:01 | (New member) Raziel: You sound like a bear when you do that
18:01 | Voltage: mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
18:02 | (New member) Theblekedet: Because of the cringe he talk
18:02 | (New member) ユーネ: えええ
18:02 | Arcus crundelic: ticks
18:04 | (New member) OverMagnet: THE FINAL YAB?
18:04 | (New member) ThePlatinumCan: That explains everything!
18:05 | Cheese: mmmm?
18:05 | (New member) Fake Name: Wh-what
18:05 | Your Local Weeb: mmmm.flac
18:06 | (New member) TWAIN: んんんんんんんんん
18:07 | (New member) ThatVidyaGuy: My kuma is broken
18:08 | (New member) Stray Wolf: Loading :buffering:
18:10 | (New member) ユーネ: んんん
18:11 | Herbie Cucumber: I don't speak this language
18:11 | (New member) BasedBug: mmmmmmmagnificent mmmmmmicrowave
18:12 | (New member) No Body: shes definetly preparing something...
18:14 | (New member) Sol Codguy: I see, so it's like that
18:14 | AtomicBanana 55: Take your time. It's alright.
18:15 | (New member) Kyle: Remember to breath!
18:16 | Δ: google translate bros nows your time
18:16 | (New member) Tianfang's Adventures: oh my
18:16 | (New member) CommanderMichael: mmmmMMmmMmmm
18:17 | (New member) skrong: you don't have to tell us everything, you know
18:19 | YakoffShmirnoff: am I too late for punishment?
18:21 | Voltage: slleepy kuma?
18:23 | (New member) 77Yuja_: 最後のyab
18:29 | (New member) max r: MmmmmMmMMMMMMmmmm
18:29 | Mauthe Doog: mmmmmmmmmmmmmmmmmmmm
18:29 | (New member) The Pope: Dai Joe Boo desu
18:30 | Boogaloo Weed: mmmmmmmmmmmmmmmmmmmmmmmmmmm
18:30 | stuffed idiot: come on beatani I believe in you
18:31 | (New member) TWAIN: mmmmmmmmmm
18:32 | (New member) CantDood: yes that's how my microwave sounds how did you know
18:32 | (New member) Raziel: naru hodo ne
18:33 | (New member) Zia: ... ?
18:35 | (New member) A A: Stream everyday and you have a full time job.
18:36 | Arcus crundelic: うううううううう
18:36 | Sheep: tell us another time kek
18:39 | (New member) Mister Eko: I understand... kana
18:39 | (New member) The Flesh Is Weak: naruhodo:_sprdo:
18:41 | (New member) Fake Name: Hmmmmmmmmmm
18:43 | Mobius: I'm boutta Gos
18:44 | (New member) クラガリ葉月: はい。分かります
18:45 | Brandon21: bea is going to install windows vista and then step on all of us later.
18:47 | (New member) Matthew: Hmmmmmmmmm
18:53 | (New member) BasedBug: [FINAL YAB INCOMING]
18:56 | Vic Kyorlo: talking is hard
18:57 | (New member) No Body: do the big think
19:01 | (New member) Xayn: ............
19:04 | (New member) OverMagnet: :_kita:
19:04 | Boogaloo Weed: peared
19:05 | sp33d4l0l: my chair's gonna clatter if this keeps up
19:05 | (New member) Fake Name: Relax
19:06 | (New member) Zia: 👀
19:06 | SpaceTalon: it's ok to not tells us
19:07 | (New member) max r: I'm prepared
19:10 | (New member) Mister Eko: Wait, you can't escape this 
19:11 | (New member) Mechanized Doge: どう助けるの。。。
19:13 | (New member) ThePlatinumCan: Take a deep breath
19:14 | stuffed idiot: @BasedBug this is it...
19:14 | Voltage: SAY IT BEARRRRRR
19:14 | Andrew Ryan: yab is coming goslings in danger
19:15 | (New member) Shippo: I'm kinda scared
19:18 | (New member) Raziel: I KNEW IT, Beatani is Hiroyuki with a voice changer!
19:19 | (New member) OverMagnet: 👀
19:22 | (New member) Stray Wolf: if you can't tell us that's okay 
19:32 | (New member) Matthew: The final /yah/ is coming
19:35 | Voltage: HIROYUKI IS THAT YOU
19:36 | RobDeLaMort: Did you bully Chihiro to cheer up?
19:39 | (New member) ユーネ: DEPRESSION AWAY
19:41 | (New member) Mister Eko: oh no
19:43 | (New member) Theblekedet: Ah
19:43 | stuffed idiot: ohnonono
19:43 | (New member) BasedBug: Is that the yab?
19:45 | Sheep: oh lol
19:45 | VerticalCloud: watamote is great
19:45 | (New member) SukiKirai: oh
19:47 | (New member) The Flesh Is Weak: Bea did her hand reps
19:48 | (New member) Tachi: Yab
19:50 | Boogaloo Weed: based watamote enjoyer
19:50 | Cheese: Watamote? oh dear
19:51 | Your Local Weeb: what comic
19:52 | (New member) Idle Bear: watamote
19:52 | (New member) SukiKirai: I see how this goes
19:53 | (New member) The Pope: Watamote oh noooooooo
19:53 | (New member) Raziel: Watamote can be depressing
19:54 | (New member) max r: watamote isn't good for depression due to cringe
19:55 | (New member) CantDood: so that's what that twitter was
19:55 | (New member) No Body: oh yeah watamote
19:55 | (New member) XenMaster220: BEA LOVE
19:56 | (New member) 77Yuja_: basado
19:57 | Project Seele: Oh god I thought something much scarier was coming
19:57 | (New member) Moeniki: oh no
19:58 | (New member) Fake Name: Oh nooo
19:59 | (New member) billy joe【liar】: yabe
19:59 | (New member) TWAIN: □ watamote reader
19:59 | Question Box: reading hentai with bea!
20:01 | stuffed idiot: that was a mistake
20:01 | (New member) ThePlatinumCan: Watamote isn't especially good to cheer yourself up........
20:02 | (New member) Rye Mountain: Watamote is depressing
20:02 | Andrew Ryan: hand reps with tomoko!!!
20:02 | Sheep: it got worse ahaha
20:03 | (New member) ThatVidyaGuy: Oh no
20:04 | (New member) クラガリ葉月: それ恥ずかしいじゃない。
20:05 | (New member) Luginov: ah..
20:06 | (New member) Idle Bear: that's like doubling down
20:08 | (New member) Mister Eko: you dumb bear, that's a critical hit
20:12 | (New member) SukiKirai: happaned to me with some comics too
20:12 | (New member) Hanabi: Watamote is a good read but not when you need to get out of those kinds of emotions
20:12 | (New member) XenMaster220: WATAMOTE LOVE
20:12 | (New member) No Body: too cringe?
20:18 | (New member) CommanderMichael: >watamote out of all things to read
20:19 | (New member) Theblekedet: that's making it worse
20:23 | (New member) 77Yuja_: absolute worst manga to read at that time kek
20:24 | (New member) ThePlatinumCan: Especially the beginning hurts as heck.
20:27 | RobDeLaMort: Neet bear sama...
20:29 | (New member) Sol Codguy: Meds and alcohol and Watamote. Oh Beatani
20:32 | (New member) Zia: It's not that embarassing
20:33 | (New member) CantDood: yeah I wouldn't read the first chapters when I'm feeling depressed
20:34 | 123457474869: What a moat!
20:39 | (New member) CommanderMichael: this bear
20:40 | (New member) max r: when I want to cheer myself up, I also read depressing things!:_kita:
20:41 | Your Local Weeb: >depressed >read watamote
20:42 | Question Box: WATAMOTE LOVE
20:44 | (New member) Hanabi: Watamote is entirely too relatable for a failure like me
20:45 | (New member) Fake Name: Early Watamote or late Watamote?
20:47 | (New member) Zeng: watamote made me depressed too
20:54 | (New member) Mister Eko: わ。。。わかる。。。
20:58 | (New member) TWAIN: i think there's a tomoko in all of us
21:00 | Project Seele: ❤ 
21:01 | (New member) Moeniki: Yeah it's painful to read
21:03 | (New member) Mister Eko: still a great manga though
21:03 | (New member) ThatVidyaGuy: I think many of us here have shared that pain. It's nothing to be embarrassed about.
21:04 | (New member) Mechanized Doge: 心にCRINGEですね。
21:05 | (New member) OverMagnet: Watamote/Beatani Hair Dying Chapter, LOL
21:05 | (New member) Margrave: Watamote makes you cringe...
21:06 | (New member) Stray Wolf: not a good manga to cheer you up at least the first volumes 
21:06 | (New member) No Body: her heart hurts?
21:10 | Voltage: we thought it was watamage but it was watamote..... is this a sign
21:10 | (New member) The Flesh Is Weak: imagine being almost 10 years older than Tomoko
21:14 | RobDeLaMort: Next time read Komi-san or something
21:19 | (New member) ユーネ: cringe bear 草
21:23 | Juvisy: Watamote is great but it has that side effect of seeing too much of Tomoko in yourself
21:25 | (New member) Fake Name: We are all Tomoko here
21:26 | Your Local Weeb: same here
21:29 | Arcus crundelic: dokidoki
21:31 | (New member) BasedBug: I think you'll be shocked to learn a lot of dads probably think the same way
21:31 | stuffed idiot: cute cringe bear
21:31 | (New member) SukiKirai: please never read neeko wa tsurai yo, that one HURT
21:32 | (New member) Mew: It's okay Tomoko everyone likes you
21:34 | Boogaloo Weed: that's not as bad as you think, a lot of people (here) can relate
21:34 | Project Seele: C.. cute...
21:34 | (New member) Rye Mountain: A lot of people could see themselves in tomoko
21:35 | Brandon21: haato bloken
21:37 | Mauthe Doog: tomotani
21:39 | (New member) Matthew: Bear is cringe...
21:42 | (New member) クラガリ葉月: You know your chat is full of loser weebs, right?
21:44 | (New member) Margrave: We are ALL Tomoko :_yah:
21:44 | sp33d4l0l: pain-kuma
21:46 | Andrew Ryan: pain yah
21:47 | (New member) Mister Eko: This is a good punishment 
21:49 | (New member) CantDood: I'm already loving this stream
21:55 | (New member) Absolute Link: tomoko is cute though, so is beatani
21:55 | (New member) XenMaster220: Kuma...:_sprdo:
21:57 | (New member) CommanderMichael: beatani, read franken fran :_sprdo:
21:57 | (New member) Mew: neeko wa tsurai yo, yes read this 
22:00 | Project Seele: ww
22:00 | Your Local Weeb: bear is now named Tomoko
22:02 | (New member) hohoemikuma: embearassing 
22:02 | (New member) No Body: too cring for your heart
22:05 | (New member) OverMagnet: Beako or Tomotani?
22:07 | (New member) Moeniki: I think Tomoko is supposed to be relatable 
22:09 | Lodowa Wrozka: I'm cringe too
22:12 | Boogaloo Weed: watamote is cringekino
22:22 | (New member) ThatVidyaGuy: How about Beatomo
22:25 | Sheep: understandable
22:29 | BearintheWoods: At least it wasn't like Emergence
22:29 | (New member) Rye Mountain: It's okay Beatani, I understand 
22:31 | (New member) max r: it's OK
22:32 | Brandon21: the first chapters of watamote has heavy, it gets better in later chapters but the first volumes were suffering
22:35 | (New member) Mister Eko: lol
22:35 | Voltage: can you peropero chat?
22:36 | RobDeLaMort: *Pained bear noises*
22:36 | (New member) CantDood: NAKED DOGEZA NOW
22:36 | (New member) Theblekedet: Yes you are lmao
22:37 | Δ: dont worry she gets her yuri harem and you will too
22:40 | (New member) Moeniki: daijoubu
22:41 | (New member) Zia: Kusogaki are great tho
22:41 | (New member) OverMagnet: べあ子かとも谷か
22:43 | Arcus crundelic: ok
22:44 | eeo: you can't be too kusogaki
22:45 | (New member) Luginov: too cute..
22:45 | (New member) BasedBug: You're fine, don't worry about it!
22:46 | (New member) Sol Codguy: Tomoko's time came and so will yours, Beatani! You're one field trip away from raijuu times
22:47 | (New member) Antonio Badilla: I thought she was going to lose a finger as punishment but, this seems more painful.
22:49 | 123457474869: how about a drink to forget your worries?
22:50 | Xetam 「ゼタム」: 大丈夫
22:50 | (New member) Zia: You are, but that's a good thing
22:52 | stuffed idiot: she keeps getting cuter with every stream
22:55 | SpaceTalon: a lil cringe in life makes it more spicy 
22:56 | (New member) Mechanized Doge: 助けてもいいけどどうすればいいんだ。。。
22:57 | (New member) Mister Eko: That's why we like you lol
22:57 | (New member) The Pope: Why are you hazukashii, being sad ain't cringe you baka bear
22:57 | AtomicBanana 55: Life is full of regret. What matters most is that we learn from those things.
23:00 | TheHighestNativeGod: Dads are here for you if anything...
23:01 | (New member) Matthew: Hazukashiful Beatani is cute
23:15 | Boogaloo Weed: I can relate
23:21 | kaiserschmarrn_: god damn....
23:25 | (New member) CantDood: "experience"
23:25 | (New member) Zia: That part was pretty obvious yes
23:30 | (New member) The Flesh Is Weak: :_sprdo:
23:35 | Question Box: >she has no experience
23:41 | Andrew Ryan: あたしも経験ないです
23:44 | kaiserschmarrn_: god.... damn....
23:44 | (New member) Theblekedet: heh
23:46 | (New member) OverMagnet: Yab
23:47 | (New member) Verijero: how can beatani be this cute bros...
23:50 | Arcus crundelic: wow shojo 
23:50 | Question Box: MY BEA IS A VIRGIN LETS FUCKING GOOOOOOOOOOOOOOOOoooo
23:58 | (New member) CommanderMichael: what "experience"?
23:59 | Your Local Weeb: >experience HOL UP
24:00 | (New member) max r: I like when Tomoko gets the audio clip...
24:02 | 123457474869: >あたし
24:02 | (New member) The Flesh Is Weak: Tomoko has oniichan
24:04 | Andrew Ryan: we are all like tomoko
24:04 | RobDeLaMort: ? o.o
24:11 | (New member) クラガリ葉月: 体験ないかな。。。
24:14 | (New member) Fake Name: >Andrew Ryan >atashi
24:14 | Brandon21: ayo hol up
24:18 | dartherori: yo
24:24 | (New member) XenMaster220: :_kita::_yah:
24:25 | Sheep: how are you feeling now?
24:28 | (New member) OverMagnet: 👀
24:30 | (New member) ユーネ: わかる
24:33 | VerticalCloud: I think so
24:33 | (New member) Matthew: :_yah:
24:36 | Project Seele: Who doesn't? It's okay to feel the cringe from time to time aye
24:36 | (New member) Zia: Hmm
24:36 | (New member) Rye Mountain: Yes 
24:37 | (New member) Tachi: Yes...
24:37 | (New member) Shippo: bokubros...
24:38 | (New member) Margrave: Yes
24:38 | Question Box: yah
24:38 | Andrew Ryan: わかる
24:39 | (New member) Luginov: :_yah:
24:40 | (New member) Verijero: THAT
24:40 | (New member) Mew: Yes life is cringe
24:40 | (New member) Hanabi: we understand that a little too well
24:40 | (New member) Mechanized Doge: なんとなく
24:41 | Δ: yes we are all tomoko
24:41 | Voltage: yes
24:41 | (New member) CantDood: :_yah:
24:42 | (New member) Peer: :_yah:
24:44 | (New member) Moeniki: Yeah
24:45 | (New member) ThatVidyaGuy: I understand. I can relate.
24:45 | (New member) Sol Codguy: :_yah:
24:45 | (New member) Firstname Lastname: yah
24:46 | (New member) Theblekedet: :_yah:pretty much
24:46 | (New member) TWAIN: understood
24:46 | (New member) Nasty Yukari: No
24:47 | Herbie Cucumber: more than I wish I did
24:47 | (New member) Mister Eko: はい
24:47 | (New member) Shippo: :_yah:
24:47 | (New member) Kyle: :_yah:
24:48 | (New member) No Body: Tomoko is a chad now though...
24:48 | (New member) Zeng: yes
24:48 | (New member) max r: :_yah:
24:49 | (New member) Zia: Say no so she's more precise
24:50 | (New member) The Flesh Is Weak: :_yah:
24:51 | stuffed idiot: it's too real
24:51 | (New member) Fake Name: Everyone is Tomoko sometimes
24:53 | (New member) BasedBug: We've all felt cringe at some points in our lives, do you know where we are?
24:55 | (New member) The Pope: :_yah:
24:57 | (New member) XenMaster220: Yes
24:58 | (New member) クラガリ葉月: No. I don't understand. Please explain further.
24:58 | (New member) ユーネ: we aren't so different...
25:00 | Vic Kyorlo: you need to be a little bit cringe to be based
25:07 | TheHighestNativeGod: don't die!!!
25:08 | (New member) Zia: Please explain in more details
25:08 | Your Local Weeb: we are all cringe this based day
25:10 | Hitayori: Hewwo~~
25:12 | Voltage: no explaiiinn
25:14 | (New member) TWAIN: it's ok you're among tomokos here
25:15 | (New member) Rye Mountain: Everything you have said today so far was easy to understand
25:18 | (New member) Sol Codguy: You're in good company. There's a lot of Tomoko in the chat. Which is maybe bad company..
25:22 | MutantCarrot: YAH
25:24 | (New member) Moeniki: Every dad and mom has their cringe moment
25:25 | (New member) CantDood: clothed dogeza then
25:35 | (New member) Fake Name: A lot of Tomokos among us
25:37 | (New member) Mister Eko: lol
25:37 | Arcus crundelic: cringe
