-1:32:02 | Voltage: time to eat lunch and then watch beatani
1:01:25 | Mew: Ahahha
1:01:26 | max r: how do you equip the tail 🤔
1:01:28 | RueTobas: It's a word play
1:01:35 | Fake Name: Hmmmmm
1:01:47 | Hanabi: I think it looks like one of those cat toys
1:01:52 | Megiddo: yeah, butt plug
1:01:54 | max r: chat is having lewd thoughts
1:01:55 | Tachi: Plug lol
1:02:17 | Fake Name: Beatani is having lewd thoughts
1:02:26 | coba cobra: bear...
1:02:51 | Fake Name: Cats are scary
1:03:20 | max r: we found basil! the game is over! 
1:03:48 | Mew: Oh no there going to be blood everywhere
1:03:53 | max r: hey look! it's dad!
1:03:57 | BasedBug: Who is (you)?
1:04:09 | Mew: It's us 
1:04:09 | Megiddo: oh no
1:04:14 | BasedBug: Daddy Longlegs in the name of a spider
1:04:15 | Tachi: Lol..
1:04:17 | TWAIN: that explains why beatani is 155m tall
1:04:19 | max r: Daddy Longlegs = Name of spider
1:04:26 | coba cobra: dad is creepy
1:04:39 | BasedBug: I actually really like daddy longlegs, they don't hurt anyone
1:04:49 | RBZE7: a harmless spider !
1:05:02 | Rye Mountain: Daddy longlegs is technically not a spider, but yeah
1:05:04 | RBZE7: #1 mosquito eater
1:05:04 | ニシキ: House spider
1:05:06 | Megiddo: it has long legs
1:05:07 | BasedBug: They have a tiny body and long legs
1:05:15 | Hanabi: I thought it was grandaddy long legs?
1:05:20 | coba cobra: its pretty common
1:05:22 | Mew: ユウレイグモ科
1:05:24 | フェットチーネ: the least creepy one
1:05:30 | Fake Name: It's harmless but it is creepy
1:05:32 | Antonio Badilla: it has short legs it's name is ironic.
1:05:37 | max r: thats the common name of the type of spider
1:05:43 | Mew: どこにでもいるクモで、ユウレイグモ科に属しています。
1:05:43 | Theblekedet: the way they walk is funny
1:06:18 | Mew: ユウレイグモ類は、節足動物門鋏角亜門クモ綱クモ目ユウレイグモ科に属するクモの一群である。「幽霊」を連想させる特徴をもち、身体は細く全体に白色を帯び、暗所に生息する。 
1:06:37 | max r: Dad, what secrets are you keeping from our daughter?
1:06:37 | coba cobra: dad talks deep
1:06:48 | BasedBug: Is this the lost woods?
1:07:03 | Rivicen: Ohayou Beatani. I am at the office so I cannot stay to watch. Have a good day!
1:07:10 | Rye Mountain: Ah daddy long legs is a true spider, but harvestmen, that is also sometimes called daddy long legs, that is not technically a spider. English names for these things are confusing.
1:07:15 | max r: It's the lost woods, but every screen brings you closer back to DAD
1:07:25 | BasedBug: It's like a maze
1:07:40 | BasedBug: Left, then right?
1:07:59 | max r: @Rye Mountain i never even heard of the harvestmen
1:08:01 | Megiddo: right place for you. hmmm
1:08:12 | Theblekedet: poetic
1:08:16 | Rozalind Aria: funny and cute superchat bear
1:08:16 | Tachi: Mysterious 
1:08:17 | Fake Name: Cryptic
1:08:26 | Mew: ポエミぽい
1:09:26 | Mew: wow it's weak
1:10:24 | RADEON 360: Exiting the forest is super simple, All you have to do is follow these path turns.
1:10:28 | RADEON 360:  For the rest of your gaming life.
1:10:49 | Fake Name: Oh noo
1:11:11 | Hanabi: I'm still not sure what the difference between omori and beatan is
1:11:25 | Shippo: @RADEON 360 very nice reference fellow dad
1:11:38 | BasedBug: So far, I think you need to first go left, then maybe take a right
1:13:01 | Mew: Based bug was based
1:13:03 | Antonio Badilla: follow the bunny, maybe?
1:13:10 | RBZE7: yeah YOU've got it daughter
1:13:23 | Hanabi: it's a crystal ball, magic is real
1:13:29 | RueTobas: was that a rolex
1:13:40 | Megiddo: pearls are usually stuff you sell
1:13:53 | 77Yuja_: inside clams
1:14:08 | RueTobas: finns are not real indeed
1:14:09 | Mew: Aahahha 
1:14:11 | RueTobas: perkele
1:14:14 | Rye Mountain: "magic is real, but finns are not real" lmao
1:14:17 | BasedBug: GOD
1:14:20 | Antonio Badilla: follow the bunny
1:14:33 | TWAIN: pearl = 真珠
1:14:38 | Mew: Saatana
1:14:53 | NatrixNatrix: finns are not real kek
1:15:00 | BasedBug: First hidari, second migi
1:15:15 | RADEON 360: Don't forget you're here forever
1:15:40 | TWAIN: shut up dad, you can't tell me where to go
1:15:44 | Mew: BANG BANG BANG
1:15:54 | 77Yuja_: teach him a lesson
1:15:56 | max r: can we throw daddy in the lake or something
1:15:57 | ニシキ: Cut off his long legs
1:15:59 | Yamoyashi: be kind to children!
1:16:01 | Skeleton Doomguy: kid bear...
1:16:38 | Skeleton Doomguy: adult bear!
1:16:47 | Skeleton Doomguy: but still be kind to bear
1:16:50 | Megiddo: cake..
1:16:53 | Yamoyashi: oohh 👏 👏 👏
1:17:02 | Skeleton Doomguy: christmas cake bear...
1:17:11 | Mew: It's really weird how in Japan alcohol drink age is 21 but in most of Europe it's 18
1:17:14 | Tachi: Cake indeed
1:17:16 | Fake Name: I can't believe my daughter is a year older than me
1:17:25 | Theblekedet: almost cake bear
1:17:29 | max r: in USA it is 21
1:17:32 | TWAIN: a quarter of a century... i feel old
1:17:34 | Megiddo: driniking age is 20
1:17:41 | Skeleton Doomguy: i want to eat bear cake
1:17:50 | webm aristocrat: drinking age is 16
1:17:58 | max r: i'll mail you a shortcake by email
1:18:08 | Hanabi: I'll shove a cake through the ethernet port just for you
1:18:20 | webm aristocrat: in my country at least
1:18:21 | Skeleton Doomguy: vcake (virtual cake)
1:18:28 | あなり: Hello Kumagi ♡
1:19:46 | Megiddo: dad bullying bear
1:20:02 | BasedBug: Daddy Lanklet
1:20:02 | Skeleton Doomguy: daddy long legs vs baby short arms
1:20:19 | Skeleton Doomguy: when will they learn
1:20:32 | Megiddo: yosha~
1:21:11 | Tachi: Yeah
1:21:26 | max r: Alright, I have to do work stuff, so I hope you enjoy the rest of the stream! I'll probably have it on mute
1:22:05 | Megiddo: benevolent is kind
1:22:14 | Fake Name: Benevolent: well-intentioned, good
1:22:15 | BasedBug: I'm 26 and this is deep
1:22:17 | Hanabi: benevolent - well-meaning
1:22:24 | Theblekedet: see ya max r
1:22:31 | SukiKirai: wait I don't remember seeing this when I played
1:23:06 | Megiddo: Omori has different paths/endings from what I've read online
1:23:59 | Yamoyashi: you will become a christmas cake
1:24:10 | Hanabi: daddy longlegs really likes his 10 dollar words
1:24:50 | BasedBug: What is this word salad
1:24:58 | Fake Name: "perils of his own faculty" jeez
1:25:15 | Theblekedet: daddy longlegs just got his thesaurus
1:25:27 | RADEON 360: amogus
1:25:34 | Megiddo: Dreamer is Haruhi
1:25:59 | Fake Name: INEXORABLE
1:26:28 | Process S: It’s a little bit, what’s the word.... sussy 
1:26:32 | Megiddo: I don't think I've ever said inexorable in my life
1:26:52 | BasedBug: H
1:26:57 | Fake Name: ecchi key
1:27:00 | RADEON 360: echhi
1:27:05 | Antonio Badilla: the developer was writing this with one hand under the desk
1:27:44 | Process S: Sus 
1:27:46 | SukiKirai: is bea in the hikkikomori route?
1:27:54 | Mew: Basil is food
1:28:02 | Mew: for throught!
1:28:21 | Fake Name: No, she met Kel in real life
1:28:24 | Tachi: Hmm hopefully not
1:28:25 | Mew: OI!
1:29:04 | SukiKirai: hikkikomori route happens if you don't leave your house during real world sections. I never played it so I don't know how it goes
1:29:31 | Fake Name: If Beatan doesn't answer the door when Kel knocks, you get the Hikikomori route
1:29:36 | TWAIN: then it's not it
1:29:52 | Collin: I catch the bear live!
1:30:05 | Hanabi: yeah we met kel, remember when we stabbed aubrey? good times
1:30:33 | Fake Name: I wanna see delinquent Aubrey again
1:30:56 | Mew: KUMA
1:31:00 | Mew: NEZUMI?
1:31:11 | SukiKirai: delinquent aubrey is cute
1:32:34 | Mew: whoa
1:32:51 | TWAIN: teddy?
1:33:49 | Alexander Holzer: Just got here, hello everyone
1:33:59 | BasedBug: Chihiro why are you mad?
1:34:14 | Hanabi: chihiro's off her meds
1:34:19 | Mew: Noo Aburey
1:34:19 | Takeshi: damn
1:34:21 | Megiddo: that bear is too strong
1:35:20 | SukiKirai: I think if you make him happy or sad he is easier
1:37:04 | Mew: Can she?
1:38:59 | Mew: Wow hes so weak if hes sad
1:39:08 | A A: A winner is you.
1:39:22 | TWAIN: 3 HP wew
1:39:22 | Mew: Aahahah nooo
1:39:24 | Mew: Ahahah
1:39:29 | Fake Name: Whoops
1:39:48 | BasedBug: So close!
1:39:52 | Tachi: Ahh
1:39:53 | Zhnigo: just came back, the bears are still wrestling?
1:40:04 | Mew: Just keep the bear sad 😭😭
1:40:17 | TWAIN: chihiro really strong
1:41:58 | Nasty Yukari: Chihiro has changed... dot dot dot...
1:42:42 | Fake Name: She left a while ago and came back
1:43:13 | Hanabi: maybe check your skills and see if you've gotten any new ones?
1:44:50 | BasedBug: BASED on his speed
1:45:09 | Nasty Yukari: Based
1:45:12 | Mew: Based on what
1:45:14 | Megiddo: if Kel can use the faux tail that would be good
1:45:32 | Zhnigo: Based on what
1:45:47 | Megiddo: spin~
1:45:55 | Mew: oh boy... Twuurl 
1:46:01 | Zhnigo: t VYO rl
1:46:01 | Megiddo: t+whirl
1:46:47 | TWAIN: トワル kind of
1:47:01 | Zhnigo: tv-YO-rl
1:47:07 | Nasty Yukari: twirl, twin, tweet...
1:47:12 | Megiddo: got it
1:47:25 | Hanabi: yeah that's it
1:47:36 | Hanabi: phonetics are hard
1:47:48 | TWAIN: you got it!
1:48:07 | BasedBug: A pink castle?
1:49:22 | Mew: Even if you're finish we still love you
1:49:22 | Megiddo: based
1:49:55 | Hanabi: oh no it's happening again
1:49:55 | Fake Name: Even if you're toast we still love you
1:50:19 | Rye Mountain: Oh no
1:50:23 | BasedBug: Oh boy.. NTR
1:50:24 | TWAIN: pain
1:50:27 | Megiddo: oh no...
1:50:27 | coba cobra: ntr time
1:50:37 | Rye Mountain: Second NTR in this game 
1:50:51 | Nasty Yukari: kek, literally netorareta
1:51:10 | SukiKirai: it's ok you still have us
1:51:40 | Voltage: beatani loves ntr right????
1:51:49 | Rye Mountain: NTR can never be forgiven
1:51:57 | Fake Name: Yanderetani
1:52:22 | Mew: Hero is not a hero!
1:53:07 | BasedBug: BUG!!!
1:53:12 | Qwazola: das a onion
1:54:13 | Megiddo: big bug indeed
1:54:23 | Rye Mountain: This bug is not based
1:54:24 | TWAIN: strong onions
1:54:30 | Nasty Yukari: caterpillar from XP hill?
1:55:01 | 77Yuja_: just like that
1:55:09 | TWAIN: look at aubrey how happy she is to hear it
1:55:34 | coba cobra: always choose the yankee
1:56:31 | Rye Mountain: Please don't NTR Aubrey again.
1:56:49 | Rye Mountain: Aubrey is the one and only wife
1:57:00 | Megiddo: delinquent Aubrey also very cute.
1:57:02 | TheCanti: Fight bear daughter Fight!
1:57:20 | Theblekedet: this music is intense
1:57:52 | Nasty Yukari: I like the "unzunzunz" in this BGM actually
1:57:56 | Nasty Yukari: Good job BGM-san
1:57:59 | TheCanti: Beatani is going to turn delinquent Aubrey into housewife Aubrey?
1:58:02 | Megiddo: good, Yankees fans are the worst
1:58:07 | Theblekedet: uh oh Beatani will spank the yankee out of Aubrey
1:58:22 | Mew: is it angry?
1:58:29 | coba cobra: with bear love, yankee become seiso
1:58:42 | Megiddo: I think the red means angry, yeah
1:59:05 | Hanabi: red - angry, blue - sad, yellow - happy
1:59:36 | max r: you are at ten energy, so don't forget to use release energy!
1:59:40 | BasedBug: /yah/
1:59:45 | Mew: If you become double the status is there any benifit?
2:00:31 | Theblekedet: ded
2:00:38 | TheCanti: Double status = increased bonus from that status
2:01:34 | Megiddo: that smile kek
2:04:23 | TheCanti: Ganbearte bear daughter
2:04:37 | SukiKirai: aubrey is so cute
2:05:13 | HashSlash: Around 25ish hours long
2:05:30 | Mew: You can put game names in it and see how long it takes
2:05:42 | quinn: you are like 1/3 of the way done
2:05:43 | Hanabi: going off a google search it's 20-25 hours
2:06:20 | TheCanti: I finished the game in 20 hours so yea that sounds accurate 20-25 hours
2:06:57 | Megiddo: release energy?
2:07:10 | Mew: Is this the first RPG you played in English?
2:07:51 | (Verified, Moderator) Streamlabs: TWAIN just tipped $10.00 dayo!
2:08:01 | TheCanti: Time for super attack
2:08:26 | max r: release the energy!
2:08:53 | Tachi: Nice!
2:08:53 | max r: SUPER ULTRA MEGA NANO BUSTER COMBO FRIENDSHIP ATTACK!
2:08:55 | BasedBug: Well done!
2:08:58 | Alfa Ayed: power of friendship
2:09:06 | TWAIN: 👏👏👏
2:09:07 | Theblekedet: sugoi
2:09:07 | Nasty Yukari: Noice
2:09:12 | Kiba: i love the animation it looks so cool ahh
2:09:14 | Nasty Yukari: pachi pachi pachi
2:09:40 | BasedBug: Sproutmole Village?
2:09:45 | Megiddo: sprout mole
2:09:47 | Mew: I can't read it too...
2:11:19 | Mew: ちょううかわいい
2:11:33 | coba cobra: was aubrey always this cute?
2:11:37 | Megiddo: genki Aubrey
2:11:42 | Jaynathan Hue: yes
2:11:57 | Megiddo: Hero gets a harem cause he's a hero?
2:12:55 | Theblekedet: lol
2:13:03 | BasedBug: Lots of progress today!
2:13:09 | Mew: :yougotthis::yougotthis:
2:13:19 | Megiddo: ooh, news?
2:13:23 | cycochaos2: Tell us now !!!
2:13:23 | Zhnigo: 👁
2:13:24 | Theblekedet: nice, ypu did a lot today
2:13:28 | フェットチーネ: n?
2:13:28 | TheCanti: I am waiting Dad
2:13:28 | RADEON 360: Good news?
2:13:29 | Nasty Yukari: Alright, we'll wait
2:13:31 | Theblekedet: okay I'll wait
2:13:32 | BasedBug: Kuma Breaking News
2:13:34 | Idle Bear: ?
2:13:35 | Rye Mountain: Exited
2:13:37 | (Verified, Moderator) Streamlabs: NastyYukari just tipped $6.98 dayo!
2:13:39 | Tachi: News!?!?
2:13:47 | Theblekedet: finished ED song?
2:13:54 | Process S: n e w s 
2:14:15 | BasedBug: Is Finland actually realy?
2:14:17 | Nasty Yukari: <<newsflash>>
2:14:28 | Rye Mountain: Breaking news: Finland has been discovered to be real
2:14:47 | Zhnigo: that''s a hoax
2:15:06 | HashSlash: Fake news
2:15:07 | Mew: Gondola hoax revealed! 
2:15:13 | Process S: Is this what it’s like to receive news? 
2:15:16 | Rye Mountain: VERY CUTE!
2:15:17 | Megiddo: YESSSSSSSS
2:15:18 | HashSlash: Woooooah
2:15:18 | BasedBug: WOAH!
2:15:19 | Mew: oh damn 
2:15:21 | Simón: wow!!!!
2:15:21 | Zhnigo: UOOOOOOH
2:15:21 | Antonio Badilla: Based
2:15:22 | RADEON 360: MErch
2:15:22 | フェットチーネ: Whoooooo!
2:15:22 | _NFK: YOOOOO
2:15:22 | Nasty Yukari: Oh wow!!!!!!
2:15:27 | Tachi: Ahhhh!!! 
2:15:27 | HashSlash: This looks fantastic
2:15:29 | Question Box: nice
2:15:30 | BasedBug: That's so good!
2:15:30 | coba cobra: wooooooahhh
2:15:30 | cycochaos2: Cute!
2:15:30 | Idle Bear: Nice!
2:15:31 | Sol Codguy: WOAAH
2:15:31 | TWAIN: cute
2:15:32 | Process S: Niiice 
2:15:33 | Takeshi: Merch!
2:15:33 | Hanabi: RIP my wallet
2:15:33 | Kiba: WOAHH
2:15:34 | Nasty Yukari: Uuuuuuooooooooooh
2:15:37 | max r: need it!!!
2:15:37 | Chloro [クロロ]: It looks super cute!
2:15:38 | Zhnigo: "nukumonitea"?
2:15:39 | Theblekedet: oh god they are ao cute!
2:15:43 | VampirkoO: Wooow!
2:15:48 | Tachi: Buy buy buy
2:15:50 | BasedBug: That is really well done, wow
2:15:51 | russian bias: UOOOOOOOOOOH
2:15:59 | TheCanti: Ooooh, these looks great!
2:16:10 | HashSlash: Did you make these designs Beatani or were they commissioned? If so, who drew them?
2:16:11 | Megiddo: @Zhnigo nukumoritea
2:16:12 | Mizuki Arisu: Cute!!!!
2:16:30 | Rye Mountain: The one where Beatani is holding a clover is very cute
2:16:32 | Antonio Badilla: Since 14th april?
2:16:38 | RBZE7: Woah cute !
2:16:41 | Chloro [クロロ]: also is that a sonic youth reference? based if true
2:16:44 | Kiba: ahhhh they look so cute!!!
2:16:44 | Nasty Yukari: I will make all my purchases in べあたに屋 from now on
2:16:53 | Mew: So dads top or bottom?
2:16:55 | SukiKirai: very nice
2:17:03 | BasedBug: You put so much work into streaming, it's very commendable
2:17:12 | RueTobas: NICE
2:17:23 | Sol Codguy: Very hard working, multi-talented bear
2:17:43 | Simón: Can i get shipping from teespring to south america?
2:17:46 | Theblekedet: this bear is too powerful
2:17:51 | Margrave: good work:yougotthis:
2:18:08 | (Owner) Beatani Ch. 熊谷ちさと: https://my-store-11536917.creator-spring.com/
2:18:22 | Sol Codguy: Does teespring ship to Antarctica?
2:18:28 | Zhnigo: CLICC
2:18:32 | BasedBug: Bags and mugs too, wow!
2:18:40 | Takeshi: ooooh
2:18:42 | Alfa Ayed: cute
2:18:53 | HashSlash: I'm really vibing with the sisters shirt
2:19:08 | Rye Mountain: The website works well
2:19:09 | Kiba: STICKERSSSSS
2:19:12 | webm aristocrat: that looks pretty nice
2:19:30 | Zhnigo: heckin amazing
2:19:33 | TheCanti: Oooh this is awesome, I want one of those mugs
2:19:38 | Qwazola: Just tabbed over HOLY HELL MERCH
2:19:41 | Nasty Yukari: Does it ship to Gensokyo?
2:19:46 | Mew: Oh there a lot of stuff 
2:20:01 | Voltage: MERCHHH
2:20:25 | SpaceTalon: Very Cute!
2:20:33 | Mew: Tree spring ships to gensokyo I guarantee it
2:20:34 | Kiba: im going to buy some later ahhh i love the designs
2:20:38 | Nasty Yukari: Oh, nice, then I can buy
2:20:38 | Rye Mountain: Putting beatanis sticker on the fridge
2:20:41 | HashSlash: The art is really nice Beatani, great work!
2:20:45 | Zhnigo: can't wait to declare this to customs
2:20:48 | Megiddo: description "I love Sonic Youth"
2:20:52 | Megiddo: based
2:20:55 | Qwazola: Putting Beatani stickers on guns
2:21:05 | Alfa Ayed: there's hoodie and black variant too
2:21:24 | Project Seele: 😌👍
2:21:30 | Zhnigo: but shouldn't it be "nukumolity"? I don't get it
2:21:36 | Tachi: Sonic Youth. I knew it
2:21:43 | Ludd: i can finally drink nukumoritea from from a nukumoritea cup
2:21:50 | Antonio Badilla: @Simón it says worlwide shipping
2:22:33 | Mew: 🫖🍵🍵
2:22:56 | Simón: Thanks
2:23:08 | Theblekedet: ocha dozo let's goooo
2:23:20 | フェットチーネ: Perfect, I accidentally broke my mug the other day
2:23:23 | HashSlash: I just noticed, Beatani's missing her necklace on the black version of the sisters shirt
2:23:44 | Sol Codguy: Perfect, I'm accidentally breaking my mugs now
2:24:00 | Rye Mountain: Chibi beatani holding big clover is the one I'm getting
2:24:27 | Nasty Yukari: @HashSlash good catch, that's weird
2:25:10 | Nasty Yukari: look into "the v o i d"
2:25:58 | Mew: :yougotthis::yougotthis:
2:27:04 | RueTobas: i said hi to eastern eurodads
2:27:20 | RueTobas: Have you had bulgarian yoghurt?
2:28:36 | Takeshi: lol
2:28:38 | Qwazola: Impossible
2:29:40 | Mew: dense
2:30:19 | RueTobas: there's yoghurt soup
2:31:10 | 77Yuja_: world wide bear
2:31:22 | Rye Mountain: worldwide bear
2:31:25 | Nasty Yukari: around the world, around the world
2:31:54 | Zhnigo: ms. worldwide
2:31:58 | RueTobas: Kuma worldwide
2:32:45 | Alfa Ayed: world wide weeboo
2:32:51 | RADEON 360: Dats me :^)
2:34:02 | RueTobas: Youtube takes 30% 😞
2:34:21 | RueTobas: we were meming with currency that's why we did the super chats
2:35:38 | Question Box: nice
2:35:55 | Mew: No he just means what coffee
2:36:01 | Zhnigo: doesn't seem like it
2:36:09 | Mew: No memes this time
2:36:18 | Zhnigo: what kind of coffee, like cappuccino, espresso, etc
2:36:21 | フェットチーネ: based taste
2:36:26 | Rye Mountain: Black coffee based
2:36:27 | Hanabi: I mean the name is kind of a meme but not the coffee I'd assume
2:36:33 | Mew: Do you drink vending machine coffee?
2:36:47 | Rye Mountain: In my country you will get bullied if you drink coffee that is not black
2:37:08 | Mew: Khazakstan? 
2:37:27 | Process S: What if you drink the Oreo crustacean shake 
2:37:29 | Mew: Do we have literally everyone from every country in the world?
2:38:12 | Question Box: @Mew its a meme 
2:39:27 | Nasty Yukari: Yeah, I still giggle at that meme
2:39:41 | Zhnigo: "To defeat the cyberdemon, shoot at it until it dies" - Doom walkthrough
2:39:49 | Nasty Yukari: The original was "to defeat the cyberdemon, shoot it until it dies"
2:40:12 | Question Box: encyclopedia dramatica is a good place to find it
2:40:23 | Nasty Yukari: Yeah, that's googleable
2:40:34 | SpaceTalon: so Original Doom playthrough when? 
2:40:42 | SpaceTalon: 😀
2:40:42 | RueTobas: bye bea
2:40:44 | BasedBug: Thank you for streaming!
2:40:48 | Zhnigo: encyclopedia dramatica is outdated, KYM is better
2:40:56 | Mew: Thank you for stream and finally monetization now I can turn off my adblocker! 
2:40:59 | HashSlash: Thanks for the stream Beatani, had fun!
2:41:00 | Nasty Yukari: (we want Doom!)
2:41:18 | Ludd: thank you for the stream and the cool merch!
2:41:27 | Chloro [クロロ]: thank you for the stream Beatani! Otsukare~
2:41:36 | HashSlash: Bye bear!
2:41:39 | SpaceTalon: Bye bye!
2:41:40 | Zhnigo: thanks for stream!
2:41:40 | BasedBug: Bea bea!
2:41:40 | RBZE7: bea bea !
2:41:41 | Andrew Ryan: べあべあ
2:41:41 | Rye Mountain: bea bea
2:41:43 | XeniVari: Bea bea!
2:41:43 | TheCanti: Matabearbear!
2:41:45 | Zhnigo: bea bea
2:41:46 | Nasty Yukari: g'bye, beabea!!!
2:41:46 | Ludd: beabea
2:41:46 | Simón: Thank you for the stream!!
2:41:46 | Tachi: Bye byeee beabeaa
2:41:49 | Mew: bea bea!
2:41:49 | 77Yuja_: bye
2:41:49 | Chloro [クロロ]: Bea Bea!
2:41:49 | Juvisy: Bye Bea!
2:41:49 | Qwazola: Bye bear
2:41:51 | Theblekedet: thank you! beabea!
2:41:52 | Arcus crundelic: beabea
2:41:54 | Sol Codguy: bea bea!
2:41:55 | coba cobra: bea bea! thanks for stream~
